date,open,high,low,close,volume
2018-01-01,515.9,527.45,515.0,516.1,7998909.6
2018-01-02,519.85,522.95,514.2,515.35,6520867.1
2018-01-03,518.7,521.4,510.75,511.85,7146744.05
2018-01-04,516.1,520.0,507.0,509.3,7263521.6
2018-01-05,510.0,519.25,505.1,506.95,8308182.55
2018-01-08,511.0,518.0,505.1,506.8,12033591.0
2018-01-09,510.0,567.0,508.05,547.05,148202253.7
2018-01-10,550.6,550.6,530.0,533.3,20047383.75
2018-01-11,534.05,570.0,527.1,556.85,65091563.1
2018-01-12,585.0,590.0,557.6,566.65,73660536.4
2018-01-15,567.9,569.0,543.95,549.45,16317908.1
2018-01-16,554.0,554.0,515.0,518.3,24041910.4
2018-01-17,522.35,527.95,511.0,517.1,6504699.95
2018-01-18,521.95,528.9,511.0,512.45,8801594.6
2018-01-19,515.0,518.0,506.95,512.1,4213724.05
2018-01-22,517.7,537.0,509.3,522.0,11398091.55
2018-01-23,529.0,534.7,518.5,520.35,5808566.85
2018-01-24,518.0,522.9,507.3,507.8,7541897.65
2018-01-25,508.0,519.7,506.5,509.15,8372343.65
2018-01-29,512.0,524.2,499.0,503.05,8834202.85
2018-01-30,506.9,506.9,487.0,491.05,5742337.25
2018-01-31,490.5,507.95,469.0,472.1,11640814.8
2018-02-01,479.75,494.7,455.0,466.95,14511947.25
2018-02-02,464.0,469.95,437.5,440.5,11236799.2
2018-02-05,430.0,465.0,430.0,448.5,7022501.9
2018-02-06,440.0,440.0,425.0,431.5,6403981.25
2018-02-07,437.0,450.0,433.0,438.35,6042680.95
2018-02-08,441.45,464.9,440.1,455.1,7516756.6
2018-02-09,447.0,464.0,438.0,450.8,6487059.5
2018-02-12,455.1,464.0,453.0,459.05,4388372.8
2018-02-14,469.0,469.0,453.55,459.0,5436771.55
2018-02-15,460.0,473.8,448.0,454.0,5552361.2
2018-02-16,460.0,460.35,445.55,447.7,3176242.45
2018-02-19,450.0,450.0,427.1,431.75,3991663.7
2018-02-20,433.8,433.95,418.5,421.95,4034147.05
2018-02-21,427.95,429.0,415.1,416.8,2753745.35
2018-02-22,416.0,418.9,409.0,411.1,4100029.15
2018-02-23,415.25,422.35,415.25,418.7,3157432.3
2018-02-26,422.7,435.6,416.95,426.1,5032765.6
2018-02-27,425.05,432.8,420.1,430.2,3106457.55
2018-02-28,428.05,429.1,419.0,421.35,3790536.75
2018-03-01,421.6,433.5,421.4,423.25,2999795.0
2018-03-05,423.0,428.9,418.9,424.45,3567799.65
2018-03-06,425.95,428.2,410.0,414.35,4087036.2
2018-03-07,416.35,418.15,390.0,392.6,4241136.2
2018-03-08,399.9,408.7,391.1,397.4,2221871.35
2018-03-09,399.15,399.15,381.0,384.1,2173583.85
2018-03-12,389.4,390.0,380.0,382.8,2438577.1
2018-03-13,383.2,387.0,377.0,380.35,7591628.4
2018-03-14,383.0,383.0,373.5,375.9,4874364.35
2018-03-15,377.0,451.05,376.5,451.05,58658480.1
2018-03-16,486.0,526.8,480.35,493.05,693771447.6
2018-03-19,490.65,490.65,450.25,463.6,95906364.4
2018-03-20,460.5,477.85,441.5,457.85,60497208.05
2018-03-21,460.0,508.8,460.0,485.05,214077125.1
2018-03-22,487.0,489.2,457.0,461.3,49631870.05
2018-03-23,443.25,450.0,432.45,438.15,21588694.45
2018-03-26,448.8,489.8,445.55,478.3,114249558.8
2018-03-27,470.45,486.8,456.05,476.55,82390041.1
2018-03-28,469.0,470.95,451.0,455.1,28013417.05
2018-04-02,459.9,481.5,428.95,454.2,41260134.15
2018-04-03,455.0,474.7,451.95,458.1,24161456.0
2018-04-04,460.0,473.8,450.0,453.5,23727394.35
2018-04-05,462.0,470.75,458.15,461.65,13637511.7
2018-04-06,463.95,470.1,455.0,458.05,13190421.6
2018-04-09,461.7,478.0,460.1,464.1,22121867.5
2018-04-10,467.4,472.0,457.6,462.1,12219091.35
2018-04-11,463.0,502.0,459.0,482.4,150634983.5
2018-04-12,480.0,480.0,464.4,466.85,17394065.2
2018-04-13,470.0,483.0,465.0,466.1,20436319.05
2018-04-16,463.0,479.9,460.05,473.15,19022939.9
2018-04-17,477.45,509.0,473.25,486.5,104672081.1
2018-04-18,485.0,514.0,481.4,491.85,117823354.2
2018-04-19,495.8,503.0,485.1,487.4,17530607.65
2018-04-20,486.2,498.95,480.05,483.15,19449328.9
2018-04-23,483.3,493.0,481.0,482.5,8802628.2
2018-04-24,484.3,502.0,483.2,485.85,32845665.05
2018-04-25,489.0,489.0,463.0,468.75,14715705.45
2018-04-26,472.8,514.8,469.0,488.95,147731064.7
2018-04-27,484.5,494.25,482.3,484.25,19841587.8
2018-04-30,487.4,493.9,477.1,480.35,10966309.2
2018-05-02,482.8,489.0,467.0,471.0,13270802.7
2018-05-03,474.95,474.95,457.85,461.05,7982733.8
2018-05-04,455.55,471.95,455.55,457.6,9304907.05
2018-05-07,459.15,471.0,451.2,457.75,8652449.3
2018-05-08,460.0,466.9,457.55,459.4,6722908.35
2018-05-09,459.35,463.9,445.95,450.05,6825880.3
2018-05-10,452.45,460.0,440.5,443.75,6204732.85
2018-05-11,443.0,450.0,432.25,435.15,5368063.85
2018-05-14,439.9,444.3,418.6,422.1,5084641.7
2018-05-15,426.3,435.0,411.0,412.9,8361045.45
2018-05-16,415.0,419.9,395.1,402.45,6678849.45
2018-05-17,403.5,430.0,402.5,417.55,16173925.45
2018-05-18,424.9,432.9,408.25,411.3,17784041.95
2018-05-21,413.0,415.5,398.2,401.0,5471763.1
2018-05-22,402.0,411.65,401.0,403.55,5373203.3
2018-05-23,405.55,414.7,395.6,399.5,5863288.5
2018-05-24,399.55,407.45,392.15,394.25,5126235.15
2018-05-25,394.0,397.25,389.0,391.0,3152580.0
2018-05-28,394.4,409.45,388.0,401.0,9614608.95
2018-05-29,403.0,444.0,395.1,428.2,42300074.0
2018-05-30,425.0,426.35,408.55,413.3,7585285.4
2018-05-31,413.3,434.0,400.0,406.1,14269827.55
2018-06-01,407.05,419.0,401.0,403.5,5706428.1
2018-06-04,407.55,407.55,361.9,363.65,14027106.45
2018-06-05,373.0,373.0,350.2,354.4,7013416.3
2018-06-06,357.0,373.0,353.05,365.35,5923050.1
2018-06-07,366.0,383.95,366.0,375.9,8286756.1
2018-06-08,377.0,392.55,373.3,375.75,7278747.05
2018-06-11,377.9,396.95,376.05,386.0,10661190.9
2018-06-12,386.0,403.95,383.6,394.05,13690533.75
2018-06-13,394.0,397.8,383.05,387.55,8375742.75
2018-06-14,387.55,465.05,387.5,465.05,89496602.85
2018-06-15,480.0,491.85,442.0,446.3,183154518.5
2018-06-18,446.0,453.05,435.25,438.1,29330822.5
2018-06-19,437.4,437.4,418.25,421.45,10825072.55
2018-06-20,416.0,424.8,407.7,409.15,19656765.5
2018-06-21,412.5,419.0,401.25,402.8,11169900.6
2018-06-22,403.2,404.95,395.0,397.65,7477326.4
2018-06-25,398.15,398.15,378.0,380.6,7352226.8
2018-06-26,380.0,387.5,370.0,377.45,9442274.5
2018-06-27,377.85,383.6,353.0,357.3,7080475.4
2018-06-28,358.0,358.0,346.0,349.45,7032783.6
2018-06-29,347.1,371.95,347.1,359.5,11436457.85
2018-07-02,359.55,369.9,352.0,354.0,4085652.2
2018-07-03,357.65,362.95,352.0,359.0,3037078.3
2018-07-04,360.1,430.8,360.1,409.9,209637673.3
2018-07-05,405.8,405.8,380.0,382.1,36736679.1
2018-07-06,382.9,391.8,378.0,380.9,19814079.3
2018-07-09,385.95,397.95,383.5,386.15,13491224.75
2018-07-10,391.0,462.0,391.0,453.45,380121563.6
2018-07-11,442.0,449.0,421.3,431.2,142000340.3
2018-07-12,433.0,441.85,422.0,428.1,49270338.8
2018-07-13,431.5,431.5,410.25,414.05,22482776.25
2018-07-16,413.95,417.95,391.55,394.75,16092336.4
2018-07-17,394.85,415.0,394.85,404.55,28762366.05
2018-07-18,407.0,409.65,391.95,393.55,16365206.4
2018-07-19,395.1,396.95,377.05,381.1,10449988.0
2018-07-20,381.0,391.8,374.0,377.75,17922756.4
2018-07-23,381.6,405.0,381.6,393.45,34586831.5
2018-07-24,393.5,405.0,382.3,390.1,20235922.85
2018-07-25,392.95,401.95,386.95,389.45,19016906.65
2018-07-26,389.9,398.9,386.5,389.65,7401332.1
2018-07-27,392.15,396.9,387.3,389.1,11468888.65
2018-07-30,384.25,438.55,384.25,422.45,142217198.1
2018-07-31,434.0,434.5,400.1,412.35,57607584.3
2018-08-01,412.0,424.8,406.05,412.3,31018377.35
