date,open,high,low,close,volume
2018-01-01,78.9,79.15,78.25,78.55,13254625.95
2018-01-02,78.5,83.4,78.0,81.55,86392413.95
2018-01-03,82.4,82.8,79.75,82.05,42459285.85
2018-01-04,82.0,82.0,79.5,81.55,47604540.45
2018-01-05,81.5,82.35,80.8,81.65,26617513.25
2018-01-08,81.7,81.95,81.05,81.5,39235266.1
2018-01-09,81.5,82.45,81.0,81.9,17800591.6
2018-01-10,81.8,81.95,80.25,80.7,19372717.95
2018-01-11,80.95,80.95,78.9,79.2,22961112.7
2018-01-12,79.6,82.0,79.0,81.55,38404709.5
2018-01-15,81.95,83.4,79.2,79.75,37171434.85
2018-01-16,79.2,79.8,76.65,78.05,30313273.25
2018-01-17,78.4,78.95,76.2,77.75,88196667.05
2018-01-18,81.0,81.5,76.0,76.5,57362045.35
2018-01-19,77.25,77.95,75.7,76.15,32285830.35
2018-01-22,76.85,77.5,75.5,76.85,22188711.45
2018-01-23,76.85,77.3,75.0,75.85,38499547.95
2018-01-24,76.0,78.0,75.1,76.95,68764896.8
2018-01-25,77.0,77.2,74.5,74.9,27157173.8
2018-01-29,75.3,75.3,73.25,74.15,23562626.6
2018-01-30,73.1,75.0,73.1,74.1,14813950.25
2018-01-31,74.4,75.0,73.55,74.2,33938850.65
2018-02-01,76.0,76.05,71.5,72.3,27608005.55
2018-02-02,71.85,72.0,67.95,69.1,48879539.8
2018-02-05,68.2,72.0,65.9,70.65,33644946.5
2018-02-06,67.05,69.65,67.05,68.7,29906291.4
2018-02-07,69.1,70.65,69.1,69.6,12886513.5
2018-02-08,69.9,71.15,69.9,70.65,13157651.7
2018-02-09,68.5,71.4,68.5,70.2,20883253.15
2018-02-12,70.9,71.85,69.3,70.5,19438473.3
2018-02-14,70.5,71.8,69.7,70.15,18832405.9
2018-02-15,69.65,71.5,68.65,69.15,138541208.4
2018-02-16,69.85,70.65,68.25,69.55,24953596.35
2018-02-19,69.5,70.05,66.4,67.85,30286830.25
2018-02-20,67.9,68.45,66.9,67.8,17270884.3
2018-02-21,68.6,68.6,66.6,67.45,17638626.8
2018-02-22,66.6,67.25,66.05,66.5,16146410.3
2018-02-23,67.3,67.75,65.8,66.0,21798164.1
2018-02-26,66.9,68.15,66.0,67.7,63050711.9
2018-02-27,68.0,68.6,66.9,67.9,73080657.35
2018-02-28,66.9,67.25,66.2,66.6,39840522.0
2018-03-01,66.2,67.45,66.2,66.95,14119432.35
2018-03-05,66.8,67.25,65.7,66.4,14656506.95
2018-03-06,66.95,66.95,63.3,63.8,22977113.0
2018-03-07,63.5,63.5,61.2,61.6,15242310.45
2018-03-08,62.0,62.85,60.25,61.6,23666153.7
2018-03-09,61.6,62.8,59.7,61.05,29590160.25
2018-03-12,61.5,61.8,57.2,60.5,36237887.9
2018-03-13,60.55,62.95,59.5,62.0,30397584.75
2018-03-14,61.4,62.0,60.3,61.05,32936712.8
2018-03-15,61.0,61.45,60.1,60.35,44823875.5
2018-03-16,60.7,61.5,58.4,58.9,75458557.9
2018-03-19,58.95,59.75,58.5,59.0,92747957.6
2018-03-20,59.0,59.1,58.1,58.65,18617643.2
2018-03-21,58.5,59.75,58.05,58.4,16509092.5
2018-03-22,59.2,59.75,57.7,58.35,33492974.55
2018-03-23,57.55,58.9,56.85,58.3,25837664.9
2018-03-26,58.95,59.9,57.7,59.1,31278273.6
2018-03-27,58.9,62.05,58.9,60.45,44326542.75
2018-03-28,59.9,61.8,58.4,60.35,41447350.05
2018-04-02,61.8,61.8,59.05,59.4,14013075.95
2018-04-03,59.15,59.95,57.45,57.8,77838221.95
2018-04-04,58.6,58.75,57.25,57.55,20028401.7
2018-04-05,58.7,58.95,58.05,58.3,13953400.95
2018-04-06,58.5,58.8,57.8,58.4,14792753.05
2018-04-09,58.6,59.2,58.25,58.75,15278126.45
2018-04-10,59.15,60.4,58.8,59.4,48011292.0
2018-04-11,59.7,59.7,57.8,58.05,17433136.1
2018-04-12,58.6,60.75,58.0,60.35,52465678.4
2018-04-13,60.6,60.6,58.95,59.65,23386448.15
2018-04-16,59.0,59.55,58.65,58.95,6257037.5
2018-04-17,58.75,60.25,58.25,60.1,15161913.75
2018-04-18,60.45,61.9,59.0,59.25,29317402.35
2018-04-19,59.5,59.6,58.0,58.45,13088952.6
2018-04-20,58.25,58.6,57.95,58.15,11621797.65
2018-04-23,58.5,59.0,58.3,58.85,7414691.35
2018-04-24,58.65,61.25,58.3,59.45,7802237.85
2018-04-25,59.45,59.45,57.2,57.55,18802692.15
2018-04-26,57.9,57.9,56.5,56.6,14031490.9
2018-04-27,57.2,57.85,56.15,56.6,30283912.35
2018-04-30,56.3,57.6,56.3,56.95,29254130.35
2018-05-02,56.95,57.25,56.5,56.85,12189382.95
2018-05-03,56.95,57.0,56.0,56.15,10569323.8
2018-05-04,55.7,56.3,54.2,54.95,23255893.05
2018-05-07,55.05,55.4,54.05,54.45,19959245.7
2018-05-08,54.6,55.0,53.2,53.7,18188227.65
2018-05-09,53.8,54.25,52.0,52.6,60862778.9
2018-05-10,52.95,53.9,52.0,53.5,124765368.9
2018-05-11,53.8,54.15,52.3,53.95,19328387.3
2018-05-14,54.8,54.8,52.3,53.9,19326568.3
2018-05-15,53.55,54.45,52.8,53.75,8026558.7
2018-05-16,53.15,53.8,52.0,52.25,12700630.3
2018-05-17,52.3,52.45,51.7,51.9,12443287.45
2018-05-18,51.8,53.5,51.1,51.45,29306175.95
2018-05-21,51.45,52.05,50.25,50.55,9071669.1
2018-05-22,50.65,51.7,50.25,51.0,5721313.4
2018-05-23,51.2,53.45,50.05,52.05,13562624.6
2018-05-24,52.45,53.0,50.65,51.0,13468132.1
2018-05-25,51.25,52.9,51.05,52.2,8571334.95
2018-05-28,52.05,57.1,52.05,56.65,22936971.3
2018-05-29,56.7,58.1,55.8,57.9,25757563.45
2018-05-30,56.2,57.9,55.65,57.45,13898573.85
2018-05-31,58.9,62.0,58.05,59.05,74936717.85
2018-06-01,60.0,60.0,56.0,56.45,14547907.5
2018-06-04,56.95,58.3,55.45,57.85,20800339.15
2018-06-05,58.0,58.25,56.0,56.85,11739642.9
2018-06-06,56.9,58.7,56.55,57.2,38051652.65
2018-06-07,57.35,57.85,56.8,57.3,10208606.55
2018-06-08,57.25,59.5,56.65,58.95,14215961.5
2018-06-11,59.7,61.8,57.4,58.45,35861108.0
2018-06-12,58.75,59.55,58.0,58.25,13100439.65
2018-06-13,58.75,60.1,58.25,59.0,26374061.6
2018-06-14,58.85,59.7,58.1,59.2,13943114.1
2018-06-15,59.25,60.05,57.25,57.5,40207929.4
2018-06-18,57.85,58.2,57.45,57.7,6976245.55
2018-06-19,57.8,57.9,53.8,56.2,14987433.3
2018-06-20,57.0,57.0,55.4,55.65,5313257.85
2018-06-21,55.9,56.05,53.2,53.6,13730211.2
2018-06-22,53.65,54.1,53.0,53.8,7739419.9
2018-06-25,53.7,55.4,52.6,54.75,14130858.15
2018-06-26,54.1,56.1,52.85,53.0,16425678.45
2018-06-27,53.0,53.4,50.75,51.45,13398501.4
2018-06-28,51.2,51.85,48.0,49.0,13513615.75
2018-06-29,49.45,52.5,49.45,50.6,17407653.75
2018-07-02,51.0,52.0,50.4,51.5,7915167.65
2018-07-03,51.4,52.3,50.8,51.05,7088227.6
2018-07-04,51.25,51.9,49.9,50.1,8067353.85
2018-07-05,50.5,51.05,50.0,50.3,6675487.55
2018-07-06,50.4,51.4,49.6,50.5,9211321.25
2018-07-09,51.5,51.5,50.4,50.9,7193426.9
2018-07-10,51.1,51.4,50.3,50.7,6826264.95
2018-07-11,50.8,51.05,50.0,50.1,6461599.1
2018-07-12,50.1,50.7,49.2,49.65,8242726.9
2018-07-13,50.0,50.0,47.6,48.05,9705191.45
2018-07-16,48.4,48.5,43.65,45.65,12829932.3
2018-07-17,45.4,46.8,45.3,45.6,18253749.35
2018-07-18,46.0,47.65,45.0,46.85,23760812.75
2018-07-19,46.3,48.4,46.3,47.75,8926247.2
2018-07-20,47.75,47.75,46.8,47.3,6781326.0
2018-07-23,47.4,48.15,47.0,47.8,6129714.55
2018-07-24,47.2,48.9,47.2,48.55,6346740.85
2018-07-25,49.0,49.0,48.05,48.4,4747185.1
2018-07-26,48.5,54.8,48.5,52.9,184533473.6
2018-07-27,54.4,56.5,51.65,54.4,107065925.5
2018-07-30,54.85,58.5,54.6,56.9,44597943.5
2018-07-31,57.1,58.95,56.5,58.45,46542387.2
2018-08-01,58.0,58.3,56.5,57.05,42311038.35
2018-08-02,56.9,58.0,55.1,57.55,21653360.1
2018-08-03,57.75,58.0,56.5,56.75,10856959.9
2018-08-06,57.0,57.5,56.5,56.85,17585436.35
2018-08-07,56.85,58.6,56.4,57.75,15003568.2
2018-08-08,58.45,58.5,56.65,57.4,12832092.95
2018-08-09,57.5,60.25,57.3,59.15,31085754.85
2018-08-10,60.3,60.85,57.75,59.75,23768513.3
2018-08-13,59.0,59.0,57.05,57.4,8715210.65
2018-08-14,57.2,59.8,56.55,59.0,19698661.3
2018-08-16,59.4,59.4,56.9,57.35,7777198.4
2018-08-17,58.35,58.35,56.9,57.3,7835364.7
2018-08-20,58.0,58.0,56.6,56.9,7893962.35
2018-08-21,56.8,57.35,56.6,56.95,7053493.1
2018-08-23,56.45,57.2,55.6,56.95,10384688.3
2018-08-24,57.3,57.45,56.25,57.35,6796220.6
2018-08-27,57.5,57.85,52.4,53.85,28275417.0
2018-08-28,54.4,54.8,53.15,53.65,18720000.95
2018-08-29,53.95,54.55,53.4,54.15,6257582.5
2018-08-30,54.5,55.75,53.9,55.5,13614716.1
2018-08-31,55.55,55.6,54.1,55.3,13645182.35
2018-09-03,55.1,56.95,55.1,56.6,11167834.6
2018-09-04,56.5,56.5,52.55,52.8,16332980.95
2018-09-05,53.25,53.9,52.35,53.6,9868370.15
2018-09-06,53.95,54.5,53.4,54.15,10417212.55
2018-09-07,54.8,55.4,54.0,54.8,8622680.6
2018-09-10,54.95,56.15,53.85,55.7,8621719.15
2018-09-11,56.4,56.4,53.6,55.0,17693482.55
2018-09-12,54.25,55.5,53.05,53.8,15044871.25
2018-09-14,53.9,55.45,53.2,54.7,18809192.3
2018-09-17,54.6,55.0,53.1,53.35,18440421.75
2018-09-18,53.8,53.85,53.05,53.5,12975364.9
2018-09-19,53.4,53.45,51.0,51.9,11639124.75
2018-09-21,52.65,52.65,46.5,47.4,20333714.5
2018-09-24,47.95,48.25,46.3,46.9,11047994.9
2018-09-25,46.9,47.25,45.5,46.45,8448784.1
2018-09-26,46.6,47.2,45.1,45.55,7338555.8
2018-09-27,45.3,45.75,41.95,44.0,68140539.15
2018-09-28,44.25,44.35,38.0,41.3,24989387.7
2018-10-01,40.7,43.15,38.5,42.65,19109691.1
2018-10-03,43.25,43.25,39.8,42.1,17656536.75
2018-10-04,41.9,42.1,39.7,40.0,14527628.6
2018-10-05,40.35,41.9,40.0,40.3,22317978.05
2018-10-08,40.85,41.0,39.0,39.9,10655784.75
2018-10-09,40.45,40.45,38.5,38.9,10849660.4
2018-10-10,39.45,41.0,38.5,39.9,18091254.55
2018-10-11,39.1,40.1,38.55,39.9,7637497.5
2018-10-12,40.0,41.05,40.0,40.5,12399975.65
2018-10-15,40.9,41.9,40.2,40.9,7041075.75
2018-10-16,40.7,42.6,40.7,41.95,51827254.6
2018-10-17,45.5,49.7,42.0,42.5,208918429.2
2018-10-19,42.6,43.7,42.0,42.45,31883279.1
2018-10-22,43.1,43.6,40.8,41.0,21173118.75
2018-10-23,40.2,43.5,40.2,42.95,22968871.05
2018-10-24,44.1,44.15,41.55,41.95,21048930.4
2018-10-25,41.15,41.85,38.5,38.75,33891676.4
2018-10-26,39.0,39.85,38.65,39.0,14488890.4
2018-10-29,39.5,41.75,38.5,41.45,21599905.45
2018-10-30,41.7,44.0,41.0,43.1,37138292.15
2018-10-31,43.1,43.5,41.1,42.2,23856532.05
2018-11-01,42.2,42.35,41.3,41.5,16973990.1
2018-11-02,42.05,43.0,41.05,41.6,35821611.65
2018-11-05,42.15,42.15,41.05,41.25,13176651.25
2018-11-06,42.4,42.8,41.05,41.3,20838628.75
2018-11-07,41.55,42.2,41.4,42.0,3260459.25
2018-11-09,41.95,42.7,41.6,41.8,21964814.95
2018-11-12,41.95,42.0,40.75,41.45,18850778.85
2018-11-13,41.85,41.85,40.3,40.55,18368610.15
2018-11-14,40.6,41.05,39.45,39.55,72818680.15
2018-11-15,39.6,40.2,38.85,38.95,21172772.2
2018-11-16,39.0,40.1,38.85,39.7,26547743.3
2018-11-19,39.75,40.15,39.35,39.5,13912193.4
2018-11-20,39.5,39.55,38.3,38.55,18277128.95
2018-11-21,38.9,38.9,38.0,38.15,16780479.3
2018-11-22,38.9,39.3,38.15,39.05,27428879.0
2018-11-26,39.0,39.2,38.2,38.4,12517906.65
2018-11-27,38.5,38.8,38.05,38.25,10258759.85
2018-11-28,38.4,38.5,36.75,37.15,17630151.85
2018-11-29,37.8,37.8,36.7,37.05,10627403.6
2018-11-30,37.35,37.35,36.5,36.8,14655531.95
2018-12-03,37.0,37.4,36.15,36.85,14830992.35
2018-12-04,37.0,39.0,36.6,38.7,28534459.65
2018-12-05,38.25,38.85,37.55,37.85,6724059.0
2018-12-06,37.7,39.2,37.05,38.1,29710727.1
2018-12-07,38.9,38.9,36.7,37.6,12041165.65
2018-12-10,37.6,37.6,36.0,36.5,8206517.9
2018-12-11,36.0,37.15,36.0,36.5,8267631.95
2018-12-12,36.7,37.15,36.5,36.6,31797992.75
2018-12-13,36.8,37.3,35.9,36.0,38022665.15
2018-12-14,36.0,36.35,35.4,35.65,23548133.55
2018-12-17,35.65,36.25,35.6,35.8,10722036.65
2018-12-18,35.65,36.3,35.5,36.0,14966158.1
2018-12-19,36.3,37.35,36.2,36.95,22837568.45
2018-12-20,37.4,37.45,36.85,37.1,24006424.85
2018-12-21,37.3,37.55,36.55,36.8,19635694.25
2018-12-24,36.75,37.0,36.55,36.6,7294113.25
2018-12-26,37.0,37.0,36.1,36.6,6243873.55
2018-12-27,36.6,37.05,36.6,36.7,9120856.2
2018-12-28,37.0,37.65,37.0,37.3,16336398.05
2018-12-31,37.4,37.8,37.35,37.7,10616532.95
2019-01-01,37.9,38.85,37.75,38.6,16519137.85
2019-01-02,38.6,39.9,38.0,38.85,32086670.5
2019-01-03,39.2,39.4,38.55,38.7,19953432.1
2019-01-04,38.8,38.9,37.6,37.8,23199024.45
2019-01-07,38.2,38.4,37.4,37.55,21973845.25
2019-01-08,37.5,37.7,37.1,37.25,25311108.5
2019-01-09,37.7,37.75,36.65,36.9,28982218.35
2019-01-10,37.05,37.1,36.6,36.7,12631995.65
2019-01-11,37.15,37.4,36.1,36.3,47983239.25
2019-01-14,37.7,38.1,36.8,37.3,205225316.9
2019-01-15,37.8,42.3,37.7,39.25,325223212.7
2019-01-16,39.7,40.3,39.0,39.15,119682356.5
2019-01-17,39.4,39.4,37.8,38.55,117819771.1
2019-01-18,38.8,38.9,38.05,38.5,67537952.65
2019-01-21,38.9,39.65,38.25,38.6,91282375.95
2019-01-22,38.65,38.9,38.15,38.75,38124220.9
2019-01-23,38.9,39.1,38.55,38.7,42609854.3
2019-01-24,39.15,39.2,38.6,39.1,33317990.0
2019-01-25,39.5,40.0,37.9,39.1,91459819.1
2019-01-28,39.5,39.9,38.65,39.6,75018666.7
2019-01-29,39.5,40.5,39.05,40.4,63229998.65
2019-01-30,40.9,41.7,40.4,41.3,54721821.25
2019-01-31,41.7,41.7,40.75,41.0,27723387.15
2019-02-01,40.95,40.95,38.65,39.2,27479863.75
2019-02-04,39.35,39.35,38.0,38.55,16360633.75
2019-02-05,38.5,40.25,38.35,39.05,26488789.7
2019-02-06,39.3,39.5,38.3,38.7,22935363.2
2019-02-07,38.85,39.4,38.5,39.25,13778327.95
2019-02-08,39.3,39.3,38.75,39.2,9188718.6
2019-02-11,39.0,39.15,38.05,38.5,13503511.1
2019-02-12,38.5,38.85,38.0,38.2,9004019.45
2019-02-13,38.15,40.25,38.15,39.6,87117035.95
2019-02-14,39.6,40.0,39.1,39.8,23854242.95
2019-02-15,39.8,39.8,39.2,39.45,16105320.35
2019-02-18,39.5,39.55,38.45,38.75,22354045.75
2019-02-19,38.8,39.3,38.5,39.1,7401327.15
2019-02-20,38.95,40.0,38.7,39.45,23107735.9
2019-02-21,40.0,40.0,39.3,39.4,27426239.0
2019-02-22,39.35,39.55,38.95,39.05,6524486.45
2019-02-25,39.4,39.4,37.8,38.15,30708182.7
2019-02-26,37.9,38.1,37.5,37.85,31572280.0
2019-02-27,38.25,38.75,38.0,38.5,32878442.5
2019-02-28,38.25,38.6,38.25,38.5,13712422.95
2019-03-01,38.35,39.3,38.35,39.1,23294431.6
2019-03-05,39.6,43.25,39.25,41.95,55232201.95
2019-03-06,43.75,50.3,43.75,49.4,485818407.5
2019-03-07,49.4,49.8,45.5,46.05,74178368.8
2019-03-08,45.75,47.0,45.2,45.7,43335818.7
2019-03-11,45.7,46.9,45.5,46.05,36803724.9
2019-03-12,46.65,46.9,45.8,46.2,36889049.3
2019-03-13,46.25,49.15,45.85,47.5,60250258.1
2019-03-14,47.5,48.15,46.6,46.8,23954309.8
2019-03-15,47.2,48.0,45.2,46.15,41332263.2
