date,open,high,low,close,volume
2018-01-01,178.55,191.8,178.55,191.8,1151862100.0
2018-01-02,197.3,208.7,194.2,204.55,3339277774.0
2018-01-03,206.35,213.5,204.05,207.15,1435357935.0
2018-01-04,208.2,208.8,201.1,202.75,654090289.5
2018-01-05,203.0,215.4,202.25,205.2,1433077104.0
2018-01-08,207.05,215.0,207.05,209.6,1187225314.0
2018-01-09,210.65,211.7,205.0,205.65,528657795.4
2018-01-10,206.3,208.65,200.6,203.0,386522356.3
2018-01-11,223.3,223.3,210.45,214.1,2636631026.0
2018-01-12,215.6,216.9,207.3,210.3,632709511.3
2018-01-15,211.4,214.4,208.45,209.5,486014173.6
2018-01-16,210.55,211.25,200.05,200.95,474521360.2
2018-01-17,200.3,200.75,188.4,195.9,443924855.7
2018-01-18,197.5,202.85,183.25,188.0,511631922.4
2018-01-19,188.4,191.3,184.05,187.65,339347072.5
2018-01-22,189.0,195.5,186.1,191.25,456784306.6
2018-01-23,192.3,194.2,186.5,188.4,326806672.2
2018-01-24,188.0,188.0,181.7,182.4,204714310.7
2018-01-25,183.0,187.8,179.35,182.1,241791201.9
2018-01-29,183.1,186.3,178.3,179.85,356882362.1
2018-01-30,179.4,179.65,171.05,172.05,197521688.8
2018-01-31,175.05,189.25,172.5,182.0,834714290.7
2018-02-01,180.5,185.85,173.5,179.5,404838710.8
2018-02-02,175.0,175.4,161.55,161.55,363829967.6
2018-02-05,151.1,165.5,146.6,161.45,431064094.0
2018-02-06,145.35,156.5,145.35,151.2,465759768.1
2018-02-07,155.75,158.6,152.1,153.2,307034728.2
2018-02-08,154.05,163.7,153.7,159.5,377531664.3
2018-02-09,154.0,164.5,152.5,161.5,383736694.7
2018-02-12,163.65,171.8,163.25,168.5,451402653.3
2018-02-14,170.5,177.15,170.4,171.35,445848031.3
2018-02-15,172.0,176.0,165.35,167.45,269081218.4
2018-02-16,169.3,170.4,160.1,162.8,202288236.7
2018-02-19,167.95,170.6,162.2,167.1,398186785.8
2018-02-20,168.0,168.25,161.5,162.4,198660563.3
2018-02-21,164.0,165.0,159.15,161.05,153234479.7
2018-02-22,159.0,161.4,156.5,158.7,205535724.1
2018-02-23,160.0,163.6,159.45,162.2,207002738.5
2018-02-26,163.7,166.3,163.1,164.95,201622058.7
2018-02-27,165.0,166.0,158.85,160.0,194785304.5
2018-02-28,158.0,159.15,155.8,157.75,152556126.4
2018-03-01,157.7,159.65,154.7,155.6,182467879.5
2018-03-05,154.0,154.0,148.5,149.75,158607101.8
2018-03-06,151.0,152.75,141.0,141.85,201553929.1
2018-03-07,140.85,141.0,131.55,134.95,258098430.4
2018-03-08,137.8,138.8,129.0,133.5,242473281.6
2018-03-09,135.0,135.3,127.7,128.7,218663908.1
2018-03-12,130.9,131.85,123.2,128.85,221355337.8
2018-03-13,128.85,134.9,128.1,131.2,265626479.3
2018-03-14,130.25,144.3,129.0,141.35,417309559.7
2018-03-15,143.0,154.25,142.85,150.85,948040276.7
2018-03-16,151.6,154.0,146.35,147.2,340738443.9
2018-03-19,147.7,148.0,138.65,140.05,212439635.9
2018-03-20,138.2,142.4,136.2,139.05,214527303.0
2018-03-21,140.65,145.5,139.8,141.45,191451139.4
2018-03-22,142.0,143.35,136.3,137.05,154160182.5
2018-03-23,131.1,132.8,127.25,128.35,194256529.9
2018-03-26,127.9,136.9,127.15,135.05,263315322.2
2018-03-27,137.0,140.2,136.1,137.45,189782012.6
2018-03-28,135.8,139.6,131.1,133.7,213119070.8
2018-04-02,135.0,147.05,135.0,147.05,383729139.9
2018-04-03,145.2,152.3,144.5,148.9,461642357.7
2018-04-04,149.35,153.0,141.55,143.45,362492702.8
2018-04-05,146.8,152.0,146.5,149.05,276337297.3
2018-04-06,151.7,164.65,150.5,159.85,1098712560.0
2018-04-09,159.7,163.85,158.1,160.9,395426818.3
2018-04-10,161.95,162.2,155.4,157.2,249321038.2
2018-04-11,157.9,160.7,154.7,157.9,305690297.1
2018-04-12,157.6,157.7,152.6,154.65,229054342.3
2018-04-13,155.0,157.9,151.35,153.15,217512787.9
2018-04-16,150.85,164.4,149.3,162.9,727069613.7
2018-04-17,162.7,168.6,160.15,166.55,689029790.6
2018-04-18,167.8,170.6,161.35,163.65,578560236.7
2018-04-19,164.8,166.2,161.65,163.2,285473745.2
2018-04-20,162.4,162.4,157.5,159.2,224587274.5
2018-04-23,158.65,163.5,157.3,160.85,312010769.5
2018-04-24,161.7,166.7,159.15,165.45,513359311.9
2018-04-25,163.55,166.7,159.1,160.3,511293276.4
2018-04-26,160.5,161.7,157.0,159.15,198813989.0
2018-04-27,159.55,162.05,156.85,157.75,178950189.2
2018-04-30,158.45,161.35,157.25,158.95,166731385.5
2018-05-02,159.4,162.0,152.8,154.95,222098093.0
2018-05-03,153.1,154.25,148.35,149.25,145567801.5
2018-05-04,148.0,151.7,146.5,148.25,158303381.9
2018-05-07,149.05,152.45,147.5,150.05,158560711.8
2018-05-08,150.7,153.3,147.6,148.8,150505106.1
2018-05-09,148.0,151.25,147.3,148.3,114641099.1
2018-05-10,148.7,149.4,142.5,143.25,114538887.8
2018-05-11,143.65,144.5,140.75,141.9,90179497.45
2018-05-14,141.9,142.35,134.05,135.0,106502383.6
2018-05-15,133.9,142.0,130.65,137.55,175372288.0
2018-05-16,135.1,137.8,132.45,134.4,108917206.5
2018-05-17,134.8,143.15,133.6,139.9,252939359.2
2018-05-18,140.1,140.85,132.05,133.25,134486287.7
2018-05-21,133.0,135.3,128.45,130.3,96341829.1
2018-05-22,129.0,133.4,129.0,131.95,90737374.05
2018-05-23,132.5,135.75,130.75,131.5,126215545.4
2018-05-24,132.4,133.35,128.2,130.9,89304703.25
2018-05-25,131.2,134.25,129.25,132.2,120359423.7
2018-05-28,133.75,137.9,133.05,135.7,147088985.4
2018-05-29,136.0,143.9,135.15,138.8,280680959.0
2018-05-30,136.6,139.8,135.4,137.05,126604261.3
2018-05-31,138.0,139.4,132.5,135.25,116291258.9
2018-06-01,135.25,135.85,128.95,130.75,103094557.8
2018-06-04,131.5,131.8,122.85,124.45,97212658.8
2018-06-05,125.0,125.0,115.8,118.25,153567722.1
2018-06-06,117.4,121.7,114.0,120.7,190138850.7
2018-06-07,121.7,126.45,120.6,125.35,151682716.1
2018-06-08,124.2,125.7,122.3,124.4,104324767.1
2018-06-11,124.65,149.25,124.1,148.35,1620542217.0
2018-06-12,149.0,155.65,145.05,149.2,1357985719.0
2018-06-13,148.95,158.85,146.3,150.9,1186254449.0
2018-06-14,150.95,156.7,149.55,153.05,486254060.8
2018-06-15,153.3,155.8,149.3,150.3,251398414.3
2018-06-18,149.4,150.45,143.6,144.65,151070441.5
2018-06-19,143.0,145.15,137.45,138.05,225303555.2
2018-06-20,139.0,158.85,136.25,155.15,2044013462.0
2018-06-21,153.9,160.8,152.0,155.2,1478800441.0
2018-06-22,155.0,158.4,151.5,153.5,569200410.0
2018-06-25,152.3,154.5,147.7,148.85,220024206.9
2018-06-26,148.0,148.6,143.0,143.8,230379566.4
2018-06-27,144.05,153.8,142.05,144.65,882895924.8
2018-06-28,143.5,148.45,140.0,141.95,303653530.0
2018-06-29,143.35,147.45,142.6,144.9,303613450.0
2018-07-02,145.55,146.7,139.2,141.15,168989657.1
2018-07-03,141.1,145.9,139.4,143.0,272865773.7
2018-07-04,144.15,145.8,142.0,143.85,224108686.8
2018-07-05,144.0,146.9,142.2,142.8,223502383.0
2018-07-06,142.25,147.6,141.5,142.65,254685716.1
2018-07-09,145.0,155.45,145.0,151.2,776659780.3
2018-07-10,152.4,155.45,151.5,153.25,309669525.1
2018-07-11,151.95,153.4,146.85,148.75,211211137.1
2018-07-12,149.85,156.4,149.5,151.05,449909273.1
2018-07-13,151.9,151.9,145.1,146.45,162228915.7
2018-07-16,146.25,146.4,140.0,140.5,142018210.6
2018-07-17,140.0,147.35,138.8,144.0,207232014.9
2018-07-18,145.2,145.85,139.75,140.85,147080394.5
2018-07-19,140.65,142.7,135.6,138.2,168455480.6
2018-07-20,137.7,142.0,136.5,139.85,134496532.4
2018-07-23,139.35,143.5,138.45,141.25,141168729.3
2018-07-24,141.5,148.7,141.5,144.45,252232893.9
2018-07-25,145.5,146.8,143.2,143.95,161918548.7
2018-07-26,144.1,145.9,141.9,143.0,120512835.4
2018-07-27,143.8,151.35,143.25,148.55,427900337.8
2018-07-30,149.4,152.9,147.6,150.75,281223316.3
2018-07-31,150.4,163.9,149.85,159.1,1217039041.0
2018-08-01,159.9,163.9,156.55,159.5,429468980.8
2018-08-02,159.0,161.0,155.8,157.2,334098678.4
2018-08-03,158.6,165.8,158.3,161.7,509503197.5
2018-08-06,163.0,165.0,160.55,162.6,262391255.4
2018-08-07,162.6,163.5,157.8,158.65,181177413.9
2018-08-08,159.0,162.15,156.55,159.0,245935855.5
2018-08-09,159.6,169.2,158.5,165.95,579605186.3
2018-08-10,165.5,167.4,158.55,160.15,273493229.4
2018-08-13,157.5,159.6,156.1,157.3,170021919.1
2018-08-14,160.0,161.8,154.8,157.65,274656257.3
2018-08-16,155.9,156.8,152.0,153.8,171694524.7
2018-08-17,154.05,157.7,153.0,153.95,133730600.3
2018-08-20,154.2,161.7,154.2,157.55,363791615.7
2018-08-21,157.0,158.65,154.6,155.1,145374273.5
2018-08-23,155.3,156.7,151.8,154.2,197774310.1
2018-08-24,153.5,156.0,150.0,150.7,181590173.2
2018-08-27,152.0,156.4,151.6,154.75,228310606.4
2018-08-28,154.0,160.8,153.75,156.1,508769474.7
2018-08-29,155.8,159.0,154.05,154.7,208968363.5
2018-08-30,154.35,161.9,153.35,158.0,458536186.5
2018-08-31,158.1,173.95,158.0,167.45,2037147647.0
2018-09-03,166.85,172.3,165.15,166.2,637651682.0
2018-09-04,167.0,167.55,156.4,157.35,285713899.4
2018-09-05,156.95,158.0,150.6,153.6,196497038.6
2018-09-06,155.0,157.35,152.3,154.45,202025887.1
2018-09-07,155.0,157.7,153.1,156.25,190187746.2
2018-09-10,157.5,159.9,155.2,156.05,276956731.5
2018-09-11,156.6,162.5,153.3,154.65,433997455.9
2018-09-12,155.4,155.45,146.55,151.2,242267685.7
2018-09-14,152.25,155.45,152.25,153.2,166585617.8
2018-09-17,151.75,153.2,149.2,150.85,130010458.3
2018-09-18,150.9,153.0,145.6,146.45,134418895.2
2018-09-19,147.45,149.75,143.0,144.9,189198235.2
2018-09-21,146.3,147.1,116.6,131.75,249709446.8
2018-09-24,131.75,132.45,120.8,123.15,159353087.6
2018-09-25,123.0,123.5,109.9,118.1,240594221.7
2018-09-26,119.85,122.0,117.7,120.45,162180380.8
2018-09-27,121.1,124.25,116.3,119.3,140112660.4
2018-09-28,119.5,120.85,110.0,113.35,182966304.6
2018-10-01,111.95,112.95,92.9,106.05,161526044.2
2018-10-03,105.3,111.9,103.35,107.6,177664447.5
2018-10-04,103.35,107.0,101.7,104.8,100340187.6
2018-10-05,104.2,106.55,98.85,100.55,93635765.2
2018-10-08,100.2,102.6,91.0,93.35,142805205.3
2018-10-09,94.0,97.45,90.0,93.6,115721392.6
2018-10-10,94.1,100.4,93.75,99.1,156396842.2
2018-10-11,94.0,97.7,92.2,95.65,100215853.4
2018-10-12,99.4,111.7,99.3,108.3,485853413.5
2018-10-15,109.0,113.45,107.1,110.7,195923699.9
2018-10-16,110.9,115.2,110.55,112.35,170170202.9
2018-10-17,114.3,114.45,106.05,107.1,159702549.7
2018-10-19,103.6,106.9,102.25,104.0,88455945.8
2018-10-22,105.15,107.2,99.3,100.05,80928816.55
2018-10-23,98.0,100.8,96.3,98.3,66285771.55
2018-10-24,100.25,102.2,98.0,99.9,79672268.35
2018-10-25,97.4,99.3,95.6,97.6,58377543.2
2018-10-26,98.05,99.35,95.65,96.65,66562409.75
2018-10-29,98.0,101.3,97.05,100.55,102963405.5
2018-10-30,100.75,104.35,100.1,102.25,106090719.6
2018-10-31,103.0,104.4,100.35,103.25,87244913.65
2018-11-01,104.15,109.0,103.55,106.9,178467242.5
2018-11-02,107.9,112.2,107.0,108.6,169797003.1
2018-11-05,108.0,109.65,105.6,106.75,76953357.55
2018-11-06,107.55,119.9,107.35,116.45,607187663.0
2018-11-07,116.95,117.35,114.75,115.35,45408056.7
2018-11-09,115.55,119.2,113.1,115.3,160539094.5
2018-11-12,115.5,121.4,115.3,119.2,346675438.7
2018-11-13,117.5,119.7,114.7,117.75,185208598.5
2018-11-14,118.2,119.4,115.05,115.9,135775600.1
2018-11-15,115.55,116.3,108.8,110.05,128086915.7
2018-11-16,110.0,118.0,108.15,115.85,268657882.0
2018-11-19,115.5,117.25,113.15,114.3,137684956.7
2018-11-20,112.8,114.65,110.65,111.55,72591153.35
2018-11-21,111.5,113.3,110.2,111.45,79442529.8
2018-11-22,111.5,113.25,108.25,109.15,92664005.55
2018-11-26,109.9,110.5,105.8,106.55,63458559.8
2018-11-27,106.9,108.25,105.65,106.2,58957985.25
2018-11-28,106.1,109.25,105.15,105.8,96000765.45
2018-11-29,106.95,107.85,104.45,105.6,62549506.85
2018-11-30,105.85,109.45,104.9,105.7,114918496.9
2018-12-03,106.7,107.8,105.6,106.4,63583574.5
2018-12-04,106.35,107.5,105.5,105.95,48830563.1
2018-12-05,105.55,105.6,101.5,102.3,58134755.4
2018-12-06,100.0,101.0,97.6,98.2,56937356.7
2018-12-07,99.7,101.0,97.05,97.65,61532268.2
2018-12-10,95.4,95.85,93.0,93.7,39275101.0
