date,open,high,low,close,volume
2018-01-01,147.8,149.7,145.55,146.85,125621452.1
2018-01-02,147.5,148.05,143.7,144.65,128182462.8
2018-01-03,145.0,150.5,145.0,148.8,165903863.4
2018-01-04,149.0,152.5,148.0,150.6,290481450.7
2018-01-05,150.9,156.5,150.6,154.9,500977712.8
2018-01-08,157.0,159.6,156.0,158.15,298216257.2
2018-01-09,159.0,170.9,158.0,168.45,1316708855.0
2018-01-10,168.45,169.9,162.45,168.75,435550892.9
2018-01-11,169.35,173.0,165.5,169.6,371914235.4
2018-01-12,170.0,179.4,168.85,176.75,917177482.4
2018-01-15,176.6,181.9,176.05,177.1,423014467.2
2018-01-16,175.6,176.0,166.65,173.75,325047952.5
2018-01-17,172.1,180.8,169.0,179.7,548052367.2
2018-01-18,180.0,183.3,172.5,175.35,472621125.5
2018-01-19,176.0,182.8,174.2,179.7,381941315.2
2018-01-22,180.1,182.65,177.0,177.85,171771669.7
2018-01-23,177.6,179.75,177.0,178.1,281376320.4
2018-01-24,177.3,178.0,171.2,176.75,243858776.0
2018-01-25,175.85,183.35,175.0,179.65,346845226.9
2018-01-29,179.0,181.3,174.5,176.9,100418704.2
2018-01-30,175.0,177.55,170.2,176.1,167915900.9
2018-01-31,175.0,179.5,172.6,175.15,122496844.2
2018-02-01,175.75,192.45,174.1,187.95,943866880.4
2018-02-02,184.7,186.5,172.5,173.9,567793885.6
2018-02-05,170.0,179.25,168.0,174.6,217409191.7
2018-02-06,158.2,172.75,157.6,167.2,232509934.8
2018-02-07,170.45,176.0,170.0,171.65,128465275.9
2018-02-08,172.15,178.7,172.15,176.7,216754218.9
2018-02-09,171.6,180.6,171.6,177.25,155918881.3
2018-02-12,180.0,193.0,180.0,190.3,818347937.2
2018-02-14,185.0,185.0,174.1,175.75,660789323.7
2018-02-15,175.0,178.15,171.25,172.65,243309931.1
2018-02-16,173.7,174.85,163.0,164.65,154087213.9
2018-02-19,165.8,165.8,158.35,160.15,179526533.5
2018-02-20,162.0,163.15,157.05,157.75,173248744.3
2018-02-21,158.1,158.9,151.7,152.85,225015522.8
2018-02-22,152.8,154.5,150.35,151.2,133622083.5
2018-02-23,151.95,155.85,151.5,153.15,168959854.0
2018-02-26,153.75,155.95,147.2,149.35,216064890.7
2018-02-27,150.4,151.9,146.0,147.55,240676918.6
2018-02-28,148.35,151.9,146.55,150.5,240417919.9
2018-03-01,152.0,155.2,150.55,153.3,198765430.0
2018-03-05,154.9,158.0,153.4,157.0,284901643.6
2018-03-06,158.3,159.85,154.15,155.7,137702507.7
2018-03-07,155.6,155.7,150.25,152.6,121116639.9
2018-03-08,153.65,154.8,147.55,153.95,142668329.3
2018-03-09,154.6,156.8,152.0,153.4,136064028.7
2018-03-12,155.0,155.95,151.8,153.75,70698482.8
2018-03-13,153.9,156.95,153.65,155.35,135939428.9
2018-03-14,154.5,155.0,152.9,153.75,58675848.7
2018-03-15,153.95,156.8,153.8,155.2,74010438.25
2018-03-16,155.65,155.65,151.2,152.5,55281845.75
2018-03-19,153.4,153.55,148.85,149.7,85734924.55
2018-03-20,149.5,151.4,148.25,150.1,57800234.6
2018-03-21,151.25,152.8,148.15,149.05,80440913.85
2018-03-22,149.25,150.25,145.5,146.35,81196591.55
2018-03-23,143.9,144.6,141.2,143.35,64788599.55
2018-03-26,145.0,149.5,142.3,149.0,128270165.8
2018-03-27,151.0,158.3,149.25,157.35,196511705.8
2018-03-28,157.0,166.8,154.55,162.95,245460164.9
2018-04-02,162.95,167.4,157.0,160.15,195537332.5
2018-04-03,159.8,164.4,157.95,160.55,304443467.5
2018-04-04,161.8,164.25,156.4,158.5,150470140.4
2018-04-05,161.0,165.3,160.6,162.8,202978028.7
2018-04-06,163.0,166.2,160.05,163.7,236244172.6
2018-04-09,164.95,164.95,162.5,163.4,95746838.05
2018-04-10,163.3,164.55,162.35,163.5,73689178.1
2018-04-11,163.4,164.9,161.1,161.95,76873255.25
2018-04-12,161.5,168.4,160.15,163.15,378368259.6
2018-04-13,163.0,165.9,161.5,162.6,150385601.4
2018-04-16,161.95,166.0,160.55,164.6,187169698.4
2018-04-17,164.5,170.6,163.9,167.15,344889655.1
2018-04-18,168.15,168.65,163.0,163.8,100023995.3
2018-04-19,164.0,165.1,162.05,162.85,162287597.3
2018-04-20,162.55,163.1,161.05,161.55,128654034.3
2018-04-23,161.0,161.4,158.55,159.15,189525611.5
2018-04-24,159.9,160.55,150.0,151.8,218519953.0
2018-04-25,152.8,153.75,147.7,149.1,118536227.9
2018-04-26,148.4,151.95,148.4,149.65,71830694.3
2018-04-27,149.6,154.8,149.55,153.55,128360871.2
2018-04-30,156.9,158.05,154.55,156.4,147006574.5
2018-05-02,158.05,160.95,154.45,155.6,307404707.9
2018-05-03,155.0,155.0,151.55,152.4,80947640.5
2018-05-04,152.6,153.3,149.6,151.1,90395285.7
2018-05-07,152.75,153.4,151.1,152.3,97646447.1
2018-05-08,152.95,152.95,148.85,149.75,60259797.05
2018-05-09,149.75,151.8,147.8,148.55,74744361.3
2018-05-10,148.75,150.6,144.6,145.25,83497796.25
2018-05-11,146.35,147.0,145.1,146.15,61899621.2
2018-05-14,149.0,149.0,145.0,146.25,58522222.3
2018-05-15,146.1,147.9,143.45,144.3,57737377.55
2018-05-16,142.0,145.2,141.15,143.35,76531259.8
2018-05-17,145.0,145.95,143.4,144.4,71549376.7
2018-05-18,150.4,155.7,146.55,147.9,635966862.5
2018-05-21,147.5,148.35,139.6,140.4,118512594.1
2018-05-22,141.0,141.35,135.05,135.5,164642946.0
2018-05-23,136.5,139.0,135.0,135.2,122917861.2
2018-05-24,136.4,136.4,132.3,133.85,114578652.1
2018-05-25,134.0,135.5,131.5,132.45,196871562.4
2018-05-28,134.0,137.6,133.25,134.9,161445730.3
2018-05-29,135.65,137.1,134.05,135.1,85523353.0
2018-05-30,134.35,136.85,133.5,135.9,112197128.4
2018-05-31,136.75,136.9,133.1,134.3,63123639.8
2018-06-01,134.3,134.7,130.7,131.35,74344349.95
2018-06-04,132.2,132.35,126.85,127.45,93720365.45
2018-06-05,127.95,127.95,121.0,122.35,145318953.4
2018-06-06,123.0,123.1,118.5,121.0,205240301.7
2018-06-07,121.75,125.45,121.7,123.5,133367339.7
2018-06-08,124.0,125.35,122.5,124.7,125560142.4
2018-06-11,125.0,129.85,124.8,128.0,185208234.2
2018-06-12,129.3,130.0,128.1,128.85,74197823.45
2018-06-13,129.0,132.0,128.3,129.75,148278262.0
2018-06-14,129.25,129.8,128.2,129.3,49511063.05
2018-06-15,129.6,130.7,127.3,128.5,65919432.55
2018-06-18,129.45,131.0,127.8,129.35,70938436.3
2018-06-19,129.0,129.3,126.85,127.5,39943314.05
2018-06-20,127.5,128.4,124.4,126.25,56837966.85
2018-06-21,126.55,128.45,125.0,126.1,79084814.4
2018-06-22,125.6,126.45,124.55,125.25,62584360.45
2018-06-25,125.0,125.7,121.8,123.15,48377334.9
2018-06-26,122.5,126.5,121.0,125.9,114692026.3
2018-06-27,125.85,125.85,120.1,121.0,62415714.3
2018-06-28,120.7,123.4,117.65,121.0,80966055.9
2018-06-29,121.8,123.6,121.15,121.85,54515774.1
2018-07-02,121.8,122.9,117.0,117.8,65177491.45
2018-07-03,117.6,119.45,116.1,118.3,44551021.35
2018-07-04,118.6,121.7,117.0,121.0,88478598.3
2018-07-05,121.1,123.85,121.1,122.35,103401490.4
2018-07-06,122.35,124.6,121.5,123.2,132996340.5
2018-07-09,124.6,127.5,123.65,126.0,131323767.9
2018-07-10,127.1,129.95,126.55,129.65,165759024.8
2018-07-11,128.7,131.2,127.05,129.9,112506364.2
2018-07-12,132.5,134.75,131.0,131.9,272810623.8
2018-07-13,131.0,131.15,128.0,130.0,80671476.05
2018-07-16,129.8,130.25,124.6,126.15,129707321.3
