date,open,high,low,close,volume
2018-01-01,104.5,109.0,104.5,105.75,25839036.05
2018-01-02,106.0,109.0,105.0,106.95,34589680.7
2018-01-03,107.85,109.9,106.65,107.0,39994591.45
2018-01-04,107.7,124.9,107.5,123.0,421125885.2
2018-01-05,124.15,126.75,119.25,121.55,163179775.4
2018-01-08,122.5,132.75,121.6,126.05,261828474.5
2018-01-09,127.2,128.45,122.15,123.55,77192209.2
2018-01-10,124.0,126.25,122.1,123.5,52477598.25
2018-01-11,124.0,128.8,123.0,125.15,79993260.1
2018-01-12,126.2,127.75,121.25,122.25,47652915.35
2018-01-15,122.2,125.9,121.05,122.05,45723315.05
2018-01-16,123.0,123.3,113.15,116.8,83977096.25
2018-01-17,114.65,118.8,112.0,116.6,57587968.05
2018-01-18,117.8,123.3,112.7,114.1,81454847.85
2018-01-19,115.15,117.45,113.15,114.0,37403863.25
2018-01-22,115.2,119.9,114.05,115.9,49683843.85
2018-01-23,116.5,122.3,115.9,120.95,79392071.7
2018-01-24,121.5,121.9,116.1,118.6,43581233.0
2018-01-25,119.05,119.9,114.35,115.2,35789252.4
2018-01-29,116.5,116.65,113.8,114.25,14738838.65
2018-01-30,113.0,114.7,109.7,112.05,36400453.7
2018-01-31,112.05,114.8,110.5,112.1,20186280.1
2018-02-01,112.15,112.95,107.5,109.35,22132677.25
2018-02-02,109.8,109.8,100.05,102.2,41844223.25
2018-02-05,99.7,102.8,95.2,101.3,69916949.45
2018-02-06,97.3,105.7,91.0,100.0,45782983.15
2018-02-07,101.2,105.0,99.7,100.35,28012323.2
2018-02-08,101.0,105.5,100.0,104.6,49131177.1
2018-02-09,103.25,105.0,100.2,103.9,49740460.9
2018-02-12,105.8,119.5,105.0,114.2,127327446.3
2018-02-14,116.8,124.0,116.75,122.4,280060197.8
2018-02-15,123.9,124.8,112.5,114.15,95723947.45
2018-02-16,114.85,117.85,106.5,108.55,60053166.15
2018-02-19,109.0,109.75,102.6,104.0,57712452.05
2018-02-20,103.8,105.0,101.35,102.75,46259792.7
2018-02-21,103.65,104.45,100.65,100.95,39212145.7
2018-02-22,100.65,101.25,97.95,100.4,47103118.15
2018-02-23,100.9,104.4,100.45,101.95,80504648.15
2018-02-26,105.0,106.4,104.0,105.25,44434173.3
2018-02-27,105.8,106.55,102.5,103.0,53958537.95
2018-02-28,102.5,103.5,100.5,101.1,44813202.5
2018-03-01,101.95,103.0,99.6,100.2,37076759.55
2018-03-05,100.5,100.5,95.1,96.1,43804842.15
2018-03-06,97.2,99.6,94.15,94.75,28193262.4
2018-03-07,94.55,94.55,88.15,89.35,52728122.8
2018-03-08,90.0,91.5,85.15,88.45,52293132.55
2018-03-09,88.7,89.55,84.65,85.55,22834211.1
2018-03-12,86.7,87.7,83.1,85.3,19808759.3
2018-03-13,84.5,89.75,83.0,87.65,45151235.85
2018-03-14,86.25,88.75,86.25,87.55,29299620.65
2018-03-15,87.55,91.4,86.2,90.2,32840066.7
2018-03-16,90.2,93.0,90.0,90.75,23972663.15
2018-03-19,90.8,91.0,86.1,86.8,17169883.2
2018-03-20,86.0,89.4,85.0,88.65,25226599.9
2018-03-21,89.45,91.8,88.65,89.0,17667261.0
2018-03-22,89.65,89.8,85.0,85.7,22753375.1
2018-03-23,82.9,82.9,79.25,80.1,64353923.75
2018-03-26,79.3,80.7,74.3,74.95,66061376.1
2018-03-27,76.5,80.55,76.5,78.45,48511339.0
2018-03-28,77.25,80.5,77.25,78.55,28604572.35
2018-04-02,80.6,84.3,79.0,84.0,34172944.45
2018-04-03,83.85,89.85,82.0,88.4,55463613.5
2018-04-04,89.6,94.1,87.7,89.0,57676756.35
2018-04-05,93.0,93.55,91.25,92.6,35481656.6
2018-04-06,93.2,93.2,89.0,91.8,30614979.85
2018-04-09,92.8,93.0,89.9,90.3,25526025.4
2018-04-10,91.2,91.65,88.6,89.5,24789537.35
2018-04-11,90.0,90.95,88.7,89.55,48172117.8
2018-04-12,89.9,92.0,88.8,91.45,32753248.6
2018-04-13,92.0,92.5,91.0,91.7,19118220.05
2018-04-16,90.2,92.4,89.7,91.9,19893129.05
2018-04-17,91.9,97.9,91.5,96.6,63135656.35
2018-04-18,97.2,105.0,97.2,101.05,160318330.9
2018-04-19,101.35,107.25,100.05,104.15,97466384.45
2018-04-20,103.4,105.8,102.45,105.15,41928099.7
2018-04-23,105.15,107.4,105.0,105.6,50045038.85
