date,open,high,low,close,volume
2018-01-01,92.6,94.2,90.25,91.05,1026097624.0
2018-01-02,91.35,92.0,88.6,89.85,845166058.8
2018-01-03,90.2,91.6,89.85,90.3,526505146.7
2018-01-04,90.5,91.9,89.4,91.05,498965846.5
2018-01-05,91.7,92.6,91.1,91.6,477650174.4
2018-01-08,91.95,93.0,91.1,91.45,327805411.4
2018-01-09,91.95,91.95,88.3,89.4,583012600.9
2018-01-10,89.4,92.8,87.95,91.7,710742908.7
2018-01-11,93.2,96.4,92.95,95.3,1930278017.0
2018-01-12,96.4,97.5,94.0,94.85,865556700.7
2018-01-15,95.0,96.6,93.8,95.6,610703277.5
2018-01-16,95.35,95.35,91.0,92.0,1185367641.0
2018-01-17,91.0,95.2,89.45,94.6,827752489.0
2018-01-18,95.0,95.3,89.0,89.3,1104627108.0
2018-01-19,89.5,92.7,89.3,91.7,571788408.7
2018-01-22,91.7,92.05,88.25,88.7,578079635.8
2018-01-23,88.7,91.8,88.4,90.6,706606621.4
2018-01-24,90.8,91.7,89.15,89.55,768885393.5
2018-01-25,89.7,92.1,86.25,87.2,2575731223.0
2018-01-29,87.85,87.95,85.2,86.1,309635337.9
2018-01-30,85.35,87.7,84.35,87.3,331426534.9
2018-01-31,86.5,88.75,86.4,87.6,522800528.4
2018-02-01,87.45,89.6,83.3,87.35,339937678.6
2018-02-02,85.4,88.25,79.55,84.05,581627336.4
2018-02-05,82.1,85.45,81.0,85.15,292951202.6
2018-02-06,80.0,84.45,78.55,82.75,415774720.3
2018-02-07,84.3,84.9,80.9,81.9,263316299.3
2018-02-08,81.55,85.5,81.4,82.6,265902579.6
2018-02-09,81.0,83.2,80.1,82.5,202510178.1
2018-02-12,82.9,84.4,82.2,82.55,203916032.7
2018-02-14,83.05,83.45,81.5,82.05,155909881.9
2018-02-15,82.75,83.0,80.0,80.45,125778397.9
2018-02-16,80.9,81.3,78.7,80.1,132063007.9
2018-02-19,80.8,81.2,78.5,79.0,160616204.3
2018-02-20,80.55,81.0,79.35,79.9,262567296.0
2018-02-21,80.8,80.95,79.0,79.3,86455878.3
2018-02-22,78.7,79.45,78.65,79.1,67715943.0
2018-02-23,79.15,82.45,78.9,82.0,167685641.8
2018-02-26,82.0,82.55,80.9,81.95,91129543.45
2018-02-27,81.95,82.7,80.45,81.35,104137966.1
2018-02-28,81.0,81.45,80.0,80.7,153241107.3
2018-03-01,80.55,81.6,80.15,80.65,70241828.35
2018-03-05,80.2,80.95,78.75,79.55,84972945.15
2018-03-06,81.4,81.85,78.7,79.1,145433167.3
2018-03-07,78.8,79.5,77.4,77.8,196696499.6
2018-03-08,78.6,79.75,76.4,79.5,148552850.3
2018-03-09,80.1,80.5,78.65,78.8,85804147.85
2018-03-12,79.4,79.75,77.15,77.5,240978050.7
2018-03-13,76.5,80.5,76.4,79.85,199182980.4
2018-03-14,79.7,80.0,76.75,78.85,138993901.1
2018-03-15,78.5,79.9,78.1,78.95,79718750.55
2018-03-16,79.0,81.65,77.4,77.9,190243452.0
2018-03-19,78.25,78.3,72.4,73.55,211870501.3
2018-03-20,72.75,75.95,72.65,75.35,172156206.8
2018-03-21,75.35,76.3,74.25,75.75,156604353.9
2018-03-22,75.75,75.95,73.35,73.9,100340680.7
2018-03-23,72.0,73.4,71.15,72.05,187641637.1
2018-03-26,71.45,74.0,69.65,73.2,150368288.3
2018-03-27,73.7,74.9,73.4,74.2,103062166.9
