date,open,high,low,close,volume
2018-01-01,113.6364,114.3636,111.3636,112.0909,98335281.45
2018-01-02,112.7273,113.5455,109.7727,110.6364,123318072.0
2018-01-03,110.9545,112.0,109.6364,110.0909,198894015.8
2018-01-04,110.8182,112.3636,110.0455,110.8636,130392543.3
2018-01-05,111.6818,113.1818,110.8636,111.6364,203257764.7
2018-01-08,112.3636,113.1818,110.9091,111.8636,335600943.3
2018-01-09,112.4091,113.5455,111.6364,112.6818,167864027.1
2018-01-10,113.1818,113.6364,111.3636,111.7727,126065308.5
2018-01-11,111.8636,113.1818,111.4545,111.9091,365253186.6
2018-01-12,111.8636,112.5,110.4545,111.4091,93848336.85
2018-01-15,110.9545,117.6818,110.9091,114.8636,350002923.8
2018-01-16,115.2727,115.7273,110.4545,111.0909,156486154.3
2018-01-17,112.2727,112.5455,106.0909,107.2727,385906199.4
2018-01-18,112.7273,113.3636,103.9545,104.4545,463064775.3
2018-01-19,104.5455,106.8182,103.6364,104.8636,267351598.9
2018-01-22,105.4545,108.1364,105.0455,107.2273,110286337.6
2018-01-23,108.9091,109.0,105.4545,106.2273,398809493.7
2018-01-24,106.8182,107.0,103.4091,103.8636,195269770.0
2018-01-25,104.3636,104.3636,100.6818,101.5455,304094661.6
2018-01-29,101.3636,103.1818,101.2273,101.6818,121057237.2
2018-01-30,101.8182,101.8182,98.3636,98.5455,170449524.5
2018-01-31,98.5909,101.6364,96.3636,100.8182,571345255.9
2018-02-01,101.5455,104.5455,100.0,103.8182,287830233.6
2018-02-02,101.8182,103.3636,100.6364,101.5455,236043197.6
2018-02-05,99.8182,102.7273,98.1818,102.1364,291985334.8
2018-02-06,100.0,101.8182,96.8182,100.4091,223259704.0
2018-02-07,103.6364,103.8636,101.2273,102.5909,121670943.4
2018-02-08,102.7273,103.9091,102.2727,102.7727,143514886.4
2018-02-09,101.8182,103.7727,101.5455,102.5909,79835605.25
2018-02-12,103.5909,105.1818,103.1818,104.1818,92849065.35
2018-02-14,104.9545,104.9545,102.4545,102.8182,74035777.6
2018-02-15,102.7273,102.9545,100.0909,100.5455,122677657.4
2018-02-16,100.8182,101.4091,99.5455,100.9545,100990494.8
2018-02-19,101.0,101.7273,98.3636,101.1818,111889414.2
2018-02-20,101.1818,101.4545,99.3636,100.9091,82612409.75
2018-02-21,101.3636,101.6364,99.6818,100.9545,87707539.05
2018-02-22,100.2273,100.7273,98.6364,99.1364,79410413.7
2018-02-23,99.6364,101.2727,99.0909,100.0909,96076456.55
2018-02-26,100.5455,100.7727,98.7273,100.5,89079507.6
2018-02-27,100.8182,100.8182,99.0,99.1364,123827011.5
2018-02-28,99.0909,99.5,97.3636,98.0,111567249.4
2018-03-01,98.4091,99.9091,97.5,98.3636,81260406.5
2018-03-05,99.0455,99.0455,96.0909,96.6364,80865367.9
2018-03-06,97.1818,97.7727,93.1364,93.6818,122013729.1
2018-03-07,93.1818,93.1818,90.0,90.8636,160192356.2
2018-03-08,91.0,92.3636,88.0,91.4091,130328333.6
2018-03-09,92.7273,92.7273,90.2273,91.1364,77764710.9
2018-03-12,91.7273,92.5,90.3636,91.1364,98728161.2
2018-03-13,91.0,93.2727,90.4545,92.8636,158011753.1
2018-03-14,92.6818,92.9545,90.9545,92.3636,91724192.65
2018-03-15,92.2727,94.0,91.4545,92.4545,116388884.9
2018-03-16,92.2727,92.7273,89.0909,89.5455,145749728.8
2018-03-19,90.2727,90.2727,87.3636,88.1364,109767932.9
2018-03-20,87.2727,91.7273,87.2727,90.9091,103237916.1
2018-03-21,91.7727,92.2273,89.5455,90.1818,60845701.6
2018-03-22,90.2273,91.0909,89.5909,90.8636,79475758.45
2018-03-23,89.9545,90.7273,88.4091,90.1364,100154335.7
2018-03-26,89.7727,90.1364,88.6364,89.1818,294235291.9
2018-03-27,89.8636,97.0455,89.8182,93.9545,164753409.8
2018-03-28,93.6364,93.6364,90.8182,91.3182,116253270.6
2018-04-02,92.0455,93.1364,91.2727,92.7727,53748725.7
2018-04-03,92.2727,95.8182,91.8182,95.1364,58729805.15
2018-04-04,95.4545,95.9091,92.4091,92.7727,64366053.7
2018-04-05,93.7727,94.7727,92.7273,93.4091,63514476.4
2018-04-06,93.9091,95.2727,93.0909,94.9545,42944829.9
2018-04-09,95.2727,95.2727,93.2273,93.5909,39808657.45
2018-04-10,94.3182,94.3636,93.0455,93.3636,176052709.6
2018-04-11,93.4091,95.3636,92.8636,94.6364,352829022.7
2018-04-12,94.3636,95.2727,94.0909,94.8636,43210397.55
2018-04-13,95.0,98.8636,94.9545,96.2273,147766771.4
2018-04-16,95.4545,96.8636,93.8636,95.1818,66105104.15
2018-04-17,95.0909,98.1364,95.0,96.5909,78130847.35
2018-04-18,97.5,97.5,95.9091,96.5,67831578.3
2018-04-19,95.8182,98.5455,95.8182,97.4545,71652162.5
2018-04-20,97.6364,97.6364,95.6364,96.8182,53719938.5
2018-04-23,96.0909,96.8182,94.3636,95.0,53412924.15
2018-04-24,95.0455,95.1818,93.0909,93.6818,86501412.6
2018-04-25,93.9545,93.9545,92.6364,93.5909,61277798.7
2018-04-26,93.4545,96.6818,92.7273,95.5909,293377987.7
2018-04-27,96.4545,99.3182,95.7273,98.0,120006996.9
2018-04-30,98.9091,99.7273,98.0,99.0,61919692.3
2018-05-02,100.0,100.0,95.2727,95.9545,279582474.3
2018-05-03,96.3182,96.3182,94.6364,95.2727,40598928.9
2018-05-04,95.2727,95.4545,93.9091,94.4545,50583362.25
2018-05-07,95.2273,97.1818,93.0909,95.8182,209620078.0
2018-05-08,96.6364,97.5,95.5909,96.7727,102883446.3
2018-05-09,97.1818,97.1818,94.1364,94.3636,338227871.1
2018-05-10,94.5,95.2727,88.9091,90.9091,369296713.0
2018-05-11,91.0,91.7727,90.1364,90.9545,70781303.0
2018-05-14,91.8182,92.3182,89.8636,90.4091,43532298.45
2018-05-15,90.0,91.8182,89.0,90.6818,55050673.2
2018-05-16,90.4545,91.3636,90.0455,90.5,134559225.9
2018-05-17,89.8182,91.1818,89.8182,90.4091,59066287.15
2018-05-18,90.5909,91.1818,90.0455,90.4091,76393139.7
2018-05-21,90.1818,91.0455,87.7727,88.3182,96192878.85
2018-05-22,88.5909,90.0,88.0909,89.0455,44983561.6
2018-05-23,89.4545,89.6364,89.0909,89.2273,37279800.35
2018-05-24,89.1364,89.4545,85.2727,86.5455,92961941.2
2018-05-25,85.8182,93.0909,85.1818,90.3182,661463679.7
2018-05-28,89.3182,91.6364,87.5909,90.2727,285763938.0
2018-05-29,89.8182,92.2727,89.1818,91.9545,95994062.4
2018-05-30,91.1818,95.1818,90.6364,94.4091,106421659.6
2018-05-31,94.4091,98.5455,94.4091,95.5455,196274224.6
2018-06-01,94.4545,97.5455,94.4545,96.1364,97925162.65
2018-06-04,95.6364,97.2727,94.5455,94.7727,184723677.7
2018-06-05,93.9091,94.2273,92.9545,93.6364,89081582.9
2018-06-06,94.0,94.4545,92.4545,94.0909,114856874.3
2018-06-07,94.5455,96.1364,94.5455,95.0,109959761.0
2018-06-08,94.5455,95.8182,94.0909,95.2727,27388109.05
2018-06-11,95.4545,97.0455,95.2727,96.1818,47155357.85
2018-06-12,96.3182,98.6818,96.0,98.0909,157135177.7
2018-06-13,98.2273,98.6364,96.8182,97.7273,56208579.15
