date,open,high,low,close,volume
2018-01-01,384.8,389.45,380.05,383.15,140658131.8
2018-01-02,386.1,386.5,373.5,381.4,138788565.6
2018-01-03,385.1,386.8,367.5,372.8,187730488.2
2018-01-04,375.0,377.0,370.5,372.75,135094273.6
2018-01-05,375.0,383.8,372.1,373.5,144015034.4
2018-01-08,376.1,382.0,371.05,379.05,142293840.3
2018-01-09,379.9,391.8,376.5,387.1,671132116.8
2018-01-10,391.0,392.0,378.35,380.8,179127028.6
2018-01-11,381.2,382.0,375.8,377.35,79180806.2
2018-01-12,380.0,386.8,372.05,376.7,237578808.4
2018-01-15,379.9,388.0,373.35,384.75,289372062.9
2018-01-16,387.35,387.35,371.0,373.5,160113866.2
2018-01-17,372.4,372.4,362.0,366.45,88133617.5
2018-01-18,370.05,373.0,357.5,362.05,182618495.0
2018-01-19,364.0,370.7,356.55,359.8,150754591.9
2018-01-22,361.0,364.45,355.35,357.5,73772827.3
2018-01-23,360.0,371.45,358.1,367.85,134731682.7
2018-01-24,369.95,372.0,359.0,369.0,98241101.75
2018-01-25,370.95,379.9,362.75,364.3,62186000.0
2018-01-29,362.0,364.55,345.55,352.55,154358936.0
2018-01-30,350.0,352.35,341.1,351.25,104051946.3
2018-01-31,350.0,357.9,343.9,351.55,89464872.55
2018-02-01,355.0,362.5,342.0,349.9,135881275.2
2018-02-02,336.0,349.8,327.45,340.2,146746586.8
2018-02-05,324.0,355.0,319.55,352.25,125099816.6
2018-02-06,331.1,358.7,330.45,347.6,290013067.2
2018-02-07,368.0,376.25,360.0,363.05,733506665.6
2018-02-08,368.9,368.9,352.0,355.0,321998183.3
2018-02-09,346.1,362.75,346.1,357.55,304408733.9
2018-02-12,363.0,364.65,356.2,363.0,158220062.3
2018-02-14,367.5,393.35,367.5,389.4,649558172.3
2018-02-15,392.3,408.0,381.35,391.9,581922347.0
2018-02-16,395.45,414.0,388.3,391.4,944833082.4
2018-02-19,394.0,398.3,372.15,377.45,314414812.0
2018-02-20,380.0,386.35,375.0,382.15,169443168.0
2018-02-21,388.0,394.9,378.75,392.65,345157669.5
2018-02-22,390.65,404.0,388.0,398.85,626565679.2
2018-02-23,398.75,406.55,395.15,401.25,701245813.0
2018-02-26,405.9,437.85,387.0,427.6,1256051302.0
2018-02-27,428.05,429.95,407.9,411.85,325567819.7
2018-02-28,403.0,420.0,400.1,415.25,349812665.2
2018-03-01,410.65,422.0,406.0,410.35,170003099.1
2018-03-05,409.0,422.5,407.35,418.25,332370535.0
2018-03-06,422.0,425.4,403.0,406.3,211131253.7
2018-03-07,405.0,414.45,400.1,405.4,264886107.3
2018-03-08,414.75,418.0,405.3,410.65,325649925.4
2018-03-09,414.5,415.45,398.0,401.65,188470069.8
2018-03-12,405.7,408.45,387.0,389.0,158103173.5
2018-03-13,390.95,397.95,388.4,394.7,190895342.3
2018-03-14,394.7,394.7,382.9,384.1,174066026.6
2018-03-15,384.0,394.8,378.5,392.75,390300309.1
