date,open,high,low,close,volume
2018-01-01,378.7,381.9,372.0,374.0,92621275.15
2018-01-02,384.8,384.8,370.0,373.6,77081726.35
2018-01-03,376.5,379.5,373.05,377.15,58897901.55
2018-01-04,377.2,379.8,354.5,377.15,64086105.15
2018-01-05,378.8,385.85,376.0,378.95,73087665.85
2018-01-08,382.0,383.9,376.75,379.75,59608465.1
2018-01-09,379.75,379.75,373.15,374.95,39122550.4
2018-01-10,374.95,378.3,372.0,374.65,39649455.3
2018-01-11,375.8,380.4,370.0,372.25,86939728.3
2018-01-12,400.05,421.0,400.05,406.45,993383553.1
2018-01-15,410.25,416.0,405.65,410.45,211078678.0
2018-01-16,412.0,414.8,395.0,399.2,153854180.7
2018-01-17,396.0,400.2,383.4,399.05,103979231.5
2018-01-18,403.65,404.55,381.55,386.7,81078632.75
2018-01-19,381.75,396.8,375.25,392.75,112058813.7
2018-01-22,394.85,400.85,388.2,396.55,116661948.2
2018-01-23,399.9,409.0,395.65,400.85,138810833.2
2018-01-24,403.0,407.7,386.0,398.9,164695098.5
2018-01-25,412.3,414.95,391.1,400.1,293241624.6
2018-01-29,406.5,406.5,387.0,388.8,126191451.8
2018-01-30,387.65,387.65,376.0,385.0,95208465.6
2018-01-31,382.0,390.0,376.0,386.8,90737135.3
2018-02-01,397.15,407.6,392.0,400.9,288858198.6
2018-02-02,396.0,396.0,371.15,373.5,211392010.1
2018-02-05,370.0,374.15,356.0,367.8,117731932.5
2018-02-06,350.0,359.95,331.1,351.85,114315606.2
2018-02-07,360.0,398.3,359.1,389.55,204767088.4
2018-02-08,389.55,397.6,385.0,388.3,133998109.8
2018-02-09,372.5,386.8,370.0,382.1,63155130.35
2018-02-12,385.5,395.0,383.0,389.6,74632773.8
2018-02-14,392.0,399.5,381.15,386.05,72953015.2
2018-02-15,388.0,392.85,378.1,381.0,73364531.55
2018-02-16,382.5,390.0,380.0,385.2,76531873.4
2018-02-19,384.15,387.6,370.5,374.9,53474507.25
2018-02-20,375.0,382.0,372.0,374.6,32129899.2
2018-02-21,378.0,378.2,362.5,366.6,66272682.1
2018-02-22,368.25,369.0,359.6,366.15,37223664.15
2018-02-23,370.0,377.9,367.55,373.4,57256032.9
2018-02-26,377.65,383.25,370.3,380.25,68909883.2
2018-02-27,382.55,389.0,382.0,385.0,58016186.65
2018-02-28,384.25,389.5,377.95,387.9,58367491.9
2018-03-01,385.0,391.8,382.05,384.3,34572103.5
2018-03-05,377.3,383.9,375.25,379.2,41885084.05
2018-03-06,382.0,383.0,367.0,370.25,34244229.7
2018-03-07,371.0,377.1,360.0,361.1,43169936.25
2018-03-08,371.65,372.05,345.25,357.5,81684618.55
2018-03-09,362.65,366.0,353.0,361.55,44533944.85
2018-03-12,367.0,368.1,361.0,364.55,37663725.95
2018-03-13,365.35,371.8,362.0,369.55,49945233.15
