date,open,high,low,close,volume
2018-01-01,368.95,370.55,362.15,364.9,76171044.5
2018-01-02,368.5,368.5,357.0,358.55,104645400.6
2018-01-03,361.5,363.85,354.75,357.45,78728819.1
2018-01-04,359.0,362.7,355.55,357.5,65357536.65
2018-01-05,358.0,374.5,358.0,372.7,280178627.3
2018-01-08,376.45,388.0,372.0,373.2,267865252.2
2018-01-09,375.0,377.9,366.9,372.55,106222386.9
2018-01-10,373.0,388.0,372.0,377.65,247033046.3
2018-01-11,380.0,383.45,375.0,376.4,113251823.8
2018-01-12,376.4,404.7,374.7,383.0,543328022.1
2018-01-15,386.9,392.5,381.0,383.3,170797854.8
2018-01-16,386.7,386.7,367.9,374.1,147047571.8
2018-01-17,373.0,386.3,358.45,378.4,139218891.1
2018-01-18,381.7,383.6,358.0,368.55,95630379.4
2018-01-19,369.3,376.95,366.4,372.75,79495799.3
2018-01-22,372.75,382.0,368.1,378.25,92323432.5
2018-01-23,380.8,388.0,370.0,372.5,107562222.2
2018-01-24,373.75,376.7,367.0,369.6,58728454.95
2018-01-25,374.95,378.0,366.15,372.95,90580798.4
2018-01-29,374.0,380.8,368.0,369.05,86013709.35
2018-01-30,370.1,371.8,355.0,359.35,41910996.75
2018-01-31,358.0,369.85,357.95,365.45,75184371.5
2018-02-01,369.85,379.2,355.0,368.8,127912424.5
2018-02-02,365.1,365.1,310.6,329.35,127377646.0
2018-02-05,319.85,322.15,303.05,315.45,86934182.8
2018-02-06,303.0,331.95,288.05,318.4,244049019.4
2018-02-07,328.15,329.0,322.0,324.55,75722509.45
2018-02-08,328.7,332.9,323.9,328.7,74755728.85
2018-02-09,318.0,334.0,316.0,326.55,74812670.55
2018-02-12,327.55,349.0,327.55,345.6,74971537.5
2018-02-14,350.65,380.5,350.6,367.35,247322618.6
2018-02-15,370.9,375.7,351.3,356.4,89097713.8
2018-02-16,357.0,362.0,342.2,344.6,59735524.5
2018-02-19,345.1,347.7,331.0,333.15,38814635.5
2018-02-20,336.0,346.45,331.55,338.65,43660706.25
2018-02-21,340.0,343.5,336.0,338.85,23728830.55
2018-02-22,333.2,338.85,328.0,330.75,21210103.7
2018-02-23,335.75,343.75,331.65,337.55,44236723.8
2018-02-26,338.5,368.8,338.5,363.75,166951333.5
2018-02-27,366.65,366.7,344.65,348.3,85197325.65
2018-02-28,342.1,353.0,339.05,349.0,49685804.1
2018-03-01,349.4,352.2,335.2,337.4,31287015.2
2018-03-05,336.0,338.7,325.1,330.6,36689492.85
2018-03-06,337.75,341.85,325.0,328.7,69027392.1
2018-03-07,326.0,330.95,318.0,319.55,48015290.15
2018-03-08,320.1,327.9,317.5,324.45,49720674.45
2018-03-09,326.5,331.75,319.1,320.65,42415291.55
2018-03-12,323.0,327.75,320.05,324.35,39758902.75
2018-03-13,324.0,333.4,320.0,327.75,46502711.8
2018-03-14,326.4,333.5,321.65,329.25,23486964.25
2018-03-15,332.25,341.9,325.35,338.0,81543851.3
2018-03-16,339.0,339.0,319.75,323.2,35228496.0
2018-03-19,321.05,325.9,310.75,314.25,44028848.9
2018-03-20,313.3,324.7,311.2,313.7,40219027.0
2018-03-21,316.4,328.45,311.25,313.6,87903093.6
2018-03-22,314.0,319.5,308.4,310.25,38137280.35
2018-03-23,304.9,304.9,290.35,294.9,38036847.3
2018-03-26,294.1,302.4,290.35,295.7,30549219.8
2018-03-27,298.7,309.5,297.15,306.2,54715250.5
2018-03-28,303.0,312.0,292.0,297.4,86105161.1
2018-04-02,298.0,309.0,298.0,305.7,28426932.15
2018-04-03,305.85,317.0,304.25,315.15,46244412.15
2018-04-04,316.0,328.6,309.25,312.45,95242989.2
2018-04-05,319.0,329.4,316.0,320.95,52590648.6
2018-04-06,324.0,333.65,324.0,326.3,77074347.75
2018-04-09,328.0,333.4,322.95,324.05,30987106.2
2018-04-10,325.9,331.4,323.0,324.0,28921743.7
2018-04-11,326.8,327.2,319.4,320.95,43384508.75
2018-04-12,321.65,326.4,316.0,318.1,26651663.15
2018-04-13,320.0,323.95,316.0,317.0,21620456.15
2018-04-16,317.0,327.0,317.0,320.45,29779946.9
2018-04-17,323.0,338.0,321.0,330.0,99625185.7
2018-04-18,331.0,345.9,328.0,335.8,157055429.9
2018-04-19,336.7,343.9,336.25,339.25,45661627.15
2018-04-20,340.9,341.0,334.5,336.3,30988382.55
2018-04-23,332.85,354.0,327.3,342.1,142983762.3
2018-04-24,342.0,349.6,336.95,339.55,56957857.35
2018-04-25,338.9,343.6,328.55,329.75,78448157.2
2018-04-26,328.1,336.8,328.1,331.85,40497816.45
2018-04-27,332.3,335.7,326.75,329.6,18607256.05
2018-04-30,332.75,334.95,323.0,324.65,39612379.35
2018-05-02,327.25,332.0,318.5,321.05,27068644.65
2018-05-03,321.0,321.95,315.25,318.9,24575824.2
2018-05-04,318.95,320.0,310.2,315.65,19239616.05
2018-05-07,315.35,318.4,314.0,315.15,13073878.55
2018-05-08,315.0,316.05,310.0,312.7,21370478.25
2018-05-09,313.2,324.8,310.5,320.05,47147213.05
2018-05-10,321.9,323.5,314.0,316.15,15726446.9
2018-05-11,313.05,317.55,311.25,312.9,53208645.0
2018-05-14,312.9,322.0,312.9,314.45,33489044.95
2018-05-15,315.0,318.25,306.7,309.6,15216054.3
2018-05-16,304.5,309.0,300.05,305.75,21389113.45
2018-05-17,305.75,308.65,302.0,302.85,16018974.1
2018-05-18,301.55,306.1,294.45,299.8,26002197.2
2018-05-21,300.0,304.55,290.1,291.2,23899531.2
2018-05-22,291.0,305.7,283.4,302.7,25625277.55
2018-05-23,305.4,309.55,292.0,306.55,162265090.3
2018-05-24,304.5,307.25,292.8,295.4,38970663.4
2018-05-25,295.4,297.0,291.35,292.85,32207880.9
2018-05-28,292.0,306.0,292.0,304.3,38421957.45
2018-05-29,305.8,309.5,303.3,305.0,19386300.65
2018-05-30,302.1,308.85,297.1,306.9,40932744.4
2018-05-31,309.6,312.4,298.35,302.9,41275405.15
2018-06-01,305.9,305.9,297.1,303.5,35140856.3
2018-06-04,304.0,314.9,300.5,310.35,74948567.95
2018-06-05,306.95,310.9,276.5,286.5,179810394.7
2018-06-06,286.15,297.0,273.65,291.25,45965598.6
2018-06-07,291.95,296.7,286.15,288.65,22842752.85
2018-06-08,288.0,294.8,285.4,290.65,16625101.65
2018-06-11,290.0,290.65,284.05,285.4,20215365.5
2018-06-12,284.5,286.55,280.25,283.9,27795467.45
2018-06-13,284.9,289.9,284.15,287.35,20739740.9
2018-06-14,287.0,289.4,285.0,286.0,10565036.5
2018-06-15,285.0,285.0,274.0,277.4,26409130.3
2018-06-18,278.0,282.95,271.0,280.35,22948607.6
2018-06-19,279.5,282.7,271.95,274.3,36531589.95
2018-06-20,273.0,273.7,263.0,265.1,34372100.55
2018-06-21,265.1,265.1,255.1,258.3,30017022.55
2018-06-22,258.0,259.05,252.0,254.35,16713341.65
2018-06-25,253.7,254.75,250.3,253.45,15172444.55
2018-06-26,254.0,257.9,240.0,242.1,24287712.05
2018-06-27,242.85,245.0,228.1,230.85,19865333.7
2018-06-28,230.3,235.5,222.0,229.9,20451225.35
2018-06-29,229.0,275.85,229.0,274.65,309472265.3
2018-07-02,274.0,293.0,255.35,275.7,397245385.6
2018-07-03,270.95,283.75,265.2,278.65,154532419.2
