date,open,high,low,close,volume
2018-01-01,152.6,155.35,151.7,154.75,429986194.1
2018-01-02,155.3,156.25,152.3,153.85,276047593.0
2018-01-03,154.7,154.95,152.7,153.15,215948548.1
2018-01-04,153.6,156.8,153.5,155.45,469158301.8
2018-01-05,155.6,160.0,155.35,157.7,890029434.5
2018-01-08,158.5,159.95,157.5,159.0,405908671.7
2018-01-09,159.8,162.2,157.85,161.55,498921756.1
2018-01-10,162.3,163.6,159.9,161.2,457418641.8
2018-01-11,161.5,163.9,160.85,162.65,462994944.1
2018-01-12,163.65,168.7,160.5,167.1,2639140676.0
2018-01-15,165.4,165.5,160.0,160.9,842691314.4
2018-01-16,160.8,161.6,152.7,153.45,710781258.1
2018-01-17,152.55,163.7,150.45,162.25,1282515578.0
2018-01-18,168.0,169.4,155.85,158.0,2233601942.0
2018-01-19,158.5,160.95,156.5,158.85,579470694.9
2018-01-22,159.0,160.05,156.55,158.35,409451710.5
2018-01-23,158.95,161.6,157.05,159.65,532806187.5
2018-01-24,158.9,159.55,155.5,156.3,504475729.9
2018-01-25,156.85,156.9,153.05,153.5,356750140.7
2018-01-29,154.0,154.7,148.6,149.55,330186196.5
2018-01-30,149.3,149.95,147.7,148.4,266418172.8
2018-01-31,147.8,149.65,145.65,147.5,356364762.7
2018-02-01,147.7,148.9,142.55,144.6,411332349.4
2018-02-02,142.0,143.15,136.9,138.85,487016362.3
2018-02-05,136.85,139.7,134.0,137.9,345066795.5
2018-02-06,130.0,134.85,129.0,132.65,578834093.4
2018-02-07,135.95,135.95,132.05,133.15,295287334.1
2018-02-08,133.5,137.8,133.5,136.35,395992735.1
2018-02-09,133.05,137.25,132.2,135.95,224496191.2
2018-02-12,136.5,141.3,136.5,139.4,345568532.6
2018-02-14,140.0,141.15,136.2,136.75,249470276.5
2018-02-15,137.3,139.6,134.0,135.05,324099438.1
2018-02-16,135.45,136.9,133.05,133.85,198980431.4
2018-02-19,133.95,134.75,128.6,132.75,249540099.5
2018-02-20,132.6,134.9,131.75,133.25,224979760.5
2018-02-21,134.5,134.95,131.45,132.15,142999331.6
2018-02-22,131.5,132.3,127.75,128.7,452305931.9
2018-02-23,128.75,133.9,128.75,133.45,283908351.6
2018-02-26,134.5,137.1,133.95,135.9,243722663.9
2018-02-27,136.5,137.0,133.6,134.4,149655830.9
2018-02-28,132.4,135.65,131.8,135.15,190148868.4
2018-03-01,134.7,135.95,132.2,132.7,180214798.6
2018-03-05,131.95,132.95,129.9,130.2,158683856.1
2018-03-06,131.2,132.35,127.2,127.9,136989799.4
2018-03-07,126.1,127.5,115.8,117.65,1190742671.0
2018-03-08,118.6,119.9,110.4,117.7,819357429.4
2018-03-09,118.5,118.9,114.7,115.55,354411160.6
2018-03-12,116.65,117.9,108.0,115.9,866714130.9
2018-03-13,115.35,123.7,114.95,120.25,611497303.0
2018-03-14,120.0,123.45,115.6,122.5,471496784.9
2018-03-15,123.45,124.9,120.9,123.65,310815766.9
2018-03-16,123.05,125.2,120.3,121.25,307280355.7
2018-03-19,121.85,123.0,114.75,117.6,431680046.0
2018-03-20,117.2,119.25,115.3,118.75,230770684.4
2018-03-21,119.5,123.5,119.5,120.1,322844305.7
2018-03-22,120.75,121.15,117.4,117.75,384473681.1
2018-03-23,115.0,117.7,114.05,116.7,254071286.6
2018-03-26,116.3,119.0,114.5,118.45,285295550.0
2018-03-27,119.6,121.15,119.0,119.6,424806855.8
2018-03-28,119.35,119.35,114.05,114.9,501819637.1
2018-04-02,112.55,114.8,109.95,114.1,686171527.1
2018-04-03,113.55,119.0,112.7,118.6,400242074.1
2018-04-04,122.25,122.9,118.6,119.25,733993753.8
2018-04-05,120.5,123.4,120.5,122.7,290290989.5
2018-04-06,122.9,126.75,121.2,126.35,527676374.5
2018-04-09,126.25,127.25,124.6,125.8,265534023.4
2018-04-10,127.0,127.45,124.65,125.05,242888704.8
