date,open,high,low,close,volume
2018-01-01,174.0,176.2,172.2,172.9,430610569.2
2018-01-02,173.2,174.45,169.0,170.75,543603686.5
2018-01-03,171.2,173.3,169.6,170.05,619949332.6
2018-01-04,170.95,173.1,170.2,172.4,758384709.0
2018-01-05,173.2,175.85,173.05,175.15,715412168.4
2018-01-08,177.0,184.5,176.1,183.8,1572586344.0
2018-01-09,185.2,185.3,180.55,183.05,1093343621.0
2018-01-10,182.95,185.7,180.2,181.3,988923717.7
2018-01-11,181.0,183.0,180.0,181.7,599065572.1
2018-01-12,182.7,182.7,176.9,180.8,589120263.6
2018-01-15,181.9,182.95,177.6,178.9,665204146.1
2018-01-16,179.7,181.25,172.35,173.8,806728170.8
2018-01-17,172.25,174.85,168.25,173.65,658664393.3
2018-01-18,175.0,177.0,170.1,171.1,1645613727.0
2018-01-19,172.0,172.75,169.55,172.25,425835463.2
2018-01-22,172.9,178.8,171.4,178.3,1108540363.0
2018-01-23,178.55,180.9,176.45,179.65,1283810433.0
2018-01-24,179.7,180.55,176.8,179.0,836116663.0
2018-01-25,180.1,181.9,175.1,176.65,2445983488.0
2018-01-29,179.45,180.35,176.1,177.95,891707447.7
2018-01-30,176.25,177.8,174.4,176.05,621936157.0
2018-01-31,175.0,177.65,170.5,172.6,911357762.4
2018-02-01,173.15,175.5,168.35,171.05,724373275.4
2018-02-02,169.6,169.8,154.85,157.7,1468639010.0
2018-02-05,151.55,159.8,144.35,158.4,1519204308.0
2018-02-06,149.0,161.65,147.55,159.35,1820159436.0
2018-02-07,162.5,163.5,156.0,157.3,833697798.8
2018-02-08,159.0,164.85,158.0,163.2,1073705556.0
2018-02-09,159.05,165.9,159.05,163.5,694895581.2
2018-02-12,166.9,168.4,163.0,166.45,737582702.4
2018-02-14,167.0,172.8,166.3,169.8,758285882.3
2018-02-15,171.0,171.8,164.5,166.1,841712061.4
2018-02-16,167.5,169.35,159.7,160.55,803816839.1
2018-02-19,161.95,162.2,157.5,159.15,866028393.3
2018-02-20,159.5,160.95,158.0,158.55,486634808.1
2018-02-21,159.7,160.3,155.15,158.1,424081808.9
2018-02-22,156.65,160.5,156.25,158.7,1332473538.0
2018-02-23,159.45,163.0,159.2,162.2,418329555.6
2018-02-26,163.9,168.95,162.15,168.15,537709264.6
2018-02-27,168.8,168.85,165.0,165.6,522085755.0
2018-02-28,163.75,164.2,161.1,162.3,465573505.8
2018-03-01,161.55,164.4,161.55,162.5,285744491.3
2018-03-05,163.0,164.4,159.4,161.15,720073686.7
2018-03-06,162.25,163.3,158.5,159.7,477173220.5
2018-03-07,159.05,159.75,154.5,157.8,932068544.8
2018-03-08,161.2,162.05,154.9,158.6,838263083.9
2018-03-09,158.85,163.9,158.85,160.0,944317868.2
2018-03-12,161.95,163.25,158.5,162.5,566045824.3
2018-03-13,163.1,165.75,161.6,164.6,579896881.0
2018-03-14,164.35,164.35,160.55,162.5,571855091.6
2018-03-15,162.2,163.9,161.45,162.05,610483706.1
2018-03-16,162.5,163.3,158.75,160.45,590783217.0
2018-03-19,160.5,161.15,156.45,157.3,544075944.0
2018-03-20,155.15,159.25,151.1,153.6,962638091.1
2018-03-21,154.4,157.5,154.05,156.3,533003050.2
2018-03-22,156.25,156.6,153.75,155.25,413145884.1
2018-03-23,151.8,154.4,151.35,153.75,530706809.3
2018-03-26,153.0,156.9,151.9,156.05,353851051.8
2018-03-27,157.7,160.4,157.25,159.25,391189058.1
2018-03-28,158.0,159.0,156.1,157.1,429216431.3
2018-04-02,158.0,161.3,157.05,160.45,393496522.4
2018-04-03,161.65,163.1,159.65,162.75,316483195.4
2018-04-04,162.75,165.75,159.6,161.6,646892049.5
2018-04-05,162.95,172.6,162.7,171.5,1116040289.0
2018-04-06,172.35,173.4,169.5,171.55,747818679.0
2018-04-09,171.9,173.15,168.05,169.75,493260677.4
2018-04-10,170.9,172.9,168.95,171.95,554127998.2
2018-04-11,172.1,172.8,168.2,168.85,781648906.9
2018-04-12,168.95,170.15,165.9,167.0,352317212.3
2018-04-13,167.7,168.75,164.75,166.15,366219683.8
2018-04-16,165.05,170.5,164.75,169.75,696710050.0
2018-04-17,172.7,174.9,171.5,174.1,1325954718.0
2018-04-18,175.0,175.45,170.85,171.65,481059830.7
2018-04-19,171.75,172.6,169.25,170.0,473121062.6
2018-04-20,170.0,170.0,163.0,164.55,875536280.8
2018-04-23,163.9,166.7,163.6,165.75,527510382.2
