date,open,high,low,close,volume
2018-04-09,61.6,73.9,57.25,71.65,4434900467.0
2018-04-10,69.85,71.5,65.4,66.85,1041159166.0
2018-04-11,67.25,69.7,66.05,66.95,615621579.8
2018-04-12,67.1,67.7,65.1,66.4,160021982.8
2018-04-13,66.7,68.2,66.5,67.7,162540027.5
2018-04-16,66.9,68.1,66.0,67.25,143204600.5
2018-04-17,67.6,70.2,66.85,68.5,333377403.4
2018-04-18,69.0,71.7,65.9,68.05,422702405.2
2018-04-19,69.2,72.7,68.5,71.85,235797551.4
2018-04-20,72.5,85.5,72.1,83.7,1494568728.0
2018-04-23,83.0,90.9,80.4,83.95,1487687521.0
2018-04-24,84.5,86.7,80.55,81.65,370969744.4
2018-04-25,81.7,82.0,74.4,75.65,347638878.1
2018-04-26,75.5,75.65,70.25,73.1,397330923.8
2018-04-27,73.0,76.9,72.2,75.35,294032531.3
2018-04-30,75.5,76.9,73.8,75.55,105875774.8
2018-05-02,75.8,80.8,75.2,78.4,305299189.3
2018-05-03,80.0,80.4,76.5,79.0,217874877.9
2018-05-04,78.65,79.55,76.6,77.2,80329013.25
2018-05-07,77.2,77.45,70.3,73.2,218271676.6
2018-05-08,73.6,74.95,72.35,72.9,181304305.6
2018-05-09,73.05,74.6,72.0,72.4,167987192.8
2018-05-10,72.85,73.4,71.1,71.55,138147915.6
2018-05-11,71.95,71.95,68.2,69.3,108226567.3
2018-05-14,69.45,71.7,66.2,68.1,160620222.9
2018-05-15,68.45,68.8,66.0,66.75,94497724.35
2018-05-16,66.5,66.8,63.0,65.0,299955495.9
2018-05-17,65.15,68.65,64.5,65.1,291700332.4
2018-05-18,65.5,65.75,63.0,63.95,84071869.3
2018-05-21,63.85,63.85,61.8,63.05,48682276.0
2018-05-22,62.95,68.0,62.55,66.35,94407132.45
2018-05-23,66.4,68.5,64.1,65.15,52201228.4
2018-05-24,65.2,67.45,64.1,65.4,59462023.6
2018-05-25,66.0,67.4,64.25,65.7,74952012.65
2018-05-28,68.45,70.0,67.1,69.05,122626781.6
2018-05-29,69.9,70.9,69.65,70.1,107726422.9
2018-05-30,70.8,75.75,70.0,72.45,272467632.8
2018-05-31,73.45,74.7,71.0,72.6,105916315.2
2018-06-01,72.5,75.0,71.6,72.7,85602771.8
2018-06-04,75.25,77.4,73.45,75.95,242131998.8
2018-06-05,75.35,75.35,69.35,70.2,213173821.9
2018-06-06,70.0,71.5,69.5,70.2,155929747.1
2018-06-07,70.8,73.5,70.55,71.35,137263747.0
2018-06-08,71.0,71.35,69.9,70.1,121018698.1
2018-06-11,70.7,72.0,70.5,71.2,53324847.9
2018-06-12,71.45,78.25,70.8,76.5,357873515.8
2018-06-13,76.0,76.5,74.5,75.15,83540701.0
2018-06-14,74.8,75.8,73.5,75.3,58580574.25
2018-06-15,74.25,75.9,73.85,75.5,54140697.9
2018-06-18,75.0,77.0,74.7,76.3,78800046.1
2018-06-19,75.35,77.4,74.95,76.45,54493952.3
2018-06-20,76.8,77.8,73.7,74.15,123073926.4
2018-06-21,74.35,75.5,73.1,74.95,37268935.4
2018-06-22,74.6,76.0,73.8,75.25,30250403.0
2018-06-25,74.3,75.6,72.3,73.45,25156863.3
2018-06-26,73.0,73.95,71.8,73.05,25291474.65
2018-06-27,72.65,73.95,70.0,72.75,44172254.9
2018-06-28,73.5,74.8,73.0,74.1,56601966.45
2018-06-29,74.35,77.2,74.35,76.85,109986253.0
2018-07-02,76.9,77.2,73.75,74.15,29758189.1
2018-07-03,73.85,74.35,72.65,72.95,26244198.55
2018-07-04,72.95,74.4,71.8,72.65,53243266.25
2018-07-05,72.45,73.55,71.6,72.05,18104994.4
2018-07-06,71.8,73.75,71.3,72.75,23029577.2
2018-07-09,73.0,73.75,72.4,72.85,11224276.85
2018-07-10,73.35,75.8,73.0,74.8,48937786.7
2018-07-11,74.6,79.9,74.6,77.65,252780909.1
2018-07-12,78.15,80.5,77.8,78.8,153584868.9
2018-07-13,79.5,79.8,74.5,75.55,63718058.25
2018-07-16,75.05,76.0,72.45,73.75,45726449.0
2018-07-17,74.35,75.25,73.5,74.2,31174771.3
2018-07-18,74.8,75.2,72.75,74.0,109439471.3
2018-07-19,74.1,74.5,73.05,73.9,14909505.65
2018-07-20,74.6,75.45,73.2,74.9,22482937.55
2018-07-23,76.0,78.5,75.3,77.65,69415589.4
2018-07-24,77.65,78.45,76.3,76.7,26283543.55
2018-07-25,76.7,78.55,76.0,77.6,33508052.55
2018-07-26,77.6,83.85,77.15,81.75,135442021.2
2018-07-27,82.95,84.6,80.9,81.9,80215180.85
2018-07-30,81.95,82.35,78.5,79.6,62580909.25
2018-07-31,79.65,79.65,77.6,78.0,60190083.85
2018-08-01,77.8,79.0,76.0,76.3,32685443.35
2018-08-02,76.1,83.0,75.45,81.5,246278473.7
2018-08-03,82.25,84.45,80.35,83.4,162598239.1
2018-08-06,84.1,86.25,83.0,84.7,120314976.1
2018-08-07,84.9,84.9,81.6,82.75,56596282.7
2018-08-08,83.5,84.5,82.2,82.85,45510587.35
2018-08-09,82.9,82.95,81.2,81.6,32075804.35
2018-08-10,81.6,82.0,80.1,80.65,26852897.6
2018-08-13,80.2,82.0,77.65,78.55,36364204.8
2018-08-14,81.5,81.5,78.05,79.75,116823648.2
2018-08-16,80.4,80.4,77.95,78.2,18105560.4
2018-08-17,78.9,80.0,78.5,79.0,24385021.95
2018-08-20,79.6,79.6,77.2,78.0,21292394.6
2018-08-21,78.0,79.3,78.0,79.0,23203993.15
2018-08-23,78.8,79.15,76.6,77.25,33732639.95
2018-08-24,77.25,79.35,77.0,78.7,23974047.75
2018-08-27,77.1,79.3,77.1,78.7,29873825.1
2018-08-28,78.1,81.7,77.15,77.55,105460308.7
2018-08-29,77.55,79.0,77.55,77.95,16542205.25
2018-08-30,78.0,79.5,77.65,78.15,21429338.15
2018-08-31,78.3,78.95,77.35,78.55,17134010.45
2018-09-03,78.75,78.8,77.0,77.25,15508956.35
2018-09-04,77.95,77.95,74.75,75.3,19819286.5
2018-09-05,75.7,75.8,73.5,75.1,26950232.25
2018-09-06,76.75,76.75,73.65,74.75,51824269.6
2018-09-07,74.95,75.6,73.95,74.25,11981108.5
2018-09-10,73.5,74.8,73.25,73.4,6728854.8
2018-09-11,74.35,75.5,72.5,73.4,19611632.4
2018-09-12,73.4,74.7,73.15,74.3,9573916.65
2018-09-14,74.35,74.6,73.1,73.25,10801020.2
2018-09-17,73.25,78.15,72.8,76.65,129179893.3
2018-09-18,75.75,77.3,74.4,74.8,10683209.9
2018-09-19,74.8,75.75,73.0,74.05,11900888.5
2018-09-21,74.35,77.85,71.0,73.85,143844478.2
2018-09-24,73.75,74.15,70.55,71.15,11485810.75
2018-09-25,70.95,72.25,68.7,71.8,16156299.65
2018-09-26,71.95,73.0,71.0,72.55,11453585.55
2018-09-27,72.0,73.7,71.0,72.95,13995058.35
2018-09-28,73.7,75.4,70.0,72.6,42024399.55
2018-10-01,72.4,72.45,68.5,70.6,26519802.0
2018-10-03,70.0,71.4,68.0,69.9,10604145.5
2018-10-04,68.0,70.9,68.0,69.7,16259509.65
2018-10-05,69.0,69.0,65.4,66.9,25297922.1
2018-10-08,66.0,69.0,66.0,68.2,20468300.65
2018-10-09,68.2,70.2,68.2,70.0,16813461.15
2018-10-10,70.0,72.4,69.1,71.4,55596173.3
2018-10-11,69.65,70.0,68.6,69.5,13876708.95
2018-10-12,70.0,72.8,69.25,69.75,46181435.9
2018-10-15,69.9,70.6,68.7,69.35,10402228.15
2018-10-16,69.0,70.5,69.0,69.45,8830071.6
2018-10-17,70.5,71.5,66.65,67.7,15712247.05
2018-10-19,66.4,69.15,66.25,68.95,16945275.85
2018-10-22,68.9,69.9,66.15,67.4,31359332.5
2018-10-23,68.0,68.0,66.0,67.0,17257085.35
2018-10-24,67.85,68.15,66.1,66.55,8353526.65
2018-10-25,66.05,67.6,65.5,66.95,6797975.85
2018-10-26,67.8,69.1,66.4,68.65,11509515.95
2018-10-29,67.3,69.55,67.3,68.75,10299237.3
2018-10-30,67.3,70.6,67.3,68.95,24833794.05
2018-10-31,69.45,70.35,68.1,69.25,26130593.35
2018-11-01,71.4,72.0,68.4,68.7,28792492.05
2018-11-02,69.2,69.9,68.5,68.95,19703273.45
2018-11-05,68.8,69.6,68.0,68.3,6496771.1
2018-11-06,69.4,69.4,67.5,67.75,5592248.8
2018-11-07,68.05,69.4,68.05,69.05,2074836.95
2018-11-09,69.0,70.3,68.45,69.75,9627858.8
2018-11-12,68.7,70.8,68.7,69.6,8566201.85
2018-11-13,69.6,70.8,68.95,69.4,9285567.7
2018-11-14,71.3,74.5,70.5,71.95,99297106.2
2018-11-15,72.0,72.35,71.05,71.95,20052257.3
2018-11-16,72.5,72.5,70.0,71.85,28714071.65
2018-11-19,72.0,73.05,71.15,71.45,16995221.7
2018-11-20,72.0,72.0,70.5,71.9,21206073.45
2018-11-21,71.95,72.0,70.95,71.95,20158763.45
2018-11-22,72.0,74.8,71.5,73.3,72340368.1
2018-11-26,73.3,74.15,72.35,73.65,24548083.15
2018-11-27,73.6,76.5,73.05,76.15,53011346.55
2018-11-28,77.0,77.5,70.75,71.2,33960615.25
2018-11-29,71.2,72.3,70.1,70.4,19599151.5
2018-11-30,71.0,71.5,67.0,68.05,148471622.4
2018-12-03,68.45,69.35,67.7,68.9,21054557.65
2018-12-04,69.0,69.3,68.0,68.9,9167730.65
2018-12-05,67.7,69.45,67.1,67.95,83463412.35
2018-12-06,68.0,69.6,66.0,66.3,32887932.95
2018-12-07,66.75,68.6,66.05,66.75,16496337.55
2018-12-10,66.05,66.2,64.1,65.1,10054756.55
2018-12-11,63.7,66.5,63.7,66.15,6800581.9
2018-12-12,66.0,68.7,65.65,67.95,19063708.9
2018-12-13,69.4,69.6,68.25,68.85,12532696.4
2018-12-14,68.95,71.1,68.5,69.85,23649484.85
2018-12-17,69.85,71.4,69.05,70.1,26462180.7
2018-12-18,69.5,70.95,69.3,70.45,105042332.2
2018-12-19,72.0,72.5,70.7,71.5,34944608.75
2018-12-20,71.1,71.65,70.7,70.95,6188293.75
2018-12-21,71.4,72.0,69.85,71.25,10536683.45
2018-12-24,71.6,71.6,68.8,69.2,21992144.55
2018-12-26,68.2,69.8,67.75,68.1,13032748.1
2018-12-27,68.9,69.65,68.0,68.45,9709304.95
2018-12-28,77.8,77.8,73.4,74.8,280985222.1
2018-12-31,75.45,75.6,72.0,73.6,43727899.95
2019-01-01,73.45,75.55,72.4,74.3,93467307.45
2019-01-02,73.75,73.8,70.55,71.15,23721534.35
2019-01-03,71.25,71.7,69.3,69.55,14678340.3
2019-01-04,69.05,70.3,68.6,69.0,12834788.4
2019-01-07,69.95,70.3,69.0,69.9,10271740.0
2019-01-08,69.75,69.8,68.05,68.65,11330816.0
2019-01-09,69.0,69.7,68.3,68.6,9054857.05
2019-01-10,68.9,70.8,66.2,70.3,22592132.1
2019-01-11,72.0,73.0,71.05,71.95,37022262.6
2019-01-14,72.15,72.15,70.2,70.6,12785360.65
2019-01-15,70.95,70.95,69.1,69.75,11332768.2
2019-01-16,69.85,70.45,68.7,68.95,21898746.65
2019-01-17,68.95,70.95,68.65,69.3,29787978.95
2019-01-18,69.3,69.6,68.25,68.55,9154261.1
2019-01-21,68.7,69.15,68.0,68.2,6038744.05
