date,open,high,low,close,volume
2018-01-01,565.5,573.5,564.25,565.7,523976330.0
2018-01-02,567.65,569.9,559.6,562.75,546121937.1
2018-01-03,563.35,569.45,563.1,566.85,526003645.3
2018-01-04,567.35,569.4,561.6,567.6,498875811.6
2018-01-05,568.2,574.7,568.2,571.25,997117523.5
2018-01-08,575.4,586.0,572.25,583.9,1836952886.0
2018-01-09,585.95,588.15,575.55,578.05,1322180448.0
2018-01-10,577.5,581.4,571.05,575.2,794396088.2
2018-01-11,574.95,574.95,565.5,568.8,1587693929.0
2018-01-12,571.5,574.25,560.5,567.3,730944039.4
2018-01-15,569.0,571.65,564.95,568.65,716358792.1
2018-01-16,569.0,570.8,552.6,553.7,739941726.8
2018-01-17,553.7,559.65,542.15,558.1,724848996.7
2018-01-18,560.9,563.0,545.0,551.85,666618302.8
2018-01-19,552.2,563.5,551.2,562.0,691648223.3
2018-01-22,561.7,576.3,560.1,575.05,1126191232.0
2018-01-23,578.0,581.95,570.1,573.5,1288435165.0
2018-01-24,573.0,577.35,567.0,570.05,499209906.6
2018-01-25,571.5,572.2,554.0,555.85,794985222.4
2018-01-29,556.25,563.3,546.4,547.8,1516776224.0
2018-01-30,551.0,551.0,536.0,537.6,1157612042.0
2018-01-31,537.0,540.1,529.2,534.95,1596855217.0
2018-02-01,537.65,544.8,527.15,531.85,1463450962.0
2018-02-02,527.0,527.9,504.5,511.9,1852938133.0
2018-02-05,505.0,519.0,495.05,516.4,950761194.8
2018-02-06,497.5,508.5,482.0,500.9,1829510012.0
2018-02-07,509.0,512.0,500.25,502.75,837566603.2
2018-02-08,503.5,516.95,503.5,514.45,876889153.7
2018-02-09,505.0,515.85,505.0,511.85,1080230475.0
2018-02-12,518.75,524.5,512.35,521.5,818036694.5
2018-02-14,527.0,529.95,520.05,525.05,890706589.4
2018-02-15,528.0,536.6,525.0,528.5,778527296.8
2018-02-16,531.0,532.4,517.85,521.4,734857441.6
2018-02-19,521.5,523.1,511.05,515.05,438892935.3
2018-02-20,515.5,517.95,509.65,512.85,545464111.0
2018-02-21,517.8,517.8,506.25,511.55,598760222.7
2018-02-22,513.0,514.7,505.0,506.6,709224187.3
2018-02-23,509.0,519.2,508.0,517.65,608479726.7
2018-02-26,520.0,520.2,513.1,515.9,719416440.8
2018-02-27,516.3,523.65,508.05,509.5,889437322.9
2018-02-28,506.5,513.0,503.2,507.8,725124389.7
2018-03-01,505.0,513.0,505.0,507.05,587744419.4
2018-03-05,505.0,516.4,503.5,514.85,851533132.5
2018-03-06,518.85,524.0,510.65,513.05,1034812884.0
2018-03-07,514.9,514.9,485.25,490.95,1300851493.0
2018-03-08,496.0,496.0,476.6,484.1,1141929627.0
2018-03-09,486.0,491.95,481.0,483.3,1106997005.0
2018-03-12,489.75,494.0,483.3,492.55,1347726666.0
2018-03-13,491.9,514.55,490.15,513.05,1332110365.0
2018-03-14,508.5,520.5,507.6,518.0,846725797.4
2018-03-15,518.95,527.95,516.2,523.2,1121694171.0
2018-03-16,521.0,524.7,511.9,513.45,751131895.5
2018-03-19,515.7,517.9,504.35,511.25,649420450.8
2018-03-20,509.25,522.7,508.45,518.05,693335674.6
2018-03-21,524.35,527.5,517.65,521.55,1108612635.0
2018-03-22,521.9,526.6,520.65,525.25,789685353.1
2018-03-23,515.25,523.8,513.9,519.85,1038311831.0
2018-03-26,521.0,545.9,520.65,544.1,1750826444.0
2018-03-27,547.95,565.7,547.2,552.1,2914922843.0
2018-03-28,549.85,549.85,532.15,534.4,870187309.0
2018-04-02,537.0,542.45,532.8,539.35,739170056.2
2018-04-03,540.0,555.4,539.2,554.1,871109066.9
2018-04-04,556.25,556.8,532.6,535.2,677717910.8
2018-04-05,548.0,565.55,542.0,563.35,765635729.2
2018-04-06,562.0,568.4,554.4,563.25,732151792.0
2018-04-09,562.8,570.8,561.6,562.4,712995769.7
2018-04-10,563.6,570.0,553.65,560.65,547570787.5
2018-04-11,558.5,564.7,550.1,559.1,515606157.4
2018-04-12,557.7,558.9,546.3,548.45,468903007.9
2018-04-13,548.0,557.9,547.4,556.3,657767468.2
2018-04-16,554.95,565.95,551.85,560.35,976434440.3
2018-04-17,560.45,571.4,555.05,562.25,745212182.0
2018-04-18,565.2,565.2,556.5,559.25,683690878.2
2018-04-19,560.6,562.8,551.4,553.95,601685270.7
2018-04-20,550.0,550.15,536.1,540.85,1165679444.0
2018-04-23,540.0,556.0,536.1,550.45,1168575288.0
2018-04-24,540.0,552.55,540.0,544.25,1658097650.0
2018-04-25,542.7,556.9,540.45,546.9,1266277663.0
2018-04-26,546.0,550.55,542.8,545.15,2580677499.0
2018-04-27,548.0,554.7,539.95,542.35,842554610.0
2018-04-30,545.5,550.0,544.05,546.8,434239068.1
2018-05-02,548.5,551.75,534.5,537.65,762271834.0
2018-05-03,536.5,539.9,520.15,521.85,678326245.9
2018-05-04,522.0,528.95,515.2,517.75,713781663.9
2018-05-07,518.6,521.8,512.9,516.05,531312811.1
2018-05-08,518.9,518.9,509.3,511.65,711711774.7
2018-05-09,511.1,512.25,506.3,507.2,574963516.3
2018-05-10,507.1,509.7,496.4,498.75,615372661.5
2018-05-11,500.0,503.6,495.0,500.55,692812769.9
2018-05-14,502.75,507.4,498.8,500.35,628744858.1
2018-05-15,502.4,507.0,497.8,501.3,557064737.6
2018-05-16,498.9,503.5,490.05,497.5,534676045.1
2018-05-17,498.9,498.9,491.0,492.85,411576193.4
2018-05-18,493.2,494.4,477.1,481.4,665295518.8
2018-05-21,480.0,484.8,472.4,474.6,591560930.2
2018-05-22,474.6,485.6,473.0,481.25,439368020.8
2018-05-23,480.3,483.8,474.35,475.05,630169863.5
2018-05-24,475.55,477.5,463.05,471.0,620012224.0
2018-05-25,472.4,484.95,470.45,482.9,596710780.5
2018-05-28,486.95,505.0,485.0,502.0,812607432.1
2018-05-29,498.05,501.55,485.85,487.65,1070030593.0
2018-05-30,485.05,485.15,475.0,476.25,1818876441.0
2018-05-31,479.1,479.55,473.4,475.15,1652937448.0
2018-06-01,477.0,484.0,474.0,476.1,602894227.9
2018-06-04,479.45,481.45,471.5,474.1,949728055.3
2018-06-05,474.1,479.6,472.2,478.4,579675974.7
2018-06-06,480.0,491.3,478.0,486.3,965766261.1
2018-06-07,487.25,494.8,487.25,493.3,784683953.7
2018-06-08,490.9,500.1,490.0,496.95,971297670.5
2018-06-11,501.5,503.9,494.4,498.75,798394109.2
2018-06-12,498.5,505.75,497.35,500.8,617174974.8
2018-06-13,505.75,507.0,495.85,497.0,682157604.3
2018-06-14,495.9,496.5,488.7,495.2,395676942.3
2018-06-15,494.9,498.5,487.55,495.75,672812986.2
2018-06-18,496.0,504.4,494.0,500.65,446750933.3
2018-06-19,501.0,501.0,487.3,490.3,521631366.8
2018-06-20,490.1,499.1,485.9,495.85,691668160.0
2018-06-21,495.0,509.8,494.95,502.35,975530951.6
2018-06-22,502.0,502.0,493.2,497.4,787324426.9
2018-06-25,496.5,500.45,488.6,490.25,547770733.4
2018-06-26,488.6,492.5,477.5,478.8,902610373.0
2018-06-27,480.8,481.65,473.05,475.9,1720437147.0
2018-06-28,475.6,475.9,465.0,470.3,1169419837.0
2018-06-29,471.0,475.9,464.4,468.65,733038243.8
2018-07-02,469.0,473.4,464.1,470.3,557985968.3
2018-07-03,469.5,474.8,458.6,472.55,811015644.8
2018-07-04,473.0,476.15,455.4,463.0,960000170.0
2018-07-05,464.0,476.8,463.2,475.6,589645163.1
2018-07-06,472.5,491.0,472.0,484.15,1112884163.0
2018-07-09,487.0,491.9,478.6,480.7,586183533.4
2018-07-10,481.05,497.45,481.05,496.15,1024775177.0
2018-07-11,495.4,499.25,490.45,495.2,792108470.1
2018-07-12,498.0,509.5,496.15,498.1,1061273419.0
2018-07-13,500.0,506.0,492.5,500.95,533876060.7
2018-07-16,498.55,500.5,486.55,489.5,605395893.4
2018-07-17,490.1,523.6,486.0,518.55,1835360517.0
2018-07-18,520.0,526.45,512.6,516.75,1511313046.0
2018-07-19,517.7,522.6,510.3,515.15,650054734.4
2018-07-20,515.15,520.9,507.55,518.05,636332429.9
2018-07-23,519.9,525.9,516.0,521.4,644096101.8
2018-07-24,524.0,539.85,520.6,537.55,1129626527.0
2018-07-25,539.95,540.0,523.5,525.7,521852957.1
2018-07-26,528.0,533.4,522.6,524.85,1396394977.0
2018-07-27,528.4,538.0,527.7,536.65,429327707.4
2018-07-30,537.3,540.0,528.2,532.35,538502212.0
2018-07-31,530.55,535.75,526.0,529.05,746665310.2
2018-08-01,529.05,529.8,516.0,520.55,504926366.9
2018-08-02,518.0,536.1,515.95,529.5,600781030.7
2018-08-03,530.0,542.55,530.0,540.0,971920199.8
2018-08-06,542.7,562.0,542.55,552.6,2016622761.0
2018-08-07,561.0,567.6,553.1,564.05,2013948938.0
2018-08-08,565.9,566.9,555.5,558.55,450785410.4
2018-08-09,553.95,560.2,548.0,558.15,464436556.7
2018-08-10,557.95,560.95,545.4,548.35,451632176.6
2018-08-13,542.0,553.6,540.0,547.5,479485168.2
2018-08-14,549.0,552.95,543.4,547.15,560043578.3
2018-08-16,544.1,560.6,541.5,551.1,956144591.1
2018-08-17,553.9,559.4,551.5,557.8,705757124.3
2018-08-20,560.0,561.0,552.5,553.7,391336065.6
2018-08-21,552.0,571.9,552.0,563.55,1329763581.0
2018-08-23,566.95,575.9,564.2,574.8,1506959322.0
2018-08-24,576.0,583.8,566.15,573.15,2266973508.0
2018-08-27,550.0,550.0,526.05,529.25,5327366961.0
2018-08-28,531.6,533.8,518.0,520.15,2380877446.0
2018-08-29,519.5,526.75,519.05,520.35,1401059133.0
2018-08-30,522.0,528.0,518.0,525.75,2254196975.0
2018-08-31,527.0,531.0,518.2,520.9,1178872131.0
2018-09-03,523.55,525.25,518.5,519.95,728637938.7
2018-09-04,520.5,521.9,499.0,503.25,1321588489.0
2018-09-05,498.5,506.1,493.25,502.05,1416432660.0
2018-09-06,504.7,505.45,496.0,498.55,1015275608.0
2018-09-07,497.7,502.0,494.3,500.7,779251289.1
2018-09-10,495.0,501.15,482.3,484.4,1420872596.0
2018-09-11,486.0,486.5,471.15,472.75,1756637533.0
2018-09-12,471.0,479.8,463.0,477.0,1578444449.0
2018-09-14,481.0,483.7,474.9,479.45,1271235500.0
2018-09-17,478.45,482.0,472.9,476.45,365877959.0
2018-09-18,478.0,480.15,465.0,466.6,744275717.9
2018-09-19,466.6,469.9,460.1,461.55,1008141207.0
2018-09-21,461.0,466.55,395.1,440.05,3027681473.0
2018-09-24,447.0,448.85,415.5,426.5,1351166232.0
2018-09-25,421.0,441.4,416.85,436.45,1895580688.0
2018-09-26,440.5,444.0,429.6,433.0,764116303.8
2018-09-27,432.7,432.7,416.0,420.9,1784546601.0
2018-09-28,422.05,430.0,410.7,417.4,2222885061.0
