date,open,high,low,close,volume
2018-01-01,541.8,541.8,525.0,534.0,24912117.95
2018-01-02,536.05,539.9,514.05,520.05,11627659.0
2018-01-03,522.8,548.9,521.0,528.25,29198369.65
2018-01-04,534.75,555.0,530.55,551.35,57865932.3
2018-01-05,555.0,560.0,552.1,555.05,38246355.6
2018-01-08,560.0,564.9,547.0,558.1,20553472.1
2018-01-09,557.95,557.95,540.05,544.6,36749560.45
2018-01-10,542.0,548.45,535.4,541.75,20013541.7
2018-01-11,540.3,548.45,536.5,544.4,10556294.6
2018-01-12,541.4,599.0,532.05,576.7,110971906.8
2018-01-15,578.9,597.8,569.1,580.9,50752849.55
2018-01-16,583.0,583.0,553.95,556.25,15204472.6
2018-01-17,556.25,559.6,539.0,552.5,9879655.1
2018-01-18,560.9,560.9,538.05,541.35,62034915.8
2018-01-19,540.55,548.65,532.0,536.35,24041129.25
2018-01-22,540.0,547.9,538.05,540.9,46437485.4
2018-01-23,538.0,548.0,538.0,545.3,10707867.75
2018-01-24,545.0,545.05,530.5,534.55,39316516.65
2018-01-25,534.0,534.9,526.0,529.1,6634769.3
2018-01-29,535.75,539.0,513.1,515.05,27166994.5
2018-01-30,519.3,541.0,511.1,528.6,27667223.6
2018-01-31,522.0,547.05,516.25,537.15,67886418.35
2018-02-01,530.5,537.0,520.1,524.2,57999460.75
2018-02-02,520.45,524.0,466.0,508.15,30300525.05
2018-02-05,497.1,510.0,489.1,505.65,16719577.8
2018-02-06,475.1,496.95,470.0,478.4,147644048.9
2018-02-07,487.65,502.8,487.65,499.4,8892082.1
2018-02-08,500.0,524.4,500.0,515.8,11165217.8
2018-02-09,505.1,519.75,500.0,517.1,7586057.3
2018-02-12,520.0,533.0,518.95,529.6,9970057.45
2018-02-14,526.0,526.0,489.1,510.4,20463991.65
2018-02-15,511.0,520.05,500.05,507.85,8157291.5
2018-02-16,514.8,514.8,492.1,498.75,6652613.75
2018-02-19,496.2,503.7,482.05,486.3,4845524.7
2018-02-20,487.85,499.8,487.85,492.3,5945525.65
2018-02-21,502.05,502.05,485.1,485.5,3036228.1
2018-02-22,489.95,494.8,481.15,486.35,3788620.9
2018-02-23,482.0,495.0,482.0,487.3,4390435.05
2018-02-26,480.5,528.0,480.5,510.45,23862552.2
2018-02-27,511.55,512.75,494.05,505.1,23828184.65
2018-02-28,499.05,504.0,494.5,498.65,4330144.9
2018-03-01,492.0,508.0,492.0,501.1,6583357.25
2018-03-05,504.9,504.9,485.75,491.2,9904451.65
2018-03-06,496.9,504.4,489.1,494.35,8340037.3
2018-03-07,494.4,494.4,484.6,490.0,6596600.5
2018-03-08,489.15,494.45,475.2,484.45,7479463.7
2018-03-09,484.5,488.8,472.9,475.65,4824942.9
2018-03-12,477.3,488.8,476.0,480.3,5557768.15
2018-03-13,488.45,495.0,480.35,493.25,4452148.0
2018-03-14,494.0,494.65,489.9,493.3,3892659.7
2018-03-15,495.45,499.2,492.2,497.0,5854801.6
2018-03-16,504.8,504.8,494.0,494.8,8086007.3
2018-03-19,498.8,498.8,473.2,475.7,8141489.35
2018-03-20,473.1,477.65,455.0,463.15,8430209.9
2018-03-21,460.1,476.75,460.1,469.65,16768192.75
2018-03-22,472.85,486.85,469.5,484.05,11459701.5
2018-03-23,484.0,484.0,456.0,468.4,6105216.25
2018-03-26,465.1,470.05,450.35,458.75,25327417.95
2018-03-27,454.7,463.7,447.0,448.15,12543070.55
2018-03-28,449.0,452.9,433.1,437.25,10252032.45
2018-04-02,440.9,453.9,440.85,446.8,65863072.25
2018-04-03,449.0,458.0,448.35,453.8,5491604.1
2018-04-04,456.9,468.7,446.1,450.3,9525998.95
2018-04-05,456.9,476.0,453.25,462.7,7002332.3
2018-04-06,461.85,477.8,461.85,474.4,5644223.2
2018-04-09,479.7,513.8,476.95,498.05,69622786.45
2018-04-10,497.95,508.8,486.0,488.3,7690185.4
2018-04-11,488.3,493.1,481.2,483.75,3919409.45
2018-04-12,483.75,489.55,476.2,479.35,5549719.7
2018-04-13,475.0,482.05,469.05,472.7,6048705.25
2018-04-16,465.1,476.5,465.1,471.65,2420555.3
2018-04-17,476.5,476.5,464.3,467.45,3396063.2
2018-04-18,469.9,471.9,463.1,465.4,5280760.65
2018-04-19,470.0,471.85,459.3,467.4,3807965.25
2018-04-20,468.85,480.85,461.25,463.9,7168334.05
2018-04-23,464.0,464.0,456.05,459.2,3711931.05
2018-04-24,460.85,468.8,458.1,459.4,3124181.4
2018-04-25,459.9,463.35,454.0,456.45,2900414.05
2018-04-26,456.65,466.0,453.75,455.75,2989860.5
2018-04-27,457.85,464.5,455.0,458.8,4043173.8
2018-04-30,454.1,463.0,445.25,450.1,7287410.65
2018-05-02,450.0,455.05,440.1,442.4,4683917.05
2018-05-03,443.05,448.95,433.05,435.9,3788676.35
2018-05-04,438.0,438.0,422.0,427.15,6822022.45
2018-05-07,432.9,433.85,418.0,420.15,7031909.3
2018-05-08,420.7,445.0,420.7,429.9,6055205.75
2018-05-09,439.0,464.9,430.25,456.5,35704932.75
2018-05-10,444.0,472.75,415.0,424.15,97234733.75
2018-05-11,422.0,445.0,422.0,442.4,22250806.2
2018-05-14,442.0,445.0,427.1,428.8,5763162.1
2018-05-15,425.15,432.9,420.05,429.6,6335450.05
2018-05-16,427.8,429.7,421.4,424.05,2535079.4
2018-05-17,422.8,438.5,422.8,433.85,5659444.0
2018-05-18,427.0,438.0,425.8,434.3,5169016.7
2018-05-21,426.3,435.65,420.05,421.8,6332195.7
2018-05-22,423.0,430.0,419.05,420.2,6216737.65
2018-05-23,421.95,430.8,418.3,422.8,4292117.6
2018-05-24,422.0,428.8,413.1,425.1,7559384.8
2018-05-25,418.25,425.45,418.25,421.45,1309134.3
2018-05-28,422.75,435.9,422.1,433.8,6812834.0
2018-05-29,426.3,434.55,421.6,422.15,4100249.45
2018-05-30,423.0,430.6,418.5,427.6,4283344.15
2018-05-31,426.85,436.8,425.0,428.6,9639909.1
2018-06-01,428.95,432.0,421.25,429.75,7658556.4
2018-06-04,429.4,444.0,422.0,425.1,151017115.7
2018-06-05,420.1,444.0,420.1,428.35,192204300.1
2018-06-06,432.0,443.9,426.3,441.25,20121280.55
2018-06-07,442.0,451.9,442.0,447.85,5795857.0
