date,open,high,low,close,volume
2018-01-01,889.5,892.0,880.2,883.25,916037073.7
2018-01-02,887.9,888.0,871.25,875.15,1052887754.0
2018-01-03,878.7,884.85,872.85,878.95,3483741955.0
2018-01-04,880.25,882.7,870.05,878.15,1687444190.0
2018-01-05,880.0,904.4,876.0,900.15,2404280098.0
2018-01-08,906.4,927.0,905.0,923.3,3498511537.0
2018-01-09,924.45,932.5,915.15,923.25,1599933395.0
2018-01-10,923.25,933.0,915.05,925.8,1464186649.0
2018-01-11,929.65,934.95,925.65,929.2,851713865.8
2018-01-12,931.0,937.0,908.25,919.1,1192174610.0
2018-01-15,919.9,924.7,914.0,916.55,564971982.2
2018-01-16,920.0,924.1,905.0,906.75,879782061.2
2018-01-17,908.0,920.5,894.45,919.35,1349541099.0
2018-01-18,923.85,927.0,915.35,921.05,2138379122.0
2018-01-19,925.0,926.0,906.4,924.1,1234469499.0
2018-01-22,925.0,933.0,918.55,930.05,1051742127.0
2018-01-23,930.1,941.4,926.1,937.35,1409703497.0
2018-01-24,937.0,962.0,933.35,959.05,1880225663.0
2018-01-25,966.0,970.0,945.15,949.65,2494757185.0
2018-01-29,949.65,954.0,908.0,912.2,1407907696.0
2018-01-30,911.4,913.55,897.65,902.75,851655511.3
2018-01-31,900.0,901.7,876.0,883.75,1408102114.0
2018-02-01,883.95,886.25,852.2,860.4,1588927025.0
2018-02-02,860.8,878.5,845.0,847.0,2180421604.0
2018-02-05,843.0,857.5,834.0,849.1,1192312504.0
2018-02-06,824.0,834.9,789.4,800.9,3800913823.0
2018-02-07,796.0,813.5,781.8,806.05,4026697372.0
2018-02-08,809.9,816.0,800.0,812.45,1667554010.0
2018-02-09,804.0,829.3,799.0,822.15,2269496381.0
2018-02-12,828.8,847.0,825.5,840.45,1493640121.0
2018-02-14,847.65,847.65,825.0,827.6,945507423.4
2018-02-15,830.0,832.3,819.0,822.3,718445477.7
2018-02-16,823.5,829.8,821.2,825.1,487134798.3
2018-02-19,825.9,835.0,807.0,814.4,1033995198.0
