date,open,high,low,close,volume
2018-01-01,751.0,758.9,743.0,744.65,1859140125.0
2018-01-02,754.0,758.0,746.3,752.9,2274687980.0
2018-01-03,755.9,759.0,750.0,754.9,1706379603.0
2018-01-04,761.0,761.0,750.5,756.0,1256234025.0
2018-01-05,756.0,758.5,753.6,756.35,950549554.2
2018-01-08,757.05,760.0,756.55,759.9,1752382390.0
2018-01-09,760.0,766.0,757.2,762.45,1483569074.0
2018-01-10,762.05,765.0,754.2,759.85,969159119.9
2018-01-11,760.3,768.95,755.5,766.65,1749929249.0
2018-01-12,767.1,769.5,761.75,767.5,1043576579.0
2018-01-15,770.0,775.65,755.65,759.2,1630472204.0
2018-01-16,759.0,762.55,741.0,746.7,1208517089.0
2018-01-17,747.05,754.0,738.85,745.35,1447644921.0
2018-01-18,750.0,765.0,745.0,759.25,2133505075.0
2018-01-19,760.0,768.3,748.3,765.4,1517990916.0
2018-01-22,762.1,769.0,756.0,759.6,710955077.6
2018-01-23,761.95,773.0,761.4,769.05,2131262634.0
2018-01-24,769.05,771.0,752.4,755.4,1577655371.0
2018-01-25,756.5,762.0,748.35,757.8,2176498419.0
2018-01-29,757.3,772.0,757.3,764.35,1588430945.0
2018-01-30,764.0,768.65,753.1,764.9,1255359127.0
2018-01-31,764.8,771.15,756.65,763.05,1713702173.0
2018-02-01,768.9,802.55,763.0,798.75,5414711116.0
2018-02-02,798.75,800.0,765.55,770.25,2973610028.0
2018-02-05,762.9,769.75,745.0,760.5,1536395408.0
2018-02-06,743.8,759.9,730.75,751.8,4215604282.0
2018-02-07,767.4,771.95,743.75,747.1,1439475922.0
2018-02-08,754.0,760.7,746.0,752.2,2283602014.0
2018-02-09,747.0,753.3,742.0,750.05,1660429190.0
2018-02-12,770.0,770.0,743.0,746.0,2002007303.0
2018-02-14,751.8,753.95,742.05,746.95,905217068.4
2018-02-15,748.1,751.3,743.5,749.35,1237511917.0
2018-02-16,752.65,753.75,742.0,743.75,777657492.7
2018-02-19,744.0,744.8,716.05,724.65,862111584.9
2018-02-20,726.8,733.2,703.0,709.0,2132162041.0
2018-02-21,716.0,716.0,701.0,708.4,1618119692.0
2018-02-22,702.0,724.5,700.4,721.95,2369486209.0
2018-02-23,722.55,724.0,714.0,718.65,1184777574.0
2018-02-26,722.0,737.0,719.25,735.4,1114235549.0
2018-02-27,741.9,742.0,731.0,739.8,1055035721.0
2018-02-28,734.0,734.95,725.1,728.35,1324487288.0
2018-03-01,728.0,736.5,727.5,732.55,1342628832.0
2018-03-05,727.0,743.0,722.15,739.6,1593557965.0
2018-03-06,743.0,743.0,716.0,719.9,1285079104.0
2018-03-07,721.0,725.8,702.45,707.8,1661927541.0
2018-03-08,710.55,729.2,707.1,726.65,1804468258.0
2018-03-09,726.9,739.7,723.45,728.5,1607784912.0
2018-03-12,735.05,739.25,731.2,737.1,1372760169.0
2018-03-13,736.95,741.0,730.45,733.0,1339377668.0
2018-03-14,730.95,734.3,723.1,728.2,995251679.0
2018-03-15,731.0,737.9,729.8,734.85,917275843.5
2018-03-16,739.0,752.0,735.55,740.75,3671216538.0
2018-03-19,741.75,749.0,739.0,742.7,1548719530.0
2018-03-20,740.4,744.0,732.05,740.95,919405871.4
2018-03-21,743.0,750.75,739.5,745.35,2082991007.0
2018-03-22,747.05,748.9,726.0,730.85,1377604263.0
2018-03-23,725.0,737.3,721.2,732.9,1665038549.0
2018-03-26,734.35,750.0,727.05,746.5,1402531847.0
2018-03-27,749.0,752.0,741.6,744.9,1803858153.0
2018-03-28,744.0,746.0,735.0,738.9,2438530249.0
2018-04-02,748.9,751.85,737.2,748.05,2659866488.0
2018-04-03,748.0,771.4,745.05,770.1,1901704645.0
2018-04-04,773.0,786.75,749.1,756.55,2540009134.0
2018-04-05,770.0,781.0,766.6,774.6,1725440418.0
2018-04-06,774.6,774.6,764.05,771.95,920273281.1
2018-04-09,772.0,788.2,770.0,786.2,1421513463.0
