date,open,high,low,close,volume
2018-01-01,23.0,23.55,23.0,23.3,43155983.5
2018-01-02,23.45,23.6,22.75,22.95,30587813.0
2018-01-03,23.35,23.4,23.0,23.05,17132161.15
2018-01-04,25.0,25.0,23.35,23.6,94080925.75
2018-01-05,23.95,24.2,23.5,23.65,29299599.45
2018-01-08,23.7,23.9,23.5,23.55,17634542.65
2018-01-09,23.6,23.8,23.1,23.25,12735248.05
2018-01-10,23.25,23.35,22.7,22.75,17184144.35
2018-01-11,22.8,22.8,22.4,22.45,17692618.1
2018-01-12,22.7,22.7,22.35,22.4,13428033.9
2018-01-15,22.55,22.6,22.0,22.1,19467328.15
2018-01-16,22.2,22.2,21.7,21.8,16945473.5
2018-01-17,21.6,21.7,21.25,21.6,22591149.15
2018-01-18,22.5,22.7,21.0,21.15,47051944.8
2018-01-19,21.35,21.35,20.9,21.0,25959612.05
2018-01-22,21.1,21.25,20.85,21.0,20032537.55
2018-01-23,21.1,21.25,20.85,21.15,26977350.95
2018-01-24,21.25,21.35,20.9,21.15,32092143.4
2018-01-25,22.5,22.5,20.55,20.65,90663472.1
2018-01-29,21.0,21.05,20.55,20.6,22826992.1
2018-01-30,20.9,20.9,19.4,19.8,67218670.35
2018-01-31,19.9,19.9,19.4,19.85,31053913.9
2018-02-01,20.0,20.2,19.5,19.85,28506979.9
2018-02-02,19.55,19.8,19.05,19.15,29183351.2
2018-02-05,19.1,19.55,18.75,19.35,18841704.65
2018-02-06,19.0,19.95,18.6,19.1,38855558.0
2018-02-07,19.15,19.4,18.85,18.9,14356033.85
2018-02-08,19.2,19.2,18.9,19.0,11298395.25
2018-02-09,19.0,19.0,18.75,18.8,9196098.35
2018-02-12,18.9,19.15,18.7,19.0,10616013.75
2018-02-14,18.95,19.3,18.8,18.85,21572178.6
2018-02-15,18.8,19.0,18.6,18.75,14354111.85
2018-02-16,18.8,18.8,18.35,18.45,21269471.4
2018-02-19,18.45,18.5,16.75,16.9,54513573.85
2018-02-20,16.7,17.1,16.0,16.8,21541943.8
2018-02-21,16.95,17.1,16.65,16.9,12348037.75
2018-02-22,17.0,17.0,16.55,16.7,13869329.0
2018-02-23,17.0,17.0,16.55,16.75,11102819.25
2018-02-26,16.95,16.95,16.75,16.85,14413410.5
2018-02-27,16.95,16.95,16.4,16.55,9509079.05
2018-02-28,16.55,17.15,16.0,16.8,23491409.05
2018-03-01,16.7,16.95,16.4,16.65,12363069.1
2018-03-05,16.65,16.85,15.8,15.95,24737309.05
2018-03-06,16.2,16.3,15.2,15.35,36736310.65
2018-03-07,15.35,15.35,14.3,14.4,44573899.75
2018-03-08,14.0,15.9,14.0,14.9,28930475.85
2018-03-09,14.9,15.25,14.65,14.75,12094154.75
2018-03-12,15.0,15.0,13.95,14.25,17224320.55
2018-03-13,14.2,15.4,14.15,15.0,22880488.6
2018-03-14,15.1,15.1,14.7,14.8,19270320.4
2018-03-15,15.0,15.1,14.7,14.75,18631484.75
2018-03-16,14.9,15.15,14.75,14.8,37725480.7
2018-03-19,15.0,15.1,14.5,14.6,13714088.1
2018-03-20,14.55,14.8,14.3,14.4,12375046.85
2018-03-21,14.45,14.65,14.35,14.4,12279146.15
2018-03-22,14.45,14.45,14.0,14.1,15890560.1
2018-03-23,13.9,13.9,13.6,13.65,13734153.25
2018-03-26,13.65,13.85,13.35,13.6,15972758.75
2018-03-27,13.8,14.4,13.75,13.95,15156874.85
2018-03-28,13.75,13.85,13.5,13.6,13830093.2
2018-04-02,13.95,13.95,13.6,13.75,10239182.6
2018-04-03,13.8,14.1,13.75,14.0,14348500.35
2018-04-04,14.05,14.25,13.8,13.85,12765619.3
2018-04-05,14.25,14.45,13.95,14.2,13672358.35
2018-04-06,14.25,14.45,14.05,14.3,11095588.65
2018-04-09,14.45,14.95,14.3,14.8,14022990.9
2018-04-10,14.85,14.9,14.6,14.65,8209302.35
2018-04-11,14.75,14.8,14.5,14.65,14598543.2
2018-04-12,14.65,14.65,14.25,14.35,5042120.05
2018-04-13,14.55,14.55,14.3,14.4,6457115.45
2018-04-16,14.3,14.4,14.1,14.3,4747708.65
2018-04-17,14.3,14.45,14.25,14.35,5467333.25
2018-04-18,14.45,14.45,14.0,14.15,6790230.85
2018-04-19,14.15,14.25,14.05,14.1,2511288.2
2018-04-20,14.2,14.4,13.95,14.0,6870927.4
2018-04-23,14.2,14.3,14.0,14.1,3799663.25
2018-04-24,14.1,14.25,13.8,13.85,5909338.1
2018-04-25,13.8,14.0,13.65,13.7,6706594.5
2018-04-26,13.9,14.0,13.5,13.65,8103541.3
2018-04-27,13.55,13.85,13.45,13.75,16879959.75
2018-04-30,13.85,13.95,13.75,13.95,4949345.5
2018-05-02,14.0,14.0,13.7,13.75,4192913.05
2018-05-03,13.95,13.95,13.45,13.55,5218071.85
2018-05-04,13.75,15.15,13.6,14.6,75874900.95
2018-05-07,14.7,14.85,14.4,14.6,17206891.2
2018-05-08,14.45,14.6,14.2,14.25,10157760.7
2018-05-09,14.1,14.25,13.95,14.0,3806904.7
2018-05-10,14.1,14.15,13.7,13.75,4208872.9
2018-05-11,13.75,13.8,13.55,13.65,5560873.55
2018-05-14,13.65,13.7,13.5,13.55,10694816.75
2018-05-15,13.6,13.65,13.4,13.55,6426250.2
2018-05-16,13.5,13.5,12.95,13.1,11292503.8
2018-05-17,13.3,13.3,13.05,13.15,3387178.05
2018-05-18,13.35,13.7,13.05,13.15,8626077.55
2018-05-21,13.8,13.85,13.25,13.5,10057112.4
2018-05-22,13.55,13.6,13.3,13.4,4175945.35
2018-05-23,13.4,13.65,12.9,13.05,14015253.85
2018-05-24,13.15,13.2,12.9,13.05,4546006.2
2018-05-25,13.2,13.3,13.05,13.25,2802845.1
2018-05-28,13.45,13.7,13.25,13.65,6806285.15
2018-05-29,13.65,13.8,13.4,13.45,5288523.65
2018-05-30,13.4,13.65,13.3,13.5,4103960.25
2018-05-31,13.65,13.65,13.4,13.45,2476619.2
2018-06-01,13.5,13.6,13.25,13.35,2875584.85
2018-06-04,13.6,13.6,12.85,12.9,5089047.95
2018-06-05,13.0,13.0,12.5,12.7,5515116.45
2018-06-06,12.95,13.25,12.7,13.15,5475611.35
2018-06-07,13.75,13.75,13.2,13.45,4217694.95
2018-06-08,13.5,14.1,13.4,14.0,15402684.3
