date,open,high,low,close,volume
2018-01-01,258.8,259.15,252.6,253.45,59216478.2
2018-01-02,253.6,256.0,248.0,250.55,74441009.1
2018-01-03,253.0,253.0,249.0,250.1,85545730.15
2018-01-04,251.0,259.4,247.0,255.2,240927426.9
2018-01-05,256.9,257.65,252.0,253.85,92159901.5
2018-01-08,255.65,257.8,253.0,255.2,86648898.05
2018-01-09,256.8,257.0,249.5,250.35,94626715.8
2018-01-10,252.0,254.85,250.2,251.0,83837504.25
2018-01-11,251.95,255.9,251.0,251.75,105159395.1
2018-01-12,259.0,259.45,251.3,254.0,165883291.2
2018-01-15,255.6,256.65,250.6,251.45,48733446.15
2018-01-16,253.65,254.65,245.0,246.45,228612950.3
2018-01-17,247.4,247.4,238.5,244.4,89788111.95
2018-01-18,245.6,247.5,237.2,238.65,41358300.05
2018-01-19,239.75,243.5,236.5,240.85,36129895.0
2018-01-22,241.9,241.9,237.5,238.45,23080074.6
2018-01-23,239.75,241.9,238.0,239.3,23833390.3
2018-01-24,241.0,241.2,235.0,236.0,31346236.3
2018-01-25,236.05,240.05,230.4,233.7,37465909.2
2018-01-29,233.1,236.0,228.5,229.15,28681955.5
2018-01-30,228.5,230.0,222.95,225.0,33540040.55
2018-01-31,225.0,230.7,219.95,221.3,48841597.65
2018-02-01,223.0,227.6,221.0,226.45,64279833.2
2018-02-02,224.0,225.75,208.55,212.9,235405861.1
2018-02-05,208.0,211.4,204.0,210.5,153319115.0
2018-02-06,200.5,209.9,200.0,205.5,77319403.2
2018-02-07,210.05,213.45,208.5,213.1,71977890.45
2018-02-08,213.15,216.5,212.5,215.7,65304464.75
2018-02-09,208.7,215.75,206.0,213.9,30897389.65
2018-02-12,221.9,221.9,213.8,215.35,43292026.4
2018-02-14,217.9,219.75,216.0,218.9,81401896.2
2018-02-15,220.7,222.95,217.85,219.3,33700435.3
2018-02-16,221.8,221.8,216.8,218.5,21195200.3
2018-02-19,220.0,226.55,218.35,225.3,31966552.75
2018-02-20,226.9,234.0,225.0,226.95,82398782.85
2018-02-21,237.8,238.0,227.1,229.2,138771032.0
2018-02-22,227.9,232.8,226.0,230.65,81928840.25
2018-02-23,232.4,232.4,227.7,230.05,38071958.1
2018-02-26,230.0,231.75,230.0,230.6,34034921.05
2018-02-27,231.8,240.25,231.0,237.95,159018464.8
2018-02-28,238.2,245.9,233.15,239.1,130448463.0
2018-03-01,240.95,242.2,236.1,237.3,33856636.3
2018-03-05,238.0,238.0,230.1,231.05,25720545.7
2018-03-06,235.6,235.6,226.2,230.8,43294015.7
2018-03-07,232.45,232.45,220.0,227.75,43821745.75
2018-03-08,227.75,231.95,221.3,223.55,33462606.0
2018-03-09,225.4,232.0,224.1,229.45,28073755.7
2018-03-12,233.0,233.0,222.05,225.7,21551229.0
2018-03-13,226.95,229.0,222.05,225.0,49836637.9
2018-03-14,225.9,226.35,216.85,222.2,53631662.8
2018-03-15,224.45,225.9,220.5,221.95,16331694.25
2018-03-16,222.1,226.6,220.2,223.4,50254686.35
2018-03-19,226.8,226.8,218.4,219.1,15912509.6
2018-03-20,219.85,219.85,213.4,214.95,82137344.7
2018-03-21,217.65,217.65,210.25,210.8,34426120.9
2018-03-22,211.9,215.05,209.25,209.55,24454150.2
2018-03-23,206.85,208.4,203.3,206.15,62306339.3
2018-03-26,208.8,210.9,203.6,208.2,75826975.65
2018-03-27,213.3,213.3,207.65,209.8,63919473.3
2018-03-28,212.0,219.7,206.1,214.75,82210058.7
2018-04-02,218.7,218.7,211.75,215.65,36906899.35
2018-04-03,220.0,223.0,217.25,221.05,191750394.7
2018-04-04,223.5,226.5,217.1,218.2,29666069.6
2018-04-05,221.85,223.6,221.0,223.05,14957928.65
2018-04-06,222.95,230.5,219.0,226.45,16236917.55
2018-04-09,226.45,228.35,221.0,224.0,36721243.45
2018-04-10,225.5,227.4,223.25,224.05,16653866.35
2018-04-11,225.6,225.6,217.6,218.7,26474368.55
2018-04-12,220.1,222.0,214.4,215.05,206221684.8
2018-04-13,215.25,217.3,209.6,211.9,32583684.4
2018-04-16,211.9,217.35,205.55,214.35,38178735.2
2018-04-17,217.6,219.2,214.5,216.4,37218226.0
2018-04-18,218.5,219.1,216.1,218.35,32829707.3
2018-04-19,219.95,236.9,218.85,232.25,195951620.1
2018-04-20,240.1,249.8,236.0,237.35,450638853.9
2018-04-23,237.35,239.9,232.35,237.3,110807369.4
2018-04-24,238.9,244.3,237.0,242.5,404375134.3
2018-04-25,241.0,242.5,235.55,240.45,371367897.2
2018-04-26,240.0,251.1,240.0,247.9,263905071.0
2018-04-27,249.65,249.95,245.35,247.75,93749781.35
2018-04-30,249.8,252.0,246.65,249.85,572776759.5
2018-05-02,251.2,251.85,241.8,243.0,66815750.7
2018-05-03,241.0,244.0,238.0,239.0,132731412.0
2018-05-04,238.0,240.5,236.0,238.6,30780407.5
2018-05-07,238.6,241.7,238.0,240.0,80151155.65
2018-05-08,242.0,242.0,238.5,240.0,122077124.9
2018-05-09,240.3,240.65,238.5,239.9,172550579.9
2018-05-10,240.0,241.5,233.55,239.55,48567671.75
2018-05-11,236.0,240.8,235.6,239.3,35876047.45
2018-05-14,240.0,241.6,237.65,239.95,27052732.3
2018-05-15,241.0,241.5,237.0,238.9,56554931.45
2018-05-16,238.3,242.0,235.95,239.25,51287073.25
