date,open,high,low,close,volume
2018-01-01,438.2,448.2,438.2,444.65,20834843.3
2018-01-02,443.95,450.0,439.3,448.55,47353662.8
2018-01-03,451.95,453.0,440.5,442.55,13415501.95
2018-01-04,445.0,454.95,441.1,450.2,74276431.1
2018-01-05,445.5,454.9,443.1,450.35,30837593.0
2018-01-08,455.0,465.45,451.7,463.2,135966616.4
2018-01-09,467.0,469.8,457.9,468.6,78830017.95
2018-01-10,467.0,474.5,464.0,470.5,87106963.1
2018-01-11,474.9,499.5,473.0,495.2,185966881.6
2018-01-12,503.3,559.9,500.0,539.1,690690574.0
2018-01-15,534.05,558.55,525.1,529.65,153576401.9
2018-01-16,525.0,529.7,500.2,502.75,72082197.45
2018-01-17,496.05,524.4,494.8,508.35,62270638.05
2018-01-18,515.0,515.3,496.0,499.4,31111016.05
2018-01-19,500.0,507.35,491.15,492.2,42727264.95
2018-01-22,492.95,501.85,485.3,491.65,21164813.15
2018-01-23,495.5,512.4,490.3,507.4,51674136.7
2018-01-24,507.0,514.0,495.0,508.45,71531314.35
2018-01-25,508.5,508.5,495.05,496.3,20538387.0
2018-01-29,500.0,505.0,477.1,483.7,20010654.85
2018-01-30,492.0,500.0,473.5,476.15,37878224.75
2018-01-31,486.0,486.0,457.8,460.6,66976046.75
2018-02-01,465.0,478.0,461.2,468.45,41026897.0
2018-02-02,461.15,476.35,452.0,475.15,59434481.4
2018-02-05,471.9,471.9,460.05,468.7,42834435.9
2018-02-06,450.0,468.0,441.2,466.15,47411324.45
2018-02-07,470.5,480.0,466.1,469.65,47647093.2
2018-02-08,475.15,479.1,468.05,475.2,17347782.6
2018-02-09,475.0,475.0,462.0,471.95,16932675.95
2018-02-12,475.1,476.0,469.05,471.5,9887824.5
2018-02-14,471.5,475.0,465.0,465.65,9497838.0
2018-02-15,466.0,474.45,460.2,463.4,9948447.95
2018-02-16,463.45,469.25,455.05,466.75,10896493.65
2018-02-19,472.6,472.6,452.5,454.45,7787534.25
2018-02-20,460.0,460.0,447.0,448.05,10514075.15
2018-02-21,456.95,456.95,444.0,446.0,7090696.5
2018-02-22,452.0,455.0,442.5,446.95,17965568.75
2018-02-23,443.9,449.9,443.9,446.65,9904380.1
2018-02-26,447.0,458.85,447.0,456.55,15365665.35
2018-02-27,460.2,460.2,450.0,458.55,10176550.75
2018-02-28,455.1,468.0,453.05,467.35,33967944.75
2018-03-01,460.1,489.9,460.1,479.95,80577881.5
2018-03-05,479.95,484.7,466.15,481.25,24828335.95
2018-03-06,481.25,489.9,473.9,484.45,103753348.1
2018-03-07,481.2,481.2,466.0,470.2,8986199.0
2018-03-08,467.65,477.3,465.2,468.5,7015786.75
2018-03-09,470.1,475.9,468.6,473.15,8745968.35
2018-03-12,470.0,514.0,470.0,510.7,169541623.4
2018-03-13,509.0,514.9,501.6,509.75,77565189.35
2018-03-14,506.75,506.75,495.2,496.45,10631337.2
2018-03-15,495.0,521.0,486.5,518.25,155898481.7
2018-03-16,522.0,538.8,518.55,535.65,189175589.8
2018-03-19,538.9,539.0,497.1,503.05,24320146.85
2018-03-20,500.0,501.95,480.0,482.45,14329558.6
2018-03-21,483.0,496.45,456.0,492.75,12049290.05
2018-03-22,490.0,495.0,479.0,482.1,9804539.5
2018-03-23,466.05,485.0,466.05,473.35,12784598.6
2018-03-26,479.9,479.9,457.05,462.8,145576786.2
2018-03-27,468.9,483.25,465.0,476.75,20982430.55
2018-03-28,476.0,489.95,469.25,484.8,10912112.65
2018-04-02,484.8,507.0,484.8,501.25,14479432.7
2018-04-03,504.85,509.0,491.5,495.35,111176367.2
2018-04-04,492.0,497.05,483.0,488.4,120044176.1
2018-04-05,491.0,498.95,487.0,495.8,26354167.05
2018-04-06,492.25,504.45,490.15,499.15,10590509.35
2018-04-09,488.15,504.0,488.15,496.8,84084840.85
2018-04-10,496.0,504.0,494.1,495.5,45278587.35
2018-04-11,495.4,500.05,494.0,495.05,7892786.05
2018-04-12,495.0,496.95,487.1,489.2,37708679.15
2018-04-13,494.0,496.8,488.3,490.05,3429298.4
2018-04-16,485.0,494.95,485.0,489.05,5156071.2
2018-04-17,492.05,492.3,485.0,486.05,4346237.25
2018-04-18,490.05,490.05,481.0,483.1,7049976.95
2018-04-19,485.9,488.8,476.7,486.2,5107868.85
2018-04-20,482.0,492.0,482.0,485.5,4719086.55
2018-04-23,487.5,489.55,484.0,484.9,4956797.85
2018-04-24,484.4,495.55,484.4,487.2,28449327.2
2018-04-25,485.55,491.95,475.1,477.75,33199852.7
2018-04-26,485.95,488.0,478.0,483.25,129967687.4
2018-04-27,493.9,494.0,484.0,487.2,8992222.05
2018-04-30,488.0,498.1,484.25,485.9,125229359.6
2018-05-02,486.5,495.0,486.0,490.55,84843373.4
2018-05-03,500.0,501.9,483.05,491.35,24044128.2
2018-05-04,495.9,495.9,486.25,490.05,8473281.5
2018-05-07,502.35,529.75,498.0,522.65,98878786.3
2018-05-08,521.95,529.8,513.0,519.1,24796478.55
2018-05-09,519.0,552.0,515.25,549.35,108341822.3
2018-05-10,549.0,574.5,544.05,566.5,306976791.5
2018-05-11,574.0,574.0,549.9,555.15,42371611.4
2018-05-14,545.0,578.95,545.0,554.35,47055066.7
2018-05-15,555.0,566.9,525.05,535.2,16531123.8
2018-05-16,554.0,564.45,532.05,560.3,49253966.85
2018-05-17,564.05,578.95,531.25,536.55,82201192.6
2018-05-18,541.1,564.0,539.7,544.1,61350813.5
2018-05-21,535.45,560.0,522.2,535.05,17646708.35
2018-05-22,539.0,544.05,526.25,534.25,91049055.0
2018-05-23,536.0,549.0,531.0,539.95,38879911.5
2018-05-24,541.7,560.0,531.0,554.75,19705238.75
2018-05-25,557.3,560.0,545.0,554.85,19255288.4
2018-05-28,550.3,607.2,550.3,592.4,141027706.7
2018-05-29,590.0,590.05,567.55,580.8,46850384.1
2018-05-30,579.0,589.45,571.45,577.0,51384917.7
2018-05-31,577.0,589.8,567.05,569.7,10383627.9
2018-06-01,567.5,573.9,562.15,565.1,13267908.7
2018-06-04,567.1,573.0,565.15,567.15,5868764.15
2018-06-05,568.0,570.0,540.1,544.35,26375508.55
2018-06-06,540.0,560.0,540.0,550.1,17691275.4
2018-06-07,549.55,572.9,549.55,560.55,11004439.65
2018-06-08,558.9,559.9,550.0,551.85,5726633.8
2018-06-11,550.3,592.4,550.3,585.95,23690999.95
2018-06-12,586.0,589.45,570.25,574.05,8464477.7
2018-06-13,574.0,580.9,570.35,573.7,7162236.2
2018-06-14,573.05,613.0,573.05,609.55,131704413.4
2018-06-15,608.45,620.8,605.85,618.7,165326366.4
2018-06-18,610.3,639.0,609.9,631.0,126019330.7
2018-06-19,625.0,648.5,615.1,636.25,128110579.8
2018-06-20,633.5,654.0,617.1,623.95,127120720.9
2018-06-21,621.5,625.6,610.1,612.8,18814015.9
2018-06-22,610.05,616.45,600.9,604.65,44004250.1
2018-06-25,604.65,604.9,583.55,595.2,17498449.55
2018-06-26,585.0,606.85,582.1,596.35,47938396.3
2018-06-27,596.0,597.15,570.0,572.65,32867918.3
2018-06-28,573.0,580.35,543.75,551.55,58379082.85
2018-06-29,552.0,574.4,549.1,553.05,20176815.85
2018-07-02,557.15,580.0,550.0,573.15,15366599.55
2018-07-03,580.0,584.0,562.15,568.85,31382310.35
2018-07-04,568.95,580.0,566.55,574.05,28390266.6
2018-07-05,581.9,597.75,575.15,594.4,42643922.8
2018-07-06,593.85,613.95,585.1,609.95,35039303.6
2018-07-09,620.0,621.0,610.0,614.7,27874509.95
2018-07-10,610.0,625.0,607.15,609.6,26235484.2
2018-07-11,600.25,614.0,595.95,601.75,192359687.2
2018-07-12,606.25,606.25,587.0,590.3,9031148.0
2018-07-13,584.6,592.8,575.15,577.9,9738936.75
2018-07-16,575.2,575.2,552.6,559.8,21655292.65
2018-07-17,559.8,594.0,555.05,584.8,22537775.6
2018-07-18,574.05,584.0,566.0,574.1,15390491.3
2018-07-19,584.95,584.95,565.1,567.55,8803314.95
2018-07-20,567.5,574.3,549.15,557.7,24016938.95
2018-07-23,558.0,578.0,558.0,574.05,103563493.3
2018-07-24,566.0,583.0,566.0,576.25,40437290.5
2018-07-25,583.0,618.0,574.0,602.6,15551462.15
2018-07-26,606.6,622.0,605.9,607.9,105395294.8
