date,open,high,low,close,volume
2018-01-01,2774.2,2795.0,2752.55,2781.1,5634404.45
2018-01-02,2769.9,2785.0,2745.0,2750.85,15956424.8
2018-01-03,2764.7,2764.7,2702.0,2740.05,7032551.7
2018-01-04,2750.05,2760.0,2717.95,2739.7,5483407.05
2018-01-05,2765.35,2897.0,2750.05,2853.95,27612328.1
2018-01-08,2899.0,2920.0,2850.0,2883.15,21386255.1
2018-01-09,2850.05,2930.05,2824.95,2862.75,17105180.45
2018-01-10,2875.05,2878.1,2825.0,2843.15,12699957.85
2018-01-11,2883.95,2883.95,2772.05,2791.35,10183408.5
2018-01-12,2795.2,2820.0,2750.0,2758.05,9088665.8
2018-01-15,2799.0,2900.0,2759.1,2845.65,27300518.95
2018-01-16,2850.3,2850.3,2760.0,2766.35,5825231.15
2018-01-17,2751.15,2809.0,2741.05,2775.3,3497087.1
2018-01-18,2785.85,2829.75,2751.0,2756.65,9339361.75
2018-01-19,2727.5,2779.0,2711.25,2761.25,4557376.25
2018-01-22,2734.0,2798.0,2734.0,2794.8,4546837.8
2018-01-23,2836.95,2836.95,2749.0,2757.35,11330319.15
2018-01-24,2766.45,2775.0,2700.0,2720.25,13070362.7
2018-01-25,2712.4,2806.0,2712.4,2800.0,16176176.0
2018-01-29,2825.0,2847.95,2720.0,2729.4,17765011.95
2018-01-30,2714.15,2715.55,2675.0,2683.0,5869882.4
2018-01-31,2685.05,2700.05,2650.05,2665.3,4444602.0
2018-02-01,2650.1,2750.0,2455.0,2719.4,9060942.95
2018-02-02,2700.05,2700.05,2580.0,2602.0,7986359.9
2018-02-05,2505.8,2570.0,2505.8,2548.15,10339034.25
2018-02-06,2461.25,2517.0,2440.0,2498.7,19535773.6
2018-02-07,2548.65,2580.0,2423.0,2559.2,18300229.25
2018-02-08,2559.95,2614.0,2520.0,2570.1,9425154.95
2018-02-09,2450.0,2510.15,2450.0,2456.65,14168939.0
2018-02-12,2471.0,2471.05,2440.0,2445.35,13162123.35
2018-02-14,2479.0,2488.35,2436.0,2446.35,15282969.8
2018-02-15,2447.35,2457.7,2420.1,2430.75,8594079.0
2018-02-16,2439.9,2459.95,2420.05,2446.2,2745724.9
2018-02-19,2453.0,2453.0,2410.05,2422.85,4002933.75
2018-02-20,2410.3,2424.0,2380.05,2393.9,5863311.3
