date,open,high,low,close,volume
2018-01-01,322.5,323.95,319.0,320.7,111244142.3
2018-01-02,321.1,326.9,317.75,325.7,284128832.2
2018-01-03,327.0,327.95,319.75,320.85,375314698.5
2018-01-04,320.2,324.0,320.2,323.35,341841144.8
2018-01-05,322.1,328.0,319.65,326.95,449487508.2
2018-01-08,328.0,328.0,322.15,323.15,420581497.8
2018-01-09,323.7,325.65,320.8,323.85,162518477.8
2018-01-10,324.0,326.3,319.25,321.65,224244857.4
2018-01-11,320.0,321.15,314.1,316.3,394041820.7
2018-01-12,317.75,318.5,309.55,312.7,507262942.3
2018-01-15,313.15,315.75,310.25,311.4,191718275.9
2018-01-16,312.4,315.3,311.5,313.65,190664469.3
2018-01-17,313.45,314.25,305.4,310.75,465563825.3
2018-01-18,315.6,316.5,307.55,311.0,297004003.2
2018-01-19,314.0,315.5,310.2,314.1,152752274.6
2018-01-22,314.1,318.4,312.5,316.35,147394724.0
2018-01-23,318.1,319.65,312.65,313.85,188659505.8
2018-01-24,312.75,315.4,311.0,312.65,166803301.7
2018-01-25,312.65,312.9,304.4,307.45,524662305.4
2018-01-29,308.25,312.0,306.1,310.7,241989943.6
2018-01-30,310.7,316.8,308.5,315.45,371693239.6
2018-01-31,314.9,315.35,307.55,309.4,224215386.3
2018-02-01,307.75,312.55,306.0,310.7,264100139.8
2018-02-02,308.1,312.95,301.8,304.5,351609059.1
2018-02-05,300.0,304.55,294.55,295.4,382872447.5
2018-02-06,289.0,300.5,284.15,299.2,628469057.7
2018-02-07,304.0,304.0,298.85,300.35,484362132.4
2018-02-08,301.7,304.0,299.25,300.1,357554686.6
2018-02-09,298.1,299.5,294.1,297.2,184923363.9
2018-02-12,306.7,311.65,301.9,310.05,1079769788.0
2018-02-14,315.0,317.45,313.0,315.6,715759790.6
2018-02-15,316.7,319.0,307.75,309.95,489250841.3
2018-02-16,311.4,311.4,303.15,306.75,269389106.0
2018-02-19,307.55,309.15,303.15,306.85,176821913.9
2018-02-20,306.9,310.85,305.4,308.45,172271713.3
2018-02-21,311.0,311.0,304.15,306.95,147375411.3
2018-02-22,306.4,307.0,301.2,302.9,177097273.4
2018-02-23,303.0,307.2,300.3,306.65,274081341.5
2018-02-26,307.35,312.45,304.0,307.25,902663700.6
2018-02-27,307.95,314.9,306.6,312.6,299973984.6
2018-02-28,308.9,314.5,306.85,308.15,315230870.3
2018-03-01,308.25,313.85,306.05,312.15,256185705.5
2018-03-05,309.95,311.0,304.95,308.5,217244259.1
2018-03-06,309.65,313.4,306.35,309.5,199583617.1
2018-03-07,310.5,312.0,304.85,305.5,257409007.6
2018-03-08,306.9,308.65,302.3,303.3,122060344.8
2018-03-09,304.1,311.5,302.6,308.6,264736686.4
2018-03-12,310.2,312.2,305.85,309.45,137309989.6
2018-03-13,308.2,312.0,307.35,309.55,340884113.3
2018-03-14,308.0,310.8,302.1,304.2,317547450.1
2018-03-15,302.9,303.8,300.4,301.1,491306894.9
2018-03-16,301.1,304.7,299.55,301.25,797353745.1
2018-03-19,303.0,305.0,300.2,303.25,357524863.4
2018-03-20,302.4,319.75,302.0,318.95,1018613049.0
2018-03-21,319.75,328.0,316.25,325.8,1030786452.0
2018-03-22,325.6,327.5,321.25,322.95,443008011.3
2018-03-23,318.85,327.7,317.5,325.55,406111161.5
2018-03-26,327.0,333.8,327.0,329.65,517251710.2
2018-03-27,330.15,331.0,321.55,325.65,316593602.2
2018-03-28,325.15,332.15,324.05,326.05,448649046.3
2018-04-02,327.25,334.35,324.65,328.35,409324535.2
2018-04-03,327.85,328.75,320.6,325.0,360842159.3
2018-04-04,326.0,328.45,324.55,325.85,274948875.9
2018-04-05,328.8,329.8,320.05,323.75,408297938.8
2018-04-06,323.05,324.45,318.3,320.65,212086408.9
2018-04-09,320.65,330.2,320.65,328.15,550120536.2
2018-04-10,328.5,331.75,322.85,324.4,401239071.4
2018-04-11,325.1,325.2,320.15,321.05,307626173.0
2018-04-12,321.4,323.05,318.6,319.8,234105967.3
2018-04-13,320.5,320.5,314.9,316.05,516969953.2
2018-04-16,313.2,319.95,313.2,319.1,236261520.8
2018-04-17,322.9,322.9,319.2,319.85,254225113.7
2018-04-18,320.5,323.4,317.45,319.05,368068332.1
2018-04-19,319.75,322.5,319.4,320.3,278604420.7
2018-04-20,319.8,320.15,315.5,316.9,172705370.0
2018-04-23,317.95,320.6,316.0,316.95,154320443.3
2018-04-24,317.65,319.7,314.6,316.2,401183014.7
2018-04-25,316.8,325.0,315.55,323.2,444790604.2
2018-04-26,324.5,325.75,316.2,319.45,1156435043.0
2018-04-27,318.5,324.25,318.5,321.1,372323695.1
2018-04-30,323.0,334.05,321.7,332.55,635821672.8
2018-05-02,333.0,347.8,312.3,317.15,2346352605.0
2018-05-03,311.0,317.2,304.55,312.1,1111289884.0
2018-05-04,314.0,328.4,314.0,316.85,1313458387.0
2018-05-07,319.0,322.45,313.2,320.05,733418542.1
2018-05-08,319.85,321.15,317.2,318.95,477365121.3
2018-05-09,318.75,319.15,312.05,315.3,450956540.6
2018-05-10,315.6,318.2,314.0,315.15,395533889.8
2018-05-11,315.6,316.5,308.5,309.95,458664206.2
2018-05-14,310.3,314.5,309.55,312.55,123638084.7
2018-05-15,313.25,315.0,309.45,312.35,350063699.8
2018-05-16,311.45,321.0,310.0,318.2,988974542.6
2018-05-17,319.7,323.9,317.3,321.1,983267844.3
2018-05-18,322.45,322.45,316.15,318.2,271518569.6
2018-05-21,318.5,319.45,308.0,309.75,398739760.1
2018-05-22,311.0,313.45,308.4,312.85,175176477.3
2018-05-23,313.0,314.45,309.5,310.4,144131234.6
2018-05-24,310.6,319.35,309.4,314.05,1108457616.0
2018-05-25,312.85,318.5,312.85,317.75,281588903.8
2018-05-28,318.9,323.35,316.5,319.85,256408181.5
2018-05-29,319.15,322.3,317.8,320.6,181090027.5
2018-05-30,320.0,323.0,315.85,318.5,302218203.9
2018-05-31,319.0,323.5,315.0,321.85,713115874.6
2018-06-01,323.5,328.75,322.1,324.4,515715943.1
2018-06-04,325.5,326.25,319.8,322.65,466977150.4
2018-06-05,322.95,328.95,322.05,326.45,706503582.5
2018-06-06,326.55,337.0,324.95,335.4,694161254.4
2018-06-07,336.05,338.9,332.25,334.0,286407221.9
2018-06-08,332.3,345.95,331.9,343.65,509998657.0
2018-06-11,346.0,352.9,342.5,349.65,858647162.4
2018-06-12,348.0,349.0,341.2,342.3,407058819.8
2018-06-13,342.35,344.2,336.1,337.05,244329796.9
2018-06-14,334.1,344.85,332.6,344.15,437999430.8
2018-06-15,346.0,346.25,335.6,338.6,464358589.3
2018-06-18,339.95,342.55,336.8,338.05,146028238.3
2018-06-19,338.0,338.25,330.95,334.4,422424866.1
2018-06-20,335.9,336.55,333.0,335.4,314449509.4
2018-06-21,335.7,337.0,328.7,335.25,384750827.7
2018-06-22,334.9,336.8,331.25,333.55,267068284.7
2018-06-25,334.0,334.75,329.4,331.2,224764982.1
2018-06-26,330.3,345.5,330.3,340.8,756114464.0
2018-06-27,340.95,342.2,333.9,335.7,390022911.0
2018-06-28,332.25,337.2,330.25,332.6,417597434.0
2018-06-29,334.0,335.25,328.4,331.65,410974281.7
2018-07-02,331.65,334.95,330.75,333.5,235771406.6
2018-07-03,334.25,342.2,330.0,340.8,537507600.6
2018-07-04,340.9,345.3,337.7,343.85,342476557.6
2018-07-05,343.85,349.7,342.2,345.7,394478749.7
2018-07-06,346.0,348.5,342.0,347.15,458456188.7
2018-07-09,348.0,349.95,344.7,347.55,180767292.1
2018-07-10,346.0,352.65,346.0,350.3,388279536.5
2018-07-11,351.0,353.25,341.75,343.05,280935330.2
2018-07-12,344.0,354.2,342.7,350.9,1432268257.0
2018-07-13,354.5,366.2,350.95,354.9,1672949842.0
2018-07-16,355.25,359.65,349.6,351.75,671746236.8
2018-07-17,353.7,353.7,344.5,347.95,794980437.7
2018-07-18,350.8,356.75,346.1,349.3,524957429.3
2018-07-19,349.95,352.3,340.6,346.0,454416005.0
2018-07-20,347.5,352.8,345.25,351.35,891521673.4
2018-07-23,353.9,355.45,345.55,352.05,502099701.5
2018-07-24,353.45,356.15,349.05,353.55,1100318500.0
2018-07-25,355.3,360.35,353.0,358.05,1589566147.0
2018-07-26,356.5,365.55,356.05,364.5,964088557.2
2018-07-27,365.0,374.75,359.4,361.15,1089674337.0
2018-07-30,362.2,367.6,361.0,363.8,252681660.2
2018-07-31,364.9,367.0,359.25,364.1,1077691089.0
2018-08-01,365.5,369.95,364.1,368.5,1020119844.0
2018-08-02,369.45,370.35,348.4,351.4,2454497882.0
2018-08-03,350.0,356.4,345.3,352.5,1165410596.0
2018-08-06,354.25,364.1,354.0,362.95,771018886.0
2018-08-07,364.0,365.5,358.7,361.7,491660393.4
2018-08-08,363.0,364.55,359.5,361.65,359485218.3
2018-08-09,362.7,367.15,360.0,363.75,353728730.5
2018-08-10,363.75,366.9,363.2,365.0,529390628.8
2018-08-13,361.2,365.05,358.65,359.55,247484759.9
2018-08-14,361.4,365.4,360.5,364.35,370218619.9
2018-08-16,364.0,369.8,361.2,363.3,414698004.2
2018-08-17,363.35,372.0,363.35,371.15,365173019.3
2018-08-20,370.85,371.5,363.1,364.25,445844833.3
2018-08-21,363.95,364.1,359.5,362.35,581776066.0
2018-08-23,364.05,384.3,361.8,381.9,1529114198.0
2018-08-24,382.35,387.85,376.3,378.7,1390993957.0
2018-08-27,379.45,386.35,374.3,377.0,513523506.5
2018-08-28,377.5,380.0,367.4,371.5,789683726.8
2018-08-29,373.0,374.95,367.0,368.7,295056660.8
2018-08-30,370.9,377.1,367.85,370.2,739273044.4
2018-08-31,371.6,374.95,362.8,369.45,1313726596.0
2018-09-03,373.1,374.7,359.5,361.0,734233194.3
2018-09-04,362.9,364.55,353.1,354.5,428111209.3
2018-09-05,354.4,354.9,346.25,352.05,492822484.2
2018-09-06,354.8,359.25,350.15,356.3,458861378.8
2018-09-07,355.0,361.25,353.0,357.45,361135952.4
