date,open,high,low,close,volume
2018-01-01,124.45,125.5,122.0,122.7,32428545.6
2018-01-02,123.35,123.35,122.0,122.3,7742953.8
2018-01-03,122.3,124.3,122.3,123.35,14360345.95
2018-01-04,122.55,123.85,122.55,123.4,8781729.5
2018-01-05,124.0,127.0,122.85,123.55,55132024.55
2018-01-08,124.0,124.45,120.0,120.45,54357372.0
2018-01-09,123.9,129.0,123.2,124.75,259284113.3
2018-01-10,125.9,127.5,122.3,122.5,56918433.05
2018-01-11,123.3,124.15,120.5,121.4,73487001.5
2018-01-12,123.0,123.0,121.0,121.8,38942314.15
2018-01-15,123.0,123.35,121.05,121.6,38958613.1
2018-01-16,122.05,123.9,119.2,121.75,32105309.45
2018-01-17,121.05,123.0,119.0,121.2,91183451.75
2018-01-18,121.2,122.2,118.5,119.15,16576391.3
2018-01-19,119.0,120.7,113.5,117.25,36029410.15
2018-01-22,116.0,118.9,116.0,118.25,27683903.55
2018-01-23,118.5,120.1,117.95,119.65,42385735.25
2018-01-24,121.5,121.5,116.7,117.2,6561560.5
2018-01-25,119.6,119.6,110.95,116.1,71256652.55
2018-01-29,118.9,118.9,112.65,115.0,16977930.6
2018-01-30,113.5,117.55,113.5,115.5,33348147.55
2018-01-31,114.95,115.2,113.5,114.0,38606300.2
2018-02-01,114.0,118.0,113.3,117.0,22986485.9
2018-02-02,116.95,117.5,114.0,114.9,67257538.25
2018-02-05,114.9,115.05,111.2,113.9,27164976.7
2018-02-06,109.85,110.55,108.05,108.65,19518712.0
2018-02-07,109.65,114.4,109.55,112.95,41423780.45
2018-02-08,113.4,114.0,110.9,111.65,5263736.4
2018-02-09,110.0,113.05,108.0,109.6,44086743.6
2018-02-12,109.7,112.0,107.85,110.35,26051312.05
2018-02-14,111.45,113.3,111.0,112.1,44147366.55
2018-02-15,113.15,113.15,103.35,104.75,28044720.8
2018-02-16,105.0,108.7,97.0,98.75,114453100.3
2018-02-19,99.6,99.6,96.8,97.75,30894337.1
2018-02-20,97.55,97.8,95.8,96.6,39664099.7
2018-02-21,97.9,100.9,97.0,97.7,91375371.7
2018-02-22,97.2,97.3,95.6,95.9,67856410.9
2018-02-23,95.9,96.85,95.25,95.7,43962474.9
2018-02-26,96.6,97.7,95.55,96.6,37704518.05
2018-02-27,97.55,98.2,95.5,95.95,25099427.9
2018-02-28,95.95,96.8,95.6,96.0,43954083.7
2018-03-01,95.15,96.65,95.15,95.9,58784957.2
2018-03-05,96.0,96.8,95.5,95.95,25087426.05
2018-03-06,96.8,96.95,95.05,95.7,49288312.65
2018-03-07,96.0,96.0,94.05,94.6,17253107.4
2018-03-08,94.55,94.8,93.75,93.95,31655845.6
2018-03-09,94.85,94.85,92.95,93.65,52854327.3
2018-03-12,93.65,94.05,88.8,92.6,82916033.95
2018-03-13,91.6,95.0,90.2,92.1,38348597.6
2018-03-14,90.5,91.9,90.15,91.15,112154296.2
2018-03-15,90.0,96.1,90.0,93.8,19007046.75
2018-03-16,94.65,94.65,89.3,90.25,16034538.25
2018-03-19,91.15,91.8,87.75,90.75,47113595.05
2018-03-20,91.0,91.0,89.25,89.75,19663688.5
2018-03-21,90.5,90.5,88.05,88.35,54720609.35
2018-03-22,88.0,90.0,88.0,88.15,6972387.8
2018-03-23,88.5,88.5,85.85,86.0,14268140.75
2018-03-26,88.95,88.95,83.45,84.7,31861129.0
2018-03-27,85.05,88.15,84.6,85.4,20625689.75
2018-03-28,85.15,85.95,81.15,83.7,29817467.65
2018-04-02,85.0,85.5,84.75,85.15,17546250.25
2018-04-03,82.8,85.25,82.8,84.95,5005176.55
2018-04-04,86.9,86.9,84.55,85.0,39947211.8
2018-04-05,85.8,86.0,82.6,83.35,17062733.05
2018-04-06,84.15,84.55,81.55,83.35,22697052.25
2018-04-09,85.0,87.7,83.05,84.4,60613590.5
2018-04-10,84.9,86.2,84.35,85.45,20333441.15
2018-04-11,86.0,86.25,83.2,83.75,30327317.25
2018-04-12,84.0,85.05,83.85,84.85,15811227.75
2018-04-13,84.1,84.95,84.0,84.45,6279118.2
2018-04-16,84.0,84.75,82.5,84.3,6261663.5
2018-04-17,84.75,85.0,83.0,84.3,7357228.65
2018-04-18,83.3,85.0,83.3,84.05,12806866.6
2018-04-19,84.85,85.1,84.1,84.8,23893127.25
2018-04-20,84.5,87.7,82.4,83.0,45251738.9
2018-04-23,83.25,84.9,82.0,82.9,7591511.2
2018-04-24,83.2,83.8,82.35,82.8,12246995.35
2018-04-25,83.05,83.05,81.0,81.15,21290327.25
2018-04-26,81.15,82.0,79.5,79.85,17565263.45
2018-04-27,81.0,81.0,78.85,79.15,94113977.8
2018-04-30,79.9,81.35,79.35,79.6,9772514.0
2018-05-02,79.9,82.5,79.6,81.1,26122070.7
2018-05-03,81.1,81.75,79.9,81.15,7896165.8
2018-05-04,80.3,87.5,80.25,82.8,373243523.0
2018-05-07,84.0,86.7,83.5,85.15,195099382.1
2018-05-08,85.9,86.7,84.0,84.8,64946728.15
2018-05-09,85.4,85.4,83.7,84.3,58192968.6
2018-05-10,84.5,84.85,80.5,81.1,32718575.35
2018-05-11,81.55,82.3,80.0,81.05,19365434.2
2018-05-14,82.0,82.25,80.0,81.55,139390352.6
2018-05-15,82.0,84.7,80.35,80.7,24597737.45
2018-05-16,80.05,81.95,78.85,81.25,29577006.5
2018-05-17,80.6,85.0,80.4,84.15,26541908.65
2018-05-18,84.8,85.5,81.6,82.1,34097567.8
2018-05-21,82.75,82.75,79.7,80.9,19921906.15
2018-05-22,80.75,81.25,79.3,79.7,14473667.75
2018-05-23,79.9,80.15,78.1,78.55,11905343.5
2018-05-24,78.75,80.4,75.75,79.0,23989917.8
2018-05-25,79.0,79.65,76.6,78.05,35065975.55
2018-05-28,79.0,83.0,77.35,82.2,14769422.3
2018-05-29,82.85,85.0,82.25,84.35,31234491.55
2018-05-30,83.8,85.9,82.3,84.45,37898560.9
2018-05-31,84.6,85.5,83.25,84.6,12803937.55
2018-06-01,85.4,85.4,80.8,82.4,10113345.55
2018-06-04,82.4,83.65,78.4,81.0,12931840.4
2018-06-05,80.8,80.8,77.7,78.2,14622933.2
2018-06-06,77.5,81.8,77.5,79.8,12275818.1
2018-06-07,79.85,84.0,79.85,82.2,10065194.15
2018-06-08,82.0,85.0,81.45,83.95,15974894.5
2018-06-11,83.15,84.5,82.2,82.6,15141105.4
2018-06-12,82.4,83.7,81.8,82.9,14547412.8
2018-06-13,82.8,83.75,80.8,81.2,13164510.95
2018-06-14,80.25,81.4,79.5,79.65,15757321.6
2018-06-15,79.7,80.1,77.8,78.45,15798186.75
2018-06-18,78.55,78.55,76.0,76.55,23153307.75
2018-06-19,76.05,78.35,74.0,77.6,20988351.5
2018-06-20,77.6,79.2,76.3,78.65,6221343.65
2018-06-21,78.05,79.7,77.05,78.3,4339551.05
2018-06-22,76.3,79.5,76.3,79.0,4895700.9
2018-06-25,78.05,79.5,75.75,76.55,10376362.2
2018-06-26,75.25,76.95,72.95,73.65,41721014.2
2018-06-27,74.3,74.8,68.75,70.15,67455502.55
2018-06-28,70.2,72.5,70.1,71.65,5101920.55
