date,open,high,low,close,volume
2018-01-01,610.8,618.35,605.3,606.9,194634109.1
2018-01-02,603.05,611.35,598.0,605.05,319075917.0
2018-01-03,606.0,613.8,595.7,599.3,517627964.5
2018-01-04,601.0,605.75,593.05,599.9,672683369.1
2018-01-05,600.5,605.0,597.0,602.3,545760501.6
2018-01-08,602.5,643.2,602.5,632.65,1136866438.0
2018-01-09,632.5,632.5,615.35,626.05,263218998.2
2018-01-10,625.95,633.0,620.55,623.85,535296942.3
2018-01-11,627.0,638.0,617.6,621.2,731999673.5
2018-01-12,625.0,637.0,623.05,633.75,658543459.1
2018-01-15,635.0,640.85,622.65,627.5,298458377.9
2018-01-16,631.95,635.45,616.6,619.75,325289119.5
2018-01-17,621.0,629.8,615.0,624.85,428504323.0
2018-01-18,665.2,693.6,663.2,684.15,4720256501.0
2018-01-19,685.0,706.0,671.2,702.4,1656834551.0
2018-01-22,700.0,764.3,693.45,757.35,4149078692.0
2018-01-23,750.0,775.0,742.9,762.55,2105261851.0
2018-01-24,758.0,784.0,748.8,753.45,3358327272.0
2018-01-25,762.8,770.25,747.0,749.55,1364250472.0
2018-01-29,750.0,770.8,749.0,761.95,1324365237.0
2018-01-30,758.0,772.7,756.0,764.45,783279452.4
2018-01-31,774.0,779.15,762.55,770.0,1225386279.0
2018-02-01,765.55,769.0,745.05,753.6,708983789.6
2018-02-02,750.0,758.0,730.2,735.15,672353527.9
2018-02-05,720.05,727.95,683.4,705.0,1197373386.0
2018-02-06,662.0,723.5,662.0,720.7,1485301173.0
2018-02-07,728.4,728.45,714.7,717.45,644027734.6
2018-02-08,721.0,750.0,717.4,733.3,1054241127.0
2018-02-09,725.0,732.65,713.7,717.2,482657777.8
2018-02-12,721.7,727.6,716.2,722.4,535237281.0
2018-02-14,724.9,738.75,719.75,723.6,752049816.1
2018-02-15,732.5,732.5,694.4,701.6,385560956.7
2018-02-16,705.4,720.0,705.05,713.2,498936154.8
2018-02-19,708.0,713.95,680.55,691.55,607535395.8
2018-02-20,696.75,704.95,687.4,697.8,335226011.1
2018-02-21,696.0,728.3,696.0,726.15,1589153742.0
2018-02-22,730.0,743.9,729.75,740.7,1444400509.0
2018-02-23,745.95,836.15,744.0,811.9,4709427000.0
2018-02-26,821.4,825.8,774.15,801.85,3269554289.0
2018-02-27,804.0,812.0,794.75,802.7,1200217856.0
2018-02-28,800.15,820.0,793.15,815.1,2240952928.0
2018-03-01,820.0,824.35,810.05,814.05,1099362449.0
2018-03-05,808.25,871.2,808.1,859.55,3502676055.0
2018-03-06,870.0,870.6,820.05,826.1,2161084701.0
2018-03-07,822.0,849.4,817.0,831.3,2446354840.0
2018-03-08,836.0,843.4,814.35,817.2,1441638346.0
2018-03-09,823.0,829.0,809.0,813.85,982609348.8
2018-03-12,819.0,828.0,810.6,815.15,1036977583.0
2018-03-13,816.25,825.0,795.2,800.85,1315182116.0
2018-03-14,800.0,815.0,791.75,799.55,1654491411.0
2018-03-15,801.55,849.9,801.55,843.65,3018979592.0
2018-03-16,839.0,842.95,809.1,812.35,1908283754.0
2018-03-19,819.5,819.5,772.4,779.4,1700910529.0
2018-03-20,772.0,782.9,751.2,772.95,2341151922.0
2018-03-21,780.0,807.0,779.25,790.9,2809945564.0
2018-03-22,793.0,795.0,767.55,772.65,1406271405.0
2018-03-23,760.0,787.0,744.65,782.75,1982927324.0
2018-03-26,779.95,786.0,767.0,771.9,1485455180.0
2018-03-27,776.7,781.95,770.1,772.8,921926091.6
2018-03-28,775.25,780.0,767.2,771.95,1213116760.0
2018-04-02,782.0,812.8,772.5,810.2,2127057291.0
2018-04-03,801.0,809.4,792.4,800.65,785020740.2
2018-04-04,807.9,808.45,776.75,779.55,790134947.4
2018-04-05,790.9,807.7,790.0,805.95,1419463223.0
2018-04-06,806.95,840.55,805.6,831.7,2490769633.0
2018-04-09,840.0,848.5,808.3,822.25,1717411936.0
2018-04-10,824.45,845.85,823.0,827.75,2029286297.0
2018-04-11,830.0,842.2,825.0,829.95,1023591600.0
2018-04-12,835.0,847.0,833.1,836.4,1573787998.0
2018-04-13,840.6,859.0,830.1,852.15,2572097159.0
2018-04-16,843.5,872.0,840.6,868.85,2254802323.0
2018-04-17,870.1,884.95,861.0,882.95,2443603208.0
2018-04-18,884.0,895.85,859.85,865.1,2911793171.0
2018-04-19,895.0,902.0,879.0,897.6,5145590810.0
2018-04-20,908.8,1013.45,903.05,979.85,10929110379.0
2018-04-23,978.95,1027.7,966.3,1000.6,9058494221.0
2018-04-24,1005.0,1011.8,978.0,999.95,3985683753.0
2018-04-25,993.0,1042.5,993.0,1033.7,6620844936.0
2018-04-26,1046.6,1088.0,1035.75,1070.6,5644625699.0
2018-04-27,1080.3,1080.3,1043.25,1050.7,2620570182.0
2018-04-30,1063.75,1098.0,1053.0,1084.6,3090435435.0
2018-05-02,1086.95,1101.2,1041.8,1051.65,1908480153.0
2018-05-03,1055.2,1091.6,1025.85,1031.85,4091348077.0
2018-05-04,1032.0,1037.95,997.05,1010.05,3324409018.0
2018-05-07,1020.0,1034.0,1006.55,1014.75,1322874366.0
2018-05-08,1024.8,1045.7,1018.0,1031.3,2620137319.0
2018-05-09,1035.95,1042.0,1011.15,1018.05,1872230564.0
2018-05-10,1026.0,1034.0,1014.2,1016.8,1419038096.0
2018-05-11,1026.8,1028.0,995.95,1007.55,1525174353.0
2018-05-14,1011.7,1011.7,987.8,994.1,1326651390.0
2018-05-15,983.4,1021.8,983.4,1001.15,1867677266.0
2018-05-16,999.95,1014.2,994.05,1005.25,1054742488.0
2018-05-17,1017.6,1017.8,995.9,1001.7,747834815.1
2018-05-18,1004.0,1011.8,998.8,1006.35,834183034.8
2018-05-21,1018.5,1036.4,1009.5,1029.6,2128985998.0
2018-05-22,1034.95,1040.0,1011.15,1018.9,1373253664.0
2018-05-23,1021.5,1045.0,1018.0,1033.9,1261623571.0
2018-05-24,1041.0,1055.0,1030.35,1038.35,1415350831.0
2018-05-25,1041.65,1052.0,1020.0,1023.6,1134345897.0
2018-05-28,1035.7,1036.35,1006.0,1011.45,761036388.9
2018-05-29,1013.0,1037.0,1005.4,1018.45,1224662159.0
2018-05-30,1018.95,1029.4,1012.6,1019.05,594886534.5
2018-05-31,1024.95,1025.15,1002.5,1007.95,1232671204.0
2018-06-01,1015.95,1025.0,984.0,1006.7,1302208165.0
2018-06-04,1011.75,1011.8,992.4,999.85,638446798.5
2018-06-05,1003.75,1009.9,966.95,990.85,1033587852.0
2018-06-06,994.05,1020.2,970.15,1013.8,1094743789.0
2018-06-07,1022.8,1026.6,1009.1,1013.4,581778803.4
2018-06-08,1016.85,1038.0,1010.55,1028.3,901377668.2
2018-06-11,1033.0,1036.65,1019.0,1032.9,565276103.4
2018-06-12,1030.05,1051.5,1022.0,1044.0,1256609734.0
2018-06-13,1048.95,1053.0,1024.2,1028.75,1047483578.0
2018-06-14,1020.05,1023.4,985.1,992.75,2217374128.0
2018-06-15,1001.0,1008.95,988.55,1002.5,1308512797.0
2018-06-18,1007.95,1008.45,988.0,991.9,638496370.6
2018-06-19,994.0,994.1,973.85,984.25,889023203.2
2018-06-20,989.95,1004.75,979.4,996.2,983933393.8
2018-06-21,998.0,1009.95,980.35,989.85,1006519963.0
2018-06-22,992.9,994.0,976.75,983.85,604846126.8
2018-06-25,985.85,986.35,946.7,953.2,1317215671.0
2018-06-26,952.0,972.5,916.55,967.05,2092515286.0
