date,open,high,low,close,volume
2018-01-01,1503.7,1516.4,1475.0,1482.8,47438816.1
2018-01-02,1480.0,1491.75,1450.0,1454.35,89109265.85
2018-01-03,1463.0,1505.0,1454.4,1479.3,195607356.8
2018-01-04,1480.1,1499.9,1480.1,1495.0,96335113.15
2018-01-05,1499.0,1587.9,1495.0,1576.15,560295862.9
2018-01-08,1580.0,1588.4,1548.0,1558.05,145364658.7
2018-01-09,1558.0,1585.0,1530.0,1539.0,83239809.7
2018-01-10,1540.0,1570.0,1531.8,1544.05,64062183.8
2018-01-11,1554.0,1574.0,1546.25,1565.25,74464175.3
2018-01-12,1575.0,1583.3,1521.1,1542.75,139825602.0
2018-01-15,1549.9,1562.0,1510.0,1517.95,90652267.4
2018-01-16,1520.0,1531.25,1479.25,1484.1,62847579.65
2018-01-17,1494.0,1498.9,1450.0,1468.55,90385073.55
2018-01-18,1478.0,1503.7,1390.0,1398.3,316698612.0
2018-01-19,1398.45,1443.6,1398.45,1419.7,122182101.4
2018-01-22,1429.0,1480.0,1420.0,1469.65,409725077.0
2018-01-23,1480.0,1489.4,1458.5,1470.0,159278889.5
2018-01-24,1477.45,1489.9,1402.55,1413.95,349945802.5
2018-01-25,1415.0,1424.95,1336.3,1357.1,260700780.2
2018-01-29,1358.0,1375.0,1280.3,1291.1,199612416.1
2018-01-30,1294.0,1294.0,1206.0,1232.45,263719701.5
2018-01-31,1234.0,1293.0,1225.05,1285.7,168903715.6
2018-02-01,1283.5,1325.0,1260.0,1283.85,190600240.1
2018-02-02,1269.0,1270.0,1212.05,1236.15,149524696.4
2018-02-05,1210.0,1220.0,1155.0,1168.25,142401091.8
2018-02-06,1118.25,1196.0,1086.05,1173.9,137865102.6
2018-02-07,1199.95,1221.0,1145.05,1152.45,128277476.7
2018-02-08,1178.0,1185.8,1146.0,1157.7,123533326.7
2018-02-09,1114.0,1159.5,1109.05,1129.6,385536083.7
2018-02-12,1153.9,1178.15,1137.85,1156.1,108322220.4
2018-02-14,1152.6,1180.0,1136.0,1154.35,215477164.3
2018-02-15,1167.6,1176.0,1143.0,1149.95,202489801.6
2018-02-16,1155.05,1173.4,1132.0,1139.15,128691812.0
2018-02-19,1144.0,1150.0,1091.0,1113.35,89907246.45
2018-02-20,1113.35,1121.95,1100.0,1113.05,143161053.6
2018-02-21,1119.0,1155.0,1107.05,1150.45,198232222.5
2018-02-22,1143.0,1195.0,1141.0,1192.15,170946902.0
2018-02-23,1194.0,1214.9,1170.05,1182.05,139845434.4
2018-02-26,1185.0,1192.95,1145.55,1156.65,116742590.0
2018-02-27,1160.0,1172.0,1138.1,1141.65,72871909.15
