date,open,high,low,close,volume
2018-01-01,85.65,87.8,85.25,85.7,598225795.8
2018-01-02,85.7,86.8,84.25,85.5,460689753.2
2018-01-03,85.9,87.3,85.6,86.3,474359382.2
2018-01-04,86.5,88.6,86.15,88.05,834341036.6
2018-01-05,89.8,89.8,86.85,87.35,706156717.1
2018-01-08,87.6,88.75,85.85,86.05,577411579.1
2018-01-09,87.1,87.35,84.25,84.8,620692973.8
2018-01-10,84.8,85.9,83.35,84.1,476811864.9
2018-01-11,84.15,85.6,83.8,84.4,314446297.3
2018-01-12,84.65,85.7,83.0,84.05,264095084.8
2018-01-15,85.0,87.1,84.6,86.35,739571289.2
2018-01-16,87.1,87.15,79.0,79.45,1062739719.0
2018-01-17,79.5,80.6,75.1,80.2,830507125.4
2018-01-18,80.6,80.95,74.55,75.3,1105726602.0
2018-01-19,75.9,77.3,74.65,77.0,650364576.3
2018-01-22,77.45,78.25,76.25,77.15,474778801.8
2018-01-23,77.5,80.7,77.2,78.5,938445908.2
2018-01-24,78.45,78.8,75.65,75.95,665554528.8
2018-01-25,76.05,77.95,76.05,76.9,777631351.0
2018-01-29,77.7,78.15,74.5,74.95,409604570.0
2018-01-30,75.2,76.5,74.65,75.5,342954618.5
2018-01-31,76.0,77.75,74.1,75.3,1092648627.0
2018-02-01,75.8,75.9,72.9,74.6,434508439.5
2018-02-02,73.85,74.6,68.8,70.0,876957771.1
2018-02-05,67.0,73.5,66.5,72.9,716726339.6
2018-02-06,68.5,71.9,67.55,70.4,388903906.8
2018-02-07,71.6,72.25,70.25,70.75,373927393.9
2018-02-08,71.5,72.65,70.3,71.65,262139997.8
2018-02-09,69.35,74.4,69.35,73.5,445792906.4
2018-02-12,77.5,78.9,74.85,75.25,1284834508.0
2018-02-14,76.1,76.7,74.0,74.45,476333426.8
2018-02-15,75.0,77.2,74.7,75.2,677598321.8
2018-02-16,71.1,71.9,69.2,70.0,597962398.1
2018-02-19,70.4,70.5,68.0,68.25,240732541.7
2018-02-20,68.3,69.4,67.0,67.3,271586393.1
2018-02-21,67.85,68.2,65.75,66.45,368039911.7
2018-02-22,66.1,66.95,64.6,65.0,629394988.8
2018-02-23,65.5,68.2,65.25,67.95,432494478.3
2018-02-26,68.65,69.6,66.75,67.75,657851118.9
2018-02-27,68.5,69.4,68.05,68.25,343880272.7
2018-02-28,67.4,69.0,66.0,68.55,287430090.7
2018-03-01,68.05,68.85,66.6,67.3,292014006.3
2018-03-05,66.65,66.65,63.35,63.85,469158314.7
2018-03-06,64.6,65.8,61.55,62.2,891410246.6
2018-03-07,62.0,63.15,60.7,62.9,984769669.7
2018-03-08,63.4,64.25,61.4,63.95,566708774.8
2018-03-09,64.1,64.4,62.15,62.5,315613950.5
2018-03-12,63.05,64.1,62.0,63.85,232391079.7
2018-03-13,63.25,64.6,63.1,63.9,191454710.6
2018-03-14,64.0,64.5,63.35,64.1,144023099.2
2018-03-15,64.0,66.2,63.7,65.8,369566400.5
2018-03-16,65.7,67.8,63.75,66.25,1374634810.0
2018-03-19,66.95,67.95,64.85,67.5,775303895.3
2018-03-20,66.9,67.4,65.25,65.95,344633521.5
2018-03-21,66.3,66.75,64.55,64.85,216791657.7
2018-03-22,64.7,70.25,64.65,69.2,1152802421.0
2018-03-23,66.7,67.2,65.1,66.45,567102959.2
2018-03-26,66.3,68.0,65.2,67.45,413521199.2
2018-03-27,67.95,68.7,66.65,67.7,473783504.7
2018-03-28,66.85,68.4,65.7,66.45,747899207.0
2018-04-02,66.6,67.65,66.2,67.3,141429512.8
2018-04-03,66.5,69.0,66.5,68.15,283651331.5
