date,open,high,low,close,volume
2018-01-01,110.05,110.9,108.25,108.4,71311575.9
2018-01-02,110.9,119.4,108.25,108.75,678548868.2
2018-01-03,109.7,111.0,107.85,108.8,205373521.5
2018-01-04,109.45,112.3,108.8,110.9,137584506.0
2018-01-05,111.5,113.9,111.05,111.55,260720740.3
2018-01-08,112.2,112.8,111.65,111.95,104682659.5
2018-01-09,112.75,113.45,110.6,110.9,85602600.7
2018-01-10,111.2,112.4,109.8,110.1,56589006.55
2018-01-11,110.0,113.5,109.0,109.95,104678504.8
2018-01-12,110.45,112.0,107.5,109.05,63306196.15
2018-01-15,109.6,109.85,108.7,109.0,99378980.05
2018-01-16,109.25,109.3,105.6,106.1,58473370.8
2018-01-17,105.9,108.35,102.45,107.0,83539233.5
2018-01-18,107.85,108.1,104.75,105.1,161089422.3
2018-01-19,105.25,105.9,103.4,104.65,52642218.3
2018-01-22,104.7,107.8,104.1,106.9,44749276.45
2018-01-23,107.05,107.75,105.55,106.0,65807420.55
2018-01-24,106.6,106.95,105.6,106.3,64601854.25
2018-01-25,107.9,107.9,102.7,103.5,440776820.4
2018-01-29,104.8,105.6,102.15,102.45,56341997.65
2018-01-30,102.7,104.0,102.0,103.6,27293262.85
2018-01-31,103.35,104.8,102.6,103.8,36818150.55
2018-02-01,104.0,106.6,101.65,102.4,71734872.95
2018-02-02,100.95,103.15,100.55,102.2,108873024.5
2018-02-05,100.7,101.0,95.05,100.25,84425516.0
2018-02-06,96.8,99.0,96.4,98.25,35538668.55
2018-02-07,100.0,101.9,99.3,100.2,40474237.5
2018-02-08,101.6,103.6,101.0,102.6,51975664.45
2018-02-09,100.0,102.2,99.95,101.2,32326368.1
2018-02-12,102.15,104.15,100.85,101.8,67813226.1
2018-02-14,102.3,104.85,101.5,103.3,83950091.2
2018-02-15,103.05,103.05,99.1,99.55,62335326.85
2018-02-16,100.3,100.9,97.05,98.7,66554572.3
2018-02-19,99.8,100.9,97.3,100.35,69083746.5
2018-02-20,101.1,101.35,98.65,99.45,72523338.15
2018-02-21,99.55,101.55,99.15,99.55,40277830.25
2018-02-22,99.05,100.5,99.05,99.8,31826349.6
2018-02-23,100.5,100.5,99.75,99.95,11417733.35
2018-02-26,99.95,100.75,99.3,99.7,152630098.4
2018-02-27,100.0,100.25,98.1,98.4,21207430.85
2018-02-28,98.1,100.0,97.5,98.05,34480663.15
2018-03-01,98.15,99.25,97.65,97.9,16737090.2
2018-03-05,98.15,98.2,97.05,97.85,10795372.35
2018-03-06,98.4,101.3,98.4,99.2,60772753.2
2018-03-07,98.7,99.5,96.5,96.9,33303882.8
2018-03-08,97.7,98.3,96.6,97.0,18195163.75
2018-03-09,98.0,98.0,96.7,97.3,9210274.35
2018-03-12,98.3,98.45,96.5,96.95,21231315.1
2018-03-13,97.5,97.5,96.0,96.45,25104733.65
2018-03-14,96.0,97.5,94.7,95.45,34976283.8
2018-03-15,96.2,97.0,95.75,96.5,23569388.35
2018-03-16,95.95,97.1,90.5,92.0,105087466.5
2018-03-19,92.15,96.55,91.1,95.45,223572713.1
2018-03-20,94.9,95.1,92.8,94.0,32451467.35
2018-03-21,94.55,95.95,94.3,94.5,24295407.25
