date,open,high,low,close,volume
2018-05-14,135.0,141.75,129.0,140.0,492289234.0
2018-05-15,133.6,145.0,133.0,141.55,95993801.45
2018-05-16,140.0,140.0,136.0,136.65,47591313.75
2018-05-17,129.85,136.0,129.85,130.05,38002372.65
2018-05-18,126.2,132.85,123.55,123.55,25288723.35
2018-05-21,117.7,129.7,117.4,128.75,30008398.95
2018-05-22,129.0,131.9,124.0,127.1,21238130.9
2018-05-23,123.0,132.0,122.65,128.5,23680689.95
2018-05-24,133.7,134.6,124.25,134.0,49282794.2
2018-05-25,131.0,138.0,131.0,135.8,10288429.7
2018-05-28,137.95,139.75,131.5,135.2,26429093.35
2018-05-29,135.9,135.95,131.55,134.45,13017260.15
2018-05-30,135.6,135.6,130.0,132.0,6710226.05
2018-05-31,131.0,132.0,128.0,130.05,24223123.25
2018-06-01,131.95,131.95,123.0,125.05,14446747.1
2018-06-04,123.0,124.75,116.85,121.35,17837504.65
2018-06-05,120.0,120.75,111.75,118.8,19610884.5
2018-06-06,118.8,123.75,118.1,119.05,8015607.1
2018-06-07,120.0,129.0,119.3,127.45,9996524.15
2018-06-08,127.45,128.3,123.3,127.1,8609733.0
2018-06-11,127.0,128.9,125.0,127.9,14181577.95
2018-06-12,128.5,130.75,125.65,129.05,22177452.4
2018-06-13,129.0,129.55,127.05,128.0,19949093.9
2018-06-14,127.0,131.0,125.05,127.35,8854775.8
2018-06-15,128.75,134.0,126.25,132.6,14833622.75
2018-06-18,134.9,136.95,131.55,135.45,29524217.65
2018-06-19,136.8,136.8,130.0,130.2,20927544.45
2018-06-20,130.05,133.0,128.2,131.55,14021293.7
2018-06-21,130.25,131.5,128.8,130.8,23629486.0
2018-06-22,130.05,130.1,126.05,127.4,4598484.0
2018-06-25,127.1,128.0,125.0,126.1,12510490.3
2018-06-26,126.1,133.0,124.15,126.25,18425249.25
2018-06-27,125.6,126.45,120.0,124.1,14448159.7
2018-06-28,125.95,126.45,123.9,125.35,13390490.75
2018-06-29,125.0,127.95,121.6,125.45,56050558.95
2018-07-02,124.05,126.95,122.0,122.7,2956652.05
2018-07-03,122.05,124.0,121.0,122.05,5775977.7
2018-07-04,123.0,125.0,121.35,124.4,2662059.85
2018-07-05,123.0,124.9,121.0,121.05,127275055.1
2018-07-06,123.9,125.4,119.6,120.9,15687495.05
2018-07-09,120.3,122.95,120.3,121.85,3761963.45
2018-07-10,122.2,133.0,120.6,131.5,19068656.2
2018-07-11,130.1,132.9,125.55,128.4,5180809.25
2018-07-12,128.0,129.0,124.5,125.05,15933646.95
2018-07-13,127.0,127.95,121.35,122.25,8818317.5
2018-07-16,122.6,123.15,105.25,116.0,42743411.95
2018-07-17,113.7,117.9,113.4,116.25,4846896.15
2018-07-18,115.3,117.85,103.25,116.25,30884674.85
2018-07-19,116.0,116.95,109.55,114.1,34386444.0
2018-07-20,116.0,116.0,108.55,110.55,6205854.4
2018-07-23,107.5,117.5,107.5,115.1,15935886.45
2018-07-24,115.1,119.5,114.05,115.85,21456151.1
2018-07-25,117.9,117.9,113.1,114.95,22345571.0
2018-07-26,114.95,124.4,113.85,123.2,63542816.85
2018-07-27,123.5,133.0,123.5,131.7,34392644.0
2018-07-30,132.7,142.0,127.2,139.75,74873434.45
2018-07-31,140.9,153.95,140.0,144.95,99120085.0
2018-08-01,144.95,145.95,132.55,136.05,35491466.65
2018-08-02,136.0,142.3,132.55,141.05,28307201.45
2018-08-03,138.75,145.0,133.2,137.95,17701592.4
2018-08-06,137.8,143.0,136.5,141.85,19688336.0
2018-08-07,142.0,142.9,138.2,138.45,15515141.7
2018-08-08,141.0,142.4,138.1,141.3,31067448.0
2018-08-09,140.1,155.0,140.05,153.4,373637222.9
2018-08-10,154.6,162.8,150.3,157.0,90190783.0
2018-08-13,149.2,161.7,149.2,153.1,55115068.9
2018-08-14,151.25,156.15,151.25,154.2,14818504.8
2018-08-16,154.2,155.55,150.0,152.0,9794579.4
2018-08-17,152.05,155.15,150.05,151.5,24367022.5
2018-08-20,152.5,152.95,147.7,150.8,30765393.7
2018-08-21,151.7,162.6,150.95,156.5,62275071.8
2018-08-23,157.4,166.95,157.4,165.15,77165535.75
2018-08-24,164.3,177.0,163.6,171.6,123928410.9
2018-08-27,173.0,174.8,166.65,168.7,28127807.45
2018-08-28,169.2,169.2,165.0,165.4,21917825.0
2018-08-29,166.3,173.0,165.0,165.15,34072317.05
2018-08-30,165.55,170.0,163.5,169.65,32490848.95
2018-08-31,169.35,173.95,166.25,169.55,31438861.0
2018-09-03,170.0,177.0,168.25,170.25,43297579.55
2018-09-04,171.25,172.9,166.65,168.05,118606429.8
2018-09-05,166.6,167.95,160.05,162.85,22803512.05
2018-09-06,164.0,165.95,161.25,163.65,7899052.35
2018-09-07,165.5,169.3,160.55,166.85,26361046.5
2018-09-10,165.0,166.6,160.05,161.2,17798677.7
2018-09-11,162.8,163.5,158.35,159.9,15134607.45
2018-09-12,159.35,161.0,155.0,155.75,14478247.45
2018-09-14,156.75,164.3,156.75,160.1,15273617.05
2018-09-17,157.1,160.95,155.05,158.6,37116461.0
2018-09-18,159.5,159.5,150.1,154.0,194680397.8
2018-09-19,154.05,157.5,154.05,155.25,33265821.65
2018-09-21,155.5,156.9,134.65,149.65,38146525.8
