date,open,high,low,close,volume
2018-01-01,25430.0,25780.7,24858.5,25212.95,338412462.5
2018-01-02,25298.95,25298.95,24150.0,24411.45,425456499.2
2018-01-03,24400.0,24890.0,24262.2,24680.45,368223100.3
2018-01-04,24700.0,24895.0,24300.9,24595.7,352711028.3
2018-01-05,24595.0,24762.4,24331.05,24454.85,397172214.4
2018-01-08,24500.0,24653.4,24407.15,24477.4,289951915.3
2018-01-09,24500.0,24615.0,24022.45,24153.85,673442328.3
2018-01-10,24233.15,24233.15,22700.0,22923.55,1455331264.0
2018-01-11,22999.0,23240.0,22720.0,22997.25,373441716.6
2018-01-12,23199.0,23199.0,22593.95,22750.9,462264641.1
2018-01-15,22660.5,23149.65,22651.1,22802.0,272430132.8
2018-01-16,22700.55,23000.0,22315.6,22490.8,583901074.3
2018-01-17,22499.9,22659.5,21860.0,22222.65,343966404.3
2018-01-18,22375.0,22924.35,21957.3,22196.25,507871234.7
2018-01-19,22222.0,22346.25,21900.0,22050.8,247951680.2
2018-01-22,22149.9,22315.0,21925.0,22019.35,180637294.9
2018-01-23,22157.95,22250.2,21802.05,22017.85,222518650.8
2018-01-24,21990.0,22268.4,21634.3,22093.9,516648351.0
2018-01-25,22149.0,22199.0,21755.55,21955.75,281998005.6
2018-01-29,21988.0,22100.0,21756.45,21875.8,227415011.9
2018-01-30,21985.0,21987.3,21498.0,21663.35,132807390.5
2018-01-31,21670.05,21838.6,21261.0,21459.75,234466529.9
2018-02-01,21504.05,21924.85,21155.45,21294.55,380166199.1
2018-02-02,21200.0,21200.0,19589.0,20052.8,446223964.4
2018-02-05,19900.0,19900.0,19074.9,19157.4,579020691.7
2018-02-06,18300.0,19990.0,18001.0,19770.9,833770467.7
2018-02-07,19989.85,20272.0,19177.8,19350.2,405877272.0
2018-02-08,19230.0,20874.55,19200.0,20702.75,816806362.9
2018-02-09,20413.0,21594.95,20025.05,21398.95,550340618.6
2018-02-12,21400.0,22149.9,21400.0,22069.3,444169236.4
2018-02-14,22110.2,22999.0,22009.85,22846.8,1278029463.0
2018-02-15,22899.4,22899.4,22335.05,22535.35,293985223.9
2018-02-16,22535.5,22788.25,22101.0,22201.6,292321545.8
2018-02-19,22072.0,22350.45,21515.0,22086.6,156499561.0
2018-02-20,21880.0,22895.0,21878.0,22765.05,431904889.5
2018-02-21,22999.8,22999.8,22532.1,22809.2,228340906.9
2018-02-22,22750.0,22849.95,22055.65,22257.25,321545203.6
2018-02-23,22380.0,22988.0,22000.0,22805.2,297193293.5
2018-02-26,22950.0,23150.65,22214.35,22322.5,345521615.4
2018-02-27,22435.0,22550.0,22210.05,22432.5,197293847.6
2018-02-28,22200.0,22270.0,21801.0,21887.7,320057517.5
2018-03-01,21801.0,22150.0,21750.0,21955.35,155290863.3
2018-03-05,22100.0,22100.0,21400.55,21622.3,300905410.5
2018-03-06,21799.95,21800.0,20661.0,20989.45,259989498.5
2018-03-07,21100.0,21100.0,20100.0,20745.45,404410715.1
