date,open,high,low,close,volume
2018-01-01,720.0,726.0,705.05,711.8,72802468.8
2018-01-02,717.0,719.35,702.35,709.15,154923795.7
2018-01-03,705.1,709.95,693.65,696.0,37657586.15
2018-01-04,697.05,714.5,694.1,708.5,174340826.6
2018-01-05,710.0,725.4,709.95,719.6,275250190.1
2018-01-08,722.0,730.0,710.2,718.6,182803647.5
2018-01-09,721.8,748.2,718.1,742.6,357587471.1
2018-01-10,746.9,750.0,736.0,743.85,311851238.6
2018-01-11,752.9,755.0,746.1,751.5,264771467.2
2018-01-12,754.95,784.1,750.9,779.6,340250048.1
2018-01-15,777.0,792.0,743.25,746.45,118468484.6
2018-01-16,750.0,770.0,745.9,754.15,226970275.9
2018-01-17,758.15,784.9,755.0,770.25,188432015.7
2018-01-18,767.25,776.05,744.85,752.3,68740619.0
2018-01-19,747.0,774.9,747.0,769.1,109079310.2
2018-01-22,772.7,818.0,753.85,788.9,572598958.4
2018-01-23,796.85,817.6,790.0,793.75,192026494.2
2018-01-24,796.8,801.0,776.0,789.95,219335486.5
2018-01-25,783.0,795.5,777.1,790.65,266681746.4
2018-01-29,800.0,815.0,770.0,782.1,643307814.5
2018-01-30,789.0,795.95,774.0,780.55,161687237.1
2018-01-31,781.05,799.8,778.55,787.85,512074215.7
2018-02-01,787.85,792.5,770.0,784.15,214964909.1
2018-02-02,786.0,802.75,650.0,784.3,203798871.7
2018-02-05,746.3,784.45,746.3,770.4,51244696.0
2018-02-06,758.7,790.95,730.0,784.6,198428677.1
2018-02-07,784.6,790.0,750.2,758.85,41297859.0
2018-02-08,758.0,799.8,758.0,794.1,324702874.9
2018-02-09,779.0,800.9,770.0,796.3,103238531.9
2018-02-12,798.9,800.0,780.0,783.3,62526106.5
2018-02-14,786.45,800.0,785.55,793.75,53399591.35
2018-02-15,799.0,799.9,770.1,775.4,45781069.4
2018-02-16,782.0,783.9,760.0,764.35,37803976.25
2018-02-19,763.05,768.6,741.0,749.45,45881399.1
2018-02-20,754.95,755.6,742.0,749.55,49509979.0
2018-02-21,751.25,778.8,747.05,759.05,58284501.35
2018-02-22,767.7,799.45,764.0,782.35,274394967.0
2018-02-23,783.1,827.8,783.1,821.8,665179053.2
2018-02-26,832.0,875.0,823.95,867.65,713143847.1
2018-02-27,866.0,878.0,835.55,847.3,526912836.9
2018-02-28,836.65,860.0,820.1,855.25,234232010.1
2018-03-01,854.9,864.0,829.85,834.8,83298170.7
2018-03-05,831.0,834.0,814.95,821.05,110428794.1
2018-03-06,834.0,848.6,822.8,834.2,137526823.3
2018-03-07,829.0,851.0,822.7,836.15,130596724.4
2018-03-08,841.65,848.6,820.2,833.8,58695253.85
2018-03-09,836.05,841.55,817.0,820.35,66481772.75
2018-03-12,833.15,836.7,822.8,826.5,313760545.1
2018-03-13,825.0,867.0,820.5,849.95,430913756.5
2018-03-14,849.2,852.0,832.05,840.1,85851524.5
2018-03-15,848.7,857.7,840.0,844.35,52242585.8
2018-03-16,845.0,849.8,805.0,816.0,66891225.9
2018-03-19,810.25,818.8,789.0,802.3,65909740.15
2018-03-20,792.35,813.0,792.35,811.2,61826490.65
2018-03-21,815.0,825.0,792.0,799.8,67347434.55
2018-03-22,801.1,806.5,774.95,787.9,132952035.2
2018-03-23,769.0,816.0,763.55,782.95,102887456.7
2018-03-26,792.05,805.0,770.0,779.05,74731055.8
2018-03-27,779.9,803.75,779.0,784.1,91479081.65
2018-03-28,720.0,734.25,688.0,694.05,1007410752.0
2018-04-02,705.0,714.5,683.0,687.25,267887441.3
2018-04-03,689.05,701.0,670.1,674.2,170553697.5
2018-04-04,679.0,685.05,656.5,676.75,206716654.0
2018-04-05,689.0,689.0,670.0,675.3,113038033.3
2018-04-06,675.45,688.0,670.0,681.0,81689641.95
