date,open,high,low,close,volume
2018-01-01,254.0,259.35,252.0,255.9,549985334.9
2018-01-02,255.0,256.65,249.15,252.75,488000990.9
2018-01-03,252.75,256.2,251.5,253.6,469359053.5
2018-01-04,254.65,254.65,251.3,252.7,443945199.0
2018-01-05,253.7,254.1,251.8,252.15,412427893.0
2018-01-08,253.0,256.95,252.5,254.7,1070203186.0
2018-01-09,255.0,255.9,252.7,253.2,559780509.4
2018-01-10,253.0,255.6,249.2,251.0,615569781.9
2018-01-11,251.05,251.9,248.75,249.45,434275542.2
2018-01-12,250.5,254.35,249.55,252.5,712145346.7
2018-01-15,253.1,255.5,248.4,248.75,438533538.2
2018-01-16,250.0,250.3,236.5,238.65,1066445410.0
2018-01-17,239.45,242.6,233.95,234.6,1175022461.0
2018-01-18,236.0,240.6,233.6,235.85,1084445346.0
2018-01-19,233.55,238.2,231.75,237.05,836471500.6
2018-01-22,237.5,238.55,233.3,237.8,384458341.7
2018-01-23,238.25,246.75,238.25,245.85,1115036323.0
2018-01-24,247.95,252.2,245.75,247.25,857669612.5
2018-01-25,249.0,249.0,241.0,244.0,1386398781.0
2018-01-29,246.55,251.45,246.1,250.5,1001897167.0
2018-01-30,248.15,259.0,248.1,257.9,2620149110.0
2018-01-31,258.15,259.45,250.15,254.75,1851176650.0
2018-02-01,252.5,255.45,248.0,252.1,847443499.1
2018-02-02,249.5,255.45,242.25,243.3,1395628693.0
2018-02-05,240.0,250.8,237.6,247.65,1176430116.0
2018-02-06,235.65,245.6,234.0,244.3,769421987.5
2018-02-07,246.0,251.45,242.4,246.15,541514807.9
2018-02-08,247.0,251.0,246.2,248.9,419972691.1
2018-02-09,245.0,252.05,242.1,246.8,904107444.7
2018-02-12,249.4,250.35,246.3,248.7,450326753.4
2018-02-14,250.0,253.6,248.75,252.05,949505376.9
2018-02-15,254.85,254.85,248.15,249.65,728276863.4
2018-02-16,250.0,251.2,246.75,248.2,347166925.9
2018-02-19,246.55,247.15,236.1,239.15,1024646661.0
2018-02-20,239.65,245.0,238.0,244.1,486932626.7
2018-02-21,247.0,247.85,241.8,245.1,559671360.4
2018-02-22,243.0,244.65,239.4,240.7,908419554.8
2018-02-23,240.7,244.85,240.2,243.55,1376932181.0
2018-02-26,243.6,245.2,241.5,243.2,639907930.4
2018-02-27,244.4,250.5,243.0,249.65,598697289.3
2018-02-28,248.2,252.2,244.95,247.3,2819943311.0
2018-03-01,245.5,246.75,240.0,240.8,519756899.5
2018-03-05,240.4,241.5,233.8,235.5,736914874.0
2018-03-06,238.0,239.9,232.75,233.95,835448611.1
2018-03-07,236.0,238.25,233.85,235.4,1145078362.0
2018-03-08,236.4,238.4,231.8,235.4,444832505.6
2018-03-09,235.55,235.55,228.45,230.7,569363922.1
2018-03-12,232.05,232.95,228.0,231.0,995152290.4
2018-03-13,228.25,240.0,228.25,239.35,1597028398.0
2018-03-14,237.5,239.9,235.75,238.1,391408452.7
2018-03-15,238.5,239.85,236.1,237.4,356427981.1
2018-03-16,237.3,240.25,233.2,235.0,846468600.4
2018-03-19,234.75,236.1,230.85,233.65,325341480.9
2018-03-20,233.1,238.85,231.95,235.65,625154589.9
2018-03-21,237.0,237.65,233.1,235.5,252183826.6
2018-03-22,236.0,236.0,232.5,234.15,309002614.4
2018-03-23,231.9,233.65,224.7,232.0,1039588261.0
2018-03-26,230.7,233.3,223.6,225.9,1043528813.0
2018-03-27,226.15,231.75,224.7,226.75,1098443790.0
2018-03-28,226.15,232.85,224.6,230.95,753355968.7
2018-04-02,231.55,234.35,230.25,230.85,517554973.5
2018-04-03,230.05,233.35,228.4,232.0,728636306.0
2018-04-04,232.8,233.25,229.45,230.85,482539065.6
2018-04-05,231.85,232.95,230.65,232.45,292986657.5
2018-04-06,233.0,238.0,231.5,236.9,397379350.7
2018-04-09,237.7,242.0,236.0,239.25,488731922.7
2018-04-10,240.0,240.5,234.3,235.9,353046150.4
2018-04-11,238.3,241.9,234.6,235.7,761096089.2
2018-04-12,237.0,238.5,234.1,238.1,368249595.7
2018-04-13,237.15,240.35,235.0,236.0,251339128.1
2018-04-16,235.0,239.15,233.6,238.6,161068225.5
2018-04-17,238.6,244.7,237.4,242.95,561659080.7
2018-04-18,244.2,245.35,237.45,238.25,443674888.9
2018-04-19,238.5,241.4,237.05,240.3,254239243.3
2018-04-20,239.6,241.9,238.1,239.7,282052837.6
2018-04-23,242.0,242.0,236.0,237.05,567035651.2
2018-04-24,237.0,239.1,235.9,238.4,727591117.9
2018-04-25,239.1,239.15,225.45,229.45,1468992413.0
2018-04-26,229.35,230.2,219.7,227.95,1677830926.0
2018-04-27,229.95,232.7,225.65,227.55,593431121.4
2018-04-30,228.3,229.5,225.1,226.8,348359131.3
2018-05-02,227.65,228.0,224.6,225.9,315856552.9
2018-05-03,225.65,225.9,216.15,218.1,831628587.4
