date,open,high,low,close,volume
2018-01-01,195.99,197.6,191.61,193.21,144375032.5
2018-01-02,196.0,206.96,192.5,203.08,786548917.8
2018-01-03,205.58,243.6,204.24,234.65,3578332996.0
2018-01-04,248.0,265.0,234.39,238.48,5712243489.0
2018-01-05,240.33,258.8,231.6,254.7,2746651774.0
2018-01-08,260.0,305.64,260.0,304.15,7605976173.0
2018-01-09,309.0,318.8,285.6,290.25,6545687059.0
2018-01-10,290.6,294.37,276.91,284.92,2196199320.0
2018-01-11,285.0,300.0,282.0,291.75,2173466636.0
2018-01-12,293.03,298.8,288.2,291.29,1416832098.0
2018-01-15,293.0,294.0,285.0,286.25,609239392.6
2018-01-16,285.66,286.8,266.0,268.14,1266885524.0
2018-01-17,268.14,274.78,249.8,262.64,1894194934.0
2018-01-18,265.39,270.6,250.91,253.82,842477230.7
2018-01-19,254.46,265.75,248.0,260.29,1430027583.0
2018-01-22,258.6,264.24,255.0,257.59,901247562.9
2018-01-23,255.4,261.6,254.0,254.85,561521541.1
2018-01-24,254.0,254.0,239.31,241.08,705459547.4
2018-01-25,244.0,261.4,243.8,254.81,1440478541.0
2018-01-29,260.0,265.6,254.0,258.19,830587018.6
2018-01-30,258.56,258.71,252.0,254.1,567154369.2
2018-01-31,254.4,259.0,235.41,241.36,1017522434.0
2018-02-01,244.54,247.8,227.02,231.95,795651033.8
2018-02-02,222.0,227.0,208.76,209.08,696470730.5
2018-02-05,192.28,204.8,188.4,200.08,694092644.3
2018-02-06,190.08,195.48,190.08,190.29,351250274.4
2018-02-07,197.54,199.8,196.87,199.8,263051044.1
2018-02-08,206.4,209.79,205.75,209.79,50405943.0
2018-02-09,205.0,220.27,202.2,220.27,302891342.6
2018-02-12,231.28,231.28,231.28,231.28,13144798.8
2018-02-14,242.84,242.84,242.84,242.84,63738214.8
2018-02-15,251.4,252.8,233.32,239.13,754844472.0
2018-02-16,242.0,246.0,234.31,238.23,370458933.8
2018-02-19,237.0,241.79,230.5,238.77,460875833.7
2018-02-20,238.0,243.69,237.06,240.77,467068152.5
2018-02-21,242.0,242.8,236.41,238.31,274038549.8
2018-02-22,237.0,239.8,234.17,236.57,239986528.5
2018-02-23,236.98,246.0,236.98,238.03,393604054.6
2018-02-26,239.6,240.6,232.4,233.05,214995007.2
2018-02-27,235.94,244.0,234.0,241.65,635333092.8
