date,open,high,low,close,volume
2018-01-01,968.8,968.8,952.0,958.65,14694288.15
2018-01-02,960.0,964.75,938.0,942.2,36695208.1
2018-01-03,945.0,985.0,941.35,955.95,95035839.0
2018-01-04,953.25,990.0,947.9,983.8,262299092.1
2018-01-05,983.0,991.55,976.05,981.3,73097969.4
2018-01-08,994.7,994.7,978.4,985.5,108443398.2
2018-01-09,973.0,1034.0,971.5,1011.8,185634204.5
2018-01-10,1011.8,1027.0,991.35,1016.2,249960866.8
2018-01-11,1010.0,1016.0,991.8,995.1,83091337.6
2018-01-12,999.0,1015.0,985.15,993.05,47240126.25
2018-01-15,1000.45,1000.5,977.05,981.3,26738847.45
2018-01-16,986.0,1012.65,982.0,993.95,184435926.2
2018-01-17,998.15,1002.85,976.0,987.5,77408137.0
2018-01-18,989.95,998.3,984.0,994.2,222663068.5
2018-01-19,994.3,1014.0,980.5,997.15,350474530.9
2018-01-22,997.15,1007.9,978.0,986.85,78399568.35
2018-01-23,997.15,997.15,959.0,964.5,45623237.2
2018-01-24,971.7,971.7,930.0,938.45,141413711.1
2018-01-25,940.05,949.0,906.0,917.7,55919851.8
2018-01-29,928.0,945.35,915.0,919.6,48260144.1
2018-01-30,920.0,920.75,900.0,914.8,35391251.0
2018-01-31,914.8,914.8,886.0,890.85,47381633.2
2018-02-01,899.3,940.0,897.1,913.5,219167796.4
2018-02-02,902.0,915.0,850.0,886.6,105791089.8
2018-02-05,850.0,867.95,820.0,855.6,131202543.4
2018-02-06,821.0,840.0,811.5,820.65,159077269.9
2018-02-07,838.75,844.9,816.35,823.8,138888431.9
2018-02-08,825.75,840.0,820.1,823.05,44063980.1
2018-02-09,813.05,824.95,801.65,810.45,71214126.55
2018-02-12,819.05,844.45,801.0,840.45,73805423.25
2018-02-14,850.0,874.9,835.0,839.55,84282777.85
2018-02-15,844.0,857.65,833.1,839.7,53579867.65
2018-02-16,844.45,906.9,817.5,870.95,281646215.4
2018-02-19,881.8,885.05,841.6,846.95,57889366.3
2018-02-20,842.0,864.0,831.55,838.55,39554106.4
2018-02-21,845.0,851.2,831.75,842.7,20503523.25
2018-02-22,845.0,850.0,836.0,841.05,25166864.4
2018-02-23,846.1,848.0,828.0,837.55,24642535.1
2018-02-26,848.95,940.0,839.45,891.7,249152191.1
2018-02-27,896.05,919.0,880.15,885.2,93114016.2
2018-02-28,880.0,881.75,850.5,872.6,68390852.65
2018-03-01,861.0,902.0,861.0,882.45,65133505.9
2018-03-05,881.6,898.0,858.45,876.35,77093827.55
2018-03-06,877.1,880.2,865.0,877.5,53457826.05
2018-03-07,880.0,880.0,846.25,854.65,42264609.35
2018-03-08,860.8,871.4,833.1,856.0,59684950.1
2018-03-09,856.0,873.75,850.65,861.55,77488735.65
2018-03-12,861.55,867.6,856.05,862.7,94676810.35
2018-03-13,862.7,875.0,855.85,866.15,38976679.5
2018-03-14,862.7,877.1,846.0,861.05,43257238.5
2018-03-15,859.9,871.0,846.0,856.15,28096866.8
2018-03-16,856.0,857.7,817.0,825.75,162839377.3
