date,open,high,low,close,volume
2018-01-01,202.5,215.45,202.0,211.5,99571606.95
2018-01-02,212.45,213.7,203.1,209.65,86727085.85
2018-01-03,211.65,211.75,205.0,205.5,45167236.5
2018-01-04,207.45,207.8,203.05,206.05,238239366.6
2018-01-05,207.0,212.95,204.25,205.55,64862377.8
2018-01-08,205.0,207.35,200.3,201.15,31638030.65
2018-01-09,202.5,206.0,199.6,200.85,39448472.7
2018-01-10,201.85,202.5,197.0,198.1,34190043.95
2018-01-11,200.9,204.0,196.0,198.0,333819061.7
2018-01-12,198.95,203.55,197.25,197.55,60362403.15
2018-01-15,199.5,206.0,191.15,193.55,82146543.0
2018-01-16,195.7,196.9,185.3,187.8,93091009.75
2018-01-17,186.0,196.8,181.0,193.6,61695800.95
2018-01-18,195.9,195.9,190.25,192.5,52287561.05
2018-01-19,192.8,193.45,189.2,191.0,19962300.3
2018-01-22,191.1,196.75,190.2,192.3,19088686.75
2018-01-23,190.25,199.0,190.25,192.85,61351128.8
2018-01-24,193.0,195.0,189.2,194.05,17934630.9
2018-01-25,197.0,197.0,188.8,191.2,17072910.2
2018-01-29,194.6,194.6,182.55,184.3,38582336.0
2018-01-30,185.95,192.4,183.45,184.3,32114508.9
2018-01-31,184.3,188.0,179.0,180.8,22475251.45
2018-02-01,182.0,188.0,180.3,185.0,34171888.85
2018-02-02,180.0,180.75,164.1,175.3,30426329.95
2018-02-05,170.0,178.75,161.0,167.85,44458148.4
2018-02-06,160.0,163.5,155.0,161.45,85684074.2
2018-02-07,166.8,171.0,165.0,166.7,25719030.8
2018-02-08,170.9,171.9,168.35,169.0,18221515.7
2018-02-09,164.0,174.5,163.1,172.6,16076169.5
2018-02-12,177.9,177.9,171.55,174.15,19513481.35
2018-02-14,175.9,180.0,174.15,177.9,16707402.95
2018-02-15,179.7,182.85,171.1,172.8,57504517.2
2018-02-16,176.0,176.75,166.0,168.35,22733166.65
2018-02-19,168.1,169.4,161.65,165.0,26588765.55
2018-02-20,166.95,168.65,163.55,167.9,23945901.65
2018-02-21,168.1,168.15,165.2,167.0,13297775.6
2018-02-22,166.5,166.95,162.5,163.8,26091083.75
2018-02-23,165.0,169.4,164.2,166.6,19308329.25
2018-02-26,169.9,170.0,163.3,164.5,26832023.2
2018-02-27,167.0,168.3,163.0,167.25,49207909.1
2018-02-28,166.0,167.7,162.3,164.85,33009148.8
2018-03-01,164.8,168.0,163.4,163.8,12285992.45
2018-03-05,162.25,166.0,161.15,163.0,9850373.6
2018-03-06,165.45,165.45,160.5,161.75,17337933.9
2018-03-07,160.3,160.75,147.4,154.8,39327263.0
2018-03-08,155.1,160.9,153.5,158.05,16317914.5
2018-03-09,158.1,160.75,153.0,155.15,14475433.4
2018-03-12,156.2,162.0,152.6,160.0,61354556.55
2018-03-13,160.0,165.25,156.85,158.1,37567976.35
2018-03-14,157.0,163.3,157.0,158.95,83456482.6
2018-03-15,158.85,160.45,153.6,154.95,37801040.5
2018-03-16,154.0,156.4,153.15,153.9,14862422.4
2018-03-19,158.0,159.8,153.5,154.25,56299959.8
2018-03-20,153.15,158.0,153.05,156.85,63982917.2
2018-03-21,158.0,161.0,157.15,160.2,19548641.3
2018-03-22,160.2,162.6,156.4,159.05,28462702.8
2018-03-23,155.0,159.4,150.1,156.95,19282628.95
2018-03-26,156.5,164.25,153.2,162.9,62276309.45
2018-03-27,165.0,174.2,162.8,171.4,33443855.85
2018-03-28,173.0,177.5,170.3,175.4,92958005.1
2018-04-02,182.0,182.0,170.2,172.1,28128813.1
2018-04-03,171.4,175.55,168.25,173.5,15063828.25
2018-04-04,174.15,177.8,173.85,175.55,38614158.85
2018-04-05,179.0,184.8,177.1,183.7,46761226.2
2018-04-06,184.75,186.5,181.5,184.1,31952364.15
2018-04-09,185.95,187.4,181.5,183.2,22285025.85
2018-04-10,184.9,184.9,175.85,177.6,21709115.95
2018-04-11,179.95,182.0,175.6,181.5,33827233.15
