date,open,high,low,close,volume
2018-01-01,199.05,201.75,199.05,200.2,720460810.3
2018-01-02,201.25,201.8,199.3,200.75,494176996.5
2018-01-03,201.5,202.45,200.6,201.65,928199151.2
2018-01-04,202.0,202.85,200.0,200.35,474935360.4
2018-01-05,201.3,202.05,200.6,201.25,556992034.6
2018-01-08,202.0,203.25,200.05,200.55,1336097061.0
2018-01-09,201.1,201.4,200.3,201.0,833967221.0
2018-01-10,201.9,201.9,198.5,199.85,981230095.8
2018-01-11,199.1,200.3,197.3,197.85,1373013948.0
2018-01-12,198.1,198.3,195.7,196.35,1043653511.0
2018-01-15,197.8,200.25,195.15,199.3,1107242206.0
2018-01-16,199.1,199.3,194.35,196.2,1459925701.0
2018-01-17,196.0,198.7,194.0,197.4,1444618712.0
2018-01-18,198.6,199.8,195.75,197.0,2726219049.0
2018-01-19,197.0,198.0,194.3,196.1,892068297.5
2018-01-22,196.15,196.95,195.0,195.3,1082396860.0
2018-01-23,195.3,196.35,194.05,195.85,1775807128.0
2018-01-24,195.3,196.95,195.15,195.95,1219286256.0
2018-01-25,196.7,196.85,193.15,194.3,1443717317.0
2018-01-29,194.5,196.0,194.0,194.15,1205827175.0
2018-01-30,193.8,196.15,190.7,194.95,2494731165.0
2018-01-31,194.95,195.3,192.0,193.8,1566064971.0
2018-02-01,194.5,195.15,189.0,194.85,1849579788.0
2018-02-02,194.5,194.5,191.0,192.9,2395869192.0
2018-02-05,190.0,196.95,190.0,196.5,2421517213.0
2018-02-06,190.0,195.6,190.0,194.95,1469426427.0
2018-02-07,195.8,196.85,193.4,195.5,1575749210.0
2018-02-08,194.0,194.65,192.35,193.2,3646524183.0
2018-02-09,192.0,194.3,191.0,193.2,1646801988.0
2018-02-12,194.2,199.05,193.3,198.5,1298037291.0
2018-02-14,198.45,198.45,193.7,195.45,1519117557.0
2018-02-15,196.0,198.3,194.7,197.9,979349415.9
2018-02-16,198.1,198.25,194.75,195.55,690420304.9
2018-02-19,195.6,196.95,193.6,194.15,475194688.1
2018-02-20,194.9,196.35,193.75,195.0,930836545.4
2018-02-21,195.6,195.9,193.3,193.95,1014333122.0
2018-02-22,193.3,194.5,189.25,190.25,2744006061.0
2018-02-23,190.6,193.85,190.35,193.25,1253162952.0
2018-02-26,195.0,197.2,193.0,196.15,920053991.4
2018-02-27,197.25,198.25,195.55,197.75,1919005675.0
2018-02-28,196.8,198.2,195.4,197.7,641037990.1
2018-03-01,197.1,198.5,195.55,197.4,899746552.2
2018-03-05,196.8,197.05,194.25,196.95,772738736.3
2018-03-06,197.1,197.5,192.1,193.15,1048255043.0
2018-03-07,192.75,194.0,191.25,193.35,1026434014.0
2018-03-08,193.85,195.9,192.4,195.4,1142720228.0
2018-03-09,195.5,195.65,191.8,192.9,1083307617.0
2018-03-12,193.5,195.65,193.0,195.0,1559871934.0
2018-03-13,194.9,197.0,193.25,195.05,1165229303.0
2018-03-14,194.65,196.2,193.5,194.35,940039539.9
2018-03-15,193.95,195.75,193.8,194.8,672695953.7
2018-03-16,194.4,197.15,191.35,192.25,1131366259.0
2018-03-19,193.4,195.1,192.5,194.2,1476303513.0
2018-03-20,194.1,196.1,192.8,194.9,1059411130.0
2018-03-21,195.5,195.5,193.6,194.2,1060350296.0
2018-03-22,194.2,194.7,192.25,192.7,1235190275.0
2018-03-23,191.0,195.25,191.0,194.25,986238387.8
2018-03-26,194.4,195.5,194.25,194.9,1692756883.0
2018-03-27,195.1,196.35,195.1,195.95,833745015.3
2018-03-28,195.5,195.8,192.3,193.25,1537957572.0
2018-04-02,192.9,195.2,192.9,194.9,745994306.4
2018-04-03,194.8,199.5,194.55,198.55,697024128.2
2018-04-04,198.95,199.9,194.65,196.05,1075952003.0
2018-04-05,197.9,198.45,196.0,196.25,960569647.1
2018-04-06,197.5,197.9,195.75,195.95,877711001.5
2018-04-09,196.0,196.5,195.2,195.85,508248589.9
2018-04-10,196.85,198.65,196.3,196.95,838616422.5
2018-04-11,198.0,198.2,195.8,197.0,641337865.9
2018-04-12,197.2,197.9,196.1,196.35,391546720.5
2018-04-13,196.5,198.0,196.4,197.5,381027007.5
2018-04-16,197.25,200.9,196.8,199.2,1076625236.0
2018-04-17,203.2,207.15,202.2,204.9,2704363162.0
2018-04-18,205.1,205.8,204.35,205.0,1016576043.0
2018-04-19,205.5,208.9,204.95,208.1,1236085202.0
2018-04-20,208.8,209.6,206.2,207.2,635879366.5
2018-04-23,207.9,207.9,205.2,206.8,480823868.8
2018-04-24,208.2,208.2,204.8,206.45,416989137.1
2018-04-25,206.4,210.0,203.9,207.35,686767421.3
2018-04-26,207.55,208.7,206.2,207.0,926566154.9
2018-04-27,207.5,208.7,207.1,207.9,862457510.8
2018-04-30,207.55,209.0,207.05,207.85,660424162.5
2018-05-02,207.0,209.1,204.7,205.15,841279980.3
2018-05-03,205.0,207.55,203.25,206.45,437479369.5
2018-05-04,207.0,207.8,204.5,207.4,2615458053.0
2018-05-07,207.0,210.0,207.0,209.3,705439755.9
2018-05-08,209.5,214.0,208.85,212.75,2350924330.0
2018-05-09,212.0,213.7,211.15,211.85,1660345206.0
2018-05-10,211.2,211.8,204.7,208.0,1624016564.0
2018-05-11,208.8,209.0,205.95,206.85,1250782567.0
2018-05-14,206.0,209.8,206.0,209.05,1639853974.0
2018-05-15,209.0,216.0,208.65,213.85,6753543210.0
2018-05-16,214.4,215.0,212.55,213.45,2184791796.0
2018-05-17,212.5,216.0,212.3,213.45,2152513324.0
2018-05-18,213.7,215.0,212.1,212.95,2210727718.0
2018-05-21,214.45,214.45,211.6,212.65,1996105238.0
2018-05-22,213.75,214.0,209.5,210.75,1122961104.0
2018-05-23,211.0,212.45,209.7,211.3,2170714759.0
2018-05-24,212.4,212.4,211.4,211.75,2057078685.0
2018-05-25,210.25,213.05,210.25,212.05,3589237806.0
2018-05-28,212.25,212.5,206.3,206.95,2063633555.0
2018-05-29,208.25,209.7,205.75,207.0,1838271182.0
2018-05-30,207.0,211.95,207.0,209.5,4252050752.0
2018-05-31,209.9,212.7,201.6,209.45,32283022696.0
2018-06-01,206.9,207.9,200.35,205.95,1964189442.0
2018-06-04,206.95,206.95,200.6,201.7,1653681985.0
2018-06-05,200.8,201.15,195.1,198.85,1534396326.0
2018-06-06,197.5,203.25,197.5,201.1,917555640.5
2018-06-07,201.45,203.95,198.25,202.75,869848027.2
2018-06-08,200.9,201.2,196.75,197.9,1383229552.0
2018-06-11,198.6,199.25,194.5,195.7,2162694453.0
2018-06-12,196.45,196.45,193.4,195.05,1468601148.0
2018-06-13,196.3,199.35,195.1,198.15,1209161783.0
2018-06-14,198.2,199.35,196.6,198.85,802627870.4
2018-06-15,198.85,199.0,196.25,197.85,1059434059.0
2018-06-18,197.85,199.5,196.25,198.65,479625823.1
2018-06-19,197.55,199.7,196.8,198.7,903125653.9
2018-06-20,198.7,199.7,196.8,199.15,911097825.8
2018-06-21,198.1,198.65,193.8,195.45,1202584632.0
2018-06-22,196.2,198.4,194.1,197.7,848630300.2
2018-06-25,197.7,198.3,191.5,194.2,954930653.5
2018-06-26,193.9,194.7,189.0,190.75,1070879441.0
2018-06-27,191.95,192.5,185.7,187.2,1390268234.0
2018-06-28,188.4,188.75,183.15,184.8,2343155712.0
2018-06-29,185.25,190.35,184.1,186.85,886682326.4
2018-07-02,187.0,187.35,183.5,185.05,1362964692.0
2018-07-03,184.05,185.45,181.2,184.55,1029713822.0
2018-07-04,185.25,189.25,182.15,183.0,1107161603.0
2018-07-05,183.15,183.75,180.55,181.65,789692195.2
2018-07-06,181.65,182.9,180.85,181.8,739582468.9
2018-07-09,182.2,185.0,182.0,184.5,1055480275.0
2018-07-10,185.0,185.35,183.4,184.05,751320087.8
2018-07-11,183.8,184.75,182.4,182.9,393762181.8
2018-07-12,183.2,183.6,181.6,182.6,1181363773.0
2018-07-13,182.2,183.35,181.25,181.75,490248563.2
2018-07-16,181.05,182.5,180.6,181.35,1246788803.0
2018-07-17,180.7,182.25,180.0,181.45,478533799.0
2018-07-18,182.6,183.8,178.05,178.5,593044573.3
2018-07-19,179.1,180.8,177.1,177.45,603691340.8
2018-07-20,177.5,177.95,174.1,175.8,521655117.0
2018-07-23,175.95,178.0,175.65,177.05,630312054.0
2018-07-24,178.2,178.45,176.25,177.75,625328308.6
2018-07-25,178.65,179.0,174.7,175.65,768767118.2
2018-07-26,176.25,183.8,174.2,181.85,3434579979.0
2018-07-27,183.25,184.8,178.2,179.9,2009003461.0
2018-07-30,180.9,183.75,180.05,183.2,1057371206.0
2018-07-31,183.65,185.6,181.85,182.3,1207312127.0
2018-08-01,183.0,185.75,180.15,184.7,1062637028.0
2018-08-02,186.15,190.25,184.75,188.7,1297353649.0
2018-08-03,189.8,190.95,189.0,190.2,800220238.4
2018-08-06,191.85,191.85,188.65,189.45,528323612.9
2018-08-07,189.85,190.65,187.65,189.1,347251607.0
2018-08-08,189.1,190.7,187.85,189.5,662026011.3
2018-08-09,189.5,193.0,187.85,192.6,673947005.4
2018-08-10,193.7,193.85,189.1,190.55,528688408.0
2018-08-13,188.6,190.0,187.15,188.0,269436635.1
2018-08-14,187.55,189.0,186.55,187.9,243276901.8
2018-08-16,187.4,190.0,187.1,187.7,388492300.7
2018-08-17,188.5,189.0,185.75,187.1,422952568.7
2018-08-20,187.5,188.85,185.6,187.65,262084338.4
2018-08-21,187.65,188.3,185.85,187.55,384463505.6
2018-08-23,187.55,191.0,187.55,190.2,1007112312.0
2018-08-24,190.5,194.6,189.55,190.95,909158089.8
2018-08-27,191.15,198.3,190.9,197.8,1556194487.0
2018-08-28,197.6,200.45,195.75,197.15,917159922.0
2018-08-29,197.0,199.05,192.1,193.05,762841846.6
2018-08-30,193.25,198.2,192.4,196.95,2468211479.0
2018-08-31,194.85,202.25,194.85,201.5,1334949023.0
2018-09-03,202.85,205.0,194.0,194.5,1007772996.0
2018-09-04,194.5,196.45,191.65,194.45,588823857.7
2018-09-05,194.15,197.0,192.75,195.65,804619481.8
2018-09-06,196.0,201.75,195.5,199.3,1851251312.0
2018-09-07,200.9,200.9,192.85,195.7,504038642.3
2018-09-10,193.15,195.0,190.15,192.95,681508030.3
2018-09-11,193.05,194.85,186.2,186.9,1013773060.0
2018-09-12,187.1,195.25,187.1,193.8,1465866743.0
2018-09-14,195.25,201.95,193.9,200.15,2565488164.0
2018-09-17,197.4,203.55,197.4,201.9,1712977443.0
2018-09-18,201.5,203.9,198.15,198.9,556417390.7
2018-09-19,199.0,200.0,196.2,198.3,670715624.3
2018-09-21,199.0,201.9,195.1,200.4,1254620960.0
2018-09-24,200.0,200.35,194.55,197.6,444554005.2
2018-09-25,197.0,198.6,191.65,192.6,1173075129.0
2018-09-26,193.45,194.0,188.2,192.85,781320574.7
2018-09-27,193.0,195.9,192.15,194.55,884653552.5
2018-09-28,194.5,197.95,187.35,188.4,1105115340.0
2018-10-01,188.3,193.9,185.9,192.4,500260520.7
2018-10-03,190.5,192.3,188.35,188.95,1106215317.0
2018-10-04,188.0,190.95,184.55,189.25,1183160698.0
2018-10-05,189.0,191.55,186.35,187.3,749450900.6
2018-10-08,186.5,189.05,182.5,186.65,489722985.0
2018-10-09,187.05,189.45,185.3,186.55,585690853.2
2018-10-10,186.2,188.95,186.2,187.15,371382847.5
2018-10-11,185.95,188.5,184.05,185.7,1046324896.0
2018-10-12,186.25,189.75,186.1,188.45,726276582.1
2018-10-15,188.45,190.0,186.1,188.1,730443837.9
2018-10-16,187.95,188.8,185.1,187.2,686176940.0
2018-10-17,188.05,190.1,188.0,189.1,441898984.5
2018-10-19,189.0,191.45,187.05,189.15,1009603780.0
2018-10-22,189.4,191.0,188.25,189.15,467453057.9
2018-10-23,188.0,192.65,185.8,190.95,489675825.8
2018-10-24,191.5,192.25,189.4,190.4,483516577.1
2018-10-25,189.7,192.15,186.7,191.3,792156814.8
2018-10-26,190.35,191.0,187.8,188.4,681067176.1
2018-10-29,189.4,190.5,187.4,189.55,892249076.0
2018-10-30,189.0,189.55,185.6,186.15,536977019.5
2018-10-31,185.1,186.75,178.8,185.95,997764164.8
