date,open,high,low,close,volume
2018-01-01,111.2,114.8,111.05,111.75,165748719.2
2018-01-02,111.8,113.2,107.55,109.0,114562162.8
2018-01-03,109.75,111.2,108.6,109.25,92009547.3
2018-01-04,112.0,120.15,111.8,120.15,955575254.9
2018-01-05,123.0,126.5,122.0,122.85,1070434740.0
2018-01-08,124.0,126.8,120.2,124.4,541259914.8
2018-01-09,125.25,125.25,121.0,121.65,156461019.1
2018-01-10,121.9,123.2,118.5,119.35,135336783.2
2018-01-11,119.5,129.5,119.0,128.45,1077478259.0
2018-01-12,128.8,131.5,121.2,125.2,548790265.6
2018-01-15,126.7,128.1,122.0,124.25,234463656.1
2018-01-16,123.9,124.65,116.0,117.55,196466239.1
2018-01-17,117.6,118.25,112.4,117.1,161189500.2
2018-01-18,119.0,121.5,111.3,113.25,215930294.0
2018-01-19,113.2,115.15,110.6,112.9,129405485.4
2018-01-22,113.6,114.8,112.15,114.2,102160349.9
2018-01-23,114.25,117.3,112.6,113.65,156479412.9
2018-01-24,113.35,114.4,110.4,110.9,97641923.6
2018-01-25,111.1,113.25,109.4,110.0,95768110.95
2018-01-29,112.0,113.8,109.55,110.7,127474152.6
2018-01-30,110.0,110.45,105.55,105.9,103325674.0
2018-01-31,104.3,107.95,104.3,106.65,95136705.9
2018-02-01,107.0,109.25,102.8,103.95,147375600.8
2018-02-02,102.7,102.7,93.6,100.2,203096582.6
2018-02-05,94.55,98.45,94.0,96.2,168274791.9
2018-02-06,90.2,94.5,87.5,91.7,202099845.8
2018-02-07,94.5,98.0,93.6,94.8,285180793.2
2018-02-08,95.5,98.15,94.4,97.35,123609938.8
2018-02-09,94.1,95.85,93.65,94.95,84696891.0
2018-02-12,95.7,99.7,95.65,97.75,135443823.7
2018-02-14,98.5,102.9,95.7,96.8,163397035.9
2018-02-15,97.25,99.35,92.55,93.25,122507189.7
2018-02-16,93.85,94.8,91.55,92.3,69253497.8
2018-02-19,92.5,92.65,89.0,89.55,53784439.65
2018-02-20,89.4,91.6,88.5,90.1,55675911.75
2018-02-21,91.0,91.15,88.25,88.75,36157410.4
2018-02-22,88.4,91.6,87.1,89.65,87355443.5
2018-02-23,89.9,91.5,89.9,90.95,44200896.0
2018-02-26,91.8,91.9,90.0,90.2,39488018.0
2018-02-27,92.5,94.35,92.3,92.75,181619356.3
2018-02-28,91.7,91.7,89.7,90.75,38529188.8
2018-03-01,91.15,92.25,90.1,90.8,40791558.9
2018-03-05,90.3,90.8,88.0,88.45,36335277.55
2018-03-06,89.25,89.85,83.65,84.85,40811405.05
2018-03-07,84.1,84.65,82.0,82.3,60716735.05
2018-03-08,82.65,83.2,78.55,80.75,71088787.2
2018-03-09,81.1,82.15,77.9,78.2,53017851.45
2018-03-12,79.5,79.9,76.45,77.55,57218556.7
2018-03-13,77.7,79.9,77.0,78.35,62446601.85
2018-03-14,78.5,82.6,77.75,81.9,85104386.9
2018-03-15,82.7,85.9,82.4,84.9,141858582.1
2018-03-16,85.4,85.6,81.85,83.65,96323424.7
2018-03-19,83.6,84.0,80.7,81.95,34125353.95
2018-03-20,80.5,83.45,80.05,82.9,31960027.55
2018-03-21,83.0,84.9,82.6,83.55,37932011.05
2018-03-22,84.0,84.5,81.55,82.2,25315860.9
2018-03-23,80.0,80.0,78.4,79.05,30853154.95
2018-03-26,78.15,79.8,77.75,79.0,37573549.35
2018-03-27,80.0,83.95,79.55,82.35,52933364.45
2018-03-28,82.25,83.25,79.6,80.3,30424987.15
2018-04-02,81.8,84.2,80.6,83.45,34583698.75
2018-04-03,82.55,85.7,81.75,85.4,59229377.15
2018-04-04,85.5,89.45,84.2,85.55,115576359.2
2018-04-05,87.6,92.85,86.6,91.85,159611298.6
2018-04-06,92.0,92.6,88.35,90.0,130761353.3
2018-04-09,90.15,93.0,89.0,91.95,86765942.05
2018-04-10,91.95,99.9,91.95,96.95,556016825.5
2018-04-11,96.4,96.7,94.6,95.5,123016901.3
2018-04-12,96.5,98.4,94.3,96.45,192298919.8
2018-04-13,96.8,96.8,92.4,93.45,104873874.9
2018-04-16,92.0,94.8,91.1,94.3,90749730.1
2018-04-17,94.85,94.9,92.1,92.5,85813721.3
2018-04-18,92.8,93.4,91.0,91.5,111522207.8
2018-04-19,92.4,94.5,91.3,93.9,112025485.1
2018-04-20,93.4,96.7,92.65,94.1,142868503.0
2018-04-23,93.85,97.25,92.45,94.2,130110162.4
2018-04-24,97.8,98.8,95.2,97.75,322157726.1
2018-04-25,97.15,97.4,93.2,94.0,81277544.95
2018-04-26,93.75,94.55,93.0,93.05,42787743.2
2018-04-27,93.4,95.8,93.0,93.25,66394696.3
2018-04-30,93.75,94.8,93.35,94.05,44593681.85
2018-05-02,94.1,95.8,93.35,94.65,76687495.45
2018-05-03,94.25,95.95,92.6,95.5,72901518.7
2018-05-04,94.5,97.0,93.0,93.7,82204993.4
2018-05-07,94.0,94.7,93.9,94.45,49945650.3
2018-05-08,94.45,95.4,93.3,94.0,29812152.8
2018-05-09,93.95,95.5,93.3,93.6,41902493.05
2018-05-10,95.0,96.1,93.15,93.7,57424411.15
2018-05-11,93.9,95.2,92.7,94.2,40853326.1
2018-05-14,93.35,101.25,93.35,100.1,274533904.4
2018-05-15,99.2,99.95,94.0,96.05,130472763.8
2018-05-16,95.0,100.5,93.1,98.85,186761063.1
2018-05-17,98.95,105.0,98.4,101.85,380528255.2
2018-05-18,101.5,101.5,96.2,96.55,94639157.5
2018-05-21,96.5,96.5,91.5,92.35,42294152.25
2018-05-22,92.75,100.35,92.25,99.55,178589290.3
2018-05-23,98.45,100.6,94.0,94.75,89778191.95
2018-05-24,95.1,96.85,93.2,93.95,44152906.5
2018-05-25,94.1,95.7,92.65,93.3,49627795.45
2018-05-28,95.0,96.8,94.2,95.45,153650558.2
2018-05-29,97.75,97.75,94.7,95.55,176092949.1
2018-05-30,94.5,96.2,93.75,94.25,55898402.2
2018-05-31,95.5,96.4,94.5,95.55,91794859.05
2018-06-01,96.45,96.7,93.5,93.9,68214773.6
2018-06-04,94.25,94.7,83.0,86.65,168426918.0
2018-06-05,88.0,88.7,84.0,84.9,58786281.55
2018-06-06,84.9,91.6,82.6,89.65,285998837.1
2018-06-07,90.4,92.0,88.0,90.55,109763256.9
2018-06-08,90.45,91.2,88.65,89.75,39989267.05
2018-06-11,89.9,91.2,88.65,89.15,28376453.3
2018-06-12,89.25,90.4,88.45,89.0,32643116.6
2018-06-13,89.0,89.7,88.0,88.25,27504701.7
2018-06-14,88.0,88.0,87.0,87.3,27176423.15
2018-06-15,87.95,89.2,85.8,86.85,37485162.85
2018-06-18,86.8,86.8,84.5,85.0,20141389.55
2018-06-19,84.85,84.85,82.6,82.95,20721616.05
2018-06-20,83.1,84.15,82.0,82.85,29894701.7
2018-06-21,82.9,83.5,81.75,82.25,20920484.65
2018-06-22,82.2,82.2,81.0,81.45,24646355.2
2018-06-25,81.0,82.3,80.0,80.15,19266605.25
2018-06-26,79.7,85.95,78.1,81.5,139523864.2
2018-06-27,82.0,83.65,79.0,80.55,177710461.8
2018-06-28,79.6,80.1,77.4,77.95,35426324.2
2018-06-29,78.2,79.8,78.1,78.75,23523554.7
2018-07-02,78.85,79.05,77.55,78.15,22977394.05
2018-07-03,77.75,77.8,76.7,76.95,21093035.75
2018-07-04,76.85,79.0,74.9,75.3,35671213.6
2018-07-05,75.3,76.4,72.4,73.35,31234813.65
2018-07-06,73.0,74.8,72.25,74.05,29977364.55
2018-07-09,74.5,75.75,72.35,75.35,34266968.15
2018-07-10,76.2,81.7,75.15,80.45,145994327.3
2018-07-11,79.7,82.0,78.6,81.35,105730752.8
2018-07-12,81.45,81.8,78.0,79.4,42733876.45
2018-07-13,79.8,79.8,76.7,77.3,21047822.25
2018-07-16,77.0,78.05,75.75,77.2,28670043.45
2018-07-17,76.9,78.6,76.0,76.85,24158256.65
2018-07-18,77.4,78.3,76.5,77.5,35017026.8
2018-07-19,77.35,77.75,75.5,76.3,17724388.9
2018-07-20,77.0,78.4,75.1,77.45,16446953.8
2018-07-23,80.45,81.0,78.65,79.6,57768386.8
2018-07-24,79.5,81.15,78.85,79.95,44282423.95
2018-07-25,80.1,83.1,79.5,80.7,52243985.25
2018-07-26,80.5,80.8,79.0,79.85,22753858.0
2018-07-27,79.35,81.3,78.35,80.25,31969287.8
2018-07-30,79.85,80.8,79.0,79.25,25007429.0
2018-07-31,79.35,80.3,78.85,79.2,26633701.9
2018-08-01,79.3,79.9,78.6,78.95,15653042.7
2018-08-02,78.8,80.65,77.7,79.15,31157759.25
2018-08-03,79.5,82.9,79.35,81.3,57877314.7
2018-08-06,81.55,85.8,81.55,84.85,85268140.1
2018-08-07,84.3,84.7,81.2,83.2,59420439.9
2018-08-08,82.45,85.6,82.0,82.9,41429774.35
2018-08-09,82.6,83.15,81.45,82.0,30087537.4
2018-08-10,82.0,85.35,80.75,81.9,139940510.9
2018-08-13,80.7,81.9,80.5,81.15,22218686.9
2018-08-14,81.0,81.75,79.55,80.25,19599253.1
2018-08-16,79.55,80.9,78.5,79.1,22353592.6
2018-08-17,79.6,80.3,79.0,79.45,18040253.05
2018-08-20,79.6,80.95,79.25,79.9,25000060.8
2018-08-21,80.4,80.5,77.9,78.5,44018069.2
2018-08-23,78.3,79.5,77.7,78.2,31852887.0
2018-08-24,81.0,81.0,78.45,79.3,93848193.0
2018-08-27,79.9,83.95,79.0,82.35,133152200.0
2018-08-28,82.95,85.65,81.2,84.2,70785262.7
2018-08-29,84.7,87.3,82.8,84.55,50921761.2
2018-08-30,84.55,84.75,82.3,82.45,30528290.7
2018-08-31,82.6,82.9,81.6,82.2,22929135.15
2018-09-03,82.4,85.0,82.05,83.4,36695320.1
2018-09-04,82.8,83.4,81.3,81.85,20471292.55
2018-09-05,81.85,87.1,80.9,85.1,79180208.65
2018-09-06,86.4,87.6,85.0,85.75,49220931.75
2018-09-07,88.0,94.0,87.9,92.25,354729012.9
2018-09-10,93.15,94.4,89.0,93.15,172288236.1
2018-09-11,93.1,97.8,92.25,96.25,297867534.6
2018-09-12,96.95,100.5,96.6,97.6,416848368.7
2018-09-14,98.4,112.7,98.4,107.7,942623615.4
2018-09-17,108.5,120.4,107.5,115.6,1248670220.0
2018-09-18,116.15,116.2,102.3,103.0,495483043.3
2018-09-19,104.4,107.55,101.2,103.45,281738826.2
2018-09-21,104.1,108.5,90.05,100.5,362969344.3
2018-09-24,101.6,104.65,96.5,103.55,182276292.9
2018-09-25,104.5,110.5,102.1,109.25,352722644.0
2018-09-26,109.0,110.1,101.5,102.25,179894135.4
2018-09-27,101.8,103.9,96.05,96.7,119542426.3
2018-09-28,97.5,98.45,84.0,87.6,111488643.1
2018-10-01,87.55,90.5,82.3,88.55,106287774.5
2018-10-03,89.5,97.9,89.0,94.45,271542624.6
2018-10-04,91.65,97.35,90.0,93.7,132789512.4
2018-10-05,96.6,99.4,95.65,98.0,204541472.3
2018-10-08,98.0,105.5,97.0,101.55,253707643.1
2018-10-09,102.55,105.7,101.2,102.15,181886069.4
2018-10-10,102.1,110.35,99.15,107.75,257953332.4
2018-10-11,103.5,113.0,102.0,110.5,395329495.8
2018-10-12,111.6,115.0,110.0,112.8,286313339.5
2018-10-15,122.0,124.4,117.7,118.55,571523338.8
2018-10-16,117.7,117.95,114.65,115.35,180956462.8
2018-10-17,115.9,116.4,105.35,106.65,166594894.6
2018-10-19,106.6,110.25,103.0,107.65,166087785.7
2018-10-22,108.8,108.9,103.25,103.95,70657602.05
2018-10-23,102.55,106.3,101.1,104.55,115262416.7
2018-10-24,106.8,108.8,104.6,107.4,181056449.0
