date,open,high,low,close,volume
2018-01-01,320.5,325.0,312.75,315.65,32030064.3
2018-01-02,318.0,327.15,317.95,321.5,78974471.85
2018-01-03,323.45,325.65,318.0,321.0,44348090.1
2018-01-04,324.0,345.0,324.0,338.6,331247234.8
2018-01-05,338.0,340.0,332.55,335.05,37682655.05
2018-01-08,346.55,350.0,329.3,332.4,137315414.9
2018-01-09,335.0,354.7,330.0,333.75,461247475.7
2018-01-10,337.55,340.0,332.5,334.05,96269361.65
2018-01-11,336.0,352.0,335.55,345.0,388253209.9
2018-01-12,347.2,347.25,335.8,337.95,45771701.3
2018-01-15,342.9,346.0,334.05,339.5,130731423.5
2018-01-16,339.05,356.8,335.0,337.75,232009968.4
2018-01-17,337.85,343.65,319.1,320.7,114750178.1
2018-01-18,323.0,325.7,305.85,309.9,51768474.05
2018-01-19,311.9,315.0,302.25,310.8,59527778.1
2018-01-22,310.0,315.9,306.05,313.5,108817916.2
2018-01-23,313.95,325.0,312.9,319.9,122838357.0
2018-01-24,321.6,325.1,311.9,316.4,65293853.45
2018-01-25,320.9,324.0,311.2,313.7,43037421.05
2018-01-29,314.0,327.2,311.4,316.3,83723877.7
2018-01-30,316.05,324.0,311.5,315.9,221276877.3
2018-01-31,315.9,325.0,314.8,322.8,497191138.2
2018-02-01,324.9,328.9,314.0,327.05,151203887.8
2018-02-02,323.9,323.9,303.65,311.75,116147919.5
2018-02-05,302.0,309.4,299.0,302.25,70477218.15
2018-02-06,289.8,294.8,281.15,288.45,96397903.9
2018-02-07,294.95,296.65,288.05,290.2,116058029.0
2018-02-08,302.5,305.0,287.4,295.7,293470962.2
2018-02-09,294.5,307.0,289.7,301.95,97416238.6
2018-02-12,302.9,313.5,300.45,309.65,134940603.5
2018-02-14,312.8,319.45,309.3,312.3,71540394.85
2018-02-15,315.45,332.0,310.2,324.85,239938959.2
2018-02-16,327.9,329.9,316.35,323.2,69202937.65
2018-02-19,329.0,332.0,318.35,322.05,88300541.85
2018-02-20,323.35,323.45,297.5,302.75,270833862.2
2018-02-21,304.35,312.0,302.0,309.4,267187442.2
2018-02-22,306.7,320.0,304.5,317.85,149078896.3
2018-02-23,317.8,322.4,310.8,314.3,42824343.3
2018-02-26,316.65,334.4,316.65,331.85,168682104.7
2018-02-27,336.4,342.6,322.75,325.05,209525533.4
2018-02-28,324.95,343.15,320.1,335.3,107377492.2
2018-03-01,335.5,342.0,325.65,328.1,57728993.0
2018-03-05,324.65,332.0,317.4,329.75,44518335.05
2018-03-06,330.0,330.0,310.0,314.05,83630065.4
2018-03-07,312.7,312.7,292.0,297.65,131290715.3
2018-03-08,299.5,307.0,291.4,299.4,90619523.6
2018-03-09,302.0,311.75,302.0,304.85,79241581.65
2018-03-12,307.9,308.95,297.0,303.8,44949000.0
2018-03-13,305.85,305.85,293.6,296.25,123075679.7
2018-03-14,295.05,305.65,295.05,303.35,32945561.0
2018-03-15,304.4,305.95,299.0,299.75,25409976.95
2018-03-16,300.9,310.8,294.0,296.8,124999274.3
2018-03-19,297.8,303.0,295.1,299.85,51710131.75
2018-03-20,298.9,298.9,291.0,293.45,41145984.85
2018-03-21,294.8,297.9,283.5,289.35,54123714.7
2018-03-22,288.4,295.0,283.45,288.7,370942575.3
2018-03-23,281.4,284.75,268.25,279.3,130774738.6
2018-03-26,280.85,301.0,278.5,294.55,85735974.8
2018-03-27,294.9,297.85,288.1,290.3,28566791.8
2018-03-28,289.35,298.0,282.2,291.8,49608605.95
2018-04-02,290.1,299.5,290.1,297.1,30625728.95
2018-04-03,299.0,303.45,293.2,297.0,27572913.2
2018-04-04,294.6,308.0,289.0,293.05,75822150.05
2018-04-05,299.8,305.0,293.3,301.7,23510890.35
2018-04-06,305.5,315.0,305.5,308.3,75132569.4
2018-04-09,310.3,317.65,309.5,312.9,69714892.6
2018-04-10,314.35,315.0,305.35,307.3,45701801.45
2018-04-11,306.15,307.35,300.65,305.5,35084682.45
2018-04-12,304.0,304.3,299.0,300.6,12209115.0
2018-04-13,300.0,304.5,292.0,295.6,59094075.75
2018-04-16,292.0,305.95,292.0,304.85,69652523.95
2018-04-17,307.15,309.15,302.2,304.75,27573805.35
2018-04-18,304.25,306.2,300.0,301.25,228600873.8
2018-04-19,301.6,306.0,301.25,305.05,68931981.75
2018-04-20,304.0,306.9,297.5,303.95,14113252.25
2018-04-23,303.95,310.0,301.55,307.2,80755168.4
2018-04-24,310.5,311.2,300.2,303.25,48255690.75
2018-04-25,302.2,307.0,292.2,294.8,45492939.65
2018-04-26,295.6,297.0,290.5,291.55,38996830.8
2018-04-27,292.6,299.0,290.5,291.85,29581740.05
2018-04-30,293.0,308.0,293.0,305.8,51539731.9
2018-05-02,305.55,305.55,293.6,296.55,24726989.1
2018-05-03,296.75,299.3,291.65,295.25,13089986.8
2018-05-04,294.9,297.25,290.05,291.3,11704026.25
2018-05-07,291.0,297.45,290.15,291.1,16274898.6
