date,open,high,low,close,volume
2018-01-01,370.25,381.4,370.0,371.75,901326275.1
2018-01-02,374.2,408.9,365.0,399.3,3647564339.0
2018-01-03,415.0,439.2,412.3,438.3,6228023418.0
2018-01-04,443.0,456.05,428.1,432.75,5179173543.0
2018-01-05,431.0,437.75,418.0,421.1,1479878755.0
2018-01-08,450.0,463.2,436.3,461.2,3864220587.0
2018-01-09,464.0,475.0,450.0,459.85,3131782200.0
2018-01-10,460.0,463.1,443.1,449.05,1400033773.0
2018-01-11,449.05,459.35,445.3,448.5,1015675246.0
2018-01-12,452.5,454.55,438.5,447.95,876526396.2
2018-01-15,449.5,450.0,437.05,439.05,818467748.4
2018-01-16,440.0,441.65,417.25,419.45,1099184025.0
2018-01-17,420.6,447.95,398.05,441.3,2653546457.0
2018-01-18,445.0,454.4,409.1,418.8,1672292781.0
2018-01-19,418.8,438.0,410.0,432.35,1642635045.0
2018-01-22,431.0,440.0,426.2,431.9,1044611477.0
2018-01-23,430.0,435.8,424.05,425.8,797796972.0
2018-01-24,425.8,426.0,410.0,411.1,759926624.1
2018-01-25,411.85,430.85,411.05,418.0,1212316113.0
2018-01-29,422.8,426.6,401.0,402.95,1068440536.0
2018-01-30,403.0,407.85,385.25,395.9,1181191395.0
2018-01-31,394.8,404.75,370.2,380.55,1184692953.0
2018-02-01,381.7,386.0,358.0,363.1,1253244399.0
2018-02-02,353.9,360.0,326.8,332.4,2060468341.0
2018-02-05,312.25,347.0,305.3,337.55,1735727422.0
2018-02-06,306.0,340.95,303.8,330.65,1569850520.0
2018-02-07,350.0,363.7,345.0,362.05,1738788219.0
2018-02-08,366.25,393.0,364.25,383.7,2064156862.0
2018-02-09,360.0,396.65,359.0,392.25,2125413126.0
2018-02-12,398.8,408.85,389.1,392.5,1226741220.0
2018-02-14,398.0,402.65,381.65,383.6,1003696438.0
2018-02-15,384.5,389.5,366.0,376.55,778008952.6
2018-02-16,381.0,384.1,360.5,364.7,770475517.2
2018-02-19,367.7,396.3,354.5,392.1,1933329144.0
2018-02-20,397.0,399.0,371.6,376.25,1569093726.0
2018-02-21,380.0,389.0,372.15,383.9,1168232914.0
2018-02-22,379.0,384.9,370.95,372.05,926601301.0
2018-02-23,375.5,386.5,374.05,382.5,1090094289.0
2018-02-26,386.4,397.65,386.05,395.05,1283505843.0
2018-02-27,398.5,408.75,395.0,399.35,2247730183.0
2018-02-28,394.5,408.0,375.75,380.9,4224026761.0
2018-03-01,382.0,382.9,360.0,362.35,2029150154.0
2018-03-05,360.95,371.95,331.05,369.25,1732564884.0
2018-03-06,373.8,381.95,363.6,368.3,1487376866.0
2018-03-07,363.8,372.0,361.5,367.9,1252338115.0
2018-03-08,374.6,384.4,366.2,382.6,1826104817.0
2018-03-09,386.5,393.7,383.6,389.45,1360651745.0
2018-03-12,395.0,397.0,380.0,393.3,1247917198.0
2018-03-13,394.6,399.0,382.5,394.65,1269067586.0
2018-03-14,390.0,393.7,386.0,388.7,639102199.5
2018-03-15,386.5,397.55,386.0,390.8,948544659.9
2018-03-16,392.35,396.0,384.15,386.25,1622568963.0
2018-03-19,389.2,395.9,370.15,373.0,952980832.4
2018-03-20,368.0,389.4,365.7,383.85,1319638363.0
2018-03-21,388.25,393.0,387.05,388.85,839773880.3
2018-03-22,388.45,390.9,378.0,380.25,557168417.9
2018-03-23,369.0,378.4,365.6,373.4,787806641.0
2018-03-26,371.0,376.9,370.3,372.45,439904014.6
2018-03-27,378.0,389.9,374.9,383.95,710619829.1
2018-03-28,381.85,383.5,373.1,374.65,396086160.1
2018-04-02,378.0,387.25,377.65,383.5,461711716.0
2018-04-03,383.5,387.0,380.0,384.35,412253706.3
2018-04-04,387.0,405.2,371.6,373.85,2156597215.0
2018-04-05,380.0,383.5,372.2,380.05,676908011.8
2018-04-06,382.8,385.95,375.1,378.7,812207374.6
2018-04-09,379.85,380.5,374.1,375.9,428087112.3
2018-04-10,379.7,384.0,375.05,375.7,476271237.4
2018-04-11,376.1,376.6,366.5,370.35,545464195.4
2018-04-12,369.5,369.75,352.5,355.4,1213133339.0
2018-04-13,357.0,362.8,348.7,350.9,847078009.1
2018-04-16,350.0,357.45,347.35,355.15,506225748.0
2018-04-17,356.0,357.75,343.0,343.8,563456295.8
2018-04-18,347.0,347.0,336.0,337.25,607575788.7
2018-04-19,337.7,354.5,326.0,351.0,1503100845.0
2018-04-20,352.25,359.4,346.95,355.0,929967718.0
2018-04-23,353.7,354.7,339.1,340.55,790598601.8
2018-04-24,341.0,346.4,336.0,337.1,637350269.6
2018-04-25,336.1,339.45,325.0,326.3,776793123.9
2018-04-26,327.95,329.5,314.0,318.2,675710649.9
2018-04-27,318.6,331.3,315.0,325.9,720641161.6
2018-04-30,328.85,328.85,318.0,319.7,502631357.7
2018-05-02,319.75,321.25,304.5,306.5,672366914.1
2018-05-03,307.3,327.9,305.15,321.3,1178625821.0
2018-05-04,321.0,322.7,311.3,314.15,624260956.9
2018-05-07,317.0,317.6,305.65,307.8,542782909.0
2018-05-08,311.15,323.4,307.55,318.0,755320396.0
2018-05-09,319.0,335.0,311.4,333.6,1559064154.0
2018-05-10,337.0,344.35,326.0,327.55,1393384394.0
2018-05-11,330.25,332.5,265.65,274.2,5111266881.0
2018-05-14,270.7,277.4,246.0,250.8,4614824924.0
2018-05-15,249.0,253.5,230.2,233.85,3130328597.0
2018-05-16,230.0,245.75,227.0,236.1,2049695285.0
2018-05-17,239.7,253.0,237.0,250.1,1693844540.0
2018-05-18,250.0,255.7,239.4,241.25,975701321.9
2018-05-21,240.0,242.5,221.3,222.6,756383149.7
2018-05-22,223.0,232.55,223.0,227.4,681271552.4
2018-05-23,229.25,237.6,226.4,228.35,847353164.6
2018-05-24,231.25,232.75,220.35,222.85,458240165.8
2018-05-25,223.95,230.0,218.2,228.15,764414748.5
2018-05-28,232.0,239.3,227.0,237.15,694670721.6
2018-05-29,237.0,244.0,232.3,238.5,857897482.3
2018-05-30,233.7,243.3,233.0,240.2,575959585.8
2018-05-31,242.2,242.9,229.2,234.4,514887336.9
2018-06-01,228.8,228.8,222.7,222.7,617796617.0
2018-06-04,214.5,219.8,211.6,211.6,290147101.6
2018-06-05,204.0,205.0,201.05,201.05,82681233.5
2018-06-06,191.0,211.1,191.0,211.1,1000607234.0
2018-06-07,218.95,221.65,215.0,221.65,326911417.5
2018-06-08,224.5,232.7,221.9,232.7,608063160.7
2018-06-11,236.0,244.3,223.6,227.4,416918173.2
2018-06-12,229.3,235.9,224.4,229.2,244570163.8
2018-06-13,229.0,232.05,225.7,227.6,145809417.5
2018-06-14,225.0,230.5,222.4,225.3,121222442.9
2018-06-15,223.0,226.95,214.05,214.1,197081172.7
2018-06-18,210.0,213.8,204.5,207.25,153970929.0
2018-06-19,205.0,206.1,197.0,198.0,265637519.2
2018-06-20,195.3,207.9,195.3,207.9,228145181.9
2018-06-21,211.0,211.45,197.55,198.0,227070826.5
2018-06-22,197.5,202.0,193.1,196.5,190096462.5
2018-06-25,195.05,205.85,192.85,199.1,271672938.7
2018-06-26,197.0,202.2,193.0,193.65,149774539.2
2018-06-27,194.1,196.5,184.0,186.85,213511045.5
2018-06-28,184.7,188.75,181.1,183.75,138920005.9
2018-06-29,188.0,192.9,187.05,192.9,91774043.8
2018-07-02,202.5,202.5,197.1,202.5,390892049.5
2018-07-03,201.0,206.4,193.6,201.35,432707642.5
2018-07-04,191.3,199.5,191.3,197.2,108432066.0
