date,open,high,low,close,volume
2018-01-01,267.05,276.7,263.2,270.85,171430526.8
2018-01-02,273.1,273.85,264.05,265.35,109023601.0
2018-01-03,268.0,275.0,267.5,269.55,221193807.7
2018-01-04,272.4,276.0,268.85,274.55,340746697.2
2018-01-05,275.7,277.9,271.6,274.65,170638185.2
2018-01-08,274.7,276.75,271.2,272.5,139037214.2
2018-01-09,274.0,274.5,270.4,271.45,121833907.5
2018-01-10,271.85,272.15,264.55,267.1,125416084.4
2018-01-11,269.0,272.0,266.3,269.8,372762029.1
2018-01-12,271.25,273.4,262.6,265.2,158638014.1
2018-01-15,268.8,280.9,268.25,276.6,596403617.1
2018-01-16,279.7,280.65,267.5,271.6,352977606.5
2018-01-17,272.5,277.0,265.1,275.85,251064466.0
2018-01-18,277.85,281.7,263.0,265.45,253457323.5
2018-01-19,265.95,269.4,262.05,266.8,110379681.4
2018-01-22,268.4,273.55,267.25,270.95,138233497.4
2018-01-23,255.0,260.4,249.7,252.45,448925761.9
2018-01-24,252.5,255.5,248.0,249.55,194608077.5
2018-01-25,250.1,253.0,247.0,250.2,90637908.7
2018-01-29,250.5,253.0,247.0,248.7,98560524.45
2018-01-30,251.6,251.7,246.0,246.95,72520619.1
2018-01-31,245.2,252.6,243.3,250.25,98325568.5
2018-02-01,252.5,254.9,244.7,245.4,140140095.8
2018-02-02,242.0,245.0,234.85,236.1,147436213.3
2018-02-05,226.9,236.0,223.3,229.9,102962097.3
2018-02-06,220.0,227.9,210.0,226.2,112214254.6
2018-02-07,230.0,233.65,222.45,224.3,47020529.05
2018-02-08,226.0,233.95,225.7,233.0,122719317.6
2018-02-09,228.7,234.2,226.2,229.35,43441983.1
2018-02-12,231.1,236.8,230.9,232.1,50536778.65
2018-02-14,233.85,237.95,231.3,232.55,50084392.7
2018-02-15,234.9,236.6,227.0,227.95,47157992.35
2018-02-16,230.65,232.0,225.05,227.2,35688982.35
2018-02-19,230.25,231.8,222.5,225.2,34930245.25
2018-02-20,226.0,232.4,225.0,231.05,40403395.25
2018-02-21,230.9,232.0,226.5,227.85,32990182.55
2018-02-22,225.9,229.8,223.3,225.55,29302182.25
2018-02-23,227.0,229.7,225.9,227.85,29199875.25
2018-02-26,226.6,231.8,226.6,229.95,28285912.85
2018-02-27,232.5,232.5,228.35,229.45,27892296.75
2018-02-28,229.45,233.8,225.15,231.4,49322879.6
2018-03-01,234.0,234.0,230.5,231.35,37043359.9
2018-03-05,231.0,232.0,227.25,230.55,28731556.45
2018-03-06,231.0,231.95,227.0,229.25,21566489.0
2018-03-07,226.0,227.5,223.75,224.9,31593509.15
2018-03-08,228.0,230.3,223.5,225.85,23387944.45
2018-03-09,227.0,230.0,223.5,229.45,26498507.85
2018-03-12,232.5,232.5,228.05,231.75,46205607.15
2018-03-13,231.75,237.0,230.15,236.2,44366141.6
2018-03-14,235.05,235.05,230.55,233.15,28539202.45
2018-03-15,233.0,235.0,231.0,234.35,20058969.45
2018-03-16,234.0,239.95,229.25,231.0,66221558.2
2018-03-19,231.7,232.5,223.9,227.3,40588944.35
2018-03-20,227.3,228.4,219.1,222.6,42040054.45
2018-03-21,226.45,226.45,213.75,218.75,135992421.8
2018-03-22,218.0,230.0,213.0,220.55,49012917.65
2018-03-23,214.5,221.9,213.0,219.45,69503318.55
2018-03-26,220.0,222.0,213.5,218.65,56524157.0
2018-03-27,220.0,231.9,218.65,228.2,55526863.25
2018-03-28,226.9,239.45,222.3,238.25,105235852.4
2018-04-02,235.3,236.9,233.3,234.95,38050412.85
2018-04-03,234.0,234.9,229.75,230.95,32051360.45
2018-04-04,233.0,235.0,228.15,229.35,43035351.5
2018-04-05,232.2,233.25,228.8,229.8,29737824.85
2018-04-06,230.5,230.75,228.25,229.1,17266171.55
2018-04-09,229.55,233.7,227.0,228.25,96417548.25
2018-04-10,229.2,230.8,227.1,227.4,19923824.2
2018-04-11,228.9,231.4,226.5,227.7,27029516.65
2018-04-12,228.8,231.55,226.65,228.65,26891834.8
2018-04-13,232.0,232.5,227.8,229.15,76306171.75
2018-04-16,228.0,232.4,227.0,230.5,21979578.25
2018-04-17,232.0,232.5,227.3,228.25,37511215.4
2018-04-18,230.0,230.0,227.15,227.95,31956688.35
2018-04-19,229.9,235.8,227.0,232.5,65168464.55
2018-04-20,232.25,235.7,228.2,234.4,66781820.8
2018-04-23,237.8,244.95,235.0,239.85,203516127.5
2018-04-24,241.6,245.95,240.5,244.8,150109978.6
2018-04-25,245.5,248.7,235.35,237.3,97655690.85
2018-04-26,238.9,239.7,233.0,233.95,45020869.25
2018-04-27,227.0,228.0,218.0,219.0,154636790.2
2018-04-30,221.0,225.0,219.0,220.45,41026791.75
2018-05-02,221.0,224.0,219.55,222.55,50329927.75
