date,open,high,low,close,volume
2018-01-01,37.25,37.45,33.6,35.35,12584115702.0
2018-01-02,35.25,35.45,31.15,32.4,9454117648.0
2018-01-03,32.0,32.15,30.1,30.55,7196605255.0
2018-01-04,30.5,34.9,28.15,33.3,12823022085.0
2018-01-05,34.6,36.15,33.35,34.0,14751175426.0
2018-01-08,34.35,34.8,33.05,33.9,4946364790.0
2018-01-09,33.9,33.9,32.35,32.7,3415226568.0
2018-01-10,33.3,34.1,32.7,33.2,3605173560.0
2018-01-11,32.9,33.6,32.25,32.8,2604703594.0
2018-01-12,32.7,32.9,30.6,31.3,2865615048.0
2018-01-15,31.4,32.1,30.7,31.55,2173847512.0
2018-01-16,31.65,33.1,30.9,31.2,4612007976.0
2018-01-17,31.5,32.95,30.3,32.35,3511663393.0
2018-01-18,32.95,33.2,27.6,29.35,3918421292.0
2018-01-19,28.8,29.95,27.75,29.45,3472387568.0
2018-01-22,29.0,29.35,28.3,28.65,1606780973.0
2018-01-23,28.4,31.3,28.35,29.25,4353195920.0
2018-01-24,28.7,29.55,28.6,28.75,1674398359.0
2018-01-25,28.9,29.2,28.0,28.35,1770588406.0
2018-01-29,28.75,28.85,26.5,27.2,3022866829.0
2018-01-30,28.0,32.4,27.4,30.05,9290635610.0
2018-01-31,30.05,31.05,28.9,29.45,3493788447.0
2018-02-01,29.45,29.9,28.4,28.6,1773114779.0
2018-02-02,28.0,28.25,24.5,26.1,2626758806.0
2018-02-05,24.75,26.75,22.95,26.25,2389178872.0
2018-02-06,24.4,25.4,23.7,24.55,1707262224.0
2018-02-07,25.0,26.05,24.75,25.15,1773643765.0
2018-02-08,25.5,27.25,25.2,26.55,2922254515.0
2018-02-09,25.4,28.0,25.25,27.0,2789943844.0
2018-02-12,27.1,27.95,26.8,27.1,1976043700.0
2018-02-14,27.55,30.2,27.5,29.6,5128456521.0
2018-02-15,29.45,30.55,27.55,27.95,3203043094.0
2018-02-16,28.4,29.0,27.6,28.35,2397531464.0
2018-02-19,28.95,29.0,27.75,28.45,1867589382.0
2018-02-20,28.6,28.9,27.55,27.85,1521545190.0
2018-02-21,28.05,28.4,27.55,28.0,1493087070.0
2018-02-22,27.95,28.35,27.15,27.35,1334477768.0
2018-02-23,27.5,27.95,27.4,27.6,927584503.7
2018-02-26,27.85,30.95,27.6,29.75,4330214615.0
2018-02-27,29.9,30.1,27.8,28.0,2222971087.0
2018-02-28,27.85,28.9,26.5,28.35,2319080100.0
2018-03-01,28.05,29.4,27.7,27.9,2292523809.0
2018-03-05,28.15,28.55,27.1,27.75,1879518925.0
2018-03-06,27.55,28.7,25.0,26.35,2676041847.0
2018-03-07,26.35,26.75,24.4,25.2,2657655290.0
2018-03-08,26.0,26.7,24.35,25.1,2833740829.0
2018-03-09,25.0,25.0,21.65,22.7,2508717432.0
2018-03-12,23.0,23.45,21.8,23.0,1727951036.0
2018-03-13,22.05,23.65,22.05,23.35,1867849260.0
2018-03-14,23.1,24.45,22.65,23.8,2061856923.0
2018-03-15,23.7,24.25,23.4,23.6,1081622658.0
2018-03-16,23.7,24.4,22.8,23.45,1598721284.0
2018-03-19,23.8,24.05,22.7,23.0,1014553890.0
2018-03-20,22.7,23.5,22.5,23.1,813077339.0
2018-03-21,23.05,26.55,23.05,25.3,3350679282.0
2018-03-22,25.55,26.3,23.5,23.8,3289452366.0
2018-03-23,22.5,23.5,22.0,22.7,2000974197.0
2018-03-26,23.0,23.85,22.6,23.4,1630640269.0
2018-03-27,23.9,24.2,23.25,23.8,1181263504.0
2018-03-28,23.3,23.35,21.45,21.75,1640209592.0
2018-04-02,22.2,22.8,21.9,22.5,1149588657.0
2018-04-03,22.1,22.9,22.1,22.6,1233649854.0
2018-04-04,22.8,23.4,21.65,22.3,2364848294.0
2018-04-05,22.7,24.2,21.7,23.3,5251093997.0
2018-04-06,23.75,25.2,23.5,24.35,4324603473.0
2018-04-09,24.35,24.7,23.7,23.8,1563842313.0
2018-04-10,23.9,24.05,22.8,23.25,1512482253.0
2018-04-11,23.2,23.3,22.75,22.85,1120759174.0
2018-04-12,22.85,23.1,22.1,22.25,998086188.1
2018-04-13,22.35,22.75,22.1,22.3,939588061.5
2018-04-16,22.1,22.45,20.8,21.05,1681293147.0
2018-04-17,21.3,21.85,20.95,21.1,1217238770.0
2018-04-18,21.25,21.45,20.8,21.0,814321994.4
2018-04-19,21.05,21.15,20.3,20.8,919479557.5
2018-04-20,20.5,20.9,20.25,20.4,721716909.9
2018-04-23,20.3,20.75,19.8,19.95,658844748.8
2018-04-24,19.9,20.1,16.85,17.95,2191153415.0
2018-04-25,17.9,18.65,17.2,17.65,1502717013.0
2018-04-26,17.5,17.5,16.25,16.8,1409329424.0
2018-04-27,16.85,17.0,15.65,15.95,751317370.8
2018-04-30,15.65,15.9,14.65,15.3,1198458335.0
2018-05-02,15.25,17.9,15.0,16.05,2863129390.0
2018-05-03,16.0,16.1,14.85,15.05,1117776208.0
2018-05-04,15.1,15.9,14.5,15.35,1299805049.0
2018-05-07,15.2,15.8,15.15,15.55,719296643.1
2018-05-08,15.5,15.65,15.0,15.15,683864703.2
2018-05-09,15.15,15.3,14.85,15.05,507628086.4
2018-05-10,15.1,15.15,13.65,13.95,1079980221.0
2018-05-11,13.9,14.85,13.3,13.7,1086718363.0
2018-05-14,13.4,13.7,13.1,13.5,668094892.2
2018-05-15,13.3,13.65,11.4,12.4,1389874314.0
2018-05-16,11.35,11.95,9.85,10.5,2219280918.0
2018-05-17,10.4,17.75,10.05,16.4,7867071846.0
2018-05-18,18.0,21.3,13.15,15.3,14234657994.0
2018-05-21,14.9,16.3,12.75,13.35,4227670613.0
2018-05-22,13.7,15.95,12.85,14.35,4147503606.0
2018-05-23,14.5,14.9,13.9,14.2,1621802453.0
2018-05-24,14.8,14.9,13.95,14.15,991469434.6
2018-05-25,14.25,14.7,13.75,14.3,1092554819.0
2018-05-28,14.3,16.15,14.1,15.3,2123333652.0
2018-05-29,15.85,16.8,15.35,15.95,3242529792.0
2018-05-30,16.75,18.3,16.3,17.5,6626045830.0
2018-05-31,19.25,21.0,17.55,18.65,7879932765.0
2018-06-01,18.45,18.45,16.2,16.45,3656179119.0
2018-06-04,16.55,16.75,15.4,15.75,1657352811.0
2018-06-05,15.4,15.55,13.9,14.45,1991030223.0
2018-06-06,14.2,16.6,13.95,16.0,4021246152.0
2018-06-07,16.35,16.55,15.4,15.75,2404414927.0
2018-06-08,15.75,16.2,15.45,15.85,1211692801.0
2018-06-11,15.85,16.15,15.5,15.65,966098106.2
2018-06-12,15.6,17.0,15.15,16.1,2039107122.0
2018-06-13,16.1,16.9,15.8,16.0,1767547651.0
2018-06-14,16.0,16.25,15.7,15.9,869502146.7
2018-06-15,15.85,16.15,15.35,15.45,1086099234.0
2018-06-18,15.45,15.6,15.0,15.15,866322692.5
2018-06-19,15.1,15.65,14.45,14.6,1372195379.0
2018-06-20,14.7,15.95,14.65,15.3,1579228198.0
2018-06-21,15.3,15.45,14.85,14.9,745300129.4
2018-06-22,14.9,15.0,14.6,14.7,713370427.8
2018-06-25,14.75,15.15,14.45,14.65,691234138.0
2018-06-26,14.55,14.7,14.3,14.4,596807002.4
2018-06-27,14.5,14.6,13.0,13.35,1293862454.0
2018-06-28,13.3,13.85,13.0,13.3,1190655932.0
2018-06-29,13.5,14.4,13.45,13.75,1103634476.0
2018-07-02,13.8,13.9,13.1,13.25,694893922.6
2018-07-03,13.3,13.5,13.15,13.35,413827038.0
2018-07-04,13.7,14.05,13.55,13.65,862450766.2
2018-07-05,13.7,14.1,13.4,13.5,803690925.5
2018-07-06,13.6,13.75,13.4,13.55,440411214.5
2018-07-09,13.65,13.95,13.55,13.7,463944204.7
2018-07-10,13.8,14.2,13.75,13.95,633570161.3
2018-07-11,13.9,14.0,13.5,13.65,518860380.5
2018-07-12,13.7,13.95,13.35,13.5,483150745.6
2018-07-13,13.7,13.7,12.8,13.0,582605244.3
2018-07-16,13.05,13.05,11.8,12.05,666484301.0
2018-07-17,12.1,13.8,12.05,13.05,1134934935.0
2018-07-18,13.1,13.35,12.55,13.1,923240480.9
2018-07-19,13.3,13.5,12.5,12.8,808493313.9
2018-07-20,12.85,13.1,12.6,12.95,549752875.9
2018-07-23,12.9,13.3,12.5,13.2,691132919.0
2018-07-24,13.2,13.95,13.05,13.6,879501696.3
2018-07-25,13.95,15.6,13.75,13.85,1570780505.0
2018-07-26,13.95,14.2,13.55,13.8,648575641.1
2018-07-27,13.8,14.3,13.75,14.0,604491966.2
2018-07-30,14.05,14.1,13.65,13.85,368485759.6
2018-07-31,13.85,14.75,13.75,14.4,843921896.7
2018-08-01,14.55,15.45,14.45,14.7,1595011681.0
2018-08-02,14.8,15.1,14.5,14.8,1164811543.0
2018-08-03,14.8,17.0,14.75,15.65,3182549951.0
2018-08-06,16.1,16.85,15.85,16.4,1986238007.0
2018-08-07,16.8,17.15,16.3,16.65,1850766435.0
2018-08-08,16.7,19.1,16.55,18.4,3564744053.0
2018-08-09,19.0,20.5,18.7,20.05,5803065890.0
2018-08-10,20.1,20.75,19.05,19.45,3130462325.0
2018-08-13,19.0,21.2,18.4,20.55,5125797013.0
