date,open,high,low,close,volume
2018-01-01,677.8,691.75,675.6,686.85,5891776.95
2018-01-02,691.0,691.0,666.65,670.9,15813621.95
2018-01-03,675.0,689.4,671.05,686.0,5250557.45
2018-01-04,676.3,698.95,676.0,680.4,5720862.35
2018-01-05,685.0,691.0,675.0,679.55,17415541.25
2018-01-08,676.0,689.4,671.0,673.75,10236174.0
2018-01-09,677.4,679.8,673.55,674.55,3836766.45
2018-01-10,681.0,689.8,673.0,679.9,9142650.45
2018-01-11,683.1,691.0,671.05,675.2,9898613.65
2018-01-12,685.25,685.25,675.0,678.05,3175138.1
2018-01-15,675.3,682.9,670.15,679.95,10224503.7
2018-01-16,676.55,679.15,655.1,664.3,5241342.8
2018-01-17,659.0,662.95,642.25,650.55,8114069.95
2018-01-18,657.5,668.05,645.0,650.4,5410417.85
2018-01-19,667.4,670.0,630.45,638.2,20549048.9
2018-01-22,641.05,649.0,621.25,628.15,11555991.9
2018-01-23,627.0,645.0,622.1,639.6,7930356.85
2018-01-24,644.0,644.0,606.05,622.0,19631233.45
2018-01-25,635.0,635.0,621.9,625.55,5220007.75
2018-01-29,625.55,635.75,614.5,627.6,10413743.95
2018-01-30,627.55,640.0,615.0,635.6,10796534.35
2018-01-31,631.0,640.0,616.5,622.15,9329220.85
2018-02-01,626.0,639.95,620.05,632.9,8849157.9
2018-02-02,615.0,625.0,600.0,611.4,8270587.45
2018-02-05,609.0,609.0,564.0,588.35,15819107.2
2018-02-06,580.0,605.0,564.0,598.15,164549335.7
2018-02-07,605.0,674.0,592.9,602.1,23500525.8
2018-02-08,602.1,622.0,601.9,608.75,28806588.45
2018-02-09,600.0,617.5,597.9,612.75,34905283.95
2018-02-12,625.0,626.95,596.3,601.35,20708393.75
2018-02-14,602.1,609.85,596.2,598.95,20348883.8
2018-02-15,606.0,606.0,586.25,592.2,9133207.85
2018-02-16,601.05,601.05,590.5,597.75,4739259.35
2018-02-19,606.0,606.0,588.65,601.75,4662763.25
2018-02-20,597.25,605.35,591.0,602.55,4100002.25
2018-02-21,598.95,604.0,589.0,590.2,2589967.7
2018-02-22,589.05,607.45,586.2,603.45,4999882.2
2018-02-23,609.0,650.0,601.0,609.45,11682340.9
2018-02-26,617.7,624.95,604.0,613.3,9322556.5
2018-02-27,621.95,621.95,607.0,614.5,8057399.8
2018-02-28,607.0,616.7,605.0,610.3,6335208.25
2018-03-01,612.85,618.0,608.0,615.1,4714975.45
2018-03-05,602.0,614.95,602.0,608.75,40208414.6
2018-03-06,614.0,617.85,608.0,611.95,13046448.35
2018-03-07,605.05,619.95,605.0,606.1,5077056.7
2018-03-08,612.0,618.9,605.0,615.35,4379767.35
2018-03-09,618.15,620.0,606.0,611.3,2923783.15
2018-03-12,613.0,622.0,609.7,618.35,4472966.05
2018-03-13,618.35,630.0,610.85,623.75,10573642.9
2018-03-14,623.75,630.0,621.0,624.55,8102616.55
2018-03-15,630.0,638.0,620.1,630.2,13200243.75
2018-03-16,629.45,639.0,618.05,631.55,6736025.3
2018-03-19,635.9,639.5,612.55,617.0,20094861.9
2018-03-20,613.0,622.75,606.65,610.65,3605481.25
2018-03-21,610.15,620.0,595.0,605.2,13470816.75
2018-03-22,609.3,615.35,601.0,610.45,6734473.55
2018-03-23,605.0,616.8,598.0,613.25,3119178.4
2018-03-26,605.3,625.0,605.3,620.9,2990515.55
2018-03-27,624.85,629.0,613.25,621.4,3439216.6
2018-03-28,619.85,662.55,613.05,642.1,7679345.9
2018-04-02,635.4,655.0,635.4,653.75,8094580.3
2018-04-03,656.0,666.95,646.0,664.45,8492483.25
2018-04-04,664.0,685.0,657.95,683.1,18771860.25
2018-04-05,681.05,692.95,665.5,678.7,13063614.35
2018-04-06,686.75,706.0,677.75,700.45,21989384.9
2018-04-09,707.55,709.35,695.0,695.2,8568041.2
2018-04-10,695.2,711.8,692.2,699.75,8982737.4
2018-04-11,700.15,714.0,697.1,701.0,6066254.85
2018-04-12,702.1,710.0,695.15,702.8,235689354.7
2018-04-13,706.7,708.0,692.15,699.15,40981366.0
2018-04-16,705.0,714.0,695.0,700.75,4608234.05
2018-04-17,700.0,700.0,675.0,675.15,12482149.15
2018-04-18,679.0,681.0,670.0,673.2,10939421.75
2018-04-19,672.0,683.0,672.0,676.6,1916261.65
2018-04-20,677.0,686.9,667.0,675.45,5343542.85
2018-04-23,675.9,691.3,675.0,686.45,2910044.5
2018-04-24,692.9,705.0,673.15,699.4,15613927.2
2018-04-25,699.15,711.0,690.65,700.9,14213059.85
2018-04-26,701.35,702.9,680.5,688.65,8791126.15
2018-04-27,690.35,707.7,686.9,699.7,10117074.5
2018-04-30,699.7,710.0,685.05,698.45,5865287.85
2018-05-02,708.0,708.0,685.35,692.5,5021443.2
2018-05-03,690.5,702.0,664.35,699.75,20776977.8
2018-05-04,696.45,699.9,680.0,681.4,8705361.85
2018-05-07,687.55,687.55,675.0,683.6,4285423.4
2018-05-08,683.1,692.0,680.0,684.75,2216793.4
2018-05-09,685.75,752.0,681.55,693.9,177593884.9
2018-05-10,693.0,699.8,680.0,682.05,16961493.2
2018-05-11,688.0,725.0,677.6,684.8,391239623.9
2018-05-14,709.0,717.8,682.0,696.15,46459799.9
2018-05-15,705.95,710.0,691.05,698.15,13718805.95
2018-05-16,699.9,711.0,692.0,706.05,45329126.9
2018-05-17,712.0,713.05,696.0,707.55,9565351.75
2018-05-18,707.55,721.0,699.1,706.6,8091554.45
2018-05-21,700.05,707.05,680.0,691.25,9286951.25
2018-05-22,706.0,711.95,680.4,700.85,11007936.65
2018-05-23,700.9,707.15,685.0,689.4,13473717.0
2018-05-24,689.15,692.0,680.95,684.9,10307897.65
2018-05-25,684.35,688.0,669.0,673.7,39039827.55
2018-05-28,673.35,679.9,661.7,666.6,18958739.4
2018-05-29,672.0,682.05,660.0,679.25,5664234.25
2018-05-30,678.9,700.0,671.95,697.65,5697072.7
2018-05-31,696.25,713.5,696.25,710.55,18231617.3
2018-06-01,715.0,730.0,700.55,716.0,39378481.65
2018-06-04,715.95,720.0,694.5,698.0,10207375.6
2018-06-05,704.0,706.5,675.1,679.9,7337110.6
2018-06-06,675.0,693.05,663.2,688.45,15707204.25
2018-06-07,687.05,707.95,684.8,704.0,27353230.35
2018-06-08,704.1,715.0,690.0,695.15,12634031.8
2018-06-11,700.0,704.55,685.0,687.6,8050625.6
2018-06-12,687.55,702.0,686.05,693.2,6235009.7
2018-06-13,693.7,703.3,680.45,683.4,5072827.75
2018-06-14,678.1,700.0,678.1,696.15,7588143.75
2018-06-15,685.05,702.9,685.0,685.2,9033548.05
2018-06-18,685.2,719.0,685.0,712.35,62320819.85
2018-06-19,702.8,812.2,698.05,725.25,643078584.7
2018-06-20,723.15,739.6,715.25,720.55,115175163.7
2018-06-21,723.0,726.8,715.55,719.05,46125549.5
2018-06-22,719.1,738.0,705.65,720.3,48234549.4
2018-06-25,717.95,734.8,708.9,721.2,28411315.2
2018-06-26,715.0,739.8,715.0,720.15,46639293.35
2018-06-27,723.75,728.5,705.0,708.25,33897016.15
2018-06-28,711.75,711.75,683.0,689.5,36155769.05
2018-06-29,694.8,704.7,682.1,687.75,40699748.75
2018-07-02,692.0,701.0,682.4,693.05,13314573.9
2018-07-03,692.0,710.5,686.0,703.7,23923469.1
2018-07-04,702.0,706.5,697.1,701.35,9954645.65
2018-07-05,698.5,712.0,697.4,703.6,17004342.65
2018-07-06,700.0,710.0,697.0,704.0,12157421.75
2018-07-09,709.0,720.5,703.0,707.8,27188463.65
2018-07-10,703.0,730.0,702.0,725.15,41877863.7
2018-07-11,726.0,758.9,719.6,750.35,122529687.7
2018-07-12,760.15,774.85,748.0,756.4,102084543.6
2018-07-13,756.2,756.4,738.0,753.3,20775840.2
2018-07-16,756.95,765.0,733.7,748.15,53226601.15
2018-07-17,748.0,758.0,740.75,750.8,13016752.85
2018-07-18,753.0,765.0,748.1,760.1,38479571.9
2018-07-19,763.85,766.0,752.05,756.9,13286463.65
2018-07-20,752.05,774.0,745.25,767.6,61121161.0
2018-07-23,790.0,815.0,780.0,787.55,129119928.9
2018-07-24,785.4,810.0,780.1,804.8,63387270.3
2018-07-25,808.0,829.8,797.45,816.45,62263650.35
2018-07-26,819.95,828.8,812.0,816.05,21609706.9
2018-07-27,816.0,828.0,803.0,814.4,18376140.2
2018-07-30,811.05,822.55,808.0,813.35,13950819.35
2018-07-31,813.35,818.0,808.1,814.5,4638752.8
2018-08-01,820.0,873.6,809.75,816.05,249882892.6
2018-08-02,819.9,822.15,795.65,807.8,53018159.95
2018-08-03,816.0,822.9,808.05,817.1,28884826.95
2018-08-06,821.0,845.0,810.5,824.65,76435274.85
2018-08-07,827.9,835.5,821.1,827.9,40390336.95
2018-08-08,831.85,840.0,823.55,829.5,22203273.0
2018-08-09,831.05,834.95,811.1,819.15,17582867.6
2018-08-10,823.95,845.35,815.45,836.9,72124977.45
2018-08-13,836.9,854.9,821.75,838.9,39796364.4
2018-08-14,839.0,848.65,837.0,844.75,35294656.1
2018-08-16,833.0,844.9,833.0,837.65,37221362.25
2018-08-17,846.0,851.25,842.0,846.7,23775192.9
2018-08-20,858.0,859.0,843.1,848.6,37793549.25
2018-08-21,846.0,855.5,843.0,847.0,66148122.25
2018-08-23,846.05,872.0,841.0,847.0,105878525.5
2018-08-24,843.5,851.0,840.0,849.85,27230221.6
2018-08-27,865.0,866.0,845.05,851.05,41521157.25
2018-08-28,853.65,853.65,830.2,842.65,26142066.0
2018-08-29,847.95,858.0,839.25,847.8,26662804.4
2018-08-30,854.9,854.9,839.75,848.25,20682373.9
2018-08-31,841.0,850.9,840.0,843.75,103658107.7
2018-09-03,847.0,850.8,842.0,844.25,18091939.6
2018-09-04,845.1,850.0,830.15,840.85,16921927.75
2018-09-05,840.85,846.95,825.0,829.75,32925523.1
2018-09-06,828.05,841.65,825.0,834.95,19900963.55
2018-09-07,835.05,858.45,835.05,844.1,45766277.55
2018-09-10,844.0,850.0,825.0,833.95,33423535.7
2018-09-11,830.0,843.0,821.5,831.3,14229264.65
2018-09-12,835.0,849.95,826.0,835.7,36117453.9
2018-09-14,840.7,864.9,835.1,851.25,22332426.8
2018-09-17,849.95,853.05,841.3,848.2,9071210.65
2018-09-18,843.0,850.3,827.95,842.05,18958154.35
2018-09-19,844.0,854.25,830.0,844.15,21428840.95
2018-09-21,845.1,847.95,824.0,829.6,24650142.0
2018-09-24,824.0,833.0,786.15,797.55,32861376.8
2018-09-25,789.65,792.0,742.1,754.85,40675024.8
2018-09-26,776.95,784.0,755.0,764.25,19537294.3
2018-09-27,774.2,780.25,718.0,733.35,32787667.85
2018-09-28,739.9,789.45,711.25,731.45,74020590.05
2018-10-01,716.0,729.9,700.0,707.5,22917719.05
2018-10-03,707.95,722.45,695.0,711.55,21888527.45
2018-10-04,702.0,717.0,695.0,710.25,15802573.65
2018-10-05,698.05,716.35,698.05,708.05,19557369.05
2018-10-08,716.0,716.0,690.05,698.45,28464308.75
2018-10-09,694.0,714.2,691.0,699.65,35557229.8
2018-10-10,703.9,706.9,694.2,699.25,15801615.7
2018-10-11,664.3,711.7,664.3,685.05,69559820.3
2018-10-12,690.15,704.0,672.1,678.1,22233827.8
2018-10-15,684.0,695.45,676.05,687.95,10574034.8
2018-10-16,691.85,713.15,690.0,710.25,40075371.7
2018-10-17,720.0,730.3,710.0,712.8,27833727.3
2018-10-19,707.0,724.9,700.05,715.5,12806893.95
2018-10-22,720.0,752.45,707.0,742.0,14075390.65
2018-10-23,742.75,746.95,709.2,742.5,16566687.25
2018-10-24,742.5,759.3,731.0,749.65,27418446.35
2018-10-25,739.0,749.95,730.15,744.25,7430184.5
2018-10-26,737.05,745.8,737.0,740.5,5046995.6
2018-10-29,736.1,762.25,725.0,742.15,16813272.9
2018-10-30,744.65,770.0,741.5,764.6,19636481.05
2018-10-31,770.0,822.45,758.0,792.6,67375338.35
2018-11-01,797.9,807.95,780.25,787.0,21487317.8
2018-11-02,794.0,805.0,780.0,792.1,37581902.4
2018-11-05,801.0,801.0,770.95,777.1,17399934.8
2018-11-06,787.8,798.0,781.65,788.6,25058683.7
2018-11-07,790.0,802.95,790.0,796.75,2997249.65
2018-11-09,799.0,802.0,787.0,789.5,6461005.25
2018-11-12,787.55,793.8,783.0,790.05,8117610.55
2018-11-13,785.0,796.65,775.0,790.0,7858565.15
