date,open,high,low,close,volume
2018-01-01,90.9,104.4,89.5,98.75,677092205.7
2018-01-02,99.25,99.8,92.6,93.9,230291587.6
2018-01-03,94.6,97.0,93.2,93.6,106463807.2
2018-01-04,94.0,94.9,92.55,93.2,70041893.2
2018-01-05,93.55,94.45,92.5,92.95,54395406.65
2018-01-08,93.35,95.0,92.15,93.6,90729519.1
2018-01-09,94.4,94.6,91.05,91.55,41888932.0
2018-01-10,91.75,92.15,88.75,89.1,61954344.85
2018-01-11,89.2,90.5,88.1,88.6,62035560.4
2018-01-12,89.0,89.85,86.35,87.55,49335070.6
2018-01-15,88.1,89.3,87.5,87.95,39222164.5
2018-01-16,88.4,88.75,85.0,86.65,45240350.05
2018-01-17,86.4,86.65,84.6,85.6,39228271.75
2018-01-18,85.65,87.25,81.7,82.25,31938670.4
2018-01-19,81.0,83.65,79.65,81.0,46629088.1
2018-01-22,81.65,82.9,80.5,82.7,23235561.3
2018-01-23,82.85,86.5,80.0,82.0,52526505.4
2018-01-24,81.55,83.4,81.5,81.9,21773145.2
2018-01-25,82.0,82.85,81.15,81.5,13150712.85
2018-01-29,82.2,83.5,80.2,80.7,21987252.8
2018-01-30,80.85,82.75,80.0,81.6,23360973.1
2018-01-31,81.9,82.5,79.5,80.1,19770282.1
2018-02-01,80.2,81.95,79.0,79.55,24993510.95
2018-02-02,78.65,79.0,72.8,73.7,50347922.7
2018-02-05,72.0,72.35,68.6,70.75,57963235.95
2018-02-06,65.0,69.9,64.0,66.9,71480420.1
2018-02-07,68.8,70.4,67.7,68.5,56047246.5
2018-02-08,71.0,76.9,69.3,75.2,197444231.3
2018-02-09,72.0,81.3,71.45,79.25,219992874.6
2018-02-12,79.4,82.0,78.25,79.5,97930888.05
2018-02-14,79.45,81.0,77.6,77.95,43765788.6
2018-02-15,78.7,79.25,75.2,75.7,33701175.85
2018-02-16,75.7,76.5,73.1,73.45,32778666.25
2018-02-19,73.55,74.3,71.2,72.15,29361437.35
2018-02-20,71.8,72.85,71.35,71.55,40095608.45
2018-02-21,72.0,72.75,71.2,72.55,43291874.85
2018-02-22,71.15,73.75,71.0,73.05,26114405.3
2018-02-23,73.05,74.4,72.8,73.1,23909415.95
2018-02-26,73.5,74.1,72.0,72.6,39342056.4
2018-02-27,73.0,73.4,70.5,70.8,46298128.65
2018-02-28,70.3,71.45,69.9,70.15,29853346.8
2018-03-01,70.5,70.8,69.6,69.9,18547085.75
2018-03-05,70.0,70.0,67.6,67.85,22648744.7
2018-03-06,68.0,70.0,64.9,66.25,22975057.9
2018-03-07,66.5,66.9,64.4,64.7,24474760.45
2018-03-08,67.6,67.6,64.0,66.15,52329155.7
2018-03-09,66.35,66.8,64.55,65.0,27488798.65
2018-03-12,65.5,66.35,63.0,63.6,45759142.25
2018-03-13,63.65,65.4,63.5,64.85,36287330.35
2018-03-14,64.0,66.0,63.75,64.6,32577310.5
2018-03-15,64.8,67.45,64.35,65.85,47313950.65
2018-03-16,65.85,67.0,63.7,64.4,73825380.7
2018-03-19,64.4,64.45,62.6,62.8,17393704.6
2018-03-20,62.3,63.5,62.0,62.55,23432337.0
2018-03-21,63.6,63.6,61.5,62.05,38429714.6
2018-03-22,62.0,62.75,60.1,60.8,26591106.05
2018-03-23,59.95,60.45,58.15,58.9,42345943.4
2018-03-26,58.55,59.75,57.6,58.95,45572680.25
2018-03-27,60.0,61.6,59.3,61.0,32435739.0
2018-03-28,60.7,62.0,58.95,59.6,49604287.5
2018-04-02,59.85,61.85,59.5,61.2,21749569.5
2018-04-03,61.0,61.9,60.5,61.65,19632940.15
2018-04-04,61.95,64.4,60.8,61.0,47427353.9
2018-04-05,62.1,62.7,61.2,62.35,48133036.85
2018-04-06,62.35,64.15,60.85,61.2,63110849.3
2018-04-09,60.9,61.95,60.5,61.1,29535449.75
2018-04-10,61.35,61.7,60.8,61.05,12962603.25
2018-04-11,61.25,61.7,60.8,61.2,11723053.9
2018-04-12,61.15,61.65,60.25,60.4,11526842.45
2018-04-13,60.4,61.0,59.7,59.9,15150005.95
2018-04-16,59.05,60.0,59.0,59.55,15272755.05
