date,open,high,low,close,volume
2018-01-01,50.9,63.65,50.25,60.65,11384226862.0
2018-01-02,62.6,65.2,55.35,56.85,8055452301.0
2018-01-03,56.85,58.6,55.15,56.95,3086497422.0
2018-01-04,57.5,59.0,55.5,58.45,2485410544.0
2018-01-05,58.75,60.1,57.55,58.7,1652370487.0
2018-01-08,59.0,62.0,58.25,61.3,3536883443.0
2018-01-09,61.9,62.15,56.8,57.2,2409025342.0
2018-01-10,57.3,57.9,55.8,56.15,1087944086.0
2018-01-11,56.1,57.2,55.5,55.8,853022691.9
2018-01-12,56.0,56.5,53.3,54.6,1144407216.0
2018-01-15,54.95,55.6,53.7,54.0,752025865.3
2018-01-16,54.15,54.45,50.8,51.2,976309129.6
2018-01-17,51.0,53.1,48.65,52.3,1392151863.0
2018-01-18,53.0,53.3,48.0,48.7,1071587057.0
2018-01-19,48.75,49.4,46.6,48.9,1142147168.0
2018-01-22,49.1,49.1,47.65,48.0,377251333.3
2018-01-23,48.0,50.8,47.7,48.4,861231967.9
2018-01-24,48.0,48.75,47.45,47.65,369019867.4
2018-01-25,47.8,48.4,46.7,47.15,496073449.9
2018-01-29,47.2,48.8,46.4,46.8,606993584.5
2018-01-30,46.75,49.0,46.6,47.2,811867003.2
2018-01-31,47.55,47.7,45.1,45.75,586525348.2
2018-02-01,45.75,46.25,43.05,44.2,541064820.2
2018-02-02,43.8,43.8,40.0,41.25,637158242.8
2018-02-05,39.5,43.0,39.5,42.6,584294912.0
2018-02-06,39.6,41.4,39.15,40.65,409440319.8
2018-02-07,41.15,41.75,40.6,40.8,238633436.5
2018-02-08,41.3,42.8,41.05,42.2,322022131.7
2018-02-09,41.25,46.75,41.1,44.9,758617126.5
2018-02-12,45.0,48.95,45.0,47.35,858491349.2
2018-02-14,47.1,47.75,45.55,45.95,690884092.3
2018-02-15,46.05,46.55,43.95,44.75,422134218.5
2018-02-16,45.0,45.25,43.65,44.3,348778182.1
2018-02-19,44.05,44.7,42.3,43.2,414174828.9
2018-02-20,43.2,43.85,42.75,42.9,193535774.1
2018-02-21,43.25,45.1,42.65,43.85,391803967.7
2018-02-22,43.75,44.0,43.05,43.55,264229934.6
2018-02-23,45.95,45.95,43.85,44.35,313016200.2
2018-02-26,44.6,46.65,44.1,45.65,648865901.5
2018-02-27,45.9,45.9,44.0,44.7,373908331.7
2018-02-28,44.4,45.45,43.95,44.7,238664958.8
2018-03-01,44.9,45.3,43.25,43.45,383768353.3
2018-03-05,43.4,43.4,41.7,42.4,228239592.0
2018-03-06,42.45,43.1,40.55,41.2,240055466.9
2018-03-07,40.85,40.9,38.85,39.15,297031803.9
2018-03-08,39.5,40.15,38.25,39.95,264019325.5
2018-03-09,39.8,40.25,38.1,38.25,227178642.1
2018-03-12,38.55,39.35,37.35,39.15,250096041.2
2018-03-13,38.9,40.2,38.6,39.35,233812051.0
2018-03-14,39.35,40.15,38.95,39.75,213392296.5
2018-03-15,39.65,40.85,39.6,39.95,221500317.9
2018-03-16,39.95,40.5,39.0,39.2,204237627.5
2018-03-19,39.2,39.85,38.0,38.45,179130508.6
2018-03-20,38.25,39.25,38.15,39.0,168820105.4
2018-03-21,39.3,39.95,39.0,39.45,259200289.0
2018-03-22,39.45,39.75,38.05,38.2,209713122.0
2018-03-23,37.6,37.6,36.35,36.9,230649657.5
2018-03-26,37.0,37.2,36.0,36.9,211631858.5
2018-03-27,37.05,38.15,37.0,37.75,176595115.2
2018-03-28,37.45,37.85,35.7,36.1,276441230.0
2018-04-02,36.25,37.7,36.25,37.45,169623212.8
2018-04-03,37.3,38.3,36.8,38.05,169926154.6
2018-04-04,38.15,43.9,38.1,42.45,1740238285.0
2018-04-05,42.7,43.4,41.8,42.65,783440301.0
2018-04-06,42.5,43.15,41.0,41.6,497172666.8
2018-04-09,41.75,42.3,41.0,41.65,271827220.4
2018-04-10,41.8,42.2,41.2,41.5,199293360.8
2018-04-11,41.6,41.6,40.7,41.2,255610475.1
2018-04-12,41.0,41.35,39.8,40.05,239973350.5
2018-04-13,40.15,40.95,40.05,40.45,204658329.9
2018-04-16,40.1,40.25,39.3,39.8,175504750.1
2018-04-17,40.0,40.55,39.6,40.05,133725253.5
2018-04-18,40.15,40.4,39.45,39.6,95720647.35
2018-04-19,39.95,41.0,39.2,39.9,252383825.6
2018-04-20,39.85,39.85,37.8,38.2,390044183.7
2018-04-23,38.15,38.55,37.8,38.3,139153482.8
2018-04-24,38.3,38.45,35.6,36.7,332022674.0
2018-04-25,36.5,37.45,36.4,36.85,184522201.5
2018-04-26,36.8,37.0,35.6,35.95,246219262.6
2018-04-27,36.15,36.95,36.05,36.35,147859725.5
2018-04-30,36.35,37.15,35.7,37.0,145735715.8
2018-05-02,37.05,39.8,36.0,36.2,657532325.2
2018-05-03,36.25,36.35,34.6,35.0,246574261.1
2018-05-04,35.0,36.9,34.65,36.65,444055212.7
2018-05-07,36.7,38.9,36.2,38.65,506160453.7
2018-05-08,38.6,39.0,37.6,38.75,347380964.0
2018-05-09,38.55,38.7,37.4,37.6,137728324.7
2018-05-10,37.65,37.8,36.0,36.1,189475937.9
2018-05-11,36.05,36.5,35.45,35.8,138351350.3
2018-05-14,35.75,35.8,33.1,33.75,486487172.3
