date,open,high,low,close,volume
2018-01-01,92.6,94.8,92.4,92.7,1115391892.0
2018-01-02,93.4,93.75,90.0,91.85,982148455.1
2018-01-03,91.8,94.7,91.6,93.8,1483143166.0
2018-01-04,94.4,98.6,93.35,97.9,2248393229.0
2018-01-05,98.1,99.0,96.9,97.4,1911396088.0
2018-01-08,97.9,101.45,97.9,98.8,1562475987.0
2018-01-09,99.55,99.9,97.5,97.95,1021262392.0
2018-01-10,98.5,99.35,96.6,98.45,915708318.8
2018-01-11,98.4,99.25,97.85,98.5,694005367.7
2018-01-12,98.6,99.7,97.65,98.65,935773093.3
2018-01-15,99.15,101.1,98.65,100.35,1881532755.0
2018-01-16,100.45,100.65,92.5,94.3,1739316955.0
2018-01-17,94.55,97.05,91.35,96.5,1127699524.0
2018-01-18,96.85,97.45,91.65,92.3,1528346314.0
2018-01-19,91.9,94.15,90.9,93.3,1195710263.0
2018-01-22,93.35,93.45,91.6,92.45,458673063.2
2018-01-23,92.65,98.4,92.65,96.85,2199656864.0
2018-01-24,95.8,96.4,93.85,94.15,740142849.5
2018-01-25,94.1,96.35,93.3,93.95,1862338403.0
2018-01-29,94.3,95.45,91.4,91.85,732257893.4
2018-01-30,91.75,92.95,90.75,91.1,780896288.2
2018-01-31,90.45,91.35,87.6,88.9,1218066698.0
2018-02-01,89.5,90.95,86.1,89.35,1210702417.0
2018-02-02,87.8,87.8,82.0,83.6,1178188318.0
2018-02-05,81.0,86.0,78.65,84.8,945017656.7
2018-02-06,78.0,84.75,77.05,83.95,1652098506.0
2018-02-07,85.0,86.2,82.45,82.85,769320304.2
2018-02-08,83.4,86.75,83.2,86.0,882571981.9
2018-02-09,84.55,94.45,84.1,93.95,4057943516.0
2018-02-12,95.35,98.3,94.9,95.35,2786381475.0
2018-02-14,96.7,97.65,93.3,93.55,1663458647.0
2018-02-15,94.25,96.1,91.45,92.3,1490494435.0
2018-02-16,93.0,93.8,87.85,88.4,1330075964.0
2018-02-19,88.5,88.7,85.55,87.3,918757634.4
2018-02-20,87.95,89.35,86.25,86.5,1174287769.0
2018-02-21,86.9,87.45,83.35,84.15,935154468.2
2018-02-22,83.5,85.3,82.95,83.9,1198730936.0
2018-02-23,84.7,87.6,84.1,87.05,1519250597.0
2018-02-26,87.6,89.9,85.85,86.5,1677682928.0
2018-02-27,87.05,87.3,83.65,84.25,1236147449.0
2018-02-28,83.4,83.85,82.0,83.2,1087090804.0
2018-03-01,83.2,84.85,80.65,80.9,1062582722.0
2018-03-05,79.3,79.5,76.05,78.05,2369539015.0
2018-03-06,79.4,80.75,74.8,75.75,1701871168.0
2018-03-07,75.4,75.85,73.05,73.75,1125033781.0
2018-03-08,74.4,75.5,72.2,74.3,773917566.0
2018-03-09,74.6,75.75,69.1,69.5,2137598596.0
2018-03-12,70.75,72.75,69.2,72.35,1377546065.0
2018-03-13,72.45,74.4,71.15,72.6,1004793974.0
2018-03-14,72.0,73.65,71.4,72.65,842639157.5
2018-03-15,72.0,76.35,72.0,75.3,1134681634.0
2018-03-16,74.95,76.15,72.55,72.85,862729029.4
2018-03-19,73.0,73.0,67.55,68.9,1527225433.0
2018-03-20,68.0,72.5,67.85,72.25,1757087931.0
2018-03-21,72.95,73.95,71.35,72.15,1143366018.0
2018-03-22,72.45,74.0,71.65,73.7,982491698.3
2018-03-23,71.2,71.2,67.15,68.7,2054445340.0
2018-03-26,68.75,71.9,68.35,71.45,990270427.3
2018-03-27,72.45,74.2,72.05,73.2,819975982.8
