date,open,high,low,close,volume
2018-01-01,694.0,703.0,694.0,699.5,122066043.3
2018-01-02,699.5,700.15,680.1,685.1,236514268.7
2018-01-03,685.05,695.0,680.25,690.5,86627004.45
2018-01-04,694.6,702.2,690.0,701.6,287552621.5
2018-01-05,700.0,704.9,699.0,701.95,137525188.8
2018-01-08,692.0,706.9,692.0,704.15,218280065.2
2018-01-09,700.15,719.95,700.15,717.25,432435609.5
2018-01-10,714.85,715.0,706.1,711.6,211115949.2
2018-01-11,707.0,714.7,699.0,703.8,79981737.55
2018-01-12,703.8,709.0,700.0,701.75,65772469.5
2018-01-15,701.5,724.6,701.5,716.75,549228820.0
2018-01-16,716.0,716.0,696.0,700.85,237204570.4
2018-01-17,696.0,714.8,691.65,705.25,163371119.9
2018-01-18,706.6,712.0,700.1,707.8,229090015.1
2018-01-19,705.05,713.95,701.45,711.5,207128447.7
2018-01-22,704.1,717.0,701.85,714.65,330627271.1
2018-01-23,710.0,722.0,710.0,716.9,286511592.3
2018-01-24,711.2,714.3,698.0,702.6,141389216.8
2018-01-25,702.5,707.0,661.15,682.05,290138285.1
2018-01-29,682.0,689.45,680.0,681.85,98430852.7
2018-01-30,681.7,681.7,663.3,667.9,227180923.6
2018-01-31,670.0,681.5,653.75,660.65,215635185.2
2018-02-01,665.0,722.0,660.5,708.7,1079483725.0
2018-02-02,708.4,733.25,691.1,718.3,1274609360.0
2018-02-05,716.45,716.45,690.0,695.05,248047483.7
2018-02-06,670.0,705.0,665.0,695.25,276416725.1
2018-02-07,700.05,715.0,700.05,713.7,223785883.7
2018-02-08,717.1,720.0,711.05,715.0,114536605.0
2018-02-09,700.0,717.65,699.0,709.9,113176239.1
2018-02-12,709.0,718.0,681.5,685.8,477660321.0
2018-02-14,689.0,695.0,679.5,682.25,214615519.5
2018-02-15,685.0,695.0,673.2,682.4,193103739.4
2018-02-16,688.0,694.55,685.65,689.25,156501639.4
2018-02-19,700.0,705.0,678.6,685.25,291636194.1
2018-02-20,687.0,690.0,670.0,674.65,117799377.0
2018-02-21,680.0,682.95,662.45,675.5,287765365.1
2018-02-22,675.0,675.4,664.0,666.2,157832443.7
2018-02-23,670.0,679.75,666.15,675.7,194922843.7
2018-02-26,680.0,689.75,674.25,682.2,186348278.1
2018-02-27,681.5,690.8,676.0,689.45,150767910.4
2018-02-28,689.4,698.7,682.1,694.5,247889703.1
2018-03-01,695.9,696.0,686.0,690.0,188632358.7
2018-03-05,689.0,689.0,666.0,672.55,204365193.5
2018-03-06,678.0,682.1,651.0,655.05,163179537.1
2018-03-07,657.0,659.95,650.05,652.6,125741549.4
2018-03-08,653.6,659.45,647.0,653.3,74345183.55
2018-03-09,657.5,674.4,650.55,670.3,320974017.3
2018-03-12,670.2,689.9,668.8,678.55,111151881.2
2018-03-13,677.0,685.0,672.0,677.5,49786427.0
2018-03-14,673.0,683.5,667.5,674.15,205495335.9
2018-03-15,672.5,676.75,671.05,675.0,94887191.65
2018-03-16,675.0,677.35,666.0,668.45,100497931.3
2018-03-19,666.45,681.8,666.45,674.1,93729173.35
2018-03-20,669.0,688.5,668.4,686.6,114268247.4
2018-03-21,686.1,691.0,670.55,672.9,267761354.6
2018-03-22,675.0,679.0,662.05,664.9,98288530.15
2018-03-23,660.05,673.9,658.0,664.5,149878815.5
2018-03-26,660.15,669.45,659.0,663.1,123797952.5
2018-03-27,667.0,680.8,666.05,672.95,249374489.5
2018-03-28,668.95,711.0,664.0,678.25,300862149.2
2018-04-02,681.0,695.0,681.0,683.9,180308059.8
2018-04-03,686.0,686.0,675.0,680.0,530492246.6
2018-04-04,681.05,690.95,677.1,679.95,354382876.2
2018-04-05,680.5,687.65,674.15,675.0,349368222.0
2018-04-06,679.65,685.0,674.0,679.65,451275631.0
2018-04-09,675.55,685.0,675.0,678.7,603352568.4
2018-04-10,678.0,699.95,678.0,695.7,659904542.6
2018-04-11,691.0,720.0,691.0,719.0,509043585.2
2018-04-12,713.55,724.7,712.0,719.05,477555303.2
2018-04-13,714.0,720.0,706.35,711.65,486290235.0
2018-04-16,702.0,712.5,702.0,708.9,276129262.4
2018-04-17,710.0,723.0,708.2,721.4,220586929.3
2018-04-18,715.9,724.5,713.05,721.35,173905382.3
2018-04-19,716.05,724.95,713.9,722.9,164473811.2
2018-04-20,718.0,721.95,710.1,716.15,82526519.65
2018-04-23,712.1,725.0,712.1,716.95,376424137.6
2018-04-24,717.0,755.0,714.95,746.0,870568719.3
2018-04-25,749.9,768.8,746.05,766.1,1336831906.0
2018-04-26,767.0,771.05,742.65,762.8,1028832400.0
2018-04-27,750.0,774.6,745.0,758.85,532696810.6
2018-04-30,756.0,762.85,732.0,743.1,334590765.2
2018-05-02,736.5,757.65,736.5,746.55,386273052.4
2018-05-03,746.55,752.05,716.25,732.0,191333517.5
2018-05-04,725.0,728.95,700.1,702.1,287245100.8
2018-05-07,704.0,714.6,696.3,703.6,205180374.7
2018-05-08,708.9,708.9,692.25,702.45,179939082.4
2018-05-09,704.9,709.0,691.0,699.95,1240777741.0
2018-05-10,702.9,719.0,693.0,713.75,415540471.5
2018-05-11,711.05,715.9,696.05,698.3,284185572.6
2018-05-14,702.0,704.55,688.0,691.15,158141879.1
2018-05-15,690.0,699.0,672.2,678.9,392865664.8
2018-05-16,674.0,683.0,665.05,667.65,426751789.8
2018-05-17,670.1,679.7,665.5,669.7,136134257.1
2018-05-18,669.0,673.7,663.05,665.2,149564307.6
2018-05-21,663.0,706.7,647.0,655.2,198665305.3
2018-05-22,656.0,670.0,655.9,659.95,266663043.7
2018-05-23,664.8,684.0,659.3,679.05,238144959.6
2018-05-24,673.65,686.85,671.6,678.3,50959780.6
2018-05-25,675.0,688.0,673.05,683.85,62166875.3
2018-05-28,681.75,698.35,679.9,685.35,567821648.4
2018-05-29,680.4,702.5,680.0,695.3,721610547.2
2018-05-30,694.5,698.8,685.1,694.3,144927341.1
2018-05-31,690.35,698.25,670.55,689.8,140924607.1
2018-06-01,688.9,692.65,673.65,676.0,170087551.0
2018-06-04,676.2,680.0,658.5,660.05,422413689.6
2018-06-05,660.05,672.8,660.0,665.0,126249095.7
2018-06-06,669.0,686.4,662.0,683.1,118270485.0
2018-06-07,689.95,697.0,681.1,692.0,234672600.7
2018-06-08,685.5,696.9,681.55,692.35,159633793.8
2018-06-11,688.5,714.0,688.2,712.5,618493243.9
2018-06-12,708.2,729.9,708.2,719.9,489457487.4
2018-06-13,715.7,729.9,700.0,702.25,410717741.0
2018-06-14,701.95,701.95,686.0,689.9,319780187.2
2018-06-15,685.35,689.1,668.1,671.8,2807321354.0
2018-06-18,676.7,684.05,670.0,671.85,107432985.6
2018-06-19,667.0,680.0,667.0,673.45,257406945.2
2018-06-20,673.45,686.0,673.45,676.2,200432864.6
2018-06-21,676.2,685.75,675.0,675.45,130908387.9
2018-06-22,678.8,692.5,678.8,685.2,109267403.5
2018-06-25,686.0,698.9,677.7,689.75,119514483.7
2018-06-26,689.75,694.35,678.4,684.7,96939259.3
2018-06-27,681.55,688.85,674.5,677.75,147277278.2
2018-06-28,681.1,681.1,658.05,666.4,169844910.0
2018-06-29,666.0,685.0,666.0,674.35,109956879.9
2018-07-02,675.3,683.85,660.85,669.4,84885214.15
2018-07-03,670.5,674.4,665.65,670.25,56660441.85
2018-07-04,668.0,672.0,661.4,664.05,89588541.7
2018-07-05,670.0,670.5,663.0,665.1,89601554.7
2018-07-06,669.8,670.0,664.25,668.05,111388060.2
2018-07-09,665.0,670.0,660.75,664.85,89191167.25
2018-07-10,669.7,669.7,660.0,661.35,219171352.2
2018-07-11,659.95,664.05,659.95,662.1,194801310.0
2018-07-12,664.25,667.35,661.4,664.7,91884056.55
2018-07-13,662.0,665.0,659.0,661.05,65144699.15
2018-07-16,661.1,661.55,655.0,656.2,36647353.45
2018-07-17,655.2,666.0,654.5,664.55,37671956.35
2018-07-18,667.0,668.0,640.0,649.2,179419722.1
2018-07-19,650.0,656.95,631.0,633.75,121165106.2
2018-07-20,632.0,638.0,628.0,633.05,187084570.7
2018-07-23,633.5,657.2,630.0,652.75,82667813.55
2018-07-24,652.5,658.15,647.4,654.65,64681966.95
2018-07-25,655.7,664.8,651.1,659.75,202784827.9
2018-07-26,663.0,682.0,658.25,673.2,234287526.2
2018-07-27,684.8,697.7,672.65,694.05,259524585.3
2018-07-30,694.05,703.55,684.5,689.35,77173749.8
2018-07-31,683.2,711.7,682.55,686.0,209319567.5
2018-08-01,691.1,708.25,686.95,695.35,98888874.85
2018-08-02,691.2,705.0,685.55,695.2,109301194.5
2018-08-03,704.0,704.0,686.0,689.8,60087576.75
2018-08-06,691.0,697.4,680.1,686.6,94399189.5
2018-08-07,695.8,695.8,683.0,686.1,127941190.8
2018-08-08,686.1,689.05,673.75,677.2,59095403.25
2018-08-09,684.4,684.4,669.0,673.4,91883293.05
2018-08-10,675.0,675.95,644.0,649.9,234996391.2
2018-08-13,653.0,661.55,651.0,653.7,149129159.6
2018-08-14,655.0,662.0,653.75,658.85,26984201.65
2018-08-16,661.0,663.35,646.15,648.55,202804223.4
2018-08-17,653.75,658.7,652.05,654.95,98920348.9
2018-08-20,661.0,674.0,660.05,672.55,114736347.2
2018-08-21,672.6,684.0,663.6,670.1,80320195.85
2018-08-23,675.1,675.1,667.05,670.05,52120591.35
2018-08-24,666.6,673.6,660.1,660.85,90467540.4
2018-08-27,665.0,670.0,657.0,660.4,69658319.2
2018-08-28,660.0,663.4,654.0,658.25,108131497.7
2018-08-29,660.0,673.5,658.25,669.3,143884870.4
2018-08-30,672.85,674.8,650.55,664.2,216325236.8
2018-08-31,664.15,678.0,659.2,672.4,81432581.05
2018-09-03,668.6,675.0,665.0,666.95,59252605.45
2018-09-04,671.4,675.0,663.05,664.85,55245811.7
2018-09-05,660.05,672.45,660.05,669.4,112990230.2
2018-09-06,669.4,681.9,666.45,679.05,94532984.1
2018-09-07,680.5,685.0,671.1,676.1,914797754.7
2018-09-10,671.2,686.85,671.2,676.0,85394338.35
2018-09-11,674.05,682.0,671.4,676.6,265087655.3
2018-09-12,673.4,675.85,663.0,673.3,156027300.0
2018-09-14,671.25,678.0,666.3,670.05,480779583.3
2018-09-17,664.65,668.6,633.0,642.65,1303012807.0
2018-09-18,642.0,642.0,619.9,623.0,220524387.6
2018-09-19,623.35,635.0,610.0,612.45,129442149.6
2018-09-21,616.0,629.7,589.5,613.35,699139933.6
2018-09-24,610.0,610.0,582.0,586.9,169918017.4
2018-09-25,575.0,582.0,555.0,566.05,208621426.4
2018-09-26,574.95,590.0,571.35,577.25,82143525.9
2018-09-27,581.55,581.55,546.0,551.8,342302133.8
2018-09-28,560.0,560.0,508.0,511.6,274767529.8
2018-10-01,512.0,533.0,485.0,521.35,289636554.6
2018-10-03,525.0,554.5,521.35,542.05,658495010.5
2018-10-04,542.3,584.0,535.0,565.4,989503098.6
2018-10-05,567.6,580.7,540.05,558.3,502105315.9
2018-10-08,565.0,566.5,533.1,549.45,128861106.8
2018-10-09,553.85,564.4,540.05,540.3,112181703.1
2018-10-10,540.0,595.0,535.95,561.05,84327590.85
2018-10-11,560.0,560.0,532.0,540.85,120973574.9
2018-10-12,550.0,554.8,540.5,552.5,116943687.9
2018-10-15,556.0,556.0,535.0,538.7,144046728.2
2018-10-16,542.2,549.55,538.7,546.6,274771117.1
