date,open,high,low,close,volume
2018-01-01,624.4,624.4,613.15,615.3,5315101.75
2018-01-02,615.0,624.0,612.0,614.7,3483717.8
2018-01-03,617.1,617.1,610.15,610.4,19544426.45
2018-01-04,612.0,625.4,610.0,621.7,11581398.8
2018-01-05,616.45,622.45,596.0,606.8,40031222.1
2018-01-08,602.5,615.0,602.5,605.7,11813870.35
2018-01-09,607.25,607.25,601.0,602.05,11099835.6
2018-01-10,609.0,610.0,596.95,600.6,25233382.15
2018-01-11,602.3,628.3,597.3,622.4,35654790.25
2018-01-12,630.0,637.8,600.65,612.95,31717884.25
2018-01-15,617.9,620.0,600.95,606.4,15611948.3
2018-01-16,609.4,612.45,587.05,594.05,28578146.55
2018-01-17,596.3,600.1,576.85,585.95,27658103.4
2018-01-18,586.0,600.0,576.0,581.0,20641085.35
2018-01-19,580.0,594.5,578.85,586.9,11285285.55
2018-01-22,586.9,605.3,572.0,600.5,58790026.9
2018-01-23,600.05,609.0,590.0,591.95,9543559.6
2018-01-24,593.55,599.0,586.65,588.35,3941953.75
2018-01-25,591.05,593.8,581.0,582.3,5410485.45
2018-01-29,582.3,586.2,578.0,580.75,4785761.3
2018-01-30,578.0,587.15,538.0,582.2,83199642.75
2018-01-31,576.65,578.8,566.15,568.6,14122146.65
2018-02-01,579.8,579.8,566.0,573.15,4865558.55
2018-02-02,565.05,569.0,520.2,526.2,34081274.4
2018-02-05,531.0,535.85,515.0,518.95,11797398.15
2018-02-06,504.0,522.0,498.25,518.75,10356240.05
2018-02-07,531.65,531.65,500.0,511.1,11134270.35
2018-02-08,521.0,530.0,505.0,514.5,25386289.8
2018-02-09,497.0,522.95,497.0,520.15,7593471.3
2018-02-12,520.05,522.95,505.0,508.75,22169000.3
2018-02-14,497.0,511.0,475.1,480.95,109577729.9
2018-02-15,484.9,496.8,475.0,476.2,60520663.0
2018-02-16,479.0,486.4,476.0,477.6,9854196.0
2018-02-19,482.0,483.0,466.0,467.45,9826749.4
2018-02-20,471.75,471.75,459.2,461.7,9540670.1
2018-02-21,465.0,466.65,453.2,456.4,18297734.7
2018-02-22,456.55,461.0,439.0,443.05,25662984.95
2018-02-23,440.0,456.1,440.0,450.35,15082975.9
2018-02-26,455.5,464.8,451.2,457.6,8396198.75
2018-02-27,460.15,463.0,435.0,438.05,19390924.95
2018-02-28,436.4,441.7,430.05,437.15,11104282.95
2018-03-01,437.15,448.9,432.5,435.7,10607711.7
2018-03-05,435.05,435.1,402.5,409.05,16570902.25
2018-03-06,418.0,422.7,415.8,417.2,8727318.6
2018-03-07,415.25,419.8,403.0,405.7,31336969.65
2018-03-08,415.0,415.55,400.0,407.05,10020348.1
2018-03-09,409.5,456.4,408.3,445.85,81040226.85
2018-03-12,452.0,469.0,441.9,447.0,33443872.6
2018-03-13,447.0,454.8,439.65,446.7,13202508.85
2018-03-14,444.0,450.0,443.0,447.05,5479400.35
2018-03-15,446.75,468.45,445.3,462.55,20694760.75
2018-03-16,466.8,467.4,449.65,456.45,14357512.25
2018-03-19,470.0,516.0,470.0,490.2,649846700.2
2018-03-20,500.0,508.95,480.1,487.4,244685138.3
2018-03-21,491.0,498.7,484.45,495.35,57670152.45
2018-03-22,495.0,505.0,491.05,493.6,26311681.9
2018-03-23,484.65,489.95,464.75,484.9,29612243.75
2018-03-26,489.4,489.4,473.15,483.4,25443428.05
2018-03-27,486.4,489.4,458.95,483.65,61735185.05
2018-03-28,480.0,480.0,461.0,463.65,15624590.1
2018-04-02,466.8,472.8,460.05,465.2,21665382.85
2018-04-03,462.85,476.4,462.85,473.25,10788190.8
2018-04-04,478.0,490.0,474.05,480.35,20188041.2
2018-04-05,488.8,494.8,482.2,485.45,6688905.65
2018-04-06,485.45,490.45,480.0,483.95,7845778.65
2018-04-09,483.95,490.95,467.1,471.4,18622301.2
2018-04-10,477.4,482.8,471.35,472.3,6195920.15
2018-04-11,475.45,484.3,470.5,481.8,16766415.2
2018-04-12,482.15,485.0,473.15,474.75,4931970.35
2018-04-13,476.15,478.9,470.5,476.0,3373244.85
2018-04-16,473.95,482.55,471.0,476.95,4668791.25
2018-04-17,478.85,481.7,476.0,478.9,4923921.3
2018-04-18,479.0,480.8,470.95,473.05,3581924.95
2018-04-19,473.15,476.95,461.0,462.0,12368896.55
2018-04-20,462.85,466.0,448.0,453.65,17168035.45
2018-04-23,455.0,473.9,454.75,471.9,20197649.2
2018-04-24,472.8,475.0,465.0,469.0,9145640.55
2018-04-25,463.25,478.4,463.25,472.15,10874458.35
2018-04-26,473.2,476.95,460.05,463.65,4316160.25
2018-04-27,464.55,468.4,458.0,462.5,6362337.6
2018-04-30,462.15,477.15,462.15,469.95,11121963.55
2018-05-02,471.55,471.55,460.8,463.25,5046841.9
2018-05-03,462.0,466.4,456.3,461.8,7381692.95
2018-05-04,461.55,463.45,455.4,457.8,4016926.65
2018-05-07,457.8,465.8,457.8,463.35,3111516.7
2018-05-08,463.65,467.15,458.3,464.2,3555486.05
2018-05-09,462.2,470.9,461.1,463.4,5170723.0
2018-05-10,462.65,464.75,457.9,458.35,2504631.6
