date,open,high,low,close,volume
2018-01-01,613.2,619.65,602.45,606.7,87440546.35
2018-01-02,611.1,612.8,582.0,589.55,104422388.0
2018-01-03,596.5,617.0,593.05,603.25,292558977.3
2018-01-04,607.6,615.7,605.0,610.0,191772701.0
2018-01-05,614.5,620.8,598.9,605.55,171491790.4
2018-01-08,652.0,694.9,595.0,599.8,3799381128.0
2018-01-09,604.35,612.9,601.0,606.0,611410681.6
2018-01-10,608.95,613.0,596.0,604.4,469419945.1
2018-01-11,604.9,613.1,602.1,605.35,282063233.0
2018-01-12,609.7,609.7,587.5,592.4,236872596.6
2018-01-15,596.45,603.45,592.1,594.45,174587945.1
2018-01-16,596.05,597.0,574.0,583.0,171535781.9
2018-01-17,581.0,581.9,552.1,567.9,137474121.0
2018-01-18,580.0,580.0,538.45,545.45,136365350.1
2018-01-19,557.0,557.0,530.25,535.85,149823691.5
2018-01-22,539.95,608.0,535.0,599.25,950095649.0
2018-01-23,601.7,603.85,582.95,595.1,354387694.0
2018-01-24,588.0,592.8,562.0,568.55,174994356.9
2018-01-25,570.6,594.4,548.25,552.0,446760370.2
2018-01-29,555.65,563.4,550.0,557.85,131959237.8
2018-01-30,561.95,579.0,553.05,562.7,215578453.4
2018-01-31,561.0,575.5,557.9,570.1,329164014.9
2018-02-01,571.0,578.9,552.0,564.45,156605573.0
2018-02-02,549.9,551.85,526.55,547.85,127250813.5
2018-02-05,536.0,541.5,521.15,536.95,92130233.15
2018-02-06,510.0,555.0,481.3,545.45,151903560.0
2018-02-07,556.9,566.2,550.0,552.35,116372621.6
2018-02-08,558.9,569.4,552.15,559.85,257263341.1
2018-02-09,555.0,579.95,551.0,567.15,491962386.2
2018-02-12,571.55,575.0,557.8,562.2,223519370.8
2018-02-14,566.45,570.95,558.2,561.75,126198936.1
2018-02-15,564.95,566.0,551.35,555.3,78553737.2
2018-02-16,554.4,561.05,553.8,557.85,77436471.4
2018-02-19,561.05,567.9,541.2,556.05,127920702.4
2018-02-20,561.9,561.9,545.55,550.8,63995798.4
2018-02-21,553.4,554.7,545.45,550.4,45578533.2
2018-02-22,545.0,555.0,543.1,551.45,47492337.7
2018-02-23,552.95,557.5,547.45,552.85,53430588.75
2018-02-26,558.9,562.3,548.1,559.45,154576051.2
2018-02-27,563.0,570.95,551.0,556.35,254194980.5
2018-02-28,550.05,562.4,548.2,554.75,98655119.95
2018-03-01,555.0,562.0,548.6,554.0,71984511.55
2018-03-05,550.95,565.75,547.9,554.95,115602524.9
2018-03-06,557.3,564.7,536.0,542.15,96697101.1
2018-03-07,536.0,546.5,531.05,537.25,152514875.8
2018-03-08,537.4,559.8,537.4,548.8,133670387.8
2018-03-09,550.1,555.2,541.2,552.25,77128062.05
2018-03-12,554.7,556.45,542.45,548.35,50739854.6
2018-03-13,546.9,552.85,540.65,543.6,126947658.5
2018-03-14,541.6,541.6,515.3,533.9,137907387.2
2018-03-15,536.9,537.95,525.1,529.55,220145095.9
2018-03-16,530.0,536.0,501.8,508.15,141748772.1
2018-03-19,507.7,514.7,493.55,502.75,268552519.2
2018-03-20,493.05,499.9,482.9,490.7,223541984.4
2018-03-21,495.0,499.8,479.9,481.55,115425141.6
2018-03-22,488.8,489.9,474.8,482.25,340173099.8
2018-03-23,478.0,478.45,463.0,466.5,71057743.6
2018-03-26,471.3,477.0,458.1,474.65,83081133.85
2018-03-27,478.0,517.0,474.6,511.7,384624002.5
2018-03-28,506.0,512.0,493.65,508.0,177514337.3
2018-04-02,514.9,516.95,500.05,512.3,74745093.8
2018-04-03,505.25,514.3,502.6,510.7,49472066.7
2018-04-04,510.4,535.5,490.55,495.75,518647177.8
2018-04-05,501.05,514.95,501.05,508.9,81232006.4
2018-04-06,550.0,564.0,538.1,548.3,1957203982.0
2018-04-09,549.9,555.0,545.0,551.55,207504660.3
2018-04-10,554.8,555.65,540.55,546.5,65630201.0
2018-04-11,546.5,555.0,535.65,547.3,115363334.1
2018-04-12,541.05,550.5,541.05,546.85,58884580.65
2018-04-13,548.0,554.8,543.0,549.8,143411929.7
2018-04-16,550.0,554.5,545.85,549.75,115981550.7
2018-04-17,565.0,568.0,542.9,548.3,288977335.6
2018-04-18,551.15,554.65,546.25,550.45,56704520.45
2018-04-19,551.0,558.0,549.2,553.85,70882925.2
2018-04-20,550.0,552.6,543.95,545.6,88244439.9
2018-04-23,546.0,554.7,543.4,550.4,59636732.25
2018-04-24,554.75,554.9,540.1,542.6,49744769.85
2018-04-25,542.85,562.2,532.5,537.3,160433646.7
2018-04-26,535.05,554.9,535.05,539.35,173933976.2
2018-04-27,542.0,558.9,542.0,546.35,253363009.8
2018-04-30,547.0,554.9,545.15,550.1,53589922.95
2018-05-02,550.1,551.15,518.1,533.25,64122377.1
2018-05-03,533.0,549.0,522.6,536.8,53268381.4
2018-05-04,535.0,545.55,526.8,530.35,41609438.05
2018-05-07,533.25,536.95,529.0,532.55,58119134.15
2018-05-08,531.8,535.05,527.1,532.85,68391586.3
2018-05-09,529.0,535.05,525.3,531.35,41035097.85
2018-05-10,535.0,538.4,527.3,533.05,49849467.55
2018-05-11,528.2,538.5,524.25,533.3,50995874.95
2018-05-14,540.0,545.0,527.1,531.55,102180749.8
2018-05-15,525.65,540.05,525.3,531.95,90841564.7
2018-05-16,528.0,538.9,521.1,534.85,50212408.2
2018-05-17,535.1,548.9,532.05,535.7,62347155.9
2018-05-18,537.5,539.75,518.75,529.95,56136820.25
2018-05-21,535.0,537.4,500.0,511.4,111156178.5
2018-05-22,505.6,509.8,490.0,495.1,127960875.3
2018-05-23,490.0,525.0,489.35,519.5,224838790.2
2018-05-24,514.1,554.9,511.35,546.05,422018194.5
2018-05-25,552.85,552.85,520.05,523.9,160905059.5
2018-05-28,524.5,527.85,515.0,519.85,70459588.6
2018-05-29,523.5,526.0,515.55,521.85,47271438.45
2018-05-30,516.0,517.65,496.9,503.8,121258768.6
2018-05-31,505.5,511.95,505.0,510.0,67013114.8
2018-06-01,512.0,512.3,493.0,495.85,55673648.05
2018-06-04,499.85,502.0,478.0,487.2,63727445.95
2018-06-05,487.0,487.0,470.0,483.45,42617189.45
2018-06-06,481.0,497.95,479.55,487.85,120243280.6
2018-06-07,494.95,504.95,490.1,499.15,88585378.05
2018-06-08,495.4,510.0,489.55,508.65,83370719.05
2018-06-11,512.0,516.7,504.05,508.05,48930129.05
2018-06-12,508.0,512.35,501.05,509.4,41633627.95
2018-06-13,511.4,519.5,507.6,514.75,60267684.65
2018-06-14,507.05,510.05,501.3,505.7,22779585.4
2018-06-15,510.0,510.0,490.1,492.1,40453609.0
2018-06-18,495.0,497.6,486.05,491.05,19105679.05
2018-06-19,490.35,501.0,488.05,493.05,47556725.4
2018-06-20,494.0,499.75,490.35,495.75,23293862.3
2018-06-21,499.5,503.0,490.4,492.95,20630298.9
2018-06-22,493.85,493.85,480.5,483.7,28236318.05
2018-06-25,487.0,505.8,486.7,493.35,168269377.1
2018-06-26,492.45,492.5,477.0,479.35,44472673.85
2018-06-27,480.0,484.85,465.0,467.85,31785633.45
2018-06-28,466.0,469.55,441.45,445.75,67321965.75
2018-06-29,448.5,453.95,414.5,441.2,248449137.8
2018-07-02,444.55,444.55,430.2,439.3,32050400.75
2018-07-03,441.65,449.5,433.6,445.1,35314809.45
2018-07-04,449.8,484.7,449.8,469.45,323927891.6
2018-07-05,468.0,480.0,457.0,477.1,79145538.85
2018-07-06,486.0,507.05,478.25,492.4,728443123.8
2018-07-09,487.0,500.25,486.05,490.85,129337491.8
2018-07-10,494.0,494.5,481.2,484.3,60518263.4
2018-07-11,480.05,497.5,478.25,484.8,79097591.35
2018-07-12,488.4,492.8,481.35,485.4,51415989.1
2018-07-13,485.95,486.7,452.0,455.25,88304205.55
2018-07-16,456.8,467.85,443.0,457.8,47520267.1
2018-07-17,454.0,467.4,454.0,462.45,25812479.4
2018-07-18,470.1,478.8,458.0,464.2,104131138.4
2018-07-19,467.65,485.0,463.05,467.05,235331386.8
2018-07-20,467.0,469.8,459.0,466.6,29582958.05
2018-07-23,470.0,483.9,455.0,474.8,78665596.65
2018-07-24,478.0,488.1,473.15,476.1,48578292.5
2018-07-25,468.5,472.0,456.35,458.55,83957034.3
2018-07-26,462.25,466.9,456.1,461.7,27682153.85
2018-07-27,461.0,465.8,460.0,461.45,35112271.2
2018-07-30,468.0,468.0,461.35,464.3,20369638.6
2018-07-31,464.0,480.0,461.8,472.5,100128660.6
2018-08-01,475.5,478.0,467.25,473.15,30713888.3
2018-08-02,476.1,477.8,465.45,471.95,21971834.8
2018-08-03,475.0,489.0,472.0,485.35,121483756.0
2018-08-06,489.65,496.0,480.1,484.5,50099640.55
2018-08-07,484.7,509.85,484.7,495.7,401113132.2
2018-08-08,495.0,499.0,482.25,497.0,92606627.7
2018-08-09,502.8,530.0,498.55,522.95,435967847.5
2018-08-10,522.7,539.0,515.25,530.65,284855171.7
2018-08-13,521.0,521.0,498.35,502.3,81300917.0
2018-08-14,499.9,514.9,490.6,493.4,131403641.0
2018-08-16,489.0,490.35,465.0,466.85,168047394.7
2018-08-17,467.05,474.5,463.0,464.9,100388350.6
2018-08-20,466.8,474.0,464.0,466.2,57222169.75
2018-08-21,468.4,476.35,462.25,467.75,129080434.3
2018-08-23,467.7,471.25,463.0,469.95,75802571.3
2018-08-24,469.95,470.0,465.0,465.2,50042724.3
2018-08-27,467.5,477.05,465.0,465.3,72429905.55
2018-08-28,468.6,468.75,465.0,465.45,37130008.3
2018-08-29,465.45,476.0,465.0,466.15,116150425.0
2018-08-30,466.15,468.6,457.8,461.2,51536847.35
2018-08-31,461.5,467.5,457.0,459.55,49295929.55
2018-09-03,460.0,464.0,445.9,448.65,65562715.5
2018-09-04,448.65,449.0,432.65,439.05,89196880.05
2018-09-05,439.4,443.4,426.65,436.85,41442249.65
2018-09-06,440.0,448.0,431.25,438.75,49264123.05
2018-09-07,438.75,439.8,434.9,436.05,32705192.0
2018-09-10,433.9,434.8,424.5,425.3,51368782.5
2018-09-11,426.15,428.7,422.0,424.75,25570087.75
2018-09-12,427.8,438.1,405.6,430.25,382512272.0
2018-09-14,436.5,448.0,429.0,434.4,43277635.3
2018-09-17,435.0,446.0,433.0,439.9,43126911.5
2018-09-18,441.0,444.9,425.2,427.05,80459201.25
2018-09-19,430.0,433.75,420.65,424.8,22401498.8
2018-09-21,430.0,436.6,412.0,417.85,75919339.05
2018-09-24,417.85,419.0,394.8,405.7,50814252.25
2018-09-25,406.8,428.0,404.4,423.2,63906849.4
2018-09-26,427.9,436.0,416.0,420.7,42446946.35
2018-09-27,420.0,420.0,403.0,409.3,53963372.5
2018-09-28,414.9,414.9,394.0,398.45,86596206.2
2018-10-01,400.0,401.65,383.25,396.0,130506061.3
2018-10-03,392.25,409.5,392.25,400.0,137023917.5
2018-10-04,391.0,404.0,389.0,399.8,102433632.8
2018-10-05,394.0,400.85,390.2,394.4,72302811.65
2018-10-08,400.0,407.8,394.4,398.65,137836621.6
2018-10-09,401.6,401.6,385.0,389.9,99726261.75
2018-10-10,389.9,397.0,385.1,391.2,236725776.7
2018-10-11,386.0,411.9,380.3,403.45,233142237.7
2018-10-12,406.4,428.0,403.5,418.6,81379698.55
2018-10-15,422.0,427.45,410.65,417.55,36687835.8
2018-10-16,415.15,436.0,415.15,433.6,55699610.0
2018-10-17,441.0,448.0,433.85,436.7,66606102.65
2018-10-19,435.0,438.7,416.0,425.95,96968567.25
2018-10-22,425.0,438.25,418.4,436.35,34974784.55
2018-10-23,423.75,433.8,415.1,420.5,26776436.55
2018-10-24,422.5,437.95,421.0,433.1,42673501.15
2018-10-25,427.0,432.6,425.0,429.25,32210398.3
2018-10-26,427.45,439.0,419.05,430.75,41409980.35
2018-10-29,432.0,438.25,421.25,435.05,66972606.25
2018-10-30,433.25,451.9,427.25,449.0,46985209.65
2018-10-31,455.65,460.0,440.3,447.6,43653751.0
2018-11-01,447.5,456.05,444.4,452.4,32567534.4
2018-11-02,458.9,461.65,448.85,452.85,36123825.1
2018-11-05,455.8,460.0,441.05,459.3,34071683.95
2018-11-06,465.0,467.95,454.2,464.45,39596819.65
2018-11-07,465.0,466.8,457.1,460.15,3091580.05
2018-11-09,463.95,469.0,452.95,464.6,79415491.1
2018-11-12,472.4,476.0,445.0,449.15,127942893.9
2018-11-13,446.9,458.0,439.0,454.75,71564994.25
2018-11-14,454.75,454.75,445.0,449.5,49857067.7
2018-11-15,447.35,448.85,439.2,442.0,209745949.6
2018-11-16,440.0,464.7,440.0,462.05,114547824.7
2018-11-19,464.0,464.95,455.3,463.6,41244399.8
2018-11-20,460.5,484.0,451.15,476.2,83874787.8
2018-11-21,475.0,476.95,464.1,471.9,51438177.15
2018-11-22,474.0,479.8,461.1,463.75,54509636.35
2018-11-26,465.0,467.5,443.35,445.3,56321909.35
2018-11-27,445.0,453.85,444.0,445.65,29108328.45
2018-11-28,445.35,465.25,438.2,462.4,72780003.85
2018-11-29,462.4,464.0,445.4,448.1,29347902.1
2018-11-30,448.8,458.0,445.1,450.1,22447321.95
2018-12-03,445.65,469.0,445.65,461.5,114853332.6
2018-12-04,461.5,473.0,457.1,467.55,64587118.4
2018-12-05,462.35,466.0,450.2,454.15,34112492.0
2018-12-06,451.0,452.3,440.55,444.6,17956446.2
2018-12-07,444.0,455.0,441.0,449.9,31080274.6
2018-12-10,447.8,447.8,430.0,432.0,28826002.5
2018-12-11,430.0,448.95,424.0,438.1,56919585.8
2018-12-12,435.1,451.0,435.1,446.85,58365999.7
2018-12-13,448.95,457.0,443.75,452.95,42325227.7
2018-12-14,452.95,462.5,447.55,461.25,79606205.0
2018-12-17,462.2,479.9,461.25,468.3,92772285.1
2018-12-18,466.3,480.8,463.6,472.5,67579423.35
2018-12-19,474.0,486.8,471.15,480.2,69547000.75
2018-12-20,476.9,484.6,476.0,477.8,29869478.6
2018-12-21,478.0,479.9,456.5,467.3,67831957.25
2018-12-24,468.0,468.0,450.0,453.05,27583512.3
2018-12-26,452.9,452.9,442.25,446.85,24051726.95
