date,open,high,low,close,volume
2018-01-01,31.4,31.9,31.2,31.45,310487594.2
2018-01-02,31.75,31.75,30.95,31.15,259031076.1
2018-01-03,31.2,31.45,31.1,31.15,195168080.7
2018-01-04,31.2,31.75,31.1,31.3,324824313.4
2018-01-05,31.7,33.15,31.55,32.9,848380409.4
2018-01-08,33.15,34.15,32.85,33.9,866373470.5
2018-01-09,34.3,34.75,32.3,33.2,2426833100.0
2018-01-10,33.4,33.45,32.0,32.35,582209688.3
2018-01-11,32.5,33.1,32.05,32.7,387902122.8
2018-01-12,33.0,33.25,32.25,32.7,549396617.1
2018-01-15,32.95,33.15,32.5,32.65,246460873.5
2018-01-16,32.7,32.7,31.75,31.85,287907086.8
2018-01-17,31.85,32.4,31.25,32.2,285757098.1
2018-01-18,33.5,33.6,31.5,31.8,763185304.9
2018-01-19,31.65,32.35,31.5,32.25,279591975.4
2018-01-22,32.1,32.4,32.0,32.2,281200462.9
2018-01-23,32.0,32.45,32.0,32.3,327824774.5
2018-01-24,32.1,32.95,31.8,31.9,323708169.9
2018-01-25,32.0,32.05,31.05,31.2,324131621.8
2018-01-29,31.5,31.5,30.35,30.45,257644782.7
2018-01-30,30.6,30.8,30.15,30.45,242043468.6
2018-01-31,30.25,30.65,29.95,30.15,303904976.5
2018-02-01,30.25,30.55,29.35,30.0,361869463.0
2018-02-02,29.6,29.7,27.5,28.2,753849028.2
2018-02-05,27.8,28.0,26.75,27.7,473150927.3
2018-02-06,26.0,27.4,25.5,26.95,472104941.4
2018-02-07,27.25,27.5,26.7,26.85,327777151.5
2018-02-08,27.4,27.9,27.0,27.7,264751789.0
2018-02-09,27.2,27.7,26.85,27.5,169397858.5
2018-02-12,27.65,28.4,27.6,28.2,214324839.7
2018-02-14,28.2,28.35,27.65,27.75,128897473.6
2018-02-15,27.6,28.05,26.8,26.95,353218887.8
2018-02-16,27.05,27.25,26.55,26.75,163422362.2
2018-02-19,26.6,27.45,26.15,26.7,405849714.9
2018-02-20,26.8,27.15,26.65,26.85,315148500.7
2018-02-21,27.05,27.15,26.65,26.9,177039556.7
2018-02-22,26.65,27.0,26.1,26.4,420964691.0
2018-02-23,26.7,27.0,26.6,26.9,145564312.4
2018-02-26,27.1,27.35,26.85,27.2,198152935.0
2018-02-27,27.25,27.3,26.8,27.0,116719405.2
2018-02-28,26.7,26.9,26.2,26.6,159590760.6
2018-03-01,26.7,26.7,26.0,26.05,166074720.9
2018-03-05,26.15,26.2,25.75,26.05,192888405.3
2018-03-06,26.2,26.3,25.55,25.7,194799062.9
2018-03-07,25.7,25.75,24.1,24.45,343627374.1
2018-03-08,24.6,25.25,23.75,25.15,421482656.0
2018-03-09,25.3,25.3,24.5,24.95,344863593.9
2018-03-12,25.0,25.1,24.05,24.7,211777331.8
2018-03-13,24.75,25.55,24.65,25.1,213973786.3
2018-03-14,25.05,25.45,24.7,25.4,146639998.5
2018-03-15,25.4,25.85,25.3,25.65,183013826.2
2018-03-16,25.6,25.7,25.0,25.1,130358085.1
2018-03-19,25.05,25.2,24.15,24.3,125228178.7
2018-03-20,24.0,24.55,23.85,24.05,166143525.4
2018-03-21,24.4,24.45,23.8,23.9,177742344.7
2018-03-22,23.9,24.0,23.2,23.25,276110939.9
