date,open,high,low,close,volume
2018-01-01,510.75,516.0,495.55,500.25,160153305.7
2018-01-02,503.9,503.9,484.3,490.95,139358357.0
2018-01-03,492.2,506.1,492.2,500.3,178155283.3
2018-01-04,503.0,514.0,496.5,509.6,229828998.6
2018-01-05,511.0,516.0,505.0,508.15,116156107.0
2018-01-08,511.0,526.55,510.25,513.35,261300935.5
2018-01-09,513.0,515.3,504.9,507.9,92583155.5
2018-01-10,508.0,514.0,499.45,503.05,83317081.6
2018-01-11,501.0,521.0,498.0,509.65,177884551.5
2018-01-12,513.65,532.0,505.1,516.05,463747934.1
2018-01-15,519.65,527.3,516.0,519.35,170897587.8
2018-01-16,523.4,525.0,502.6,507.65,149711859.2
2018-01-17,512.0,515.25,493.0,508.8,121904275.4
2018-01-18,512.0,522.95,489.0,494.9,222150792.8
2018-01-19,497.75,504.1,488.4,496.85,97578381.55
2018-01-22,501.0,507.2,494.5,501.7,82717264.6
2018-01-23,503.0,506.4,491.0,496.35,85751783.8
2018-01-24,496.35,513.2,490.1,499.85,217768362.6
2018-01-25,500.0,512.4,492.85,498.35,141048806.3
2018-01-29,500.45,504.55,473.0,476.7,254452368.1
2018-01-30,474.0,475.55,452.6,466.4,139093747.9
2018-01-31,468.0,475.25,450.2,453.3,78370957.7
2018-02-01,457.9,462.55,442.05,454.35,71140243.5
2018-02-02,448.0,458.0,417.5,420.95,146440382.5
2018-02-05,415.0,431.05,406.4,416.2,112122888.3
2018-02-06,395.0,412.0,390.0,406.0,162098438.4
2018-02-07,412.1,415.95,401.5,407.5,60809136.35
2018-02-08,406.0,434.4,403.3,432.05,159565133.6
2018-02-09,425.95,447.9,416.35,440.25,139091710.9
2018-02-12,441.3,460.5,438.05,446.85,129959269.7
2018-02-14,450.1,464.65,447.0,450.5,156837714.0
2018-02-15,452.0,457.25,433.3,434.9,73967137.6
2018-02-16,438.7,442.55,420.6,424.1,66342457.6
2018-02-19,424.25,443.35,413.0,440.8,122397392.1
2018-02-20,439.3,444.5,425.0,428.6,72206675.95
2018-02-21,432.4,437.0,408.2,419.65,131841507.1
2018-02-22,420.9,437.0,417.0,432.3,113604965.0
2018-02-23,435.5,490.0,435.5,458.0,1364504850.0
2018-02-26,454.7,454.8,433.1,438.1,242144370.0
2018-02-27,440.9,447.5,433.0,436.45,128283328.7
2018-02-28,433.55,437.8,422.35,425.35,166047383.1
2018-03-01,426.05,430.6,416.1,419.2,84275057.35
2018-03-05,419.2,430.95,410.1,415.75,220403501.0
2018-03-06,425.55,429.0,413.5,416.5,171301219.4
2018-03-07,413.0,414.0,408.1,410.25,96405821.4
2018-03-08,412.1,418.0,404.3,409.75,91536877.0
2018-03-09,410.1,416.2,401.95,405.0,93927792.95
2018-03-12,408.2,413.1,401.0,408.85,84980140.1
2018-03-13,408.85,418.0,408.55,411.25,81208174.85
2018-03-14,411.5,413.95,408.0,409.45,38065180.15
2018-03-15,410.1,413.8,408.2,410.6,51088277.2
2018-03-16,410.6,413.0,395.75,398.2,69981784.1
2018-03-19,400.9,401.45,389.25,394.1,141228353.0
2018-03-20,391.0,401.8,387.1,391.3,64883975.85
2018-03-21,394.0,398.0,388.0,389.7,42003609.45
2018-03-22,395.0,399.05,386.75,390.3,86209663.05
2018-03-23,381.0,387.75,375.0,383.75,66279423.6
2018-03-26,384.5,396.45,373.3,390.9,76774521.9
2018-03-27,395.0,397.9,388.0,389.4,58347802.7
2018-03-28,388.0,388.0,376.0,377.35,39191890.0
2018-04-02,380.0,386.4,375.0,382.95,45265112.45
2018-04-03,380.0,392.4,379.95,390.75,47228278.2
2018-04-04,393.0,395.95,380.2,381.6,46141580.6
2018-04-05,387.3,393.35,383.1,388.35,38089228.85
2018-04-06,391.6,406.15,387.8,402.45,129669394.8
2018-04-09,401.0,407.9,397.1,400.3,53952998.85
2018-04-10,401.0,404.45,392.7,395.75,32666200.95
2018-04-11,399.2,433.8,396.0,428.6,489145662.8
2018-04-12,426.8,426.8,412.1,415.0,122730191.4
2018-04-13,415.05,424.4,410.8,412.9,121046339.7
2018-04-16,412.0,420.0,407.2,413.25,68414277.6
2018-04-17,415.9,421.7,408.0,418.45,58224249.55
2018-04-18,416.55,425.0,412.1,415.75,121378242.8
2018-04-19,417.0,423.9,413.8,416.8,58233974.95
2018-04-20,417.05,419.0,411.3,413.1,27993909.2
2018-04-23,411.3,431.6,411.3,423.3,174178600.1
2018-04-24,426.45,437.8,421.15,426.3,344763217.8
2018-04-25,427.0,429.4,415.1,416.25,52978322.25
2018-04-26,417.25,423.0,415.1,416.6,43065672.7
2018-04-27,417.3,428.0,415.1,418.45,95082187.4
2018-04-30,420.5,428.4,416.5,422.45,88995816.15
2018-05-02,420.0,426.8,408.95,412.65,57211069.75
2018-05-03,415.0,427.0,403.1,424.2,229640373.4
2018-05-04,421.0,421.1,408.1,409.9,71330150.7
2018-05-07,411.25,418.8,405.0,414.3,100655482.0
2018-05-08,415.2,418.0,406.1,409.5,64084770.9
2018-05-09,400.0,419.6,391.25,415.4,238915605.2
2018-05-10,413.0,414.0,403.75,405.75,40625126.5
2018-05-11,406.6,408.7,390.55,394.75,68905113.25
2018-05-14,395.25,402.5,387.4,390.3,47951677.1
