date,open,high,low,close,volume
2018-01-01,84.15,86.25,82.4,83.05,540920000.9
2018-01-02,83.45,83.95,80.4,80.9,382229264.1
2018-01-03,81.0,82.9,80.65,81.3,358425723.3
2018-01-04,81.8,84.0,81.5,81.9,452137008.3
2018-01-05,82.5,88.3,82.1,87.1,1513068733.0
2018-01-08,89.15,94.0,88.1,93.55,1923714372.0
2018-01-09,94.6,95.4,91.5,93.5,1127349324.0
2018-01-10,93.6,94.8,91.1,92.2,698358655.5
2018-01-11,92.5,94.35,89.55,93.0,803710015.8
2018-01-12,89.9,90.0,83.85,84.3,1433672345.0
2018-01-15,84.3,84.3,79.8,80.0,785959884.4
2018-01-16,79.95,82.0,79.0,79.4,455838580.7
2018-01-17,79.4,79.85,77.4,78.05,278123519.9
2018-01-18,78.8,79.85,75.0,75.5,299693851.9
2018-01-19,75.8,77.45,75.0,76.85,273721197.0
2018-01-22,77.2,77.45,76.15,76.45,137640892.1
2018-01-23,77.0,77.1,75.1,75.2,171252109.0
2018-01-24,75.25,75.7,72.5,72.95,242892927.2
2018-01-25,73.0,74.75,72.2,74.05,157857985.7
2018-01-29,74.4,74.9,73.55,74.05,126233632.4
2018-01-30,73.55,73.85,72.2,72.9,118631546.2
2018-01-31,72.9,75.5,72.55,72.85,166806203.0
2018-02-01,73.4,74.25,71.0,72.75,123078474.6
2018-02-02,71.35,72.0,68.5,69.0,243979646.3
2018-02-05,67.05,71.9,66.3,70.6,244233522.4
2018-02-06,65.9,71.0,65.5,69.65,258917383.7
2018-02-07,71.5,72.25,71.0,71.35,136961554.7
2018-02-08,71.9,75.85,71.6,75.5,242248582.3
2018-02-09,72.1,74.7,71.85,73.55,111835785.2
2018-02-12,73.95,74.8,73.2,73.5,90862600.4
2018-02-14,73.5,74.5,72.5,72.85,98264031.3
2018-02-15,73.0,73.75,71.4,71.6,68670899.35
2018-02-16,71.95,72.15,69.0,69.45,120237721.7
2018-02-19,69.8,69.8,67.05,67.5,124627377.5
2018-02-20,67.45,68.9,67.4,67.7,75990057.7
2018-02-21,68.3,68.7,66.85,67.1,81079524.85
2018-02-22,66.85,67.8,66.55,66.75,93208930.55
2018-02-23,67.4,67.75,66.5,66.7,125923412.3
2018-02-26,67.8,67.85,66.85,66.9,90984794.15
2018-02-27,67.5,67.55,66.0,66.1,97395388.25
2018-02-28,65.5,65.75,64.65,65.5,118125747.1
2018-03-01,65.5,68.25,65.5,67.3,221929819.2
2018-03-05,67.0,67.3,64.6,65.6,207536883.3
2018-03-06,66.25,66.95,63.7,64.0,156693361.8
2018-03-07,64.05,64.3,61.7,62.85,133897019.6
2018-03-08,63.55,63.9,60.75,61.85,142150213.9
2018-03-09,62.5,62.55,59.15,60.05,255258031.6
2018-03-12,61.0,61.1,59.15,60.25,219204618.2
2018-03-13,60.35,61.85,60.35,60.95,390056687.8
2018-03-14,60.5,60.95,59.8,60.35,206606323.3
2018-03-15,61.9,63.5,61.0,61.8,246155276.9
2018-03-16,62.25,65.95,61.25,62.05,742978526.2
2018-03-19,62.8,63.4,60.35,60.75,207625687.9
2018-03-20,60.3,60.95,60.1,60.35,161604949.7
2018-03-21,60.45,61.8,60.45,60.85,163146742.2
2018-03-22,61.0,61.5,59.5,59.8,156917253.0
2018-03-23,59.0,59.0,56.8,57.5,185439220.7
2018-03-26,57.9,59.35,55.5,55.7,245967681.7
2018-03-27,56.3,59.0,56.3,58.2,210245751.5
2018-03-28,57.85,58.5,57.1,57.5,210899538.9
2018-04-02,57.8,59.6,57.8,59.1,86310244.25
2018-04-03,59.0,63.1,58.7,61.85,236426163.8
2018-04-04,62.2,64.2,60.4,60.8,155251011.6
2018-04-05,62.1,62.9,61.8,62.45,73138831.55
2018-04-06,62.35,63.8,61.7,63.15,76140278.2
2018-04-09,63.25,65.1,63.15,64.55,119016433.8
2018-04-10,65.05,65.25,63.6,63.8,79736279.3
2018-04-11,63.9,64.0,62.75,63.1,55156446.0
2018-04-12,63.0,63.1,61.5,61.75,53751786.9
2018-04-13,61.6,62.45,61.0,61.25,60171513.7
2018-04-16,60.8,61.25,59.8,60.4,90107975.65
2018-04-17,60.6,62.4,60.5,61.2,105155158.1
2018-04-18,61.8,61.95,60.1,60.5,61780897.5
2018-04-19,60.95,60.95,59.7,59.85,48202585.65
2018-04-20,59.9,59.9,58.6,58.9,88071693.65
2018-04-23,58.5,58.9,57.6,58.05,91700059.85
2018-04-24,57.9,59.3,57.65,58.25,91819570.3
2018-04-25,57.95,58.25,56.35,56.65,141641113.5
2018-04-26,56.95,57.1,54.8,55.0,122465170.6
2018-04-27,55.75,56.15,54.0,54.2,131293706.3
2018-04-30,54.2,54.6,52.6,53.75,147883275.0
2018-05-02,54.0,54.8,51.75,51.95,91041903.9
2018-05-03,51.5,52.5,49.8,51.15,144146660.9
2018-05-04,51.15,51.9,50.2,51.1,92426614.75
2018-05-07,51.1,51.6,50.4,51.35,97754031.4
2018-05-08,51.5,53.5,51.4,52.35,160619104.2
2018-05-09,52.5,56.9,52.5,54.05,243629859.4
2018-05-10,51.9,51.9,50.05,51.2,245409820.9
2018-05-11,51.7,52.2,48.55,49.1,167407508.7
2018-05-14,49.0,49.65,48.95,49.3,117889192.9
2018-05-15,49.3,51.65,48.75,49.2,158141855.5
2018-05-16,48.95,49.5,48.7,49.2,109515606.6
2018-05-17,49.25,52.7,49.0,51.95,156009471.6
2018-05-18,52.0,53.35,51.85,52.1,123738106.9
2018-05-21,52.05,52.25,51.35,52.0,320664077.7
2018-05-22,53.85,54.9,52.2,53.8,183148689.3
2018-05-23,53.5,54.1,52.25,52.9,118972966.1
2018-05-24,53.0,53.35,50.3,50.7,74872076.0
2018-05-25,50.4,51.75,50.4,51.05,62373018.6
