date,open,high,low,close,volume
2018-01-01,294.0,297.95,292.0,293.85,111159338.6
2018-01-02,296.9,296.9,289.1,290.7,131758494.9
2018-01-03,292.85,310.0,292.1,303.6,695518488.7
2018-01-04,306.5,341.9,306.35,335.1,1567652076.0
2018-01-05,335.4,354.0,330.0,341.0,1539126015.0
2018-01-08,342.0,350.75,338.0,348.25,563304680.0
2018-01-09,347.85,348.0,334.5,337.45,382858198.1
2018-01-10,338.7,370.0,335.0,361.55,1836341658.0
2018-01-11,361.3,382.95,354.35,358.4,1528415270.0
2018-01-12,361.1,369.0,352.0,360.35,533496694.2
2018-01-15,362.9,374.8,361.5,371.35,559644465.4
2018-01-16,373.0,376.7,361.0,363.3,633211198.0
2018-01-17,364.45,387.4,343.0,380.55,2493215687.0
2018-01-18,384.8,405.0,374.15,389.45,2864170230.0
2018-01-19,390.0,390.8,372.3,376.05,682989507.8
2018-01-22,376.45,377.45,365.05,368.6,303193989.8
2018-01-23,368.4,398.8,367.05,395.8,1209931476.0
2018-01-24,391.3,415.0,386.55,409.95,1720182574.0
2018-01-25,408.0,410.25,390.0,392.1,554457849.8
2018-01-29,394.8,395.0,380.9,385.6,398222198.3
2018-01-30,385.9,385.9,363.15,365.05,458768168.3
2018-01-31,363.0,381.0,354.5,358.85,654563821.1
2018-02-01,362.8,378.0,360.05,374.7,749748448.2
2018-02-02,370.0,379.1,347.9,349.45,851847640.8
2018-02-05,336.25,338.9,300.5,323.25,1872116150.0
2018-02-06,293.0,327.0,292.25,320.25,920396384.1
2018-02-07,328.5,339.35,328.0,333.3,752650904.9
2018-02-08,336.2,348.2,328.95,332.3,797129134.6
2018-02-09,322.7,348.55,322.7,346.15,751277018.9
2018-02-12,350.0,359.85,349.4,355.6,405852273.0
2018-02-14,359.5,363.55,355.0,356.6,336205732.8
2018-02-15,360.0,361.0,352.0,353.9,355067223.5
2018-02-16,355.55,363.75,343.6,347.85,407859746.9
2018-02-19,347.85,349.35,332.9,343.95,321992037.0
2018-02-20,346.8,355.65,340.55,342.75,249571445.2
2018-02-21,345.75,348.45,333.2,334.6,286979698.5
2018-02-22,332.0,341.55,331.6,334.75,241877105.3
2018-02-23,337.35,346.0,337.0,343.3,386512592.6
2018-02-26,354.8,378.85,352.25,364.3,1419032187.0
2018-02-27,367.9,371.0,357.05,359.15,541263197.4
2018-02-28,353.0,360.7,347.25,359.35,381407551.6
2018-03-01,358.95,367.0,354.5,357.85,403382104.7
