date,open,high,low,close,volume
2018-01-01,380.85,392.6,376.1,385.45,59867574.8
2018-01-02,389.0,396.15,384.95,391.05,31816174.5
2018-01-03,388.05,394.15,388.05,392.55,18752941.85
2018-01-04,389.15,452.0,389.15,440.85,529587619.6
2018-01-05,444.25,472.0,441.0,451.7,386484367.6
2018-01-08,456.0,465.5,450.0,456.95,160512474.2
2018-01-09,460.5,460.8,445.0,447.95,60095600.9
2018-01-10,445.1,452.0,425.3,436.05,77896618.7
2018-01-11,437.0,456.0,433.3,446.45,79730652.2
2018-01-12,450.0,452.0,435.0,437.7,52403871.85
2018-01-15,439.65,448.6,437.0,438.85,27684111.1
2018-01-16,438.55,442.0,419.2,432.0,54532959.6
2018-01-17,431.7,446.05,417.95,439.75,107208641.1
2018-01-18,443.4,454.9,434.45,443.7,143283082.3
2018-01-19,446.0,456.95,435.55,445.75,66671182.95
2018-01-22,449.0,457.75,445.2,448.3,43831207.35
2018-01-23,449.0,453.85,443.05,449.95,31794276.95
2018-01-24,444.15,457.9,441.05,455.6,63154762.15
2018-01-25,457.95,484.0,449.0,464.65,216123755.1
2018-01-29,472.7,476.0,453.45,465.1,74626232.85
2018-01-30,458.0,469.0,452.1,464.95,57662320.05
2018-01-31,464.95,464.95,427.0,448.75,40810280.35
2018-02-01,451.0,471.0,445.05,466.65,91374485.55
2018-02-02,460.0,460.0,428.0,434.25,58000096.5
2018-02-05,412.05,426.0,409.0,418.05,30746073.2
2018-02-06,400.0,409.95,371.0,399.65,38684429.75
2018-02-07,402.5,424.4,402.5,420.5,20414423.75
2018-02-08,424.8,464.0,420.0,456.2,91893345.1
2018-02-09,430.0,442.0,427.05,436.85,75045569.65
2018-02-12,440.0,448.0,438.45,445.05,37150181.5
2018-02-14,450.0,455.0,445.15,449.95,45157929.7
2018-02-15,455.0,456.0,439.2,447.15,23213483.45
2018-02-16,450.0,451.4,433.0,439.1,18516018.65
2018-02-19,444.5,450.5,428.1,434.45,29986168.55
2018-02-20,434.05,441.55,427.0,428.25,6022008.45
2018-02-21,432.1,434.75,415.0,416.65,9651350.55
2018-02-22,420.75,422.0,404.0,407.15,12123043.5
2018-02-23,410.1,416.7,408.9,410.25,11271796.65
2018-02-26,416.85,428.0,411.0,424.9,15934675.0
2018-02-27,422.0,426.95,420.45,422.7,19533297.4
2018-02-28,425.4,425.5,415.8,425.0,45469529.05
2018-03-01,418.05,442.5,418.05,440.3,44473276.9
2018-03-05,438.0,444.95,428.0,434.95,21758332.2
2018-03-06,434.95,449.4,434.05,440.3,28918141.25
2018-03-07,440.0,440.05,424.5,430.05,15246421.45
2018-03-08,434.85,434.9,420.0,422.85,6160459.25
2018-03-09,431.45,431.45,415.3,417.25,8214244.4
2018-03-12,420.15,422.0,406.0,411.65,14818068.95
2018-03-13,412.75,419.35,412.45,415.7,12783813.15
2018-03-14,412.2,419.9,411.25,414.65,10987255.8
2018-03-15,417.75,434.4,414.95,428.3,15350440.45
2018-03-16,429.8,429.85,411.55,418.95,33390450.15
2018-03-19,418.95,418.95,404.2,413.35,8796848.1
2018-03-20,408.05,419.8,408.05,413.6,6926201.3
2018-03-21,418.4,421.8,405.95,409.45,11661161.85
2018-03-22,410.35,422.0,409.7,420.05,16488057.45
2018-03-23,408.9,422.9,408.85,420.55,12807019.0
2018-03-26,414.5,429.4,412.85,422.3,14488185.8
2018-03-27,427.85,439.9,416.2,435.15,21174843.4
2018-03-28,425.05,444.2,425.05,440.05,23578361.5
2018-04-02,441.0,443.5,431.25,436.05,3826503.7
2018-04-03,430.0,445.7,430.0,434.5,8443369.85
2018-04-04,438.5,442.9,434.5,438.9,7812396.75
2018-04-05,440.05,475.0,440.0,471.3,90184530.1
2018-04-06,470.8,470.8,460.0,461.8,17969830.45
2018-04-09,463.8,475.0,462.05,465.4,22314328.35
2018-04-10,469.0,515.0,466.0,507.5,350340369.8
2018-04-11,510.4,517.95,503.3,510.15,129622985.3
2018-04-12,507.1,508.0,495.1,498.4,32886835.5
2018-04-13,500.85,527.4,491.2,508.9,93657724.95
2018-04-16,507.4,534.35,503.8,526.1,119095425.8
2018-04-17,525.0,537.0,520.0,532.6,55598895.2
2018-04-18,536.0,634.6,533.6,588.25,841769266.4
2018-04-19,592.4,610.0,567.0,586.35,224298263.1
2018-04-20,587.9,594.45,570.75,577.95,74317155.4
2018-04-23,581.9,585.0,570.0,577.2,72751369.75
2018-04-24,581.5,585.0,575.0,579.3,70730612.3
2018-04-25,580.0,585.0,570.55,575.7,71045454.05
2018-04-26,574.3,585.0,573.05,582.85,84316385.1
2018-04-27,583.05,604.8,580.45,585.3,81752904.55
2018-04-30,592.0,594.7,571.5,575.85,39538831.25
2018-05-02,577.5,585.0,572.5,575.5,26890728.55
2018-05-03,577.95,599.0,572.0,586.05,58004323.35
2018-05-04,586.05,589.8,562.6,576.05,19295209.75
2018-05-07,577.0,584.0,575.0,576.65,19082477.3
2018-05-08,580.0,584.0,568.55,575.3,30467420.65
2018-05-09,578.65,584.35,574.6,575.3,28594352.0
2018-05-10,576.3,581.6,550.0,553.9,21291225.65
2018-05-11,559.9,559.9,531.65,536.7,15281105.0
2018-05-14,537.0,548.2,492.2,498.6,38679551.25
2018-05-15,491.0,494.95,473.55,476.65,32186361.85
2018-05-16,466.0,479.0,460.0,471.6,19618734.45
2018-05-17,483.0,489.0,467.0,476.85,19506622.9
2018-05-18,470.8,476.9,455.9,460.65,12784580.1
2018-05-21,459.9,459.9,421.0,440.25,43478307.5
2018-05-22,430.55,460.0,430.55,453.75,19165762.65
2018-05-23,453.1,460.0,427.45,435.75,18041292.6
2018-05-24,433.0,453.95,432.85,449.2,24111839.5
2018-05-25,481.0,518.7,468.3,497.3,447396072.0
2018-05-28,493.0,494.0,476.6,483.15,39395885.3
2018-05-29,482.95,507.8,476.0,491.45,44573967.95
2018-05-30,482.3,499.4,481.65,484.35,24473944.05
2018-05-31,484.0,490.0,465.0,471.2,15826018.05
2018-06-01,468.0,498.8,468.0,484.5,67313075.3
2018-06-04,498.75,498.75,454.55,459.25,53557484.6
2018-06-05,455.05,455.05,422.05,425.85,37594020.75
2018-06-06,425.0,440.0,423.1,435.9,27713108.25
2018-06-07,438.0,469.55,438.0,465.85,50580209.8
2018-06-08,465.85,466.4,453.7,456.45,15766754.05
2018-06-11,459.0,467.5,456.8,459.55,10664984.3
2018-06-12,463.9,463.9,451.35,458.8,14598874.35
2018-06-13,459.5,465.0,452.7,455.8,5976635.0
2018-06-14,456.1,467.0,452.4,457.9,19448062.1
2018-06-15,458.85,462.1,450.5,452.95,9263637.6
2018-06-18,450.25,457.95,438.0,441.15,12413461.0
2018-06-19,435.3,444.35,434.3,440.75,13292939.45
2018-06-20,437.0,445.0,437.0,440.55,6581499.1
2018-06-21,440.45,443.95,429.3,437.5,7363870.35
2018-06-22,436.6,448.25,428.7,442.1,17035304.55
2018-06-25,437.0,444.45,435.25,439.75,14126015.6
2018-06-26,440.1,445.0,431.45,441.2,17379187.05
2018-06-27,441.0,441.0,431.45,434.15,6983514.9
2018-06-28,434.15,439.2,430.0,433.5,6495635.15
2018-06-29,437.0,444.8,432.1,437.3,9400522.1
2018-07-02,435.0,437.95,428.5,431.3,18357906.5
2018-07-03,429.0,456.9,428.85,441.15,53929637.55
2018-07-04,440.95,445.0,432.1,436.85,21161778.9
2018-07-05,435.95,447.7,432.2,438.3,11156222.85
2018-07-06,438.2,441.1,431.0,438.05,10447747.25
2018-07-09,440.65,464.7,438.5,455.9,28859830.7
2018-07-10,455.0,481.0,448.9,466.15,63279055.8
2018-07-11,469.5,469.5,454.25,460.1,24910070.35
2018-07-12,461.55,464.9,450.2,454.55,19407807.05
2018-07-13,455.05,459.0,441.5,442.65,6389324.5
2018-07-16,444.5,449.0,430.0,443.45,13112119.35
2018-07-17,439.65,446.55,437.9,443.05,6535553.15
2018-07-18,444.0,446.45,437.0,440.75,7262742.5
2018-07-19,442.1,454.0,438.8,441.5,7533330.6
2018-07-20,438.75,447.6,438.75,443.35,29506714.8
2018-07-23,442.6,454.1,441.0,446.3,9045035.15
2018-07-24,445.0,466.35,445.0,461.1,17731463.1
2018-07-25,457.05,467.0,454.7,457.45,8838400.45
2018-07-26,459.95,464.7,455.0,455.95,5432132.2
2018-07-27,455.05,485.0,453.15,481.05,51781793.5
2018-07-30,481.0,499.05,478.0,491.05,46416917.95
2018-07-31,491.2,495.95,467.6,471.05,26125654.15
2018-08-01,472.0,484.0,470.0,473.55,12443787.85
2018-08-02,473.55,473.9,464.05,465.75,12163623.9
2018-08-03,465.1,479.0,465.1,474.6,10709313.15
2018-08-06,469.0,477.7,467.3,470.75,8055565.55
2018-08-07,470.75,474.0,464.5,467.7,11531515.95
2018-08-08,472.6,485.4,468.2,482.1,18891005.0
2018-08-09,476.05,510.1,470.0,475.1,151118773.9
2018-08-10,476.0,476.0,445.1,447.8,25729413.55
2018-08-13,440.15,445.3,430.15,435.4,19500939.4
2018-08-14,434.0,435.0,430.0,432.7,14574038.9
2018-08-16,428.5,439.85,425.1,431.35,38018856.0
2018-08-17,433.95,438.95,430.0,433.05,25740233.35
2018-08-20,435.0,443.9,427.7,435.7,49892205.95
2018-08-21,434.8,439.85,424.15,429.8,56558132.1
2018-08-23,429.8,444.35,429.8,440.1,18359515.65
2018-08-24,445.5,475.95,445.5,466.8,141054229.0
2018-08-27,470.0,473.75,445.0,448.8,27523741.3
2018-08-28,452.3,457.4,450.0,451.4,13841759.5
2018-08-29,454.25,454.9,442.0,442.95,14486436.25
2018-08-30,442.95,449.0,439.05,441.85,10884369.1
2018-08-31,442.0,446.95,430.15,440.55,13782930.1
2018-09-03,433.6,444.4,433.6,437.85,8111372.7
2018-09-04,437.85,439.4,430.15,432.25,8827190.75
2018-09-05,430.3,436.25,425.25,431.1,17526630.25
2018-09-06,431.25,440.75,430.15,437.5,9659457.1
2018-09-07,435.0,462.95,434.0,441.35,23406949.5
2018-09-10,441.35,444.8,430.95,434.5,10952385.65
2018-09-11,434.0,438.0,428.3,430.3,8651566.9
2018-09-12,430.35,432.9,413.2,428.1,10841672.3
2018-09-14,432.0,438.85,432.0,435.45,6993424.25
