date,open,high,low,close,volume
2018-01-01,571.5,585.4,571.25,574.05,3075590814.0
2018-01-02,577.0,582.0,567.2,572.15,2201239576.0
2018-01-03,575.0,578.95,567.0,569.05,1250089120.0
2018-01-04,572.0,583.95,560.1,581.2,3571356386.0
2018-01-05,585.0,587.35,575.3,578.75,2674102675.0
2018-01-08,588.0,604.6,586.15,591.6,6255354562.0
2018-01-09,597.0,598.0,584.35,586.5,2378721789.0
2018-01-10,590.8,594.0,581.4,585.1,1720305516.0
2018-01-11,585.75,598.5,580.5,587.95,3492244962.0
2018-01-12,590.0,591.45,579.6,583.45,1661333846.0
2018-01-15,586.8,586.8,574.5,576.45,2582032171.0
2018-01-16,577.35,583.95,572.15,577.7,2813336183.0
2018-01-17,583.0,585.9,576.7,583.75,2801799807.0
2018-01-18,586.0,589.45,574.3,576.7,2141766586.0
2018-01-19,580.0,580.65,567.6,572.1,2687470085.0
2018-01-22,573.0,578.9,568.85,576.15,1761355396.0
2018-01-23,579.0,585.85,575.5,579.35,2774975467.0
2018-01-24,577.0,596.5,575.1,586.55,4213145351.0
2018-01-25,591.0,596.0,578.0,579.85,2469089085.0
2018-01-29,581.05,594.2,578.35,587.95,3530504066.0
2018-01-30,585.7,594.75,580.05,591.95,2088032761.0
2018-01-31,590.0,594.9,575.05,579.9,2780384668.0
2018-02-01,580.0,580.0,549.55,554.3,4974357325.0
2018-02-02,552.0,567.35,544.65,551.2,6047325115.0
2018-02-05,538.8,560.45,533.55,557.45,2608660973.0
2018-02-06,537.0,554.5,531.2,551.8,3471497017.0
2018-02-07,556.0,557.45,542.6,549.5,2813952133.0
2018-02-08,540.05,587.0,533.8,584.1,7751034044.0
2018-02-09,570.1,586.0,570.1,582.7,2196312797.0
2018-02-12,586.0,608.95,585.0,589.15,6109774755.0
2018-02-14,590.95,591.8,571.2,574.8,3835166295.0
2018-02-15,565.4,584.95,565.4,575.75,6158523976.0
2018-02-16,575.4,577.55,563.35,575.25,3796619910.0
2018-02-19,575.0,577.25,553.55,561.4,1987726092.0
2018-02-20,564.65,566.65,557.0,559.5,1391163466.0
2018-02-21,560.05,563.0,511.3,525.75,11604015115.0
2018-02-22,527.5,547.0,524.0,541.45,6697735061.0
2018-02-23,550.0,575.25,546.0,569.65,17325227824.0
2018-02-26,570.0,571.9,553.35,555.95,4527948076.0
2018-02-27,555.95,563.45,542.05,544.8,3814583236.0
2018-02-28,543.0,552.35,532.65,535.35,4527095670.0
2018-03-01,537.95,541.5,533.25,535.4,2290107549.0
2018-03-05,535.1,552.7,527.05,548.55,3980485800.0
2018-03-06,561.0,563.0,530.0,531.75,5347798766.0
2018-03-07,532.0,534.15,520.1,524.85,3305557741.0
2018-03-08,529.7,530.5,509.5,514.6,4817580005.0
2018-03-09,514.0,519.9,505.0,506.8,2563550722.0
2018-03-12,511.0,516.0,506.55,512.65,2371066718.0
2018-03-13,512.65,525.5,512.65,523.3,2495180479.0
2018-03-14,523.3,523.3,516.1,520.1,1281818826.0
2018-03-15,520.0,529.0,514.75,516.45,1574227073.0
2018-03-16,512.05,522.0,501.3,503.05,4534309618.0
2018-03-19,506.8,508.55,496.0,497.65,2794467948.0
2018-03-20,496.75,511.0,493.75,508.75,2324592728.0
2018-03-21,513.95,515.6,502.55,504.5,2031370610.0
2018-03-22,520.0,521.0,505.1,508.4,4439551844.0
2018-03-23,501.8,506.75,497.55,502.4,2560414529.0
2018-03-26,502.4,506.9,496.1,503.2,2108388312.0
2018-03-27,506.0,512.25,503.2,505.1,2262716317.0
2018-03-28,504.0,504.7,492.0,495.1,3415123567.0
2018-04-02,500.9,510.0,496.05,507.85,1474943076.0
2018-04-03,506.0,512.2,504.5,510.0,1378065913.0
2018-04-04,514.95,514.95,501.0,502.25,1585931607.0
2018-04-05,506.0,513.0,505.1,507.55,1225822344.0
2018-04-06,508.0,515.3,507.0,512.6,1420963738.0
2018-04-09,512.0,517.75,507.35,510.85,1226442235.0
2018-04-10,512.4,515.9,507.5,508.25,1350620637.0
2018-04-11,511.0,522.9,510.3,521.45,2946070528.0
2018-04-12,521.5,521.5,509.6,515.9,1864996537.0
2018-04-13,514.6,519.8,510.3,513.0,1097666317.0
2018-04-16,513.0,521.0,511.5,519.4,1389681472.0
2018-04-17,521.9,521.9,510.5,512.15,1593330045.0
