date,open,high,low,close,volume
2018-01-01,731.55,735.4,723.0,726.0,136419022.2
2018-01-02,727.0,739.7,713.85,730.1,454359045.1
2018-01-03,745.7,766.6,739.05,755.9,2610988853.0
2018-01-04,756.5,762.5,750.6,754.4,681203719.2
2018-01-05,756.0,762.8,748.2,757.6,639766336.9
2018-01-08,760.0,772.0,754.2,767.1,1080325796.0
2018-01-09,769.95,780.0,762.65,765.45,931626425.3
2018-01-10,768.0,768.7,758.0,762.95,336603615.2
2018-01-11,769.0,782.0,763.0,771.0,1337548798.0
2018-01-12,774.0,779.5,755.5,764.65,805194978.7
2018-01-15,769.65,774.35,759.25,766.5,562482779.9
2018-01-16,767.0,769.4,736.25,740.95,522738799.0
2018-01-17,740.95,751.5,719.25,749.6,446583715.8
2018-01-18,755.0,758.0,716.55,728.65,746719920.5
2018-01-19,731.45,734.9,717.2,724.65,467032450.3
2018-01-22,728.0,739.0,719.0,735.8,614457468.7
2018-01-23,740.0,741.05,727.15,732.6,278967039.9
2018-01-24,734.0,734.5,721.95,729.2,292789361.2
2018-01-25,730.0,734.2,713.95,717.3,941399622.5
2018-01-29,720.05,727.4,718.0,720.55,216775638.4
2018-01-30,721.0,722.05,709.4,714.65,216949058.5
2018-01-31,713.8,722.0,708.65,719.0,662629338.9
2018-02-01,721.7,726.0,707.05,718.95,834332996.3
2018-02-02,712.0,713.85,680.3,692.25,850867916.8
2018-02-05,682.0,700.0,662.05,695.45,606610477.3
2018-02-06,671.2,699.7,658.05,686.2,631472775.8
2018-02-07,697.0,704.25,678.5,680.85,545840285.6
2018-02-08,685.95,712.0,681.1,708.15,1028720915.0
2018-02-09,698.1,705.8,692.05,700.75,845925930.4
2018-02-12,704.0,719.3,696.2,715.5,456168003.8
2018-02-14,718.9,723.0,710.75,714.5,557222053.1
2018-02-15,715.0,727.35,710.3,719.0,682463460.7
2018-02-16,722.0,726.7,704.85,718.65,627980009.5
2018-02-19,721.0,721.35,701.1,710.35,240914824.9
2018-02-20,710.8,715.0,700.0,704.25,424707007.2
2018-02-21,706.0,709.35,695.6,699.75,528228742.3
2018-02-22,695.0,705.0,692.1,696.85,370642194.6
2018-02-23,699.0,708.5,698.1,706.75,211639301.4
2018-02-26,711.9,718.3,707.2,711.05,250305711.1
2018-02-27,714.5,715.1,700.5,703.8,394456079.3
2018-02-28,699.8,710.5,698.0,704.65,336145698.4
2018-03-01,704.0,708.65,696.05,699.7,415081506.3
2018-03-05,698.15,698.9,673.0,677.6,466163651.1
2018-03-06,681.0,689.0,671.5,673.6,409563264.5
2018-03-07,673.8,681.0,669.15,677.4,494522801.0
2018-03-08,682.0,700.35,666.95,695.05,745881909.3
2018-03-09,699.8,699.95,680.75,686.9,384401686.5
2018-03-12,692.55,693.0,681.15,689.55,175097919.2
2018-03-13,687.1,698.6,687.1,691.25,462255809.2
2018-03-14,691.05,693.4,683.4,688.9,244752282.9
