date,open,high,low,close,volume
2018-01-01,977.95,977.95,958.3,964.05,351727415.0
2018-01-02,968.75,983.5,950.15,977.85,646821289.1
2018-01-03,985.0,1006.0,976.85,994.05,1300013884.0
2018-01-04,999.5,1005.0,990.7,998.35,404267799.4
2018-01-05,1000.85,1015.0,999.5,1005.85,704701506.2
2018-01-08,1006.9,1018.5,1005.5,1009.0,320848552.7
2018-01-09,1010.0,1013.45,996.1,1006.9,223179189.7
2018-01-10,1007.8,1054.0,998.0,1041.95,1839883389.0
2018-01-11,1032.5,1057.2,1025.85,1038.1,842388033.7
2018-01-12,1037.0,1056.5,1023.05,1038.35,820096186.7
2018-01-15,1040.0,1053.0,1039.9,1044.25,420350151.8
2018-01-16,1045.0,1075.0,1040.3,1045.75,1072768150.0
2018-01-17,1044.9,1060.0,1027.1,1047.2,555697659.4
2018-01-18,1052.0,1064.3,1025.7,1033.3,552547132.0
2018-01-19,1035.95,1052.45,1017.1,1037.95,883727874.4
2018-01-22,1039.9,1085.0,1029.05,1078.75,1160235257.0
2018-01-23,1084.85,1095.0,1071.5,1077.25,767056563.5
2018-01-24,1075.1,1123.25,1068.3,1094.4,1502984478.0
2018-01-25,1097.4,1111.5,1078.5,1087.7,798460429.9
2018-01-29,1092.7,1118.0,1080.5,1086.05,670488648.1
2018-01-30,1087.7,1096.5,1072.55,1082.8,368587808.6
2018-01-31,1082.0,1088.45,1046.25,1059.8,341929836.9
2018-02-01,1064.5,1076.45,980.0,1024.6,667490809.8
2018-02-02,1005.0,1034.85,990.0,993.05,468408321.5
2018-02-05,979.0,1018.0,956.65,1006.45,454099171.7
2018-02-06,930.0,979.9,923.25,969.0,515285151.8
2018-02-07,987.0,998.95,964.05,972.85,296325316.4
2018-02-08,978.7,1009.5,976.2,995.9,473696389.4
2018-02-09,960.0,1008.0,960.0,998.25,388147463.0
2018-02-12,1002.0,1023.0,1002.0,1007.65,425296592.7
2018-02-14,1012.0,1036.3,1011.95,1021.65,489763494.5
2018-02-15,1025.0,1037.9,1005.35,1013.15,351517735.3
2018-02-16,1014.0,1031.05,996.6,1002.55,450895965.9
2018-02-19,1004.0,1008.4,974.65,986.55,392561214.3
2018-02-20,986.55,998.8,982.0,988.1,287818263.5
2018-02-21,991.7,1001.85,984.1,991.65,351170818.0
2018-02-22,989.5,1011.9,986.55,997.85,702179917.2
2018-02-23,1003.95,1023.5,999.15,1019.75,493838935.5
2018-02-26,1020.0,1052.3,1018.05,1048.7,940709265.7
2018-02-27,1054.8,1056.45,1036.0,1038.9,526130083.7
2018-02-28,1034.1,1068.0,1025.1,1053.25,923392214.8
2018-03-01,1052.5,1067.3,1041.0,1044.55,312746518.2
2018-03-05,1042.0,1051.7,1016.9,1041.7,408897850.6
2018-03-06,1055.0,1066.0,1027.0,1031.55,494282042.4
2018-03-07,1031.45,1043.0,990.5,995.5,533145017.5
2018-03-08,1005.7,1012.0,991.55,1001.95,291012364.1
2018-03-09,1009.7,1012.6,994.0,1002.35,247704800.2
2018-03-12,1010.9,1020.0,1005.15,1013.55,253718779.9
2018-03-13,1013.95,1023.0,999.1,1010.7,271065145.8
2018-03-14,1008.0,1017.9,1001.0,1010.3,338354234.2
2018-03-15,1009.4,1048.0,1008.95,1037.65,520219263.7
2018-03-16,1041.9,1046.9,996.8,1012.75,571920458.0
2018-03-19,1013.5,1017.85,976.1,979.2,370140357.2
2018-03-20,975.0,990.75,956.25,985.25,502321461.3
2018-03-21,994.7,1011.35,988.55,993.95,431682697.2
2018-03-22,994.35,1004.0,988.05,992.25,271479516.7
2018-03-23,974.8,979.95,955.85,965.9,322096366.8
2018-03-26,967.0,980.0,966.3,977.35,384108722.5
2018-03-27,981.8,1010.0,974.25,1007.25,633481574.5
2018-03-28,1004.1,1019.0,978.45,985.35,756431316.1
2018-04-02,991.0,1009.0,986.55,1002.05,514093203.4
2018-04-03,1000.15,1009.6,994.15,1004.7,285901295.2
2018-04-04,1011.7,1040.0,998.0,1003.3,1164024491.0
2018-04-05,1021.75,1028.0,1014.45,1020.3,294768545.4
2018-04-06,1010.0,1035.0,1010.0,1024.6,342209540.6
2018-04-09,1027.7,1046.9,1025.7,1042.0,546061536.3
2018-04-10,1047.7,1054.0,1030.0,1033.35,454625205.3
2018-04-11,1038.0,1046.35,1025.35,1042.6,375589041.6
2018-04-12,1042.5,1079.65,1041.0,1069.9,1455065504.0
2018-04-13,1077.5,1090.0,1070.0,1073.6,1059800756.0
2018-04-16,1066.0,1076.5,1050.15,1071.7,385158047.4
2018-04-17,1070.0,1084.95,1065.05,1071.3,420038064.4
2018-04-18,1076.0,1079.0,1057.6,1064.35,263802071.8
2018-04-19,1069.7,1110.75,1066.25,1108.4,1096773249.0
2018-04-20,1107.8,1148.7,1103.05,1142.75,1687695892.0
2018-04-23,1143.0,1244.5,1140.05,1203.3,4608308928.0
2018-04-24,1208.0,1223.95,1184.0,1204.05,1542924884.0
2018-04-25,1204.0,1247.95,1196.35,1228.55,2516540994.0
2018-04-26,1230.0,1259.9,1199.1,1217.35,3502856865.0
2018-04-27,1224.7,1228.35,1190.25,1198.65,974572510.7
2018-04-30,1206.0,1242.5,1193.95,1237.8,1046003370.0
2018-05-02,1239.0,1242.4,1205.6,1215.2,670407412.6
2018-05-03,1216.0,1238.0,1194.25,1224.55,1151014279.0
2018-05-04,1223.25,1223.5,1152.75,1160.55,1601396849.0
2018-05-07,1162.0,1170.95,1118.8,1140.8,1275350998.0
2018-05-08,1144.0,1184.0,1140.0,1179.1,984662103.8
2018-05-09,1189.0,1205.0,1180.45,1192.45,1061161953.0
2018-05-10,1180.0,1212.0,1169.95,1175.6,887771083.8
2018-05-11,1181.9,1201.0,1177.5,1183.4,946585378.4
2018-05-14,1187.5,1193.5,1146.15,1153.55,519365829.3
2018-05-15,1159.7,1182.0,1132.25,1144.3,719594692.3
2018-05-16,1143.6,1180.75,1136.85,1167.55,765356691.6
2018-05-17,1170.0,1189.45,1162.5,1184.95,717632621.6
2018-05-18,1191.05,1191.05,1146.0,1152.15,359665642.1
2018-05-21,1153.15,1172.25,1136.35,1163.5,761489720.5
2018-05-22,1167.95,1177.8,1160.4,1169.45,454021530.7
2018-05-23,1173.6,1219.0,1161.6,1200.9,1340352309.0
2018-05-24,1213.25,1226.15,1186.3,1194.95,874788488.5
2018-05-25,1200.0,1242.0,1195.5,1232.7,1239939224.0
2018-05-28,1239.0,1239.0,1203.1,1208.3,541221058.6
2018-05-29,1209.0,1244.8,1208.0,1227.4,801335172.2
2018-05-30,1228.0,1256.9,1225.1,1238.25,1008539370.0
2018-05-31,1245.0,1256.0,1226.15,1237.1,1147391441.0
2018-06-01,1238.35,1251.65,1205.05,1213.05,642592080.8
2018-06-04,1216.2,1221.9,1196.05,1203.85,444967821.1
2018-06-05,1204.0,1219.5,1138.8,1161.1,883791148.6
2018-06-06,1165.85,1198.95,1137.3,1192.5,888092034.3
2018-06-07,1201.0,1218.5,1193.55,1210.8,418365957.1
2018-06-08,1212.4,1249.95,1211.05,1232.4,1338098651.0
2018-06-11,1239.95,1241.0,1220.15,1226.05,498039396.7
2018-06-12,1229.0,1283.5,1226.0,1277.9,2817605860.0
2018-06-13,1288.0,1297.2,1273.05,1280.2,1164421263.0
2018-06-14,1279.9,1294.9,1263.3,1287.3,854086777.3
2018-06-15,1290.55,1316.0,1290.15,1304.55,1768517684.0
2018-06-18,1304.9,1306.5,1288.2,1295.8,435060144.9
2018-06-19,1292.0,1321.95,1286.95,1309.65,1450760294.0
2018-06-20,1312.8,1336.0,1312.5,1320.75,1788465931.0
2018-06-21,1320.75,1332.4,1314.6,1323.05,802856077.4
2018-06-22,1324.65,1327.0,1303.4,1318.55,441503398.3
2018-06-25,1321.85,1348.0,1318.6,1342.95,1124714107.0
2018-06-26,1349.8,1358.35,1333.5,1349.05,1285403204.0
2018-06-27,1354.0,1357.2,1315.6,1331.5,718003017.4
2018-06-28,1331.0,1331.0,1280.15,1284.9,876253452.5
2018-06-29,1297.0,1340.0,1292.4,1334.7,759551241.2
2018-07-02,1340.0,1353.0,1321.85,1343.75,839128086.2
2018-07-03,1347.0,1373.5,1331.15,1366.5,1145273099.0
2018-07-04,1370.0,1371.9,1350.1,1359.5,670349742.9
2018-07-05,1354.0,1369.1,1342.2,1349.05,555745279.1
2018-07-06,1351.0,1369.0,1346.7,1364.95,661105128.5
2018-07-09,1374.0,1389.4,1362.25,1381.55,873100874.2
2018-07-10,1392.45,1401.3,1385.4,1392.45,652603613.5
2018-07-11,1399.0,1454.45,1393.0,1445.0,2203829751.0
2018-07-12,1448.9,1448.9,1416.1,1429.25,996457400.2
2018-07-13,1429.25,1452.9,1419.05,1429.8,990318241.6
2018-07-16,1421.0,1441.0,1406.0,1420.55,854928697.1
2018-07-17,1420.0,1426.0,1402.45,1410.35,571396073.2
2018-07-18,1413.9,1438.9,1406.7,1417.0,907932339.3
2018-07-19,1426.0,1431.4,1358.0,1374.6,989292786.4
2018-07-20,1378.9,1400.0,1376.05,1394.5,587622834.5
2018-07-23,1395.0,1401.5,1369.0,1380.4,467943039.2
2018-07-24,1384.0,1395.0,1365.0,1378.6,684451455.9
2018-07-25,1380.0,1479.0,1326.0,1465.45,7419876664.0
2018-07-26,1454.0,1490.9,1427.0,1449.85,3728728364.0
2018-07-27,1454.0,1471.4,1439.2,1451.35,1013381098.0
2018-07-30,1454.85,1454.85,1418.3,1425.25,567135355.8
2018-07-31,1425.0,1444.5,1415.35,1428.2,819726756.0
2018-08-01,1426.5,1457.7,1426.5,1434.8,940601270.2
2018-08-02,1431.0,1442.95,1401.6,1407.4,566058535.4
2018-08-03,1412.8,1427.5,1411.1,1416.95,611909199.6
2018-08-06,1419.8,1427.5,1395.75,1401.4,436308507.1
2018-08-07,1405.5,1411.0,1375.05,1385.45,721537677.2
2018-08-08,1388.45,1422.5,1381.0,1407.85,1451359109.0
2018-08-09,1410.0,1414.25,1385.35,1388.5,614556733.5
2018-08-10,1392.75,1419.55,1388.35,1395.55,963625321.1
2018-08-13,1395.0,1430.95,1392.65,1414.75,1569949285.0
2018-08-14,1423.8,1440.0,1406.35,1434.1,1249039943.0
2018-08-16,1441.85,1454.0,1423.35,1434.15,1449375503.0
2018-08-17,1442.8,1445.7,1425.5,1432.1,603693167.5
2018-08-20,1430.0,1433.75,1414.65,1419.75,402927772.2
2018-08-21,1415.0,1448.0,1412.0,1441.65,1068459096.0
2018-08-23,1452.0,1462.0,1436.7,1446.4,1016877306.0
2018-08-24,1447.4,1454.2,1409.7,1418.85,531773736.2
2018-08-27,1418.0,1435.7,1414.65,1424.75,524018773.2
2018-08-28,1429.0,1439.55,1415.0,1417.6,323846116.6
2018-08-29,1418.1,1419.0,1388.6,1396.15,618236949.6
2018-08-30,1398.9,1417.75,1389.35,1407.3,616422204.1
2018-08-31,1405.0,1444.8,1401.2,1435.85,1303137816.0
2018-09-03,1440.0,1470.0,1436.25,1445.2,1584285606.0
2018-09-04,1449.95,1466.95,1397.15,1414.05,980615112.7
2018-09-05,1416.4,1425.0,1351.05,1380.7,921505112.3
2018-09-06,1376.0,1376.95,1335.3,1352.5,1059161001.0
2018-09-07,1353.9,1379.4,1342.0,1363.05,693878552.6
2018-09-10,1363.0,1375.0,1345.0,1349.65,606865058.9
2018-09-11,1353.6,1355.0,1306.55,1311.9,926282870.0
2018-09-12,1307.5,1345.0,1285.8,1334.15,997148468.3
2018-09-14,1338.5,1357.0,1323.1,1345.95,709869087.3
2018-09-17,1345.0,1378.0,1332.15,1365.0,894840572.5
2018-09-18,1369.0,1372.0,1319.7,1325.95,454960606.5
2018-09-19,1333.5,1352.4,1317.0,1332.85,657876492.3
2018-09-21,1340.0,1350.0,1209.65,1295.65,812057293.3
2018-09-24,1296.0,1297.4,1250.0,1261.4,493364047.1
2018-09-25,1258.9,1264.95,1204.8,1233.9,742286115.6
2018-09-26,1238.95,1238.95,1178.15,1186.85,990300328.4
2018-09-27,1186.8,1200.7,1164.0,1175.9,740189266.6
2018-09-28,1187.7,1200.0,1131.1,1156.0,961018316.8
2018-10-01,1152.25,1179.95,1111.0,1161.75,1176665795.0
2018-10-03,1166.25,1211.4,1161.15,1187.4,1238116949.0
2018-10-04,1172.0,1190.0,1141.3,1151.05,650168061.5
2018-10-05,1147.0,1170.0,1126.1,1138.15,687505021.1
2018-10-08,1145.1,1163.6,922.0,1006.95,3377922513.0
2018-10-09,1000.0,1002.0,951.6,968.2,2752618824.0
2018-10-10,968.2,1025.0,968.15,1016.55,1298422149.0
2018-10-11,983.0,1005.5,965.1,975.2,845809299.0
2018-10-12,993.25,1008.4,968.95,973.15,1008094436.0
2018-10-15,978.0,999.75,978.0,988.15,651204047.9
2018-10-16,993.8,1045.0,991.8,1040.7,1164285850.0
2018-10-17,1055.0,1055.9,984.6,990.95,1102337687.0
2018-10-19,989.9,994.25,953.0,982.65,792878049.6
2018-10-22,992.4,1015.0,961.0,998.35,831231866.3
2018-10-23,987.1,994.6,960.0,973.15,691092818.6
2018-10-24,980.0,986.5,946.15,974.65,950249895.0
2018-10-25,962.1,970.0,952.4,955.35,539935755.7
2018-10-26,958.0,976.0,923.85,967.1,700731717.9
2018-10-29,970.0,994.5,960.5,990.15,468632006.4
2018-10-30,989.0,1019.0,983.0,1010.4,701557708.9
2018-10-31,1017.0,1040.0,1007.4,1034.95,806856517.4
2018-11-01,1043.95,1082.0,1037.1,1074.8,1257978288.0
2018-11-02,1082.25,1085.5,1041.45,1047.3,600994841.2
2018-11-05,1051.9,1090.0,1040.3,1064.15,1039020788.0
2018-11-06,1065.0,1080.8,1041.9,1048.05,514105684.4
2018-11-07,1053.1,1062.0,1053.1,1056.75,61806726.2
2018-11-09,1049.0,1058.9,1022.5,1028.55,545268590.6
2018-11-12,1031.5,1034.7,992.0,996.25,937171904.7
2018-11-13,992.25,1012.7,985.0,1008.8,611888424.3
