date,open,high,low,close,volume
2018-01-01,732.5,735.4,719.5,722.2,1332827277.0
2018-01-02,724.0,731.25,715.25,729.3,1787822857.0
2018-01-03,732.0,737.5,731.25,734.95,1935566674.0
2018-01-04,736.5,763.45,732.0,760.25,6077721304.0
2018-01-05,764.0,776.9,762.5,770.7,5502015156.0
2018-01-08,777.75,777.85,765.0,768.75,1990503902.0
2018-01-09,770.0,780.85,767.0,772.3,2475979436.0
2018-01-10,771.25,777.0,762.9,772.85,2298496138.0
2018-01-11,772.85,777.9,768.35,770.95,1496361330.0
2018-01-12,771.2,776.8,760.05,770.25,1671686055.0
2018-01-15,772.0,793.0,771.0,783.5,3278001109.0
2018-01-16,782.75,782.75,760.1,765.75,2147565233.0
2018-01-17,768.0,777.95,757.0,774.0,2293890370.0
2018-01-18,775.0,779.85,746.2,751.75,3497711138.0
2018-01-19,752.5,762.0,742.5,753.0,2421198577.0
2018-01-22,752.0,756.4,747.35,752.2,2710271412.0
2018-01-23,752.0,787.1,752.0,779.75,6246780029.0
2018-01-24,780.5,780.6,757.15,762.1,3791403221.0
2018-01-25,765.0,773.1,758.25,769.15,6444874344.0
2018-01-29,771.0,791.8,770.15,783.15,5109763297.0
2018-01-30,780.6,783.9,771.25,775.85,4670232414.0
2018-01-31,735.5,747.9,701.7,705.05,9335878228.0
2018-02-01,708.0,712.75,681.6,696.75,5154804700.0
2018-02-02,692.0,693.0,666.05,670.45,4425409641.0
2018-02-05,661.0,674.5,650.5,664.05,3113655797.0
2018-02-06,641.0,679.0,632.55,664.5,4397002363.0
2018-02-07,668.0,682.2,657.0,661.8,4536718208.0
2018-02-08,660.05,677.0,654.0,671.45,3889670065.0
2018-02-09,663.7,690.0,660.15,685.3,6233154969.0
2018-02-12,716.0,716.9,697.4,713.1,8551083029.0
2018-02-14,719.3,720.5,704.55,708.0,3485280748.0
2018-02-15,711.35,719.15,697.25,700.55,3637299447.0
2018-02-16,708.0,709.5,683.6,689.75,3478399325.0
2018-02-19,693.4,693.4,639.0,648.85,11558048417.0
2018-02-20,654.8,661.5,648.15,651.3,6686023349.0
2018-02-21,654.9,655.55,633.0,640.95,6606358204.0
2018-02-22,640.35,647.8,632.85,637.55,5738277047.0
2018-02-23,640.85,686.4,639.0,677.75,14641061103.0
2018-02-26,680.0,692.65,673.2,680.2,6293085777.0
2018-02-27,681.4,686.9,669.2,671.75,4627650931.0
2018-02-28,663.85,675.0,660.0,671.6,4760404400.0
2018-03-01,671.35,685.0,670.05,675.05,4826148824.0
2018-03-05,669.25,669.3,651.8,655.9,6439260219.0
2018-03-06,664.85,674.0,656.55,659.75,5611149689.0
2018-03-07,657.0,661.4,644.65,647.7,3342399843.0
2018-03-08,656.9,660.95,632.7,635.9,4576016853.0
2018-03-09,640.05,646.75,601.5,606.75,11197460061.0
2018-03-12,614.45,626.4,606.4,622.9,7514541561.0
2018-03-13,623.0,633.2,614.35,628.85,6569498855.0
2018-03-14,624.0,630.9,618.6,620.55,5398284292.0
2018-03-15,620.0,622.6,609.6,611.75,4619860394.0
2018-03-16,611.75,613.9,594.4,600.2,7073240040.0
2018-03-19,600.0,601.9,572.85,574.95,7312088243.0
2018-03-20,571.0,600.9,568.45,593.0,10443320965.0
2018-03-21,598.95,601.7,580.5,582.25,7036106133.0
2018-03-22,582.7,587.45,572.0,580.9,6649640784.0
2018-03-23,560.05,568.8,553.5,566.5,7942693165.0
2018-03-26,568.9,588.35,560.8,581.55,6243745406.0
2018-03-27,590.45,599.0,587.55,590.0,5953350624.0
2018-03-28,581.05,583.0,565.3,571.05,10661975312.0
2018-04-02,573.1,580.3,568.1,578.8,3964703024.0
2018-04-03,570.2,585.45,568.35,579.7,6069983445.0
2018-04-04,583.1,590.5,557.55,560.55,8034377268.0
2018-04-05,573.85,583.6,569.5,580.45,7663506136.0
2018-04-06,574.85,589.9,573.0,587.2,4951430461.0
2018-04-09,589.5,595.75,583.4,586.15,5591011468.0
2018-04-10,593.0,604.6,592.3,601.9,6496264008.0
2018-04-11,608.0,610.9,600.35,608.05,5291669862.0
2018-04-12,606.9,608.75,596.7,598.4,3995487104.0
2018-04-13,600.0,604.7,590.4,594.05,4011008489.0
2018-04-16,591.0,596.8,585.15,591.6,3038665376.0
2018-04-17,595.0,604.6,591.95,596.05,3831260468.0
2018-04-18,600.95,604.9,594.6,601.6,2552760180.0
2018-04-19,606.05,624.5,606.05,621.95,6685667443.0
2018-04-20,618.95,618.95,602.6,606.2,3859728676.0
2018-04-23,608.3,611.0,600.1,606.6,2784898177.0
2018-04-24,594.45,601.8,589.4,597.55,3542855558.0
2018-04-25,598.0,598.5,584.3,586.2,2430843725.0
2018-04-26,588.0,591.55,576.7,578.2,4338925212.0
2018-04-27,582.95,594.75,581.25,589.8,2776039371.0
2018-04-30,591.65,599.9,586.0,594.95,2175960395.0
2018-05-02,597.1,597.4,572.95,574.5,2468915753.0
2018-05-03,574.0,587.4,568.1,585.45,3916655984.0
2018-05-04,586.7,589.8,579.25,580.75,2265557422.0
2018-05-07,585.95,597.95,581.0,596.45,2693507558.0
2018-05-08,600.0,604.2,590.5,596.35,2463094785.0
2018-05-09,593.4,608.85,592.55,603.15,3765952562.0
2018-05-10,603.9,606.8,591.15,594.15,2386689364.0
2018-05-11,597.0,610.55,591.2,607.25,3713900401.0
2018-05-14,608.2,614.95,602.3,610.35,3158115919.0
2018-05-15,609.0,636.8,605.5,625.95,8052589299.0
2018-05-16,626.0,632.5,616.95,621.25,5255167480.0
2018-05-17,629.95,630.8,602.15,610.3,9812912991.0
2018-05-18,615.0,616.7,590.35,591.4,4939622629.0
2018-05-21,592.5,600.75,574.75,577.0,4183864365.0
2018-05-22,578.1,583.5,569.5,576.8,3524836263.0
2018-05-23,576.0,576.0,537.4,540.05,9457462087.0
2018-05-24,543.9,553.9,536.55,548.2,4758822299.0
2018-05-25,554.0,570.8,552.0,568.25,5016159793.0
2018-05-28,571.0,579.45,565.1,576.65,3003840632.0
2018-05-29,574.95,588.0,569.35,575.35,3745979635.0
2018-05-30,568.05,581.5,567.55,577.9,3575290469.0
2018-05-31,584.0,587.3,572.05,575.65,3840914058.0
2018-06-01,570.0,579.6,556.3,560.65,5245127847.0
2018-06-04,564.05,572.5,560.3,566.15,4952383732.0
2018-06-05,566.8,574.9,560.6,572.1,2658345834.0
2018-06-06,574.45,581.7,569.2,579.75,2562915051.0
2018-06-07,582.1,603.9,581.9,602.1,5524000930.0
2018-06-08,599.0,608.2,592.0,600.5,5037375244.0
2018-06-11,601.05,605.5,586.25,588.65,3065687896.0
2018-06-12,586.95,588.75,577.2,580.0,5000810532.0
2018-06-13,579.6,583.8,566.0,567.6,5176645077.0
2018-06-14,567.0,574.8,561.0,569.55,4259776435.0
2018-06-15,571.2,574.8,562.0,566.0,3528103420.0
2018-06-18,563.0,563.45,547.3,558.5,5858067047.0
2018-06-19,558.0,565.6,549.45,555.0,5265601616.0
2018-06-20,556.25,565.9,553.3,563.25,3698449825.0
2018-06-21,568.95,568.95,556.1,557.75,4772779366.0
2018-06-22,560.4,564.6,556.1,561.85,3504704909.0
