date,open,high,low,close,volume
2018-01-01,691.0,709.95,681.05,690.15,30222030.55
2018-01-02,685.0,706.5,680.95,700.9,38010341.0
2018-01-03,708.0,709.0,686.0,695.9,61380680.2
2018-01-04,695.9,707.95,680.05,696.0,19861717.1
2018-01-05,698.55,699.85,682.05,687.4,14936711.15
2018-01-08,687.4,702.1,684.0,697.5,33549255.85
2018-01-09,699.35,702.0,690.0,698.1,27369811.85
2018-01-10,702.3,704.0,692.0,700.3,31360390.55
2018-01-11,702.25,704.7,692.95,700.55,19551760.3
2018-01-12,698.25,707.95,691.0,700.1,99491377.95
2018-01-15,704.3,707.95,691.85,698.15,25530266.95
2018-01-16,691.0,701.0,691.0,697.3,78515757.05
2018-01-17,700.35,704.0,682.65,701.35,27568770.65
2018-01-18,703.0,722.1,698.0,700.55,31174227.8
2018-01-19,697.95,719.95,697.45,709.45,8987650.05
2018-01-22,708.25,739.0,696.0,724.1,21513748.35
2018-01-23,740.0,740.0,700.15,706.05,9274169.5
2018-01-24,700.0,718.95,699.0,709.6,65951086.1
2018-01-25,710.75,719.25,682.85,689.8,13777347.2
2018-01-29,690.0,707.9,682.25,684.15,101328463.8
2018-01-30,696.35,699.9,673.0,696.7,98214158.75
2018-01-31,699.25,699.25,683.25,689.15,16100777.85
2018-02-01,681.05,700.1,665.0,697.95,240105943.0
2018-02-02,690.0,694.45,670.0,677.55,14783718.35
2018-02-05,660.0,680.0,657.0,675.45,11182047.9
2018-02-06,665.0,668.95,645.0,660.25,16131930.9
2018-02-07,653.0,706.15,653.0,683.65,14923285.85
2018-02-08,694.0,694.0,665.0,671.95,9178580.7
2018-02-09,653.0,670.0,653.0,661.1,11256364.05
2018-02-12,668.85,678.0,660.0,673.0,8527957.25
2018-02-14,676.75,683.4,665.0,666.9,26632238.45
2018-02-15,669.05,669.1,655.95,664.4,30259353.1
2018-02-16,660.85,687.8,660.85,675.8,18280847.7
2018-02-19,676.0,684.8,659.05,676.4,18579328.6
2018-02-20,670.05,680.0,663.45,667.0,5645555.65
2018-02-21,667.0,672.3,660.0,669.2,12986141.9
2018-02-22,666.05,667.85,657.0,664.8,18508592.2
2018-02-23,665.9,677.7,660.1,674.3,21382250.6
2018-02-26,676.3,682.8,659.05,679.75,61420685.4
2018-02-27,685.35,685.35,669.2,673.35,13713862.55
2018-02-28,671.05,677.0,666.3,670.4,70889980.8
2018-03-01,665.6,675.95,665.0,672.45,29114635.4
2018-03-05,672.0,688.95,670.0,683.05,8998036.05
2018-03-06,684.45,699.0,680.0,680.15,69221919.55
2018-03-07,684.2,685.0,665.0,672.15,8601563.35
2018-03-08,671.5,691.0,665.0,679.65,17680535.15
2018-03-09,692.95,692.95,666.5,676.85,5572349.5
2018-03-12,673.75,688.0,656.0,681.85,23868179.8
2018-03-13,685.35,689.0,664.0,682.4,23595683.75
2018-03-14,688.95,688.95,665.45,668.4,13595665.5
2018-03-15,672.75,684.7,667.25,677.3,23969842.2
2018-03-16,684.3,684.3,671.0,674.5,44339157.95
2018-03-19,671.95,675.0,660.0,663.35,9161493.05
2018-03-20,660.95,675.0,660.95,666.6,6207768.15
2018-03-21,670.25,675.1,660.0,662.0,28275485.4
2018-03-22,680.1,680.1,660.0,665.15,7767782.8
2018-03-23,660.0,673.0,640.5,659.25,25154280.7
2018-03-26,663.0,687.0,648.2,681.95,15107031.3
2018-03-27,688.8,695.6,651.0,654.5,84148428.45
2018-03-28,654.85,659.65,645.1,649.9,19435628.05
2018-04-02,661.0,661.0,645.2,651.9,13953604.05
2018-04-03,653.7,664.0,649.9,662.15,10679601.25
2018-04-04,668.05,668.1,651.0,659.25,86405756.4
2018-04-05,664.25,667.65,656.0,659.7,177840188.9
2018-04-06,658.8,660.0,640.2,655.0,89668294.3
2018-04-09,647.0,662.0,647.0,658.45,9271283.05
2018-04-10,654.0,661.55,653.65,659.95,450771397.8
2018-04-11,661.6,665.1,655.6,657.9,113721076.8
2018-04-12,656.1,666.4,656.0,661.25,36666522.95
2018-04-13,664.9,666.0,660.0,665.1,11969712.7
2018-04-16,665.0,665.25,660.55,662.0,31873776.25
2018-04-17,662.5,670.0,661.0,667.25,53720231.0
2018-04-18,662.05,672.0,662.05,668.55,101048377.1
2018-04-19,690.0,716.9,663.0,700.7,59082086.4
2018-04-20,698.1,713.85,690.05,705.4,18215363.3
2018-04-23,715.0,715.0,692.8,705.2,71089664.85
2018-04-24,705.2,715.5,696.0,704.2,58117402.7
2018-04-25,705.2,706.2,686.0,695.9,52613590.7
2018-04-26,694.7,694.7,680.1,684.75,97881090.25
2018-04-27,687.0,701.3,676.0,686.7,31218094.6
2018-04-30,689.25,731.95,689.25,722.45,52295257.95
2018-05-02,720.0,732.95,702.05,709.7,36332525.4
2018-05-03,707.95,732.45,701.1,729.7,21963916.9
2018-05-04,734.45,734.45,709.0,709.9,14752630.65
2018-05-07,711.35,724.0,705.8,718.35,7910132.9
2018-05-08,716.45,749.0,711.6,732.5,9350345.45
2018-05-09,733.0,733.0,713.65,715.0,89899167.9
2018-05-10,715.0,734.0,697.3,709.1,208934421.9
2018-05-11,710.0,710.0,685.0,688.7,38619922.4
2018-05-14,688.7,705.0,681.2,697.65,48480387.0
2018-05-15,699.1,718.45,690.0,698.5,14210893.8
2018-05-16,695.65,714.0,692.0,707.55,13449917.75
2018-05-17,709.8,709.8,680.1,693.4,7025046.4
2018-05-18,686.0,692.0,675.55,678.2,9504025.2
2018-05-21,671.35,687.0,671.35,683.55,12482446.75
2018-05-22,686.15,696.7,676.55,689.1,8644832.4
2018-05-23,690.4,692.0,673.55,675.1,13259588.1
2018-05-24,677.35,680.55,662.7,669.6,3479231.35
2018-05-25,670.1,683.8,664.25,679.05,10791857.5
2018-05-28,679.95,693.0,679.95,685.2,3473910.65
2018-05-29,666.0,699.0,666.0,686.1,28438303.25
2018-05-30,680.25,691.65,677.35,688.45,2324193.7
2018-05-31,687.35,692.7,665.55,671.35,169914275.6
2018-06-01,671.0,675.75,664.3,667.75,5069878.85
2018-06-04,667.25,674.35,663.9,669.85,3532513.45
2018-06-05,668.0,678.5,652.25,657.85,12509440.5
2018-06-06,650.05,655.0,641.95,646.35,18399406.25
2018-06-07,654.9,664.1,625.55,661.05,33614792.3
2018-06-08,668.8,668.8,660.0,663.05,13688597.75
2018-06-11,690.0,690.0,643.8,668.15,18218425.25
2018-06-12,672.45,672.45,655.35,659.3,33439362.5
2018-06-13,646.85,661.1,646.85,656.15,37004734.0
2018-06-14,664.9,664.9,644.95,645.55,29274247.85
2018-06-15,650.0,654.0,639.7,646.2,65417447.9
2018-06-18,646.9,656.55,625.0,632.25,7699595.15
2018-06-19,650.0,652.95,628.05,639.85,14994709.45
2018-06-20,658.85,658.85,630.55,633.05,84356023.1
2018-06-21,638.15,638.15,629.95,632.3,114329896.3
2018-06-22,635.25,639.9,625.0,630.1,6406567.5
2018-06-25,625.1,632.95,602.3,609.5,21088484.9
2018-06-26,600.0,614.0,594.0,598.35,228555150.2
2018-06-27,593.35,625.0,593.35,621.8,135038791.0
2018-06-28,616.8,627.7,605.05,609.7,6071687.5
2018-06-29,608.95,617.9,602.3,614.55,46171792.2
2018-07-02,614.55,622.95,610.0,616.6,7440276.6
2018-07-03,622.1,634.0,615.0,624.95,5242902.1
2018-07-04,626.4,643.55,622.65,637.25,4901338.15
2018-07-05,639.9,645.35,624.35,635.9,19455610.35
2018-07-06,638.6,643.75,635.0,639.4,36232004.2
2018-07-09,634.4,650.0,630.1,648.3,6681917.5
2018-07-10,645.9,649.85,635.05,642.65,40118559.55
2018-07-11,640.5,650.0,632.85,646.65,193754567.1
2018-07-12,645.0,658.0,626.55,637.75,27448206.05
2018-07-13,632.8,665.0,616.4,647.45,24875321.0
2018-07-16,655.0,666.9,630.05,634.65,8080909.35
2018-07-17,659.95,659.95,620.5,631.65,117415281.4
2018-07-18,638.0,640.5,611.1,619.3,85697567.35
2018-07-19,621.0,626.8,590.05,606.35,35455807.5
2018-07-20,624.5,629.0,601.5,615.4,47923665.3
2018-07-23,615.4,621.0,602.0,619.95,45679491.35
2018-07-24,611.5,644.0,606.0,629.0,536373989.0
2018-07-25,633.6,633.7,608.0,609.75,53042537.15
2018-07-26,614.65,629.0,610.0,625.8,14749525.4
2018-07-27,630.7,634.0,614.3,629.3,12566058.65
2018-07-30,648.0,649.0,611.2,642.7,24795298.0
2018-07-31,640.95,643.4,619.65,628.1,23010600.5
2018-08-01,636.9,636.9,616.1,620.5,35869139.25
2018-08-02,620.5,624.2,610.0,613.75,27306787.7
2018-08-03,616.3,622.2,611.1,613.95,10065887.5
2018-08-06,615.0,615.0,602.25,604.3,6720855.7
2018-08-07,610.0,610.0,588.0,599.65,33221705.8
2018-08-08,601.0,617.7,592.2,612.8,64969281.65
2018-08-09,612.25,614.0,605.0,607.8,3057182.9
2018-08-10,614.85,614.85,590.0,593.35,8391742.75
2018-08-13,599.5,608.0,575.0,597.8,12545478.15
2018-08-14,605.25,648.4,586.55,624.3,81286267.7
2018-08-16,615.0,631.15,605.3,611.9,6663925.7
2018-08-17,612.5,620.0,602.25,607.95,38405231.25
2018-08-20,596.55,607.05,594.0,596.6,7977810.4
2018-08-21,599.55,603.0,592.1,595.3,10828473.4
2018-08-23,593.6,604.8,583.5,588.35,76502859.45
2018-08-24,588.0,600.0,581.5,592.55,62334643.15
2018-08-27,598.45,600.0,583.2,596.2,13685389.5
2018-08-28,592.55,607.55,588.65,600.3,18369105.65
2018-08-29,601.0,601.0,585.0,587.75,8729153.05
2018-08-30,595.0,595.0,586.85,590.55,45952243.4
2018-08-31,586.0,595.0,581.2,586.6,70301249.1
2018-09-03,581.2,590.9,578.25,589.9,68870411.0
2018-09-04,590.0,592.0,581.6,589.8,25482160.8
2018-09-05,580.55,590.0,580.55,585.65,23374837.35
2018-09-06,585.0,600.0,576.85,590.6,40391908.7
2018-09-07,597.65,597.65,583.0,586.65,23149545.75
2018-09-10,591.0,591.0,570.3,584.65,52882177.4
2018-09-11,578.55,585.0,552.4,558.9,22558822.3
2018-09-12,558.0,569.8,540.55,561.15,94096836.95
2018-09-14,561.2,588.0,555.05,581.9,23885710.0
2018-09-17,581.9,593.0,564.0,582.8,39068888.7
2018-09-18,593.0,593.0,570.55,575.0,2312976.5
2018-09-19,567.0,588.9,567.0,580.1,35774202.85
2018-09-21,580.1,594.0,547.1,562.4,87004382.15
2018-09-24,562.0,568.9,535.0,565.0,81482676.7
2018-09-25,553.7,574.45,552.55,568.15,13913873.25
2018-09-26,563.25,578.5,563.25,571.55,13708874.55
2018-09-27,574.7,590.0,525.35,568.0,38443134.9
2018-09-28,556.7,579.0,531.05,551.9,35865565.55
2018-10-01,577.0,577.0,530.5,554.65,13700184.15
2018-10-03,550.0,550.0,495.0,534.3,93625760.9
2018-10-04,549.5,549.5,510.0,520.85,16218746.5
2018-10-05,515.0,531.0,500.05,517.35,174676424.3
2018-10-08,503.0,534.7,467.1,500.65,68002925.3
2018-10-09,500.15,509.95,467.85,498.95,85280249.9
2018-10-10,485.05,524.9,480.0,512.0,155692938.0
2018-10-11,500.0,530.35,477.25,508.2,183170204.8
2018-10-12,515.95,522.05,502.0,508.15,10599245.65
2018-10-15,504.85,515.05,497.4,504.05,4530969.2
2018-10-16,505.0,515.0,505.0,509.45,6530700.6
2018-10-17,518.95,518.95,502.0,504.95,55252803.65
2018-10-19,505.0,508.1,479.95,494.5,17964606.35
2018-10-22,495.0,505.6,480.0,500.6,15914601.0
2018-10-23,485.9,498.7,485.9,489.35,18677897.65
2018-10-24,484.0,502.0,473.75,484.7,28510842.65
2018-10-25,475.3,495.35,475.3,489.9,17910832.8
2018-10-26,491.2,494.95,480.15,484.9,6804881.65
2018-10-29,498.8,498.8,486.1,490.35,92479823.6
2018-10-30,490.0,494.35,482.65,484.75,9517302.5
2018-10-31,486.4,490.0,483.2,487.15,5938767.8
2018-11-01,497.7,497.7,482.5,485.0,103935880.9
2018-11-02,485.4,501.0,485.4,490.05,8182361.9
2018-11-05,496.6,496.75,472.0,483.2,12526177.3
2018-11-06,482.0,488.95,475.0,480.0,14612660.45
2018-11-07,480.05,485.1,475.0,478.3,1789691.45
2018-11-09,487.65,493.95,475.05,485.25,11678276.05
2018-11-12,497.85,497.85,478.0,480.25,2769627.1
2018-11-13,478.0,480.8,472.0,473.85,8412582.55
2018-11-14,477.0,482.2,465.3,469.65,100597245.1
2018-11-15,475.55,480.0,456.6,477.75,12712560.5
2018-11-16,488.0,489.0,470.25,483.55,15578288.45
2018-11-19,489.85,490.0,478.05,484.25,10103634.1
2018-11-20,485.0,485.0,476.5,478.55,3299166.25
2018-11-21,475.3,480.95,475.3,479.85,3420179.65
2018-11-22,475.25,485.35,475.25,478.05,8342458.8
2018-11-26,476.9,482.55,475.05,477.05,44219473.9
2018-11-27,477.05,494.0,473.0,489.15,95183171.85
2018-11-28,494.85,499.9,479.6,494.85,8077883.85
2018-11-29,498.8,524.0,498.0,509.85,110719854.2
2018-11-30,507.35,529.9,499.2,520.85,27345437.15
2018-12-03,520.85,528.0,510.3,524.65,16491853.3
2018-12-04,518.8,524.45,515.5,522.35,8251439.15
2018-12-05,511.0,525.9,511.0,523.75,33782292.9
2018-12-06,529.9,529.9,502.5,519.75,29974864.75
2018-12-07,510.0,520.0,509.0,510.8,111767597.2
2018-12-10,491.3,510.0,491.3,506.15,107443840.9
2018-12-11,490.0,515.0,490.0,511.75,14112422.9
2018-12-12,501.0,524.0,501.0,517.55,14135160.2
2018-12-13,515.0,528.0,511.1,522.45,8169300.0
2018-12-14,511.0,525.35,511.0,520.75,10776139.6
2018-12-17,518.05,520.1,514.95,515.9,3597974.35
2018-12-18,515.05,520.1,508.3,513.2,14854540.65
2018-12-19,518.6,525.7,512.45,520.85,13090042.4
2018-12-20,528.0,528.0,495.7,500.45,333590788.9
2018-12-21,504.6,506.8,486.0,503.45,19502618.8
2018-12-24,507.75,509.0,493.0,505.5,5035551.6
2018-12-26,496.3,512.0,495.65,502.95,132052574.2
2018-12-27,507.0,522.0,498.5,511.6,134398537.3
2018-12-28,502.3,521.0,502.3,511.4,25301654.9
2018-12-31,509.15,534.0,506.4,526.2,17772809.15
2019-01-01,524.1,532.0,511.65,515.9,4972744.1
2019-01-02,512.5,518.35,504.55,505.7,6807874.1
2019-01-03,513.75,513.75,502.0,507.4,9099011.4
2019-01-04,510.2,510.2,492.55,499.85,6110698.3
2019-01-07,492.5,505.8,484.9,489.15,14232167.65
2019-01-08,479.0,491.35,474.8,481.75,126781981.4
2019-01-09,481.1,489.5,470.05,473.55,14333421.95
2019-01-10,475.7,484.0,460.1,469.05,22077026.4
2019-01-11,484.0,484.0,456.0,461.0,60190152.5
2019-01-14,459.55,474.0,456.45,469.35,4770402.75
2019-01-15,471.65,472.0,455.2,462.55,37264951.2
2019-01-16,469.9,469.9,455.5,458.5,24456199.85
2019-01-17,461.45,470.0,456.05,461.0,7208589.65
2019-01-18,464.65,474.5,457.0,469.5,11601090.1
2019-01-21,468.0,470.55,457.4,466.1,5267769.6
2019-01-22,459.65,480.95,451.5,473.35,11260378.4
2019-01-23,479.5,479.5,460.55,465.25,97647890.0
2019-01-24,468.05,471.95,456.0,466.35,11018988.85
2019-01-25,470.7,473.3,450.05,454.9,7024325.15
2019-01-28,454.65,469.0,442.0,459.65,5377735.85
2019-01-29,452.2,456.55,448.0,450.85,35097407.2
2019-01-30,453.2,456.85,436.35,444.65,5065182.1
2019-01-31,446.1,449.0,439.15,444.3,11746434.0
2019-02-01,449.25,459.95,440.0,454.85,7041296.5
2019-02-04,459.65,474.95,440.6,464.65,16297992.65
2019-02-05,460.0,461.0,448.25,457.75,3558807.7
2019-02-06,468.6,469.0,443.65,452.45,11577515.85
2019-02-07,450.0,450.0,439.55,444.7,71538369.65
2019-02-08,449.65,449.65,431.35,440.2,144287777.2
2019-02-11,438.05,440.0,429.0,437.05,3199846.1
2019-02-12,437.05,437.7,425.0,431.2,8833030.9
2019-02-13,433.1,433.1,420.0,426.0,92852051.75
2019-02-14,421.7,428.45,415.15,420.1,91886079.85
2019-02-15,419.05,454.9,417.05,443.9,28030957.25
2019-02-18,437.15,439.05,421.35,431.05,5567555.6
2019-02-19,423.95,441.85,423.95,436.8,3765687.15
2019-02-20,429.4,444.0,429.05,439.05,5617314.2
2019-02-21,433.5,447.05,433.1,443.3,5772884.4
2019-02-22,445.4,449.0,436.6,444.75,3007131.2
2019-02-25,443.95,458.1,431.85,447.05,9403459.3
2019-02-26,438.15,455.0,436.2,448.7,55560303.6
2019-02-27,452.75,452.8,432.5,440.6,101694627.2
2019-02-28,435.0,443.0,431.05,438.1,57301703.75
2019-03-01,442.95,457.95,437.4,452.7,10194978.45
2019-03-05,452.0,498.0,451.05,481.45,19940535.8
2019-03-06,475.0,493.05,471.95,479.5,8067849.95
2019-03-07,479.75,483.75,477.85,480.0,7955440.15
2019-03-08,482.0,485.05,471.2,482.05,4222850.5
2019-03-11,480.3,500.0,476.1,499.55,162327913.7
2019-03-12,501.0,529.0,491.6,499.25,12380472.9
2019-03-13,497.9,505.0,486.0,498.0,110132247.8
2019-03-14,501.95,503.0,489.0,493.35,114694551.7
2019-03-15,492.15,501.0,490.15,499.4,20477764.8
2019-03-18,491.0,497.9,483.0,489.0,27909677.25
2019-03-19,493.15,496.0,472.0,477.45,9402201.2
2019-03-20,473.0,480.0,472.0,473.65,974837.1
2019-03-22,460.05,480.0,460.05,477.6,9197027.95
2019-03-25,479.0,481.4,473.55,479.6,11947667.95
2019-03-26,480.95,485.2,465.5,472.7,6327551.05
2019-03-27,470.0,481.55,466.45,476.65,7771856.9
2019-03-28,470.1,488.0,470.1,479.65,16269405.35
2019-03-29,475.0,491.7,475.0,486.4,21919191.4
2019-04-01,486.7,491.55,481.0,485.85,207363335.2
2019-04-02,481.35,502.0,481.35,489.95,25300525.95
2019-04-03,485.0,498.0,485.0,492.55,361168658.3
2019-04-04,497.0,504.9,486.75,498.05,6886878.4
2019-04-05,498.05,503.0,490.0,493.85,11131426.0
2019-04-08,501.95,501.95,491.0,492.15,4045411.25
