date,open,high,low,close,volume
2018-01-01,265.45,275.2,265.45,269.8,19516717.8
2018-01-02,267.0,273.0,263.85,268.15,53297645.5
2018-01-03,268.0,274.9,265.05,273.85,14695883.2
2018-01-04,270.0,284.8,270.0,280.6,68094450.7
2018-01-05,281.65,300.0,281.65,294.45,37545326.05
2018-01-08,299.9,300.5,294.0,294.7,25406920.5
2018-01-09,302.5,304.7,289.95,295.6,49398032.1
2018-01-10,295.95,300.5,293.0,294.1,9825954.0
2018-01-11,295.0,300.0,269.1,287.4,195425454.4
2018-01-12,285.1,292.75,285.1,287.35,73151162.9
2018-01-15,286.0,296.0,286.0,294.15,19863098.35
2018-01-16,299.85,300.0,278.2,279.35,13251401.2
2018-01-17,279.5,289.0,271.6,283.4,6799902.65
2018-01-18,281.5,289.4,266.5,268.35,17314182.65
2018-01-19,270.0,273.95,268.0,272.65,3458435.0
2018-01-22,281.0,281.0,268.55,277.35,6061050.85
2018-01-23,277.35,284.4,270.5,273.7,7148630.05
2018-01-24,270.55,277.4,259.5,260.75,112091767.7
2018-01-25,261.0,273.7,261.0,268.15,17364604.6
2018-01-29,265.25,275.0,260.0,264.1,320091621.5
2018-01-30,266.9,268.75,262.0,267.25,16468629.8
2018-01-31,268.9,268.95,261.8,267.25,4269176.7
2018-02-01,269.95,269.95,261.9,265.75,11584455.3
2018-02-02,263.6,267.0,245.0,263.45,24901516.15
2018-02-05,262.95,263.0,250.0,259.8,10801043.95
2018-02-06,252.05,263.0,245.0,262.1,8926492.45
2018-02-07,263.0,266.5,257.15,264.85,43440354.1
2018-02-08,268.0,268.0,260.0,261.9,3946876.2
2018-02-09,260.0,271.1,255.0,270.2,4487201.5
2018-02-12,273.0,282.0,273.0,280.05,5894855.0
2018-02-14,285.05,295.0,277.95,286.6,16601174.9
2018-02-15,288.0,288.35,270.0,273.1,7940263.35
2018-02-16,283.0,283.0,263.05,270.55,23005944.2
2018-02-19,270.0,273.0,261.8,267.8,60961854.0
2018-02-20,267.05,278.7,267.05,274.05,4543302.35
2018-02-21,272.3,275.8,265.9,271.25,5855398.2
2018-02-22,269.4,270.0,265.55,266.5,1993701.9
2018-02-23,265.95,271.55,261.8,263.3,23358330.0
2018-02-26,268.5,268.5,258.0,260.0,22067755.05
2018-02-27,261.15,262.45,257.7,260.05,6375315.5
2018-02-28,262.9,263.4,257.0,261.3,96768950.25
2018-03-01,260.85,263.9,260.3,263.05,2559904.55
2018-03-05,265.0,272.5,264.9,266.05,17486281.85
2018-03-06,270.0,271.4,260.0,261.65,15450084.4
2018-03-07,262.1,262.1,255.0,260.2,4001354.5
2018-03-08,260.2,267.0,254.5,264.25,6980880.3
2018-03-09,269.0,269.0,257.0,260.7,14711726.55
2018-03-12,269.0,269.0,258.95,261.0,3424287.25
2018-03-13,262.95,265.0,259.0,260.55,48575198.1
2018-03-14,259.15,262.75,256.25,258.5,235503168.3
2018-03-15,260.95,261.5,255.55,255.95,7173531.7
2018-03-16,255.95,257.45,246.15,248.25,29213342.7
2018-03-19,248.05,252.0,245.0,248.75,5090268.95
2018-03-20,251.0,252.0,248.1,251.2,3007679.65
2018-03-21,252.0,255.0,243.6,244.95,9787267.05
2018-03-22,244.0,246.2,240.0,241.45,6750114.5
2018-03-23,243.75,243.75,232.5,234.25,5497586.45
2018-03-26,241.75,241.75,227.8,231.4,7180330.95
2018-03-27,231.5,235.45,223.1,225.2,7918862.95
2018-03-28,226.85,226.85,220.2,222.4,3040604.15
2018-04-02,229.0,261.9,223.05,254.05,283312626.8
2018-04-03,252.0,262.0,246.0,248.8,24702027.1
2018-04-04,249.55,254.7,235.5,237.85,22857480.55
2018-04-05,246.0,246.0,235.25,243.2,28082314.55
2018-04-06,245.75,245.75,236.25,239.6,7591372.9
2018-04-09,238.6,243.5,238.6,241.6,6056556.9
2018-04-10,240.05,243.85,238.6,240.1,7881810.75
2018-04-11,239.2,243.0,228.6,232.7,23660125.95
2018-04-12,232.05,237.55,230.15,232.1,3412870.35
2018-04-13,236.5,237.0,231.05,232.75,2119358.1
2018-04-16,228.0,236.75,227.45,234.25,2348801.0
