date,open,high,low,close,volume
2018-01-01,1419.0,1433.45,1370.1,1390.45,100305606.1
2018-01-02,1384.0,1412.75,1375.0,1395.1,104919360.7
2018-01-03,1394.9,1407.9,1360.55,1378.55,166383375.6
2018-01-04,1387.0,1398.75,1371.45,1393.9,86878232.25
2018-01-05,1381.55,1429.0,1381.55,1420.75,380965355.0
2018-01-08,1412.0,1442.55,1412.0,1433.85,300516047.9
2018-01-09,1435.05,1438.0,1401.5,1410.0,39926636.45
2018-01-10,1399.7,1430.7,1395.0,1401.25,163305349.4
2018-01-11,1400.1,1409.0,1379.95,1381.85,88814198.5
2018-01-12,1394.0,1404.3,1375.0,1380.55,197019928.5
2018-01-15,1385.0,1422.95,1385.0,1416.3,153038715.0
2018-01-16,1411.0,1418.95,1391.55,1400.8,99134502.25
2018-01-17,1400.05,1418.45,1389.3,1404.65,58500404.8
2018-01-18,1398.45,1448.0,1398.45,1430.9,237231207.8
2018-01-19,1441.9,1444.95,1405.3,1430.5,120996008.6
2018-01-22,1438.0,1474.8,1422.1,1451.35,246448154.0
2018-01-23,1456.0,1465.0,1435.55,1443.0,224757359.1
2018-01-24,1434.0,1467.3,1433.6,1452.7,265062158.6
2018-01-25,1437.0,1461.0,1405.5,1421.4,354902999.1
2018-01-29,1420.05,1427.35,1367.1,1378.35,433473906.9
2018-01-30,1374.0,1374.0,1347.0,1356.6,235714916.5
2018-01-31,1358.0,1369.95,1340.0,1362.4,156027753.5
2018-02-01,1369.95,1374.9,1345.0,1354.9,390948274.7
2018-02-02,1352.9,1385.0,1330.0,1358.35,121138731.2
2018-02-05,1320.05,1398.45,1320.0,1342.35,223603656.0
2018-02-06,1290.0,1340.0,1271.55,1333.75,131102545.8
2018-02-07,1330.5,1394.0,1316.8,1375.75,147585304.3
2018-02-08,1375.75,1404.3,1356.05,1380.85,215002833.7
2018-02-09,1351.0,1450.0,1332.6,1434.35,319530179.1
2018-02-12,1434.35,1443.8,1408.55,1430.8,123626859.2
2018-02-14,1441.0,1441.6,1416.45,1429.25,183085009.3
2018-02-15,1432.0,1435.05,1412.0,1420.95,97510877.7
2018-02-16,1412.0,1450.0,1401.0,1423.15,525743592.4
2018-02-19,1409.75,1419.65,1377.0,1393.2,111365522.8
2018-02-20,1395.0,1399.95,1373.05,1383.95,88353821.4
2018-02-21,1377.0,1383.0,1344.65,1354.0,127909129.3
2018-02-22,1350.1,1359.95,1306.4,1322.2,262444099.2
2018-02-23,1323.0,1355.25,1320.0,1336.55,138436564.7
2018-02-26,1345.0,1357.35,1316.05,1344.55,154076456.4
2018-02-27,1357.0,1384.0,1335.95,1348.35,182301249.7
2018-02-28,1348.0,1386.0,1329.55,1368.65,581682246.2
2018-03-01,1360.0,1363.0,1317.1,1338.1,589845736.3
2018-03-05,1338.0,1375.95,1310.45,1366.6,632643105.0
2018-03-06,1370.0,1375.0,1339.2,1345.95,732885899.7
2018-03-07,1347.1,1351.9,1301.35,1329.4,507560578.1
2018-03-08,1338.0,1345.95,1310.0,1317.8,381580006.8
2018-03-09,1324.0,1333.0,1310.05,1329.8,493033038.5
2018-03-12,1335.0,1348.0,1281.0,1311.85,638747890.8
2018-03-13,1310.0,1321.35,1296.05,1305.5,144737668.9
2018-03-14,1299.0,1316.45,1290.0,1296.55,168238152.8
2018-03-15,1291.0,1297.8,1270.65,1279.8,241675179.5
2018-03-16,1289.0,1290.0,1259.35,1268.45,239051979.4
2018-03-19,1265.0,1280.15,1244.35,1261.65,145357449.7
2018-03-20,1256.0,1265.0,1248.8,1254.8,127284470.3
2018-03-21,1267.55,1268.0,1234.75,1238.7,258720028.4
2018-03-22,1241.2,1255.0,1221.2,1247.8,373798721.8
