date,open,high,low,close,volume
2018-01-01,340.0,342.95,330.0,331.5,24401732.45
2018-01-02,334.75,336.8,324.05,327.1,32018209.9
2018-01-03,334.7,334.7,327.15,328.5,21346891.75
2018-01-04,329.0,334.8,328.0,332.4,23376983.45
2018-01-05,332.2,352.8,332.05,350.25,305369728.6
2018-01-08,353.8,354.4,342.35,344.2,50809856.7
2018-01-09,345.0,345.95,336.6,339.9,30858875.5
2018-01-10,341.9,353.0,339.25,346.1,176996545.7
2018-01-11,346.0,350.95,344.15,349.15,49747508.85
2018-01-12,349.95,354.0,346.05,349.35,135450496.7
2018-01-15,349.0,352.0,347.25,348.85,21768842.3
2018-01-16,348.05,349.6,340.0,340.8,38337037.1
2018-01-17,339.0,341.75,335.0,337.1,155210248.0
2018-01-18,340.45,340.75,327.0,331.15,116949277.4
2018-01-19,333.0,334.0,325.05,330.95,19500282.55
2018-01-22,326.1,330.8,325.95,326.7,14851786.55
2018-01-23,327.0,331.95,325.0,326.7,14108210.85
2018-01-24,327.6,328.65,325.0,326.25,13466109.6
2018-01-25,326.45,326.9,322.0,324.25,28198887.35
2018-01-29,328.0,330.0,322.5,324.5,36567682.65
2018-01-30,326.0,326.0,313.45,315.05,27098372.15
2018-01-31,314.05,321.95,310.0,318.05,20658263.75
2018-02-01,318.5,326.45,313.35,315.8,32867959.3
2018-02-02,315.0,317.9,300.0,314.6,32008038.9
2018-02-05,282.55,314.95,282.0,305.25,28754435.85
2018-02-06,300.75,314.0,290.3,310.25,28927767.35
2018-02-07,313.35,315.35,303.3,304.9,33970848.7
2018-02-08,307.8,317.2,306.0,315.85,21712729.55
2018-02-09,310.0,324.9,310.0,316.05,52865984.45
2018-02-12,317.0,324.45,317.0,323.15,17000312.6
2018-02-14,325.0,325.0,315.05,316.05,10041470.75
2018-02-15,318.0,320.0,315.9,318.35,11001125.2
2018-02-16,321.0,324.45,315.25,319.9,14821686.2
2018-02-19,320.95,329.9,315.0,321.65,52920377.15
2018-02-20,320.0,322.55,317.0,318.65,11417098.75
2018-02-21,320.85,320.85,314.0,315.75,7406240.5
2018-02-22,315.15,320.25,314.0,317.55,12084272.5
2018-02-23,319.5,319.5,311.6,313.0,85668452.6
2018-02-26,313.0,315.85,310.0,310.65,14785817.45
2018-02-27,312.0,316.35,310.0,314.6,18587979.15
2018-02-28,313.85,317.9,310.85,316.05,10299979.1
2018-03-01,316.0,317.45,314.4,315.0,22159965.2
2018-03-05,314.8,318.1,310.0,316.4,15155234.0
2018-03-06,317.95,320.0,313.0,315.35,26111642.95
2018-03-07,312.05,315.0,310.0,310.25,23014810.5
2018-03-08,313.0,339.7,310.0,333.05,162143411.8
2018-03-09,341.0,344.9,330.05,332.95,144075692.3
2018-03-12,332.95,335.9,319.0,333.65,36886195.45
2018-03-13,332.0,356.0,326.6,349.65,107809843.9
2018-03-14,347.05,353.65,340.3,345.05,27974984.1
2018-03-15,345.0,352.95,337.45,350.35,39783076.25
2018-03-16,351.75,358.0,341.0,350.9,65136426.35
2018-03-19,350.0,354.0,335.0,347.65,34629365.3
2018-03-20,345.0,350.0,338.0,346.85,39599260.75
2018-03-21,347.0,348.0,335.55,341.65,39637494.75
2018-03-22,342.0,343.0,334.6,339.8,40014427.15
2018-03-23,336.6,349.0,326.5,341.75,66420790.3
2018-03-26,341.95,354.9,336.1,348.6,73207147.0
2018-03-27,349.9,350.05,336.7,344.4,81794518.9
2018-03-28,343.0,348.9,339.7,345.05,64878091.5
2018-04-02,345.0,345.95,342.0,344.0,28007067.65
2018-04-03,342.0,350.45,342.0,346.3,32094698.7
2018-04-04,349.0,349.0,341.15,344.45,34953969.25
2018-04-05,347.6,350.8,345.0,345.95,16603085.3
2018-04-06,346.85,376.4,345.0,367.3,187060656.4
2018-04-09,367.5,370.1,361.0,367.4,64615172.85
2018-04-10,369.0,370.15,350.05,353.1,60926921.8
2018-04-11,354.0,356.0,350.0,350.15,25899636.2
2018-04-12,352.0,352.0,346.1,350.2,15792600.25
2018-04-13,348.0,358.7,348.0,350.45,26980857.45
2018-04-16,350.45,355.9,347.2,350.1,63128096.75
2018-04-17,350.1,355.0,350.1,353.8,16968285.0
2018-04-18,354.0,355.95,339.0,345.65,23077986.55
2018-04-19,343.4,345.1,338.1,342.35,15856630.2
2018-04-20,342.0,349.0,340.3,346.05,15272156.15
2018-04-23,347.85,351.95,341.6,350.3,21123700.5
2018-04-24,348.45,355.2,348.45,350.5,27084768.7
2018-04-25,355.0,365.0,350.0,351.1,69217852.7
2018-04-26,353.5,354.75,350.0,350.3,14567849.0
2018-04-27,352.85,352.85,349.05,350.85,11948610.95
2018-04-30,351.9,353.5,346.35,351.75,12616246.8
2018-05-02,352.0,359.55,348.0,350.2,18720152.25
2018-05-03,351.8,353.9,336.2,341.0,19024515.25
2018-05-04,342.0,342.0,328.0,338.9,58446550.35
2018-05-07,340.95,344.75,336.55,341.7,11801903.05
2018-05-08,342.95,344.3,335.0,337.0,8718721.45
2018-05-09,337.0,339.95,335.35,338.25,7781134.85
2018-05-10,339.95,341.9,325.9,333.1,22127828.4
2018-05-11,336.85,339.4,330.0,335.7,15961673.75
2018-05-14,335.05,339.0,333.25,336.25,8443242.9
2018-05-15,336.0,342.65,334.1,337.15,20747623.85
2018-05-16,339.85,348.4,328.45,341.9,46289585.8
2018-05-17,343.8,343.8,334.0,336.5,9260624.35
2018-05-18,336.95,336.95,330.55,332.3,6682306.85
2018-05-21,335.0,337.5,327.1,334.05,34319522.3
2018-05-22,335.0,335.0,328.0,329.35,9276810.75
2018-05-23,330.9,332.0,326.0,327.05,5715341.15
2018-05-24,328.0,330.5,325.0,326.8,9759400.45
2018-05-25,329.95,335.0,326.05,331.05,8768276.5
2018-05-28,334.0,334.0,330.0,333.1,5989805.85
2018-05-29,333.1,336.0,330.05,332.65,6432894.05
2018-05-30,330.1,333.15,327.25,328.85,6270137.1
2018-05-31,326.2,333.0,322.2,329.65,26996438.9
2018-06-01,331.9,334.0,327.0,327.85,9566103.3
2018-06-04,330.0,330.0,320.3,322.1,29014292.35
2018-06-05,322.0,332.0,315.0,329.95,24509740.25
2018-06-06,330.0,331.0,324.5,327.75,41952643.05
2018-06-07,328.8,328.8,320.0,321.95,21474335.2
2018-06-08,320.95,324.9,316.65,318.45,12932532.1
2018-06-11,321.0,321.0,315.15,317.85,24223178.3
2018-06-12,318.0,319.7,311.0,311.9,51441507.1
2018-06-13,311.8,329.0,309.25,325.1,98310535.15
2018-06-14,327.0,329.85,317.65,325.15,64544216.2
2018-06-15,327.0,329.0,322.0,323.9,11487629.3
2018-06-18,323.8,324.5,317.5,322.3,187304074.4
2018-06-19,320.05,322.9,315.6,318.4,111329803.2
2018-06-20,320.0,322.5,316.05,317.85,7392515.8
2018-06-21,317.2,324.95,316.0,318.15,459859493.4
2018-06-22,319.95,320.9,316.15,317.3,7454726.4
2018-06-25,317.3,322.05,311.85,313.25,13101798.9
2018-06-26,313.0,322.0,306.85,313.45,238686436.6
2018-06-27,315.0,315.0,308.0,310.55,13522179.9
2018-06-28,310.15,310.15,298.0,300.15,22152447.15
2018-06-29,300.0,306.0,294.75,302.25,17932357.25
2018-07-02,303.95,315.0,302.35,312.75,65184949.45
2018-07-03,313.0,314.7,308.05,309.65,20575952.6
2018-07-04,308.1,315.4,305.3,312.4,28794234.5
2018-07-05,314.0,314.0,309.0,309.95,11881113.3
2018-07-06,310.0,314.0,306.15,310.1,16650382.2
2018-07-09,310.1,323.0,309.25,320.85,32426281.1
2018-07-10,324.45,348.8,323.2,340.6,126340651.2
2018-07-11,338.95,358.8,332.9,350.65,128851077.0
2018-07-12,356.05,378.0,337.0,341.9,420883897.6
2018-07-13,344.65,346.7,333.05,339.65,61338724.65
2018-07-16,345.0,347.3,330.0,335.35,53652068.35
2018-07-17,332.05,340.0,327.0,330.75,57144017.8
2018-07-18,331.0,333.2,321.0,325.35,24691108.8
2018-07-19,328.0,332.75,319.35,328.7,15530451.85
2018-07-20,326.1,334.35,324.1,325.65,16083595.3
2018-07-23,325.05,328.0,320.7,327.15,19456464.2
2018-07-24,329.0,347.0,327.2,338.0,64668165.25
2018-07-25,338.1,352.0,338.1,349.2,53441736.7
2018-07-26,349.2,351.8,341.65,345.0,26173017.6
2018-07-27,344.0,354.35,342.9,351.1,18485925.8
2018-07-30,348.0,355.0,345.05,350.25,10121935.75
2018-07-31,351.0,351.0,338.5,348.8,17942749.85
2018-08-01,355.25,370.0,354.0,365.35,134187508.2
2018-08-02,357.0,361.95,352.35,355.85,74529533.5
2018-08-03,354.1,369.0,350.0,352.45,27398853.7
2018-08-06,352.1,357.95,352.1,356.5,18432197.25
2018-08-07,357.85,362.1,353.2,360.6,25710250.1
2018-08-08,361.6,361.6,354.05,359.75,27094663.0
2018-08-09,362.0,371.9,346.45,365.45,51980180.6
2018-08-10,368.0,368.0,354.3,355.5,30988881.6
2018-08-13,354.9,364.5,351.25,361.8,21491145.55
2018-08-14,361.9,367.0,354.2,358.95,18048466.3
2018-08-16,360.1,369.95,356.05,368.0,24962221.95
2018-08-17,370.05,370.45,359.1,369.9,32872135.1
2018-08-20,372.0,372.05,362.85,365.0,17309717.6
2018-08-21,364.0,375.0,364.0,372.2,40235027.85
2018-08-23,373.0,375.0,362.15,365.95,63093317.05
2018-08-24,365.0,370.05,352.1,369.15,21778630.75
2018-08-27,370.0,375.0,363.25,373.15,80029319.05
2018-08-28,369.4,392.45,369.4,377.15,193621369.2
2018-08-29,379.9,384.9,367.8,369.5,49070527.7
2018-08-30,368.5,370.1,365.5,368.6,16756293.3
2018-08-31,370.0,370.95,362.8,369.45,91514148.0
2018-09-03,369.05,373.5,355.65,360.2,27992820.8
2018-09-04,358.4,369.8,356.0,359.9,69303481.35
2018-09-05,360.0,363.0,356.0,358.55,19577687.45
2018-09-06,358.0,361.75,352.25,356.75,23403543.8
2018-09-07,356.1,367.95,356.0,362.75,14321981.8
2018-09-10,365.8,366.5,358.5,359.1,11848297.1
2018-09-11,361.8,362.35,358.1,359.85,14091884.3
2018-09-12,360.0,362.6,355.6,359.4,14553413.0
2018-09-14,360.1,362.05,357.6,359.1,21603388.8
2018-09-17,362.9,364.85,359.0,360.15,11381489.1
2018-09-18,358.35,361.9,351.1,354.1,21476587.65
2018-09-19,355.0,357.8,351.5,354.2,31128434.75
2018-09-21,354.2,384.9,316.85,352.95,76225486.4
2018-09-24,354.0,366.8,339.55,356.4,47679132.85
2018-09-25,354.5,356.5,342.0,347.1,66148914.8
2018-09-26,345.1,349.15,342.05,345.5,13003919.4
2018-09-27,345.5,350.0,341.25,344.15,78887869.2
2018-09-28,347.0,347.5,325.0,333.25,57645481.45
2018-10-01,333.0,340.95,316.95,337.0,64875281.55
2018-10-03,336.95,344.05,330.35,338.05,9692645.75
2018-10-04,338.0,355.3,323.0,347.55,25650226.6
2018-10-05,348.0,348.0,335.1,342.25,12188503.05
2018-10-08,339.0,339.25,324.05,331.55,12423091.8
2018-10-09,328.1,335.15,318.2,322.9,32656730.4
