date,open,high,low,close,volume
2018-01-01,61.25,62.8,60.4,60.7,452383517.1
2018-01-02,60.9,62.2,59.0,59.95,645180971.5
2018-01-03,60.4,61.45,60.0,60.5,465061655.6
2018-01-04,60.95,61.15,59.8,60.0,459832354.4
2018-01-05,60.25,63.9,60.2,63.6,924213333.9
2018-01-08,63.95,64.9,63.0,64.25,609189366.9
2018-01-09,64.15,64.25,62.05,62.65,363209347.3
2018-01-10,62.7,63.45,61.3,62.1,437994107.8
2018-01-11,61.95,62.8,61.55,61.9,246645026.9
2018-01-12,62.25,66.65,62.25,66.05,2396865926.0
2018-01-15,66.35,66.75,64.75,65.45,697167616.1
2018-01-16,65.6,65.7,60.9,62.45,1507824768.0
2018-01-17,62.7,63.35,60.1,62.7,766675678.6
2018-01-18,63.0,63.3,59.05,59.7,517208568.7
2018-01-19,59.3,60.25,58.5,59.45,381462321.2
2018-01-22,59.9,61.5,59.1,61.2,373880188.4
2018-01-23,61.5,62.75,60.95,61.3,415959009.0
2018-01-24,61.5,61.5,59.7,60.2,311996174.8
2018-01-25,60.2,61.15,59.35,59.9,357889278.4
2018-01-29,60.5,60.55,59.15,59.35,247055056.4
2018-01-30,59.0,60.7,58.25,58.9,527811625.0
2018-01-31,59.25,63.35,58.85,61.85,1137278509.0
2018-02-01,62.4,62.45,58.35,59.75,637949753.7
2018-02-02,58.6,58.95,53.5,53.9,785609210.0
2018-02-05,52.9,55.25,51.2,54.75,507914606.9
2018-02-06,50.0,54.15,50.0,53.15,450176090.6
2018-02-07,54.4,54.95,53.6,54.05,409225681.1
2018-02-08,54.3,56.05,53.85,54.7,452094390.2
2018-02-09,53.0,55.75,52.85,55.4,227456572.1
2018-02-12,56.0,56.9,55.75,56.45,193104588.1
2018-02-14,56.9,59.25,56.75,57.5,390770705.7
2018-02-15,57.7,58.35,55.5,56.1,251400202.1
2018-02-16,56.5,57.0,54.35,54.9,216137782.2
2018-02-19,55.0,55.25,53.55,54.7,169380835.2
2018-02-20,54.2,55.9,54.2,55.2,237750791.6
2018-02-21,55.3,55.85,54.8,55.1,127232476.7
2018-02-22,55.35,56.95,54.85,56.15,813190151.2
2018-02-23,56.2,58.8,56.0,58.45,544633503.6
2018-02-26,59.25,60.5,58.7,60.1,404816696.8
2018-02-27,60.5,61.7,59.25,60.7,525544335.9
2018-02-28,59.9,63.7,59.6,62.65,757742929.6
2018-03-01,62.85,63.4,61.35,61.7,370010231.6
2018-03-05,61.5,61.65,59.85,60.55,261490574.8
2018-03-06,61.0,63.65,59.8,60.45,847901706.8
2018-03-07,60.05,62.05,59.75,61.1,596850076.8
2018-03-08,61.75,62.05,59.3,61.15,411592278.2
2018-03-09,61.5,63.5,60.9,62.8,780123250.0
2018-03-12,63.75,64.55,62.75,63.8,525543948.4
2018-03-13,63.8,64.7,62.85,63.8,519353679.6
2018-03-14,63.2,68.25,63.15,67.7,1337934086.0
2018-03-15,68.0,68.5,66.65,67.4,1012907312.0
2018-03-16,67.55,69.45,66.05,66.5,1410754558.0
2018-03-19,66.6,67.15,63.35,64.15,735708507.4
2018-03-20,64.2,66.0,63.6,64.5,919775503.3
2018-03-21,65.45,66.1,64.6,65.1,764204572.7
2018-03-22,65.55,65.55,64.15,64.6,329066527.6
2018-03-23,62.65,64.15,62.25,63.3,686103999.9
2018-03-26,63.3,67.35,63.05,67.15,911454165.3
2018-03-27,67.05,69.4,65.9,68.5,941990133.7
2018-03-28,67.85,70.0,66.75,67.1,973316170.3
2018-04-02,68.8,70.5,67.55,70.15,612714552.3
2018-04-03,69.65,70.8,68.8,70.25,681283660.5
2018-04-04,70.8,70.8,67.45,67.85,645912085.0
2018-04-05,69.05,69.7,68.25,68.75,403060108.4
2018-04-06,69.35,69.35,67.6,68.6,532980025.2
2018-04-09,68.55,69.55,67.6,67.85,367040558.0
2018-04-10,68.6,68.6,67.05,67.8,257772440.5
2018-04-11,68.0,70.4,67.3,69.75,693781757.4
2018-04-12,69.35,69.95,67.8,68.25,572661735.5
2018-04-13,68.5,68.95,67.0,67.35,396840829.3
2018-04-16,66.45,68.15,66.25,66.75,355105832.3
2018-04-17,67.1,67.8,66.65,67.0,241175592.5
2018-04-18,67.3,68.65,66.75,67.85,513696298.2
2018-04-19,68.15,68.4,67.2,67.5,184388592.3
2018-04-20,67.1,68.0,66.4,67.3,280116470.1
