date,open,high,low,close,volume
2018-01-01,429.3,444.45,425.0,435.15,95150001.35
2018-01-02,439.05,443.95,425.1,428.5,47484941.6
2018-01-03,432.5,437.95,427.65,430.05,28295474.5
2018-01-04,432.65,439.8,427.0,429.0,41717220.95
2018-01-05,432.0,436.5,427.05,429.55,33889067.05
2018-01-08,432.8,462.2,432.05,442.35,137272600.0
2018-01-09,445.8,455.0,436.6,446.85,93797167.3
2018-01-10,449.0,454.9,443.35,449.9,63716711.85
2018-01-11,453.0,465.0,450.0,460.85,130675117.5
2018-01-12,461.5,475.05,457.95,465.7,112817591.8
2018-01-15,468.95,479.8,443.15,459.25,138217529.6
2018-01-16,462.0,462.0,430.0,431.5,104323850.0
2018-01-17,433.0,486.4,422.85,475.25,717779973.9
2018-01-18,468.25,471.85,443.0,450.5,114350198.0
2018-01-19,452.75,464.85,449.75,452.7,80415540.2
2018-01-22,453.0,460.95,448.1,451.65,37326970.15
2018-01-23,454.65,473.8,452.35,458.65,92988874.0
2018-01-24,457.95,465.4,451.1,453.3,37294084.35
2018-01-25,454.2,457.9,442.25,449.0,25141470.95
2018-01-29,449.4,457.65,449.4,450.2,20382600.75
2018-01-30,450.2,458.9,450.0,455.0,72771713.45
2018-01-31,456.0,461.7,450.0,451.25,52150532.45
2018-02-01,454.8,463.4,450.55,455.55,42763583.25
2018-02-02,451.0,454.9,439.95,449.95,97687166.8
2018-02-05,430.0,454.85,430.0,450.95,54218485.7
2018-02-06,439.0,439.4,426.2,435.1,39177086.2
2018-02-07,443.0,471.0,442.8,467.75,72629739.8
2018-02-08,467.0,476.7,450.75,456.8,47368543.65
2018-02-09,451.4,495.0,451.4,478.65,116667229.0
2018-02-12,484.0,510.35,470.3,475.95,267646557.6
2018-02-14,477.95,491.0,477.9,485.55,51926290.55
2018-02-15,488.0,502.9,482.55,490.35,87656775.25
2018-02-16,490.0,494.55,460.1,465.6,49176245.7
2018-02-19,468.35,484.0,468.3,480.3,59006880.55
2018-02-20,471.2,491.0,471.2,476.4,141687642.8
2018-02-21,480.05,480.7,446.1,450.1,77443177.55
2018-02-22,451.0,462.5,450.2,456.15,62892540.95
2018-02-23,458.9,465.85,451.5,455.15,23944207.4
2018-02-26,460.8,462.45,452.05,456.45,17267939.3
2018-02-27,454.6,461.3,442.25,450.1,47709710.15
2018-02-28,448.05,469.0,445.95,465.5,105873943.5
2018-03-01,467.95,469.95,451.0,458.55,26835765.15
2018-03-05,458.55,462.9,449.75,456.65,20825314.65
2018-03-06,459.85,463.0,450.0,450.5,23883106.35
2018-03-07,454.65,454.65,445.0,448.0,19429388.8
2018-03-08,450.0,455.15,443.05,449.8,43568871.7
2018-03-09,448.2,460.0,448.15,450.55,15345699.9
2018-03-12,451.5,459.9,450.0,451.8,10801921.3
2018-03-13,454.5,459.8,450.3,455.65,16797645.9
2018-03-14,456.0,546.75,450.55,534.95,535916594.6
2018-03-15,536.8,540.0,503.35,512.0,330864173.0
2018-03-16,511.0,557.95,506.55,521.1,848177235.0
2018-03-19,525.8,525.85,453.3,464.3,336724745.2
2018-03-20,464.0,485.65,458.05,469.25,236505409.0
2018-03-21,479.0,553.95,474.05,542.35,1675253481.0
2018-03-22,529.1,534.8,512.2,524.2,642179869.2
2018-03-23,496.2,515.75,490.1,498.2,324652862.5
2018-03-26,496.55,518.0,496.55,509.65,275540169.6
2018-03-27,508.0,534.0,496.0,502.5,293611067.3
2018-03-28,499.95,512.0,480.0,488.6,152435108.2
2018-04-02,488.8,507.0,480.0,488.45,158762457.0
2018-04-03,491.9,509.9,486.25,496.8,220233492.8
2018-04-04,501.4,509.8,485.6,490.4,134760770.8
2018-04-05,507.4,508.0,497.0,503.05,85408966.6
2018-04-06,504.25,507.35,496.0,498.6,59922636.45
2018-04-09,500.0,506.5,490.0,494.4,59213326.15
2018-04-10,495.6,501.3,481.55,486.75,44831312.6
2018-04-11,489.0,491.0,477.25,479.9,43568641.45
2018-04-12,484.95,492.0,476.15,477.75,62436843.15
2018-04-13,482.9,484.8,470.1,472.8,41851357.95
2018-04-16,469.9,469.9,455.0,457.1,87123148.75
2018-04-17,461.85,463.5,454.0,455.8,52329213.65
2018-04-18,458.8,480.7,455.1,471.0,285182738.4
2018-04-19,471.2,482.0,465.95,470.55,89975717.15
2018-04-20,480.9,481.9,468.55,470.95,123811517.2
2018-04-23,472.15,477.0,462.4,469.95,83800890.25
2018-04-24,472.75,478.0,469.5,470.5,52916027.0
2018-04-25,470.6,473.7,469.0,470.05,46687461.6
2018-04-26,470.05,486.8,468.5,476.25,98213929.35
2018-04-27,479.1,480.0,471.1,475.5,51928967.2
2018-04-30,478.0,482.7,472.15,478.2,40496034.85
2018-05-02,451.3,474.65,451.3,459.75,30468036.1
2018-05-03,459.75,467.0,447.55,450.0,120036419.5
2018-05-04,457.0,464.5,445.1,446.5,91660840.05
2018-05-07,449.2,463.8,440.85,451.5,92520483.1
2018-05-08,450.25,462.0,448.1,456.6,33715034.2
2018-05-09,455.8,458.0,445.0,450.6,22012929.9
2018-05-10,451.1,458.5,432.0,435.4,33261156.85
2018-05-11,437.05,445.0,428.4,430.35,22561302.15
2018-05-14,431.5,449.45,431.5,443.05,151723477.7
2018-05-15,445.0,451.9,440.55,447.95,24650527.7
2018-05-16,445.0,449.8,440.15,445.95,16991868.45
2018-05-17,447.0,461.95,447.0,451.8,120244670.6
2018-05-18,453.0,455.2,448.05,452.9,14662071.3
2018-05-21,447.0,456.85,441.5,449.5,21205194.05
2018-05-22,445.0,455.85,442.6,447.35,45768972.75
2018-05-23,438.0,440.0,426.0,436.55,28224791.35
2018-05-24,436.15,440.0,431.05,435.0,21223720.25
2018-05-25,432.6,446.0,432.6,444.5,16857208.95
2018-05-28,443.0,452.5,442.15,449.15,13468175.7
2018-05-29,451.35,454.15,444.75,448.35,14489202.95
2018-05-30,442.6,449.95,440.0,442.7,10134050.25
2018-05-31,442.45,468.0,436.65,453.0,76063052.6
2018-06-01,455.0,459.35,450.0,453.3,11327053.85
2018-06-04,450.5,455.0,436.2,445.6,12732467.45
2018-06-05,448.3,455.0,436.15,445.2,18278059.5
2018-06-06,440.15,458.0,439.5,454.6,65551597.7
2018-06-07,457.95,464.95,449.4,456.75,17169057.4
2018-06-08,459.4,478.0,453.55,472.4,135560428.8
2018-06-11,475.9,489.55,475.0,479.25,79323179.55
2018-06-12,477.0,482.55,470.15,472.2,13433389.35
2018-06-13,471.8,472.0,460.25,461.3,12191347.75
2018-06-14,463.95,470.0,457.1,459.25,18567261.8
2018-06-15,461.5,464.7,455.6,458.25,7972080.55
2018-06-18,459.0,487.0,450.3,474.1,133955395.3
2018-06-19,474.1,484.55,462.7,471.0,82368344.8
2018-06-20,468.0,475.3,461.0,462.9,11246523.2
2018-06-21,463.6,464.1,449.4,452.85,7981562.9
2018-06-22,452.75,456.45,447.05,448.65,8195775.85
2018-06-25,448.0,453.2,441.05,443.45,9294955.85
2018-06-26,442.8,443.0,427.0,429.0,34307370.55
2018-06-27,431.85,434.65,411.2,418.55,19240560.8
2018-06-28,418.55,423.4,404.85,409.15,8096367.75
2018-06-29,411.7,425.0,411.7,421.35,13618320.4
2018-07-02,421.35,425.4,412.05,414.15,5521404.65
2018-07-03,416.2,418.45,404.7,406.6,9229080.9
2018-07-04,407.45,471.65,404.25,459.15,146592135.4
2018-07-05,452.05,454.7,425.1,427.6,48067931.75
2018-07-06,427.5,431.0,416.0,420.6,21973191.65
2018-07-09,421.4,443.0,420.0,424.2,27124913.0
2018-07-10,429.4,450.15,422.2,435.6,79851670.5
2018-07-11,437.9,447.0,430.25,440.9,29527484.5
2018-07-12,443.1,453.0,436.8,439.6,60680261.25
2018-07-13,449.0,449.0,413.95,422.95,90920378.2
2018-07-16,419.0,428.8,412.65,424.1,24358709.85
2018-07-17,424.0,434.3,422.35,427.1,13053773.5
2018-07-18,430.8,442.0,421.05,422.95,21544400.05
2018-07-19,426.95,428.05,410.8,414.6,13829101.85
2018-07-20,412.1,420.0,408.85,411.5,24018017.75
2018-07-23,411.0,420.4,410.0,411.8,14091027.4
2018-07-24,411.05,420.0,410.05,412.5,15611629.1
2018-07-25,415.0,421.85,411.0,412.3,14722015.9
2018-07-26,414.0,419.0,412.55,413.65,7595517.45
2018-07-27,415.7,425.0,412.0,420.9,21602006.85
2018-07-30,420.9,428.45,418.85,421.55,7633568.9
2018-07-31,420.7,431.7,416.95,424.6,58314386.55
2018-08-01,424.95,441.0,420.55,425.0,147954850.0
2018-08-02,428.4,432.0,420.4,423.7,54184268.3
2018-08-03,426.25,429.85,421.1,423.4,13161387.6
2018-08-06,426.6,427.4,412.05,417.8,18221067.3
2018-08-07,424.0,435.8,420.0,428.7,53700958.1
2018-08-08,428.7,452.0,428.7,435.25,71317463.35
2018-08-09,439.4,451.0,435.2,440.55,171941781.4
2018-08-10,442.5,451.8,440.25,448.0,36119880.45
2018-08-13,445.05,447.2,426.3,432.35,30762180.6
2018-08-14,435.0,444.0,430.15,434.35,33991766.35
2018-08-16,434.75,438.85,432.0,435.05,21673854.3
2018-08-17,437.4,438.55,432.4,436.8,15614675.2
2018-08-20,436.8,436.8,427.1,430.85,19936141.3
2018-08-21,428.2,436.5,424.35,427.3,17560185.3
2018-08-23,430.3,438.0,429.85,434.95,25328181.65
2018-08-24,432.35,450.0,430.7,446.25,22978045.85
2018-08-27,448.95,460.5,444.05,451.65,32640459.1
2018-08-28,454.4,460.0,450.25,455.2,46289328.0
2018-08-29,458.0,458.65,446.0,448.2,8859602.5
2018-08-30,452.4,457.95,449.7,454.1,8846338.6
2018-08-31,455.0,455.95,445.1,452.4,6815827.1
2018-09-03,453.0,461.15,447.6,451.45,88937118.9
2018-09-04,450.35,454.2,440.0,443.8,54170884.35
2018-09-05,442.0,444.6,427.7,438.3,38881493.65
2018-09-06,441.0,459.8,432.0,454.15,26173686.7
2018-09-07,454.95,457.0,445.05,451.5,16752999.7
2018-09-10,451.4,451.45,435.05,438.4,10615304.6
2018-09-11,438.4,440.0,427.05,431.3,16400307.0
2018-09-12,428.7,430.45,415.05,423.2,34860395.0
2018-09-14,424.05,428.0,416.4,419.55,14401850.55
2018-09-17,422.4,426.4,415.15,423.05,11223322.65
2018-09-18,426.95,437.0,421.55,430.4,18622883.65
2018-09-19,430.0,439.9,426.95,433.7,17257329.25
2018-09-21,430.8,433.0,393.25,398.25,27420806.95
2018-09-24,406.15,408.95,400.0,403.55,12372765.1
2018-09-25,403.0,427.4,392.75,418.0,31304665.45
2018-09-26,415.7,419.55,401.05,410.75,8937024.0
2018-09-27,410.75,410.75,400.0,406.2,15466219.65
2018-09-28,403.7,411.85,398.0,407.65,14992729.85
2018-10-01,405.2,407.0,394.9,401.45,23612265.9
2018-10-03,401.0,410.0,400.05,407.8,9226128.95
2018-10-04,395.05,410.0,395.05,404.45,15096040.95
2018-10-05,405.5,405.5,399.0,400.75,9503643.85
2018-10-08,398.3,402.0,382.2,392.6,53799722.0
2018-10-09,396.95,397.3,378.05,383.15,7749099.5
2018-10-10,385.0,394.4,381.75,391.25,5132850.7
2018-10-11,376.0,394.0,374.9,392.75,4045448.8
2018-10-12,392.05,424.4,392.05,409.15,28954892.9
2018-10-15,402.05,416.3,400.0,407.8,69546943.45
2018-10-16,405.0,411.95,402.05,405.9,9844035.35
2018-10-17,412.4,412.4,392.1,398.1,8892346.9
2018-10-19,395.7,396.95,378.15,385.55,4423928.8
2018-10-22,394.5,395.0,379.05,381.2,4146615.1
2018-10-23,380.0,388.7,371.1,386.4,6818369.45
2018-10-24,382.05,389.95,379.55,384.05,3679282.0
2018-10-25,384.05,389.4,377.0,380.2,3733391.75
2018-10-26,382.0,382.7,370.0,371.6,4072411.65
2018-10-29,373.2,387.85,370.0,381.95,10418312.35
2018-10-30,383.3,395.0,377.45,389.35,6732299.8
2018-10-31,394.3,415.1,383.1,408.75,15208130.85
2018-11-01,411.0,412.0,397.55,401.15,6312719.95
2018-11-02,406.2,416.0,391.45,396.9,45366037.1
2018-11-05,387.55,387.55,369.0,377.1,20801162.75
2018-11-06,377.1,384.4,373.2,375.55,4485420.5
2018-11-07,377.0,380.4,377.0,379.2,1428146.9
2018-11-09,375.2,384.05,370.4,375.35,7035722.6
2018-11-12,377.7,383.25,369.8,372.2,108801834.4
2018-11-13,375.2,375.2,369.0,372.45,4052768.25
2018-11-14,374.65,376.55,370.0,374.15,3623475.65
2018-11-15,373.1,383.5,370.1,380.65,59147001.75
2018-11-16,379.95,386.0,379.0,382.75,5670472.9
2018-11-19,384.0,384.7,377.55,380.95,2382771.55
2018-11-20,382.35,382.35,376.35,380.8,1867066.15
