date,open,high,low,close,volume
2018-01-01,145.1,146.1,144.1,144.9,229983190.5
2018-01-02,145.1,145.3,140.7,141.95,392586952.2
2018-01-03,142.0,145.4,142.0,143.15,321357599.8
2018-01-04,143.3,148.35,141.8,147.5,641661327.6
2018-01-05,148.6,149.25,143.75,145.3,550287241.3
2018-01-08,146.1,147.3,144.7,145.65,305816934.3
2018-01-09,145.65,147.8,143.35,144.1,469896677.1
2018-01-10,143.1,145.2,140.7,141.75,480079565.4
2018-01-11,141.7,143.3,138.4,138.8,1024956309.0
2018-01-12,140.0,140.9,136.7,137.6,814944374.0
2018-01-15,138.9,140.8,138.15,139.55,501189976.8
2018-01-16,139.55,140.0,134.7,136.35,748024204.8
2018-01-17,136.45,140.95,135.1,140.5,646406279.4
2018-01-18,143.85,144.8,136.8,137.9,757813639.0
2018-01-19,138.05,141.65,137.25,141.35,463317618.4
2018-01-22,141.2,141.2,138.05,140.35,355280487.1
2018-01-23,141.0,146.2,139.75,145.05,756167377.3
2018-01-24,144.9,150.0,142.55,148.9,1137449756.0
2018-01-25,150.6,151.8,140.35,141.75,2426080119.0
2018-01-29,142.8,142.9,136.6,137.7,738009399.0
2018-01-30,137.7,139.3,135.1,136.1,485001347.7
2018-01-31,135.5,137.0,134.1,136.25,405000762.2
2018-02-01,136.6,137.4,131.2,132.1,545542757.6
2018-02-02,130.0,132.5,126.8,127.5,727175391.2
2018-02-05,121.95,128.0,120.35,126.65,1184702119.0
2018-02-06,117.0,126.35,116.8,125.25,788675294.8
2018-02-07,127.0,127.85,122.8,123.65,802276595.8
2018-02-08,124.0,127.45,123.65,125.15,517813224.4
2018-02-09,122.0,128.0,121.0,126.25,469873765.1
2018-02-12,126.5,131.5,126.3,127.4,572678268.6
2018-02-14,127.2,127.3,120.75,121.2,601331122.9
2018-02-15,119.9,122.7,118.3,120.2,821491813.3
2018-02-16,118.6,120.0,116.1,118.35,920552849.0
2018-02-19,112.9,114.85,104.2,109.65,2913351640.0
2018-02-20,105.25,113.8,105.0,111.35,2699352654.0
2018-02-21,113.5,113.6,107.75,109.45,1313405761.0
2018-02-22,108.1,109.5,106.6,107.35,839993373.0
2018-02-23,108.0,109.0,107.5,108.6,474590050.4
2018-02-26,108.1,109.65,107.25,107.6,481117725.1
2018-02-27,107.25,107.4,99.5,103.05,1248618128.0
2018-02-28,100.1,106.3,100.1,105.55,1287141389.0
2018-03-01,104.0,105.85,103.05,103.6,610538917.0
2018-03-05,100.05,102.15,99.55,100.75,781112983.4
2018-03-06,102.0,102.4,95.65,96.75,679577492.4
2018-03-07,96.05,97.45,93.5,95.7,810230410.2
2018-03-08,97.2,97.7,94.0,96.25,588394277.2
2018-03-09,97.0,97.0,92.2,93.45,455172199.8
2018-03-12,93.9,94.25,87.0,91.15,1028174406.0
2018-03-13,90.5,102.8,89.15,97.5,2404475564.0
2018-03-14,96.0,102.8,94.5,102.0,1779070088.0
2018-03-15,102.95,103.3,100.1,101.25,914677179.8
2018-03-16,101.5,104.4,99.2,99.85,1133542885.0
2018-03-19,100.7,101.4,94.65,96.4,821425897.5
2018-03-20,94.7,97.9,94.35,96.45,686633958.0
2018-03-21,98.0,99.15,95.35,95.85,616829357.8
2018-03-22,96.05,96.05,94.1,94.7,453302082.2
2018-03-23,89.15,89.85,86.05,86.85,2368405987.0
2018-03-26,86.1,92.5,86.0,91.1,1173261128.0
2018-03-27,92.7,95.65,91.2,94.25,1061913257.0
2018-03-28,92.5,97.3,91.4,94.0,1565913962.0
2018-04-02,94.1,97.35,93.8,95.05,580921897.7
2018-04-03,96.5,100.2,95.7,96.95,1287925778.0
2018-04-04,97.95,98.6,95.1,95.65,754614321.2
2018-04-05,97.9,102.0,96.2,100.35,934023394.2
2018-04-06,101.2,102.9,98.5,101.95,1217291244.0
2018-04-09,103.0,105.35,101.8,104.35,1053611833.0
2018-04-10,104.9,105.45,102.7,103.3,809679389.5
2018-04-11,103.2,103.5,100.0,101.15,609311618.0
2018-04-12,101.8,101.85,97.55,98.7,712267866.1
2018-04-13,99.0,100.8,98.0,98.65,619668838.8
2018-04-16,97.9,99.25,96.55,98.0,503834285.8
2018-04-17,98.9,99.6,96.45,97.45,598567412.0
2018-04-18,98.0,99.45,95.75,96.35,699641425.9
2018-04-19,97.6,97.6,96.0,96.65,419523342.2
2018-04-20,96.0,96.4,90.7,91.65,908285314.7
2018-04-23,91.0,94.5,89.5,93.85,1096380146.0
2018-04-24,93.0,94.1,91.65,92.35,445723046.5
2018-04-25,92.45,92.45,90.55,90.8,448855126.9
2018-04-26,91.3,91.3,89.6,90.55,438502781.1
2018-04-27,90.75,96.95,90.75,94.6,960699429.3
2018-04-30,94.25,96.35,93.1,95.4,455832789.3
2018-05-02,95.4,95.9,91.15,91.95,504996391.2
2018-05-03,91.8,93.25,90.55,91.6,508032917.3
2018-05-04,91.35,93.25,90.65,91.15,427275330.8
2018-05-07,91.85,93.55,91.6,92.75,403436694.3
2018-05-08,93.45,96.0,91.35,94.0,801669907.5
2018-05-09,93.5,94.6,91.3,91.9,457003087.8
2018-05-10,92.1,92.45,86.85,87.55,747657693.3
2018-05-11,84.0,89.75,83.25,88.1,1990555166.0
2018-05-14,88.0,90.1,86.25,88.05,841103155.5
2018-05-15,87.85,90.45,85.0,85.7,642362170.5
2018-05-16,85.0,86.45,82.1,84.45,848999894.3
2018-05-17,84.7,86.4,83.7,85.15,459138118.1
