date,open,high,low,close,volume
2018-01-01,651.8,666.9,648.0,655.4,372341309.9
2018-01-02,660.0,758.8,655.0,702.4,1217901178.0
2018-01-03,706.6,728.0,700.05,708.5,416997630.4
2018-01-04,708.0,712.0,681.55,687.25,98504194.6
2018-01-05,726.25,750.0,700.1,704.4,1065514702.0
2018-01-08,704.4,716.0,696.35,699.05,157868882.3
2018-01-09,700.0,708.95,680.0,687.55,98931941.6
2018-01-10,690.55,695.0,670.5,678.5,90624963.9
2018-01-11,681.85,687.0,668.45,677.95,55539552.85
2018-01-12,690.05,698.95,675.0,678.35,121551298.2
2018-01-15,680.5,685.3,660.2,671.8,61931112.8
2018-01-16,673.6,676.85,640.0,644.65,72244287.55
2018-01-17,646.8,673.75,624.0,659.35,115794257.3
2018-01-18,674.0,688.0,635.0,642.4,93654025.45
2018-01-19,645.7,680.0,624.05,676.2,142979017.4
2018-01-22,682.0,700.0,675.05,694.85,95081327.3
2018-01-23,701.6,730.6,688.1,710.75,3079473991.0
2018-01-24,720.0,727.8,705.05,719.85,165092131.2
2018-01-25,725.0,725.65,705.0,710.05,86895613.9
2018-01-29,714.0,718.0,690.05,695.05,30944097.8
2018-01-30,682.0,708.4,671.55,685.5,33026116.45
2018-01-31,682.05,698.0,673.25,690.7,39376177.05
2018-02-01,690.95,726.0,668.3,677.35,129216536.9
2018-02-02,669.9,689.9,641.0,672.45,63763512.6
2018-02-05,650.0,670.0,639.05,664.75,29526419.5
2018-02-06,637.85,657.55,628.25,652.15,33344790.05
2018-02-07,655.35,673.0,643.9,659.7,34426131.4
2018-02-08,658.0,680.0,656.35,670.65,14443990.05
2018-02-09,658.4,665.35,651.05,657.8,16690125.3
2018-02-12,660.1,678.95,660.1,663.8,18133589.55
2018-02-14,669.95,689.0,669.0,673.0,55311680.5
2018-02-15,683.0,689.0,658.5,664.4,35959628.55
2018-02-16,673.3,681.0,632.65,652.0,119073461.7
2018-02-19,662.5,668.0,643.0,648.2,64429117.8
2018-02-20,675.0,675.0,626.15,629.7,50813405.65
2018-02-21,638.0,649.0,630.65,645.8,29080695.7
2018-02-22,642.1,642.1,632.0,637.05,8556894.2
2018-02-23,640.1,664.9,636.95,663.35,42914131.6
2018-02-26,668.0,679.6,653.55,661.85,47688507.0
2018-02-27,665.15,665.15,644.4,646.65,16136288.25
2018-02-28,646.0,657.0,631.25,649.1,70702035.1
2018-03-01,654.0,662.0,637.4,645.45,82912139.65
2018-03-05,639.0,643.0,633.05,636.0,19891352.4
2018-03-06,642.6,646.95,625.0,628.35,15008699.0
2018-03-07,625.2,636.0,615.0,619.3,20206811.75
